INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.366846	0  	0.522488	0.223379	1023  	0.0472489	3.90811	0  	7  	2  	1023  	1.41053
INFO:gp:1  	777   	0.415804	1  	0.561739	0.262178	777   	0.0424847	4.13881	1  	10 	2  	777   	1.45855
INFO:gp:2  	768   	0.441619	2  	0.562254	0.232725	768   	0.0487694	4.261  	2  	13 	2  	768   	1.56305
INFO:gp:3  	763   	0.466073	3  	0.612578	0.191109	763   	0.0545171	4.58162	3  	11 	2  	763   	1.5275 
INFO:gp:4  	755   	0.492395	4  	0.634155	0.217887	755   	0.0622709	5.03617	4  	11 	2  	755   	1.45229
INFO:gp:5  	766   	0.518308	5  	0.705892	0.30777 	766   	0.0644796	5.08407	5  	10 	2  	766   	1.33484
INFO:gp:6  	797   	0.543414	6  	0.71402 	0.293722	797   	0.073328 	5.01466	6  	11 	3  	797   	1.395  
INFO:gp:7  	798   	0.570814	7  	0.728287	0.255713	798   	0.0852331	5.19648	7  	12 	3  	798   	1.5737 
INFO:gp:8  	763   	0.610796	8  	0.731529	0.309614	763   	0.0886391	5.23558	8  	12 	3  	763   	1.62466
INFO:gp:9  	777   	0.632882	9  	0.734262	0.328748	777   	0.0880417	5.18866	9  	12 	3  	777   	1.70348
INFO:gp:10 	788   	0.645678	10 	0.741462	0.304393	788   	0.0858225	5.59335	10 	15 	3  	788   	1.76776
INFO:gp:11 	773   	0.650148	11 	0.74984 	0.307454	773   	0.0917606	5.96872	11 	15 	3  	773   	1.91281
INFO:gp:12 	781   	0.655968	12 	0.777998	0.317576	781   	0.0943953	6.27859	12 	15 	3  	781   	2.09024
INFO:gp:13 	771   	0.662729	13 	0.777998	0.329026	771   	0.0947304	6.44379	13 	18 	3  	771   	2.5401 
INFO:gp:14 	789   	0.664285	14 	0.777998	0.314126	789   	0.0963033	6.47801	14 	19 	3  	789   	2.6894 
INFO:gp:15 	778   	0.663189	15 	0.777998	0.277269	778   	0.105623 	5.98534	15 	16 	3  	778   	2.58668
INFO:gp:16 	799   	0.668338	16 	0.78421 	0.338601	799   	0.101899 	5.83382	16 	19 	3  	799   	3.05213
INFO:gp:17 	763   	0.672548	17 	0.78421 	0.348956	763   	0.10034  	6.15836	17 	19 	3  	763   	3.49561
INFO:gp:18 	759   	0.67454 	18 	0.78604 	0.267195	759   	0.103406 	6.64809	18 	26 	3  	759   	4.14631
INFO:gp:19 	750   	0.683503	19 	0.79356 	0.288141	750   	0.101265 	7.6911 	19 	26 	3  	750   	4.95043
INFO:gp:20 	780   	0.684292	20 	0.793561	0.328018	780   	0.102293 	7.64712	20 	26 	3  	780   	5.2011 
INFO:gp:21 	781   	0.68886 	21 	0.793561	0.311016	781   	0.104722 	7.25024	21 	22 	3  	781   	5.00068
INFO:gp:22 	772   	0.692296	22 	0.793561	0.287485	772   	0.101681 	7.00587	22 	22 	3  	772   	4.5912 
INFO:gp:23 	787   	0.693207	23 	0.797301	0.285097	787   	0.103685 	8.0479 	23 	22 	3  	787   	4.22818
INFO:gp:24 	774   	0.699183	24 	0.797301	0.332134	774   	0.107694 	9.37439	24 	21 	3  	774   	3.79169
INFO:gp:25 	781   	0.706824	25 	0.797301	0.324028	781   	0.10434  	10.4154	25 	25 	3  	781   	3.47628
INFO:gp:26 	754   	0.714423	26 	0.814162	0.338785	754   	0.101713 	11.3851	26 	26 	3  	754   	3.45283
INFO:gp:27 	791   	0.711371	27 	0.814162	0.344263	791   	0.104293 	11.6051	27 	26 	3  	791   	3.38856
INFO:gp:28 	775   	0.717207	28 	0.814166	0.342888	775   	0.104834 	11.219 	28 	25 	3  	775   	3.03272
INFO:gp:29 	778   	0.722499	29 	0.814184	0.350703	778   	0.100702 	11.2239	29 	24 	3  	778   	3.02446
INFO:gp:30 	766   	0.7263  	30 	0.814184	0.331253	766   	0.100303 	11.607 	30 	24 	3  	766   	3.06432
INFO:gp:31 	754   	0.724958	31 	0.814194	0.349104	754   	0.102938 	12.4311	31 	28 	4  	754   	3.35092
INFO:gp:32 	781   	0.724044	32 	0.814214	0.37028 	781   	0.105457 	12.4506	32 	26 	5  	781   	3.24757
INFO:gp:33 	764   	0.718152	33 	0.815615	0.326872	764   	0.120013 	12.4506	33 	25 	5  	764   	2.96958
INFO:gp:34 	775   	0.723002	34 	0.815615	0.35673 	775   	0.115535 	12.9071	34 	26 	7  	775   	2.89338
INFO:gp:35 	744   	0.736056	35 	0.817022	0.34075 	744   	0.111892 	13.4858	35 	28 	8  	744   	2.91582
INFO:gp:36 	773   	0.72719 	36 	0.826393	0.32492 	773   	0.11585  	13.9335	36 	27 	3  	773   	3.08363
INFO:gp:37 	768   	0.729271	37 	0.826393	0.36782 	768   	0.114702 	14.1574	37 	26 	4  	768   	3.37486
INFO:gp:38 	782   	0.720627	38 	0.83094 	0.31247 	782   	0.122281 	14.6804	38 	28 	3  	782   	3.95879
INFO:gp:39 	772   	0.729074	39 	0.833655	0.318067	772   	0.119986 	15.2747	39 	29 	7  	772   	3.98651
INFO:gp:40 	767   	0.735763	40 	0.833655	0.304224	767   	0.117938 	16.0166	40 	29 	7  	767   	4.19569
INFO:gp:41 	779   	0.737862	41 	0.843173	0.321436	779   	0.115784 	17.4477	41 	35 	7  	779   	4.71338
INFO:gp:42 	784   	0.749204	42 	0.84581 	0.339304	784   	0.111993 	18.3558	42 	35 	7  	784   	4.74496
INFO:gp:43 	760   	0.753989	43 	0.849551	0.373263	760   	0.111165 	17.8045	43 	35 	7  	760   	4.61127
INFO:gp:44 	799   	0.75825 	44 	0.858031	0.375169	799   	0.109479 	18.1476	44 	35 	10 	799   	4.67525
INFO:gp:45 	780   	0.754409	45 	0.858031	0.351829	780   	0.113473 	20.0186	45 	34 	8  	780   	4.86239
INFO:gp:46 	775   	0.764903	46 	0.858031	0.344266	775   	0.115137 	21.9179	46 	42 	7  	775   	4.56463
INFO:gp:47 	796   	0.773393	47 	0.861795	0.387763	796   	0.107077 	22.2991	47 	41 	11 	796   	3.50261
INFO:gp:48 	762   	0.780131	48 	0.861796	0.351866	762   	0.108516 	22.129 	48 	47 	11 	762   	3.23697
INFO:gp:49 	750   	0.781838	49 	0.861796	0.38702 	750   	0.110544 	22.4135	49 	38 	10 	750   	3.32503
INFO:gp:50 	780   	0.78219 	50 	0.8627  	0.339284	780   	0.112272 	22.955 	50 	38 	13 	780   	3.12276
INFO:gp:51 	754   	0.788821	51 	0.862757	0.364195	754   	0.107294 	23.8671	51 	36 	8  	754   	3.18475
INFO:gp:52 	760   	0.79248 	52 	0.862758	0.386649	760   	0.110601 	24.5376	52 	38 	11 	760   	3.18634
INFO:gp:53 	775   	0.793099	53 	0.862758	0.332755	775   	0.111579 	24.8925	53 	40 	17 	775   	3.15921
INFO:gp:54 	790   	0.788583	54 	0.862758	0.325615	790   	0.11008  	25.1447	54 	38 	15 	790   	3.26128
INFO:gp:55 	756   	0.792043	55 	0.862839	0.351513	756   	0.113181 	25.4946	55 	37 	15 	756   	3.37574
INFO:gp:56 	764   	0.793162	56 	0.862898	0.354667	764   	0.106569 	25.7419	56 	41 	18 	764   	3.15111
