INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.500977	0  	0.610233	0.38554	1023  	0.0301064	3.54448	0  	7  	2  	1023  	1.40927
INFO:gp:1  	767   	0.520029	1  	0.638466	0.418232	767   	0.0331516	3.77224	1  	11 	2  	767   	1.56637
INFO:gp:2  	759   	0.530576	2  	0.65042 	0.411807	759   	0.0375989	3.72434	2  	10 	2  	759   	1.57208
INFO:gp:3  	757   	0.542651	3  	0.65042 	0.407489	757   	0.0399502	3.92571	3  	11 	2  	757   	1.71428
INFO:gp:4  	789   	0.550997	4  	0.65042 	0.389287	789   	0.0458419	4.1652 	4  	12 	2  	789   	1.79689
INFO:gp:5  	781   	0.560721	5  	0.66431 	0.400377	781   	0.0461634	4.38123	5  	11 	2  	781   	1.8553 
INFO:gp:6  	801   	0.562974	6  	0.66431 	0.388286	801   	0.0490449	4.1564 	6  	11 	1  	801   	1.81903
INFO:gp:7  	774   	0.573968	7  	0.66431 	0.388852	774   	0.0495664	3.97361	7  	10 	1  	774   	1.76428
INFO:gp:8  	782   	0.580098	8  	0.685352	0.408759	782   	0.0487617	4.05181	8  	12 	1  	782   	1.79067
INFO:gp:9  	776   	0.584933	9  	0.685352	0.398135	776   	0.0473666	4.26393	9  	13 	1  	776   	1.84299
INFO:gp:10 	769   	0.589689	10 	0.685352	0.39573 	769   	0.0458387	4.39003	10 	12 	1  	769   	1.86005
INFO:gp:11 	774   	0.593317	11 	0.676435	0.428966	774   	0.0450182	4.4565 	11 	14 	1  	774   	1.86699
INFO:gp:12 	760   	0.595236	12 	0.676435	0.430944	760   	0.0445355	4.50733	12 	12 	1  	760   	1.82137
INFO:gp:13 	792   	0.595267	13 	0.687321	0.420144	792   	0.0446029	4.39687	13 	11 	1  	792   	1.79029
INFO:gp:14 	748   	0.600804	14 	0.687321	0.422019	748   	0.0443845	4.39883	14 	15 	1  	748   	1.82341
INFO:gp:15 	767   	0.600046	15 	0.693233	0.437721	767   	0.0445307	4.3695 	15 	11 	1  	767   	1.72621
INFO:gp:16 	796   	0.598183	16 	0.693233	0.42503 	796   	0.0455082	4.53568	16 	12 	1  	796   	1.87447
INFO:gp:17 	756   	0.604339	17 	0.693233	0.451467	756   	0.0432483	4.44575	17 	12 	1  	756   	1.94919
INFO:gp:18 	741   	0.605036	18 	0.693233	0.432347	741   	0.045349 	4.5044 	18 	14 	1  	741   	2.00969
INFO:gp:19 	768   	0.605198	19 	0.693233	0.462556	768   	0.0449386	4.79179	19 	14 	1  	768   	2.16852
INFO:gp:20 	763   	0.604262	20 	0.693233	0.4181  	763   	0.0468897	5.1349 	20 	14 	1  	763   	2.24836
INFO:gp:21 	756   	0.606615	21 	0.693233	0.443367	756   	0.0445425	5.48192	21 	14 	1  	756   	2.25531
INFO:gp:22 	750   	0.607295	22 	0.693233	0.426532	750   	0.0471504	5.55816	22 	16 	1  	750   	2.32339
INFO:gp:23 	733   	0.606603	23 	0.693233	0.448768	733   	0.0486421	5.73021	23 	16 	1  	733   	2.40997
INFO:gp:24 	783   	0.604198	24 	0.693233	0.433923	783   	0.0485557	5.84848	24 	17 	1  	783   	2.48348
INFO:gp:25 	761   	0.607604	25 	0.693233	0.401358	761   	0.04795  	6.14663	25 	16 	2  	761   	2.68772
INFO:gp:26 	759   	0.60775 	26 	0.693233	0.425797	759   	0.0475929	6.17693	26 	16 	1  	759   	2.68353
INFO:gp:27 	778   	0.606654	27 	0.693233	0.425205	778   	0.0490592	6.2043 	27 	16 	1  	778   	2.75991
INFO:gp:28 	764   	0.610525	28 	0.693233	0.42644 	764   	0.0487654	6.40078	28 	18 	1  	764   	2.95778
