INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.500977	0  	0.606822	0.406953	1023  	0.0295013	3.51808	0  	7  	2  	1023  	1.33507
INFO:gp:1  	764   	0.519155	1  	0.629945	0.412064	764   	0.0330067	3.63148	1  	12 	2  	764   	1.44906
INFO:gp:2  	743   	0.534092	2  	0.629945	0.405406	743   	0.0385814	3.84946	2  	10 	2  	743   	1.45604
INFO:gp:3  	780   	0.552654	3  	0.681297	0.394463	780   	0.0435251	3.65298	3  	10 	2  	780   	1.33522
INFO:gp:4  	752   	0.57748 	4  	0.694088	0.40876 	752   	0.0445304	3.38514	4  	11 	2  	752   	1.04645
INFO:gp:5  	753   	0.596184	5  	0.694088	0.38328 	753   	0.0475913	3.39589	5  	9  	2  	753   	1.02685
INFO:gp:6  	788   	0.611613	6  	0.707151	0.405086	788   	0.0446273	3.47507	6  	9  	2  	788   	1.05151
INFO:gp:7  	775   	0.620688	7  	0.707151	0.401538	775   	0.0448708	3.50244	7  	9  	2  	775   	1.06566
INFO:gp:8  	788   	0.626605	8  	0.714137	0.421496	788   	0.045605 	3.55132	8  	10 	3  	788   	1.12253
INFO:gp:9  	764   	0.629011	9  	0.714137	0.458433	764   	0.0464022	3.5259 	9  	9  	3  	764   	1.06075
INFO:gp:10 	775   	0.632872	10 	0.714137	0.436673	775   	0.0458418	3.49756	10 	10 	3  	775   	1.06014
INFO:gp:11 	765   	0.632503	11 	0.718529	0.471774	765   	0.0474468	3.50049	11 	10 	2  	765   	1.01299
INFO:gp:12 	773   	0.634737	12 	0.718529	0.488892	773   	0.0470674	3.55914	12 	9  	3  	773   	1.09213
INFO:gp:13 	764   	0.633858	13 	0.718529	0.465787	764   	0.0489696	3.62366	13 	11 	3  	764   	1.15559
INFO:gp:14 	765   	0.636838	14 	0.724552	0.452632	765   	0.0486173	3.72434	14 	14 	3  	765   	1.32951
INFO:gp:15 	772   	0.63517 	15 	0.724552	0.471018	772   	0.0496711	3.78886	15 	11 	3  	772   	1.46193
INFO:gp:16 	767   	0.638293	16 	0.724552	0.44816 	767   	0.050235 	3.68719	16 	11 	3  	767   	1.25525
INFO:gp:17 	779   	0.635738	17 	0.724552	0.447246	779   	0.0498854	3.70283	17 	11 	3  	779   	1.23316
INFO:gp:18 	753   	0.639011	18 	0.724552	0.472723	753   	0.0481967	3.8348 	18 	15 	3  	753   	1.46015
INFO:gp:19 	769   	0.639657	19 	0.724552	0.478874	769   	0.0486259	3.89052	19 	11 	3  	769   	1.46104
