INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                     size                     
   	      	-------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std   
0  	1023  	0.502215	0  	0.600936	0.407929	1023  	0.0313281	3.42913	0  	7  	2  	1023  	1.2802
INFO:gp:1  	762   	0.520413	1  	0.626134	0.410754	762   	0.0341265	3.59335	1  	10 	2  	762   	1.44864
INFO:gp:2  	770   	0.531704	2  	0.635092	0.4035  	770   	0.0391384	3.77224	2  	12 	2  	770   	1.52205
INFO:gp:3  	757   	0.54379 	3  	0.649958	0.396701	757   	0.042414 	3.80841	3  	12 	2  	757   	1.45188
INFO:gp:4  	789   	0.554202	4  	0.649958	0.396673	789   	0.0442404	3.89247	4  	11 	1  	789   	1.45448
INFO:gp:5  	752   	0.564402	5  	0.649958	0.352334	752   	0.0468988	4.15249	5  	10 	2  	752   	1.48377
INFO:gp:6  	773   	0.565487	6  	0.681841	0.375442	773   	0.0511455	4.25513	6  	10 	2  	773   	1.47458
INFO:gp:7  	745   	0.574678	7  	0.681841	0.41935 	745   	0.0484534	4.05376	7  	11 	2  	745   	1.42662
INFO:gp:8  	773   	0.574272	8  	0.681841	0.373986	773   	0.0505662	4.06061	8  	11 	3  	773   	1.39691
INFO:gp:9  	775   	0.579467	9  	0.681841	0.410066	775   	0.0504377	3.99413	9  	11 	2  	775   	1.43479
INFO:gp:10 	753   	0.582275	10 	0.681841	0.397472	753   	0.0520706	4.01564	10 	12 	2  	753   	1.36703
INFO:gp:11 	772   	0.582033	11 	0.681841	0.387939	772   	0.0521433	4.13196	11 	10 	2  	772   	1.41945
INFO:gp:12 	786   	0.578838	12 	0.681841	0.409258	786   	0.0556862	4.32454	12 	13 	2  	786   	1.58014
INFO:gp:13 	766   	0.586254	13 	0.68522 	0.409631	766   	0.051607 	4.32356	13 	15 	2  	766   	1.60153
INFO:gp:14 	797   	0.586898	14 	0.68522 	0.400782	797   	0.0538564	4.35093	14 	11 	2  	797   	1.49715
INFO:gp:15 	762   	0.589577	15 	0.68522 	0.399095	762   	0.0547875	4.2737 	15 	12 	2  	762   	1.53084
INFO:gp:16 	755   	0.585961	16 	0.68522 	0.404583	755   	0.058303 	4.39198	16 	12 	2  	755   	1.60456
INFO:gp:17 	774   	0.590084	17 	0.69916 	0.410383	774   	0.055174 	4.50147	17 	13 	2  	774   	1.55126
