INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.501013	0  	0.583322	0.40482	1023  	0.0228575	3.47116	0  	7  	2  	1023  	1.36744
INFO:gp:1  	791   	0.519451	1  	0.586983	0.432632	791   	0.0244818	3.72141	1  	13 	2  	791   	1.56189
INFO:gp:2  	766   	0.530789	2  	0.603158	0.43079 	766   	0.0288924	3.85337	2  	13 	2  	766   	1.63299
INFO:gp:3  	773   	0.541549	3  	0.617953	0.429234	773   	0.0344749	3.90029	3  	13 	1  	773   	1.81926
INFO:gp:4  	777   	0.553933	4  	0.627363	0.407766	777   	0.0394819	3.95699	4  	14 	1  	777   	1.95754
INFO:gp:5  	774   	0.561224	5  	0.632451	0.414928	774   	0.0421657	4.25122	5  	15 	2  	774   	2.08669
INFO:gp:6  	762   	0.567338	6  	0.636731	0.391513	762   	0.0440598	4.25318	6  	15 	2  	762   	1.8336 
INFO:gp:7  	756   	0.581443	7  	0.642818	0.394986	756   	0.0417758	4.09677	7  	14 	2  	756   	1.63461
INFO:gp:8  	759   	0.592828	8  	0.661108	0.459649	759   	0.0404156	3.88172	8  	13 	3  	759   	1.53636
INFO:gp:9  	771   	0.598496	9  	0.661108	0.461712	771   	0.0432896	3.75953	9  	12 	3  	771   	1.42071
INFO:gp:10 	773   	0.601823	10 	0.661108	0.459182	773   	0.0441658	3.94526	10 	10 	3  	773   	1.50169
INFO:gp:11 	756   	0.610684	11 	0.661108	0.468016	756   	0.040114 	3.95992	11 	10 	3  	756   	1.50378
INFO:gp:12 	770   	0.612087	12 	0.661108	0.467817	770   	0.0429916	3.90811	12 	9  	3  	770   	1.50313
INFO:gp:13 	776   	0.622419	13 	0.661108	0.490005	776   	0.0392492	3.4956 	13 	12 	3  	776   	1.10439
INFO:gp:14 	772   	0.627177	14 	0.661108	0.47512 	772   	0.0371365	3.31476	14 	9  	3  	772   	0.918288
INFO:gp:15 	784   	0.625397	15 	0.661108	0.465923	784   	0.0410785	3.30303	15 	9  	3  	784   	0.900777
INFO:gp:16 	762   	0.6284  	16 	0.661108	0.482338	762   	0.0425087	3.28446	16 	9  	3  	762   	0.864315
INFO:gp:17 	773   	0.628705	17 	0.661782	0.48431 	773   	0.0433862	3.3089 	17 	9  	3  	773   	0.97995 
INFO:gp:18 	776   	0.628582	18 	0.661782	0.458473	776   	0.0438427	3.35973	18 	9  	3  	776   	1.01582 
INFO:gp:19 	766   	0.629537	19 	0.661782	0.482907	766   	0.0430247	3.40762	19 	9  	3  	766   	1.09964 
