INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.499984	0  	0.598677	0.414728	1023  	0.022397	3.51124	0  	7  	2  	1023  	1.34899
INFO:gp:1  	768   	0.51761 	1  	0.598677	0.435941	768   	0.0234193	3.66569	1  	9  	2  	768   	1.45027
INFO:gp:2  	773   	0.530483	2  	0.614641	0.436365	773   	0.0301897	3.89247	2  	11 	2  	773   	1.41979
INFO:gp:3  	757   	0.547204	3  	0.614641	0.423079	757   	0.0341713	4.02737	3  	11 	2  	757   	1.48015
INFO:gp:4  	775   	0.559608	4  	0.618078	0.416269	775   	0.0377886	4.2434 	4  	15 	2  	775   	1.8178 
INFO:gp:5  	773   	0.571506	5  	0.634596	0.431212	773   	0.0374784	4.17498	5  	13 	2  	773   	1.79651
INFO:gp:6  	766   	0.580157	6  	0.634596	0.425427	766   	0.0388694	4.14272	6  	13 	2  	766   	1.75006
INFO:gp:7  	769   	0.581298	7  	0.637961	0.407343	769   	0.0429846	4.45943	7  	16 	2  	769   	2.22886
INFO:gp:8  	785   	0.58739 	8  	0.653499	0.425538	785   	0.041543 	5.61584	8  	16 	2  	785   	2.9835 
INFO:gp:9  	759   	0.598243	9  	0.653499	0.43352 	759   	0.0396605	6.70479	9  	21 	2  	759   	3.39266
INFO:gp:10 	763   	0.606843	10 	0.657375	0.469994	763   	0.0382409	6.60899	10 	20 	3  	763   	3.40484
INFO:gp:11 	757   	0.61082 	11 	0.661594	0.43451 	757   	0.0409018	6.57283	11 	19 	3  	757   	3.3709 
INFO:gp:12 	795   	0.612274	12 	0.66366 	0.437788	795   	0.0425559	6.93353	12 	23 	3  	795   	3.42087
INFO:gp:13 	769   	0.617995	13 	0.66366 	0.445926	769   	0.0412904	6.89052	13 	20 	3  	769   	3.27372
INFO:gp:14 	768   	0.618592	14 	0.668635	0.47395 	768   	0.0468401	7.03421	14 	19 	3  	768   	3.39826
INFO:gp:15 	765   	0.617846	15 	0.668635	0.423419	765   	0.0563623	6.78495	15 	18 	3  	765   	2.98099
INFO:gp:16 	779   	0.616151	16 	0.671244	0.409608	779   	0.0596797	6.40958	16 	17 	3  	779   	2.79809
INFO:gp:17 	761   	0.617348	17 	0.671244	0.410597	761   	0.0591991	6.54154	17 	17 	3  	761   	2.82773
