INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50126	0  	0.585542	0.400422	1023  	0.0224072	3.52786	0  	7  	2  	1023  	1.36245
INFO:gp:1  	770   	0.518793	1  	0.607246	0.421795	770   	0.0225221	3.71261	1  	12 	2  	770   	1.56373
INFO:gp:2  	776   	0.529003	2  	0.617245	0.429089	776   	0.0289558	4.0782 	2  	12 	2  	776   	1.77738
INFO:gp:3  	772   	0.546956	3  	0.622655	0.438352	772   	0.0336609	4.4741 	3  	14 	1  	772   	1.71733
INFO:gp:4  	760   	0.569966	4  	0.623026	0.423572	760   	0.0347563	4.69306	4  	11 	2  	760   	1.55751
INFO:gp:5  	748   	0.584942	5  	0.636514	0.42651 	748   	0.0324584	4.63636	5  	14 	2  	748   	1.69835
INFO:gp:6  	781   	0.587867	6  	0.636514	0.419703	781   	0.0339699	4.57087	6  	14 	2  	781   	1.99819
INFO:gp:7  	773   	0.592325	7  	0.639937	0.457545	773   	0.0347617	4.83089	7  	14 	2  	773   	2.40311
INFO:gp:8  	764   	0.597251	8  	0.641346	0.461843	764   	0.0350965	5.26979	8  	16 	3  	764   	2.9185 
INFO:gp:9  	761   	0.599197	9  	0.651602	0.435625	761   	0.037857 	5.2346 	9  	16 	3  	761   	3.14518
INFO:gp:10 	767   	0.600348	10 	0.651602	0.427442	767   	0.0397321	4.79374	10 	13 	3  	767   	2.86542
INFO:gp:11 	773   	0.606677	11 	0.655523	0.460798	773   	0.0377852	5.03324	11 	17 	3  	773   	3.21271
INFO:gp:12 	770   	0.614523	12 	0.666729	0.467924	770   	0.0363991	5.85435	12 	18 	3  	770   	3.8286 
INFO:gp:13 	764   	0.619565	13 	0.667793	0.462564	764   	0.0358111	6.62366	13 	24 	3  	764   	4.11398
INFO:gp:14 	768   	0.619594	14 	0.667793	0.489148	768   	0.0395964	7.02542	14 	23 	3  	768   	4.26256
INFO:gp:15 	776   	0.622117	15 	0.673219	0.446078	776   	0.0425525	7.96285	15 	21 	3  	776   	4.61569
INFO:gp:16 	765   	0.630741	16 	0.673219	0.492607	765   	0.0407735	8.26295	16 	24 	3  	765   	4.9338 
INFO:gp:17 	747   	0.633494	17 	0.679215	0.462214	747   	0.0445037	9.5826 	17 	27 	3  	747   	4.89686
INFO:gp:18 	766   	0.636951	18 	0.680989	0.469982	766   	0.0445175	9.65298	18 	27 	3  	766   	4.51172
INFO:gp:19 	776   	0.639915	19 	0.683955	0.495941	776   	0.0428762	8.68035	19 	25 	3  	776   	4.15751
INFO:gp:20 	756   	0.645013	20 	0.683955	0.484517	756   	0.040039 	8.71163	20 	38 	3  	756   	4.48413
INFO:gp:21 	786   	0.642113	21 	0.688608	0.478718	786   	0.0443408	10.2864	21 	38 	3  	786   	4.85177
INFO:gp:22 	762   	0.642545	22 	0.688608	0.483455	762   	0.0479486	11.8465	22 	40 	3  	762   	4.99999
INFO:gp:23 	783   	0.647179	23 	0.688608	0.479127	783   	0.0433656	12.6168	23 	25 	3  	783   	4.66385
INFO:gp:24 	767   	0.645607	24 	0.691335	0.495784	767   	0.0461429	14.0694	24 	25 	3  	767   	4.90836
