INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                         fitness                         	                      size                     
   	      	---------------------------------------------------------	-----------------------------------------------
gen	nevals	avg   	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.5009	0  	0.60363	0.409897	1023  	0.0221174	3.49853	0  	7  	2  	1023  	1.33812
INFO:gp:1  	753   	0.518925	1  	0.614922	0.447364	753   	0.0244541	3.65494	1  	9  	2  	753   	1.44539
INFO:gp:2  	782   	0.532599	2  	0.614922	0.436997	782   	0.0312074	3.8172 	2  	11 	2  	782   	1.49316
INFO:gp:3  	794   	0.547478	3  	0.620866	0.436484	794   	0.0358711	3.92864	3  	12 	2  	794   	1.53798
INFO:gp:4  	776   	0.559408	4  	0.629071	0.414125	776   	0.0403814	3.68622	4  	13 	2  	776   	1.33758
INFO:gp:5  	771   	0.571083	5  	0.637986	0.426483	771   	0.0422919	3.50342	5  	13 	1  	771   	1.19699
INFO:gp:6  	782   	0.579661	6  	0.640103	0.448695	782   	0.0432691	3.60704	6  	9  	1  	782   	1.25296
INFO:gp:7  	791   	0.58838 	7  	0.640103	0.440152	791   	0.043685 	3.72239	7  	11 	1  	791   	1.32984
INFO:gp:8  	790   	0.596645	8  	0.640103	0.422092	790   	0.0449567	3.96676	8  	11 	3  	790   	1.45673
INFO:gp:9  	765   	0.601876	9  	0.640103	0.443877	765   	0.0458582	4.15249	9  	12 	3  	765   	1.69243
INFO:gp:10 	765   	0.597632	10 	0.640103	0.430972	765   	0.0525409	3.74682	10 	12 	3  	765   	1.51416
INFO:gp:11 	777   	0.600999	11 	0.640103	0.452533	777   	0.051938 	3.61681	11 	12 	3  	777   	1.4664 
INFO:gp:12 	804   	0.600773	12 	0.640103	0.471107	804   	0.0525673	3.55816	12 	12 	3  	804   	1.35933
INFO:gp:13 	769   	0.601313	13 	0.645035	0.472908	769   	0.0529986	3.51124	13 	12 	3  	769   	1.28059
INFO:gp:14 	782   	0.59976 	14 	0.645035	0.479451	782   	0.0537117	3.52004	14 	12 	3  	782   	1.26435
INFO:gp:15 	783   	0.599737	15 	0.645035	0.458037	783   	0.0542777	3.49756	15 	12 	3  	783   	1.24895
INFO:gp:16 	779   	0.602173	16 	0.64552 	0.439147	779   	0.0526725	3.5523 	16 	12 	3  	779   	1.3371 
INFO:gp:17 	781   	0.600874	17 	0.648653	0.412689	781   	0.0535402	3.57771	17 	12 	3  	781   	1.26675
INFO:gp:18 	711   	0.604388	18 	0.648653	0.460023	711   	0.0532566	3.58749	18 	12 	3  	711   	1.21409
INFO:gp:19 	779   	0.59733 	19 	0.651119	0.422605	779   	0.0565342	3.78886	19 	10 	3  	779   	1.37297
INFO:gp:20 	799   	0.595479	20 	0.651309	0.408304	799   	0.057098 	3.96579	20 	10 	3  	799   	1.3396 
INFO:gp:21 	785   	0.606586	21 	0.654938	0.449207	785   	0.051618 	4.39003	21 	12 	3  	785   	1.46493
INFO:gp:22 	774   	0.598855	22 	0.654938	0.416067	774   	0.0596457	4.6696 	22 	11 	3  	774   	1.52859
INFO:gp:23 	748   	0.60074 	23 	0.654938	0.453048	748   	0.0604123	5.27273	23 	12 	3  	748   	1.61582
INFO:gp:24 	794   	0.607398	24 	0.657778	0.444029	794   	0.0578857	6.01271	24 	13 	3  	794   	1.80983
INFO:gp:25 	777   	0.609033	25 	0.666574	0.477697	777   	0.0593991	6.90909	25 	15 	3  	777   	2.05319
INFO:gp:26 	773   	0.608948	26 	0.666574	0.455636	773   	0.0599756	7.69306	26 	16 	3  	773   	2.30041
INFO:gp:27 	777   	0.613758	27 	0.666574	0.441925	777   	0.0594968	8.43304	27 	19 	3  	777   	2.60857
INFO:gp:28 	741   	0.613611	28 	0.669954	0.447652	741   	0.0621002	9.77615	28 	19 	3  	741   	2.98247
INFO:gp:29 	759   	0.621098	29 	0.670056	0.456824	759   	0.0609955	10.7214	29 	21 	3  	759   	2.83561
INFO:gp:30 	753   	0.616978	30 	0.67082 	0.452693	753   	0.0641359	10.9785	30 	24 	3  	753   	3.12802
INFO:gp:31 	787   	0.617401	31 	0.67082 	0.460768	787   	0.0641156	11.2199	31 	23 	3  	787   	3.47333
INFO:gp:32 	780   	0.61443 	32 	0.67082 	0.461935	780   	0.0678363	11.9472	32 	27 	3  	780   	3.93808
INFO:gp:33 	742   	0.624286	33 	0.67082 	0.449986	742   	0.0646986	13.2678	33 	31 	3  	742   	4.06384
INFO:gp:34 	753   	0.620013	34 	0.672245	0.43475 	753   	0.0673543	14.0049	34 	29 	3  	753   	3.74883
INFO:gp:35 	788   	0.62014 	35 	0.674705	0.448704	788   	0.0659203	12.7243	35 	31 	3  	788   	3.83051
INFO:gp:36 	772   	0.622127	36 	0.674705	0.423229	772   	0.0640263	11.7234	36 	23 	3  	772   	3.57611
INFO:gp:37 	793   	0.60998 	37 	0.674705	0.438789	793   	0.0685385	10.8162	37 	23 	3  	793   	3.36264
INFO:gp:38 	767   	0.619536	38 	0.674705	0.430099	767   	0.0668584	10.8133	38 	23 	3  	767   	3.46796
INFO:gp:39 	774   	0.617491	39 	0.68616 	0.435568	774   	0.06764  	11.1437	39 	25 	3  	774   	3.40172
INFO:gp:40 	777   	0.616929	40 	0.68616 	0.456926	777   	0.0675612	12.2454	40 	25 	3  	777   	3.51723
INFO:gp:41 	796   	0.623171	41 	0.68616 	0.440642	796   	0.0655959	13.4379	41 	25 	3  	796   	3.66402
INFO:gp:42 	776   	0.623594	42 	0.68616 	0.47036 	776   	0.0668093	14.4966	42 	29 	3  	776   	3.34286
INFO:gp:43 	780   	0.626943	43 	0.68616 	0.456354	780   	0.0673777	15.2063	43 	29 	3  	780   	2.7509 
INFO:gp:44 	790   	0.627718	44 	0.68616 	0.438931	790   	0.0668192	14.9599	44 	25 	3  	790   	3.214  
INFO:gp:45 	753   	0.624977	45 	0.68616 	0.468852	753   	0.0691693	14.7331	45 	26 	3  	753   	3.13186
INFO:gp:46 	771   	0.624012	46 	0.68616 	0.463631	771   	0.0699268	14.13  	46 	24 	3  	771   	2.96109
INFO:gp:47 	781   	0.625396	47 	0.68616 	0.45419 	781   	0.0704884	13.65  	47 	26 	3  	781   	2.70525
INFO:gp:48 	784   	0.622823	48 	0.68616 	0.437762	784   	0.071353 	13.4018	48 	24 	3  	784   	2.57552
INFO:gp:49 	774   	0.625462	49 	0.68616 	0.434593	774   	0.0710402	13.2864	49 	24 	3  	774   	2.55403
INFO:gp:50 	781   	0.614639	50 	0.68616 	0.455976	781   	0.075939 	13.5005	50 	25 	3  	781   	2.48746
INFO:gp:51 	763   	0.622469	51 	0.688026	0.428604	763   	0.0747851	13.9717	51 	27 	3  	763   	3.04514
INFO:gp:52 	765   	0.62587 	52 	0.688026	0.4394  	765   	0.0722628	14.5836	52 	25 	3  	765   	3.60441
INFO:gp:53 	762   	0.626607	53 	0.688026	0.451069	762   	0.0723824	16.0313	53 	27 	3  	762   	3.91865
INFO:gp:54 	748   	0.63369 	54 	0.688026	0.449696	748   	0.0720013	17.7537	54 	29 	3  	748   	3.75026
INFO:gp:55 	755   	0.629799	55 	0.688026	0.43379 	755   	0.0741925	18.5591	55 	31 	3  	755   	3.88925
INFO:gp:56 	786   	0.625742	56 	0.688026	0.453687	786   	0.0750266	18.4027	56 	33 	3  	786   	4.31552
INFO:gp:57 	755   	0.632392	57 	0.688026	0.452761	755   	0.0709046	17.6119	57 	36 	3  	755   	4.40862
INFO:gp:58 	757   	0.628864	58 	0.688026	0.447105	757   	0.0728356	16.5924	58 	32 	3  	757   	4.60916
INFO:gp:59 	777   	0.624236	59 	0.688026	0.402957	777   	0.0735494	15.1857	59 	32 	3  	777   	4.26547
INFO:gp:60 	794   	0.622511	60 	0.688026	0.412776	794   	0.0741923	14.5122	60 	32 	3  	794   	3.99163
INFO:gp:61 	733   	0.627062	61 	0.688026	0.411506	733   	0.073565 	14.4467	61 	32 	3  	733   	3.75194
INFO:gp:62 	760   	0.621031	62 	0.688026	0.463118	760   	0.0739824	13.8974	62 	32 	3  	760   	3.47709
INFO:gp:63 	757   	0.621302	63 	0.688026	0.457979	757   	0.0752604	13.9658	63 	32 	3  	757   	3.6324 
INFO:gp:64 	796   	0.628038	64 	0.688026	0.43093 	796   	0.0719081	13.9316	64 	32 	3  	796   	3.51692
INFO:gp:65 	763   	0.627909	65 	0.688026	0.434152	763   	0.0718701	13.9482	65 	32 	3  	763   	3.41125
INFO:gp:66 	772   	0.624785	66 	0.688026	0.449032	772   	0.0715432	13.957 	66 	32 	3  	772   	3.5648 
INFO:gp:67 	767   	0.61971 	67 	0.688026	0.414615	767   	0.0756802	14.2405	67 	32 	3  	767   	3.88154
INFO:gp:68 	779   	0.622343	68 	0.688026	0.4464  	779   	0.0747546	14.1173	68 	32 	3  	779   	3.84549
INFO:gp:69 	789   	0.627952	69 	0.688026	0.400253	789   	0.0713668	13.9795	69 	32 	3  	789   	3.72943
INFO:gp:70 	757   	0.624551	70 	0.688026	0.414758	757   	0.0732406	13.9541	70 	32 	3  	757   	3.60634
INFO:gp:71 	791   	0.619998	71 	0.688026	0.442555	791   	0.0739048	14.0137	71 	32 	3  	791   	3.52311
INFO:gp:72 	749   	0.619803	72 	0.688026	0.443388	749   	0.0771002	13.9853	72 	32 	3  	749   	3.52602
INFO:gp:73 	788   	0.621506	73 	0.688026	0.442037	788   	0.073375 	14.0166	73 	33 	3  	788   	3.67027
INFO:gp:74 	771   	0.630195	74 	0.688026	0.468719	771   	0.0699702	14.0215	74 	32 	3  	771   	3.50917
INFO:gp:75 	776   	0.622996	75 	0.688026	0.397692	776   	0.0737445	13.9238	75 	32 	3  	776   	3.63781
INFO:gp:76 	761   	0.627417	76 	0.688026	0.41546 	761   	0.0733304	13.9707	76 	34 	3  	761   	3.47271
INFO:gp:77 	771   	0.628498	77 	0.688026	0.449882	771   	0.0712243	13.9589	77 	32 	3  	771   	3.53343
INFO:gp:78 	782   	0.626704	78 	0.688026	0.45397 	782   	0.0715036	13.9629	78 	32 	3  	782   	3.52045
INFO:gp:79 	747   	0.626958	79 	0.688026	0.446741	747   	0.0742248	14.0303	79 	32 	3  	747   	3.66138
INFO:gp:80 	795   	0.625442	80 	0.688026	0.41617 	795   	0.0729349	13.9765	80 	32 	3  	795   	3.68154
INFO:gp:81 	786   	0.625923	81 	0.688026	0.429249	786   	0.0721265	13.9658	81 	32 	3  	786   	3.50447
INFO:gp:82 	761   	0.621751	82 	0.688026	0.407955	761   	0.0745702	14.0352	82 	34 	3  	761   	3.59792
INFO:gp:83 	769   	0.6236  	83 	0.688026	0.43379 	769   	0.073485 	14.1163	83 	34 	3  	769   	3.82194
INFO:gp:84 	771   	0.623849	84 	0.688026	0.449678	771   	0.073739 	14.0274	84 	32 	3  	771   	3.62424
INFO:gp:85 	781   	0.621284	85 	0.688026	0.453224	781   	0.0752382	14.0196	85 	32 	3  	781   	3.54604
