INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.212766	0  	0.329023	0.119039	1023  	0.031917	4.87195	0  	7  	2  	1023  	1.42119
INFO:gp:1  	777   	0.250904	1  	0.352801	0.157431	777   	0.028473	4.95699	1  	12 	2  	777   	1.50272
INFO:gp:2  	799   	0.277457	2  	0.379222	0.18297 	799   	0.028635	4.99218	2  	12 	3  	799   	1.49353
INFO:gp:3  	779   	0.299519	3  	0.381757	0.194518	779   	0.0320775	4.84457	3  	12 	3  	779   	1.65567
INFO:gp:4  	764   	0.325536	4  	0.406269	0.183354	764   	0.0315323	5.07038	4  	12 	3  	764   	1.84198
INFO:gp:5  	771   	0.3445  	5  	0.424295	0.231271	771   	0.029407 	5.42424	5  	12 	3  	771   	2.20456
INFO:gp:6  	771   	0.356907	6  	0.424295	0.199799	771   	0.0300401	5.54448	6  	15 	3  	771   	2.37116
INFO:gp:7  	764   	0.36792 	7  	0.424295	0.250475	764   	0.0300127	5.51417	7  	15 	3  	764   	2.26442
INFO:gp:8  	755   	0.376246	8  	0.426246	0.204843	755   	0.0307538	5.22776	8  	12 	3  	755   	2.15842
INFO:gp:9  	752   	0.385885	9  	0.44142 	0.237786	752   	0.0308175	4.39198	9  	10 	3  	752   	1.68943
INFO:gp:10 	780   	0.395508	10 	0.444574	0.278015	780   	0.0314985	3.80254	10 	10 	3  	780   	1.29746
INFO:gp:11 	750   	0.404353	11 	0.468008	0.255226	750   	0.0296098	3.51613	11 	10 	3  	750   	1.02914
INFO:gp:12 	789   	0.40992 	12 	0.468008	0.291414	789   	0.0295692	3.52981	12 	9  	3  	789   	1.05232
INFO:gp:13 	782   	0.418502	13 	0.468008	0.293235	782   	0.0301152	3.61095	13 	10 	3  	782   	1.00203
INFO:gp:14 	781   	0.430234	14 	0.468008	0.280886	781   	0.0295474	3.71163	14 	10 	3  	781   	1.10005
INFO:gp:15 	768   	0.441807	15 	0.468008	0.280159	768   	0.0291073	4.00782	15 	11 	3  	768   	1.3019 
INFO:gp:16 	747   	0.447536	16 	0.476091	0.293525	747   	0.0312113	4.19941	16 	11 	3  	747   	0.999178
INFO:gp:17 	793   	0.448853	17 	0.476091	0.303699	793   	0.0304547	4.16813	17 	10 	3  	793   	0.792857
INFO:gp:18 	796   	0.449208	18 	0.476091	0.306355	796   	0.0312341	4.15249	18 	10 	3  	796   	0.764697
INFO:gp:19 	775   	0.450532	19 	0.476091	0.314009	775   	0.0312371	4.17107	19 	10 	3  	775   	0.792847
INFO:gp:20 	798   	0.452344	20 	0.476091	0.316271	798   	0.0332162	4.18671	20 	10 	3  	798   	0.83855 
INFO:gp:21 	794   	0.453919	21 	0.476091	0.290063	794   	0.0325422	4.20137	21 	10 	3  	794   	0.833393
INFO:gp:22 	770   	0.453591	22 	0.476091	0.277696	770   	0.0344595	4.19257	22 	10 	3  	770   	0.824279
INFO:gp:23 	739   	0.455339	23 	0.476091	0.292665	739   	0.0338655	4.16227	23 	10 	3  	739   	0.735275
INFO:gp:24 	805   	0.456185	24 	0.476091	0.298331	805   	0.0327475	4.17986	24 	10 	3  	805   	0.725802
INFO:gp:25 	787   	0.457544	25 	0.476091	0.308521	787   	0.0310332	4.1564 	25 	10 	3  	787   	0.737871
INFO:gp:26 	779   	0.45404 	26 	0.476091	0.316393	779   	0.0341065	4.16618	26 	10 	3  	779   	0.744973
INFO:gp:27 	785   	0.4546  	27 	0.476157	0.317111	785   	0.0341718	4.18964	27 	10 	3  	785   	0.802739
INFO:gp:28 	740   	0.457051	28 	0.476157	0.314866	740   	0.0319655	4.15934	28 	10 	3  	740   	0.698433
INFO:gp:29 	761   	0.45655 	29 	0.476157	0.289004	761   	0.0320176	4.18768	29 	10 	3  	761   	0.774701
INFO:gp:30 	759   	0.456024	30 	0.476157	0.306305	759   	0.032369 	4.15152	30 	10 	3  	759   	0.686068
INFO:gp:31 	788   	0.455411	31 	0.476204	0.29832 	788   	0.0330666	4.17302	31 	10 	3  	788   	0.740119
INFO:gp:32 	773   	0.45754 	32 	0.476204	0.283818	773   	0.0324957	4.22385	32 	10 	3  	773   	0.864041
INFO:gp:33 	770   	0.458245	33 	0.476204	0.316156	770   	0.0311025	4.35875	33 	10 	3  	770   	1.11567 
INFO:gp:34 	742   	0.455473	34 	0.476204	0.288847	742   	0.03356  	5.09677	34 	13 	3  	742   	1.77839 
INFO:gp:35 	786   	0.455683	35 	0.476204	0.312834	786   	0.0328506	6.67449	35 	13 	3  	786   	1.96315 
INFO:gp:36 	775   	0.456416	36 	0.476296	0.332781	775   	0.0326853	7.69599	36 	13 	3  	775   	1.37512 
