INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std    
0  	1023  	0.213303	0  	0.345113	0.124742	1023  	0.0326145	4.9042	0  	7  	2  	1023  	1.42955
INFO:gp:1  	774   	0.252591	1  	0.345113	0.156122	774   	0.0281492	5.1085	1  	12 	3  	774   	1.40344
INFO:gp:2  	796   	0.27592 	2  	0.412899	0.172985	796   	0.0300032	5.11828	2  	12 	2  	796   	1.40961
INFO:gp:3  	781   	0.297045	3  	0.412899	0.160278	781   	0.0332276	4.8172 	3  	10 	2  	781   	1.40548
INFO:gp:4  	777   	0.317926	4  	0.412899	0.16963 	777   	0.0338111	4.59629	4  	10 	2  	777   	1.39271
INFO:gp:5  	764   	0.334311	5  	0.413662	0.16963 	764   	0.0367818	4.62268	5  	9  	2  	764   	1.22867
INFO:gp:6  	774   	0.350498	6  	0.429163	0.167078	774   	0.0367404	4.85924	6  	11 	3  	774   	1.13753
INFO:gp:7  	778   	0.373671	7  	0.431835	0.21699 	778   	0.0333153	5.09775	7  	10 	3  	778   	0.877783
INFO:gp:8  	749   	0.391732	8  	0.443196	0.269154	749   	0.0288666	5.22287	8  	9  	3  	749   	0.727336
INFO:gp:9  	795   	0.397688	9  	0.457684	0.28523 	795   	0.0287762	5.22874	9  	11 	3  	795   	0.749373
INFO:gp:10 	779   	0.404183	10 	0.457684	0.273155	779   	0.0313569	5.33431	10 	13 	3  	779   	0.885236
INFO:gp:11 	752   	0.411874	11 	0.462876	0.273155	752   	0.0343262	5.52786	11 	13 	3  	752   	1.04116 
INFO:gp:12 	774   	0.422749	12 	0.462876	0.292528	774   	0.0311454	5.7566 	12 	13 	3  	774   	1.1091  
INFO:gp:13 	802   	0.427571	13 	0.462892	0.284695	802   	0.0346623	6.31965	13 	13 	5  	802   	1.23744 
INFO:gp:14 	773   	0.435853	14 	0.4629  	0.300332	773   	0.0334509	6.96285	14 	13 	5  	773   	1.03817 
INFO:gp:15 	776   	0.440093	15 	0.468697	0.305426	776   	0.0324877	7.14174	15 	13 	5  	776   	1.03244 
INFO:gp:16 	794   	0.441348	16 	0.468697	0.281909	794   	0.0324944	7.16031	16 	13 	5  	794   	0.925214
INFO:gp:17 	778   	0.443312	17 	0.472106	0.27444 	778   	0.0326812	7.19941	17 	13 	5  	778   	0.970392
INFO:gp:18 	805   	0.443736	18 	0.475893	0.251434	805   	0.0332391	7.2434 	18 	13 	5  	805   	0.909595
INFO:gp:19 	765   	0.445891	19 	0.476973	0.295988	765   	0.0335464	7.31281	19 	15 	5  	765   	1.00044 
INFO:gp:20 	794   	0.447965	20 	0.484184	0.308244	794   	0.0340078	7.19355	20 	15 	4  	794   	0.883031
INFO:gp:21 	787   	0.449932	21 	0.484184	0.280683	787   	0.0348565	7.1437 	21 	15 	5  	787   	0.852732
INFO:gp:22 	796   	0.452107	22 	0.484212	0.284625	796   	0.0354091	7.27175	22 	17 	5  	796   	1.02293 
INFO:gp:23 	756   	0.4564  	23 	0.484212	0.282263	756   	0.0350361	7.54057	23 	13 	5  	756   	1.16987 
INFO:gp:24 	774   	0.458437	24 	0.485179	0.324223	774   	0.0353118	7.93744	24 	15 	5  	774   	1.56514 
INFO:gp:25 	769   	0.461649	25 	0.488054	0.309431	769   	0.0350284	8.12414	25 	15 	5  	769   	1.80019 
INFO:gp:26 	765   	0.462778	26 	0.488054	0.309449	765   	0.0350812	7.95308	26 	16 	5  	765   	1.78397 
INFO:gp:27 	742   	0.462646	27 	0.488054	0.317898	742   	0.035268 	7.69892	27 	15 	5  	742   	1.46623 
INFO:gp:28 	788   	0.459048	28 	0.492283	0.317044	788   	0.037628 	7.68133	28 	15 	4  	788   	1.53363 
INFO:gp:29 	793   	0.460163	29 	0.492283	0.275213	793   	0.0382567	8.11828	29 	14 	5  	793   	1.82914 
INFO:gp:30 	758   	0.463254	30 	0.492316	0.293716	758   	0.0382951	9.19648	30 	20 	5  	758   	2.17007 
INFO:gp:31 	773   	0.464884	31 	0.500867	0.288086	773   	0.0380034	10.4721	31 	20 	5  	773   	1.58899 
INFO:gp:32 	767   	0.46374 	32 	0.500867	0.302337	767   	0.039421 	10.5846	32 	20 	5  	767   	1.28775 
INFO:gp:33 	799   	0.465626	33 	0.500879	0.316789	799   	0.038986 	10.1632	33 	17 	5  	799   	1.40232 
INFO:gp:34 	775   	0.467648	34 	0.50089 	0.310208	775   	0.0376879	9.7478 	34 	17 	5  	775   	1.30228 
INFO:gp:35 	787   	0.471292	35 	0.500958	0.317565	787   	0.0383732	10.1046	35 	17 	5  	787   	1.37915 
INFO:gp:36 	778   	0.473321	36 	0.500958	0.33094 	778   	0.0391993	10.8006	36 	20 	5  	778   	1.29187 
INFO:gp:37 	752   	0.475961	37 	0.501207	0.337066	752   	0.0377968	10.9873	37 	20 	5  	752   	1.08253 
INFO:gp:38 	778   	0.475232	38 	0.507739	0.297057	778   	0.0399365	11.0323	38 	20 	7  	778   	1.00533 
INFO:gp:39 	775   	0.475775	39 	0.507739	0.308568	775   	0.0395832	11.0528	39 	20 	7  	775   	1.14157 
INFO:gp:40 	774   	0.475066	40 	0.511026	0.317058	774   	0.0397454	11.0538	40 	20 	7  	774   	0.936938
INFO:gp:41 	755   	0.474239	41 	0.511026	0.299124	755   	0.0417408	11.0743	41 	19 	6  	755   	1.03806 
