INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                     size                     
   	      	-------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std   
0  	1023  	0.213757	0  	0.323531	0.128279	1023  	0.0315466	4.79081	0  	7  	2  	1023  	1.4174
INFO:gp:1  	762   	0.250937	1  	0.353339	0.165293	762   	0.027478 	4.78006	1  	9  	2  	762   	1.47163
INFO:gp:2  	753   	0.275431	2  	0.371982	0.178107	753   	0.027261 	4.87977	2  	13 	3  	753   	1.61318
INFO:gp:3  	774   	0.293076	3  	0.379495	0.176585	774   	0.0312545	5.01369	3  	13 	2  	774   	1.86384
INFO:gp:4  	773   	0.310712	4  	0.403821	0.188736	773   	0.0342737	5.0694 	4  	11 	2  	773   	1.85234
INFO:gp:5  	781   	0.329148	5  	0.404301	0.18686 	781   	0.0378057	5.47605	5  	13 	3  	781   	2.00517
INFO:gp:6  	799   	0.348939	6  	0.414974	0.213923	799   	0.0373473	6.30401	6  	13 	3  	799   	1.7302 
INFO:gp:7  	770   	0.368353	7  	0.45201 	0.225723	770   	0.0367161	6.83578	7  	13 	3  	770   	1.2279 
INFO:gp:8  	775   	0.381075	8  	0.45201 	0.222221	775   	0.0377595	6.91887	8  	14 	3  	775   	1.05761
INFO:gp:9  	773   	0.391884	9  	0.45201 	0.241209	773   	0.0371505	6.95797	9  	13 	3  	773   	0.874977
INFO:gp:10 	787   	0.403887	10 	0.464901	0.252601	787   	0.0361332	7      	10 	12 	4  	787   	0.752967
INFO:gp:11 	790   	0.413189	11 	0.465457	0.241627	790   	0.0389953	7.07429	11 	14 	4  	790   	0.910648
INFO:gp:12 	774   	0.427679	12 	0.471887	0.260703	774   	0.0393262	7.0567 	12 	12 	4  	774   	0.834678
INFO:gp:13 	767   	0.438339	13 	0.478688	0.268924	767   	0.0372123	7.0176 	13 	18 	4  	767   	0.935706
INFO:gp:14 	782   	0.443038	14 	0.486875	0.268126	782   	0.0374845	7.07527	14 	13 	4  	782   	0.887187
INFO:gp:15 	773   	0.447353	15 	0.503777	0.286186	773   	0.0396133	7.24633	15 	14 	5  	773   	1.12465 
INFO:gp:16 	781   	0.450948	16 	0.505241	0.291973	781   	0.0427188	7.49462	16 	14 	4  	781   	1.30856 
