INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.21362	0  	0.348566	0.123154	1023  	0.0327415	4.74194	0  	7  	2  	1023  	1.41762
INFO:gp:1  	765   	0.254687	1  	0.368063	0.146298	765   	0.0307055	4.91202	1  	10 	2  	765   	1.46716
INFO:gp:2  	788   	0.28577 	2  	0.377216	0.176215	788   	0.0322945	5.10459	2  	11 	2  	788   	1.60273
INFO:gp:3  	762   	0.310695	3  	0.392154	0.176184	762   	0.0336258	4.74389	3  	12 	2  	762   	1.69032
INFO:gp:4  	767   	0.332519	4  	0.411757	0.201306	767   	0.0354204	4.38905	4  	12 	2  	767   	1.60496
INFO:gp:5  	784   	0.35597 	5  	0.421813	0.205052	784   	0.0325233	4.46628	5  	10 	2  	784   	1.53633
INFO:gp:6  	765   	0.373771	6  	0.436719	0.214829	765   	0.0292606	4.53275	6  	11 	2  	765   	1.51521
INFO:gp:7  	773   	0.383561	7  	0.436719	0.246587	773   	0.030005 	4.60997	7  	10 	3  	773   	1.55114
INFO:gp:8  	741   	0.393258	8  	0.455063	0.263815	741   	0.0296933	5.05963	8  	9  	3  	741   	1.35107
INFO:gp:9  	780   	0.396522	9  	0.457431	0.217812	780   	0.0353101	5.53959	9  	12 	3  	780   	1.15222
INFO:gp:10 	785   	0.406735	10 	0.465604	0.217667	785   	0.0349963	5.80059	10 	12 	3  	785   	1.04508
INFO:gp:11 	767   	0.420539	11 	0.470909	0.284076	767   	0.0304407	6.05572	11 	11 	3  	767   	0.774612
INFO:gp:12 	741   	0.431947	12 	0.484352	0.256396	741   	0.0296299	6.16129	12 	12 	3  	741   	0.730823
INFO:gp:13 	783   	0.446122	13 	0.484352	0.255765	783   	0.0294609	6.20332	13 	11 	4  	783   	0.751479
INFO:gp:14 	773   	0.45379 	14 	0.487721	0.294334	773   	0.030458 	6.43597	14 	12 	4  	773   	0.940849
INFO:gp:15 	758   	0.460518	15 	0.487721	0.31464 	758   	0.028837 	6.72239	15 	12 	3  	758   	1.0506  
INFO:gp:16 	782   	0.464267	16 	0.489624	0.297255	782   	0.0311763	6.64809	16 	11 	5  	782   	1.00988 
INFO:gp:17 	760   	0.467414	17 	0.499878	0.308185	760   	0.031088 	6.46334	17 	11 	5  	760   	0.870037
INFO:gp:18 	748   	0.47066 	18 	0.499878	0.300475	748   	0.0310733	6.78104	18 	12 	5  	748   	0.951899
INFO:gp:19 	760   	0.473459	19 	0.499879	0.292204	760   	0.0304009	7.09384	19 	13 	5  	760   	1.13031 
INFO:gp:20 	775   	0.477116	20 	0.504961	0.304121	775   	0.0294389	7.20626	20 	15 	5  	775   	1.26749 
INFO:gp:21 	774   	0.480931	21 	0.513054	0.306557	774   	0.0295637	7.6393 	21 	15 	4  	774   	1.25525 
INFO:gp:22 	765   	0.482039	22 	0.513054	0.258293	765   	0.0326998	8.02737	22 	15 	5  	765   	0.94172 
INFO:gp:23 	783   	0.482686	23 	0.513054	0.252251	783   	0.0320895	8.06549	23 	15 	5  	783   	0.814466
INFO:gp:24 	751   	0.487027	24 	0.513054	0.329505	751   	0.0304383	8.08504	24 	15 	5  	751   	0.764307
INFO:gp:25 	775   	0.489029	25 	0.514466	0.313341	775   	0.0330729	8.11828	25 	13 	5  	775   	0.756004
INFO:gp:26 	764   	0.492098	26 	0.514466	0.305492	764   	0.0342212	8.14956	26 	15 	6  	764   	0.784825
INFO:gp:27 	795   	0.49256 	27 	0.514466	0.26728 	795   	0.0363278	8.16422	27 	13 	6  	795   	0.771189
INFO:gp:28 	797   	0.493607	28 	0.514466	0.306553	797   	0.0341389	8.15738	28 	15 	6  	797   	0.799353
INFO:gp:29 	775   	0.492961	29 	0.514467	0.325549	775   	0.0329775	8.14565	29 	13 	5  	775   	0.836191
INFO:gp:30 	796   	0.491938	30 	0.514467	0.318681	796   	0.0352318	8.12023	30 	14 	5  	796   	0.943264
INFO:gp:31 	737   	0.495925	31 	0.514467	0.352395	737   	0.0310015	8.0391 	31 	13 	4  	737   	0.830995
INFO:gp:32 	761   	0.496406	32 	0.517214	0.294739	761   	0.0320232	8.06354	32 	13 	5  	761   	0.761276
INFO:gp:33 	760   	0.495528	33 	0.517214	0.316531	760   	0.0343229	8.05279	33 	14 	5  	760   	0.82906 
INFO:gp:34 	798   	0.49503 	34 	0.517214	0.321094	798   	0.0327831	8.04888	34 	14 	5  	798   	0.73693 
INFO:gp:35 	799   	0.495865	35 	0.517216	0.302392	799   	0.033845 	8.0567 	35 	14 	5  	799   	0.793862
INFO:gp:36 	784   	0.493489	36 	0.517334	0.340781	784   	0.034984 	8.04497	36 	15 	5  	784   	0.763239
INFO:gp:37 	783   	0.493912	37 	0.517334	0.309492	783   	0.0351808	8.07722	37 	14 	4  	783   	0.929004
INFO:gp:38 	794   	0.495429	38 	0.517334	0.314558	794   	0.0358096	8.16911	38 	14 	5  	794   	0.96859 
INFO:gp:39 	779   	0.497181	39 	0.517335	0.270954	779   	0.034946 	8.48387	39 	14 	5  	779   	1.14684 
INFO:gp:40 	756   	0.496934	40 	0.517335	0.343468	756   	0.0333518	8.78201	40 	15 	5  	756   	1.22789 
INFO:gp:41 	778   	0.498075	41 	0.517335	0.345565	778   	0.0318771	8.64223	41 	17 	5  	778   	1.26192 
INFO:gp:42 	769   	0.495386	42 	0.517335	0.327899	769   	0.0371269	8.66862	42 	17 	5  	769   	1.3171  
INFO:gp:43 	793   	0.496124	43 	0.517335	0.336938	793   	0.0346054	9.31378	43 	16 	5  	793   	1.4212  
INFO:gp:44 	783   	0.495663	44 	0.520306	0.313493	783   	0.0352484	9.81525	44 	16 	5  	783   	1.25454 
INFO:gp:45 	812   	0.497764	45 	0.520306	0.308492	812   	0.0338965	9.94135	45 	16 	5  	812   	1.24453 
INFO:gp:46 	776   	0.49517 	46 	0.522533	0.306367	776   	0.0356905	9.99511	46 	18 	5  	776   	1.45004 
INFO:gp:47 	786   	0.497186	47 	0.522533	0.312282	786   	0.0356298	10.0244	47 	18 	5  	786   	1.37581 
INFO:gp:48 	784   	0.497975	48 	0.530733	0.336306	784   	0.0347741	9.89345	48 	18 	5  	784   	1.57491 
INFO:gp:49 	768   	0.499984	49 	0.530733	0.225098	768   	0.0325304	9.54057	49 	18 	5  	768   	1.88788 
INFO:gp:50 	772   	0.50128 	50 	0.530733	0.342579	772   	0.0332193	9.826  	50 	18 	5  	772   	2.07885 
INFO:gp:51 	765   	0.499828	51 	0.530733	0.332051	765   	0.0375946	11.1124	51 	20 	5  	765   	2.20904 
INFO:gp:52 	768   	0.507519	52 	0.531702	0.317374	768   	0.0347375	12.2346	52 	22 	5  	768   	2.33627 
INFO:gp:53 	797   	0.506871	53 	0.531702	0.334021	797   	0.0376138	12.8348	53 	21 	5  	797   	1.72981 
INFO:gp:54 	765   	0.50587 	54 	0.531702	0.326737	765   	0.0391467	12.9687	54 	21 	5  	765   	1.43718 
INFO:gp:55 	788   	0.506534	55 	0.531702	0.312935	788   	0.038    	12.9961	55 	21 	5  	788   	1.58067 
INFO:gp:56 	786   	0.505918	56 	0.533587	0.330924	786   	0.038742 	13.001 	56 	21 	5  	786   	1.59146 
INFO:gp:57 	771   	0.509449	57 	0.533587	0.344652	771   	0.0358399	13.0557	57 	21 	5  	771   	1.35989 
INFO:gp:58 	771   	0.508699	58 	0.533587	0.33207 	771   	0.0364579	13.0362	58 	21 	5  	771   	1.4002  
