INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                     size                     
   	      	-----------------------------------------------------------------	----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std   
0  	1023  	0.21581	0  	0.355627	0.133222	1023  	0.0329521	4.87195	0  	7  	2  	1023  	1.4342
INFO:gp:1  	787   	0.254905	1  	0.355627	0.147724	787   	0.0312431	4.97067	1  	10 	3  	787   	1.4548
INFO:gp:2  	759   	0.286048	2  	0.373977	0.174669	759   	0.0306199	5.02737	2  	11 	3  	759   	1.35752
INFO:gp:3  	753   	0.313075	3  	0.387938	0.206076	753   	0.0319949	4.91789	3  	10 	3  	753   	1.32319
INFO:gp:4  	768   	0.3383  	4  	0.400326	0.212462	768   	0.0305352	4.84555	4  	10 	3  	768   	1.41407
INFO:gp:5  	792   	0.354813	5  	0.416586	0.208692	792   	0.0292014	4.86413	5  	11 	3  	792   	1.57203
INFO:gp:6  	781   	0.366718	6  	0.438282	0.241534	781   	0.027877 	4.98436	6  	13 	3  	781   	1.59108
INFO:gp:7  	795   	0.376846	7  	0.438282	0.220338	795   	0.029586 	4.95601	7  	13 	3  	795   	1.54724
INFO:gp:8  	784   	0.386764	8  	0.439287	0.27007 	784   	0.0305929	5.35093	8  	13 	3  	784   	1.76282
INFO:gp:9  	772   	0.399316	9  	0.460906	0.260679	772   	0.0298718	6.03617	9  	13 	3  	772   	2.03   
INFO:gp:10 	742   	0.410929	10 	0.463472	0.247196	742   	0.0294281	6.24536	10 	13 	3  	742   	2.01058
INFO:gp:11 	764   	0.416028	11 	0.463472	0.262349	764   	0.0320451	7.04692	11 	14 	3  	764   	1.81709
INFO:gp:12 	797   	0.42374 	12 	0.463928	0.253974	797   	0.0316973	7.12903	12 	14 	4  	797   	1.64104
INFO:gp:13 	792   	0.432676	13 	0.473971	0.270376	792   	0.031915 	6.88759	13 	12 	4  	792   	1.50726
INFO:gp:14 	802   	0.440274	14 	0.483348	0.299355	802   	0.0314825	6.95894	14 	13 	3  	802   	1.49952
INFO:gp:15 	775   	0.445241	15 	0.488665	0.274522	775   	0.032364 	6.99902	15 	13 	3  	775   	1.58777
INFO:gp:16 	778   	0.452202	16 	0.495908	0.291114	778   	0.0318579	6.93157	16 	14 	3  	778   	1.71281
INFO:gp:17 	783   	0.458629	17 	0.505222	0.277604	783   	0.0341549	6.3304 	17 	14 	4  	783   	2.05028
INFO:gp:18 	778   	0.465336	18 	0.507534	0.294423	778   	0.0320808	6.1828 	18 	16 	3  	778   	2.4155 
INFO:gp:19 	757   	0.469482	19 	0.507534	0.28368 	757   	0.0355588	6.99022	19 	16 	4  	757   	2.18139
INFO:gp:20 	784   	0.476939	20 	0.507545	0.243141	784   	0.0329015	7.3998 	20 	14 	4  	784   	1.74175
INFO:gp:21 	786   	0.479275	21 	0.513292	0.323675	786   	0.0349121	7.54448	21 	15 	4  	786   	1.61122
INFO:gp:22 	771   	0.483508	22 	0.518746	0.299338	771   	0.0354417	7.51515	22 	15 	4  	771   	1.71119
INFO:gp:23 	801   	0.484746	23 	0.518746	0.288556	801   	0.0360992	7.29619	23 	15 	4  	801   	1.7276 
INFO:gp:24 	784   	0.487388	24 	0.518746	0.292241	784   	0.036637 	7.64027	24 	16 	4  	784   	1.86484
INFO:gp:25 	768   	0.49018 	25 	0.524477	0.300531	768   	0.0354147	8.1564 	25 	18 	5  	768   	1.96275
INFO:gp:26 	793   	0.49384 	26 	0.524542	0.338072	793   	0.0339208	8.31769	26 	16 	5  	793   	2.20453
INFO:gp:27 	760   	0.496073	27 	0.527192	0.305941	760   	0.0380798	7.64418	27 	17 	5  	760   	2.11786
INFO:gp:28 	774   	0.499653	28 	0.530243	0.299655	774   	0.0343152	7.67351	28 	17 	5  	774   	2.08681
INFO:gp:29 	762   	0.500427	29 	0.530245	0.29955 	762   	0.0387945	8.33724	29 	17 	5  	762   	2.39392
INFO:gp:30 	776   	0.500935	30 	0.535434	0.299788	776   	0.0366885	8.46432	30 	21 	5  	776   	2.70412
INFO:gp:31 	778   	0.501717	31 	0.535464	0.297276	778   	0.0389059	9.45064	31 	21 	5  	778   	2.96167
INFO:gp:32 	770   	0.50516 	32 	0.538378	0.319905	770   	0.0379711	10.8827	32 	22 	6  	770   	2.65293
INFO:gp:33 	756   	0.504803	33 	0.538378	0.292173	756   	0.0427734	11.2815	33 	21 	6  	756   	2.37306
INFO:gp:34 	755   	0.509914	34 	0.538379	0.290315	755   	0.038476 	11.6178	34 	21 	6  	755   	2.59362
INFO:gp:35 	785   	0.508882	35 	0.538561	0.312308	785   	0.0391417	11.306 	35 	21 	6  	785   	3.22309
