INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.214415	0  	0.344492	0.125982	1023  	0.0313719	4.87097	0  	7  	2  	1023  	1.46279
INFO:gp:1  	774   	0.252875	1  	0.36219 	0.142296	774   	0.0296992	4.89541	1  	10 	2  	774   	1.50197
INFO:gp:2  	809   	0.279507	2  	0.364478	0.161039	809   	0.0318024	5.02151	2  	12 	2  	809   	1.53917
INFO:gp:3  	780   	0.303297	3  	0.383288	0.179761	780   	0.0337848	4.9521 	3  	10 	2  	780   	1.4425 
INFO:gp:4  	808   	0.322019	4  	0.402551	0.175658	808   	0.0344154	4.73118	4  	10 	3  	808   	1.32834
INFO:gp:5  	760   	0.33913 	5  	0.402551	0.144918	760   	0.0365106	4.60802	5  	10 	2  	760   	1.30186
INFO:gp:6  	785   	0.351987	6  	0.430994	0.213432	785   	0.0373792	4.72434	6  	11 	2  	785   	1.35212
INFO:gp:7  	768   	0.368244	7  	0.442192	0.201757	768   	0.0359722	4.86119	7  	12 	3  	768   	1.43898
INFO:gp:8  	755   	0.382811	8  	0.444392	0.224071	755   	0.0362025	5.37439	8  	12 	3  	755   	1.57932
INFO:gp:9  	755   	0.400651	9  	0.455858	0.259932	755   	0.031786 	6.18475	9  	13 	3  	755   	1.48241
INFO:gp:10 	777   	0.410579	10 	0.461096	0.22764 	777   	0.0330262	6.72923	10 	12 	3  	777   	1.11508
INFO:gp:11 	748   	0.423694	11 	0.464234	0.282028	748   	0.029214 	6.74682	11 	13 	3  	748   	1.16205
INFO:gp:12 	786   	0.430553	12 	0.476523	0.289   	786   	0.0319727	6.74291	12 	11 	3  	786   	1.19357
INFO:gp:13 	802   	0.439155	13 	0.477741	0.275718	802   	0.0312102	6.97458	13 	13 	3  	802   	1.09265
INFO:gp:14 	773   	0.444463	14 	0.48789 	0.257737	773   	0.0326031	6.95992	14 	13 	3  	773   	0.997238
INFO:gp:15 	784   	0.446276	15 	0.497072	0.288704	784   	0.0359833	7.01466	15 	12 	3  	784   	0.820545
INFO:gp:16 	765   	0.456258	16 	0.498636	0.241325	765   	0.0328725	7.04301	16 	12 	4  	765   	0.704758
INFO:gp:17 	767   	0.461968	17 	0.512118	0.284756	767   	0.0330856	7.06452	17 	13 	4  	767   	0.778337
INFO:gp:18 	762   	0.464002	18 	0.527006	0.296691	762   	0.0381576	7.06452	18 	13 	4  	762   	0.764397
INFO:gp:19 	772   	0.472952	19 	0.527007	0.308258	772   	0.0341504	7.07234	19 	11 	5  	772   	0.699565
INFO:gp:20 	765   	0.478959	20 	0.527007	0.295962	765   	0.0337348	7.09971	20 	13 	4  	765   	0.86748 
INFO:gp:21 	781   	0.484128	21 	0.527035	0.311862	781   	0.0375191	7.1828 	21 	12 	4  	781   	0.96306 
INFO:gp:22 	779   	0.494411	22 	0.532759	0.292528	779   	0.0380248	7.21408	22 	14 	4  	779   	1.12734 
INFO:gp:23 	753   	0.502057	23 	0.532759	0.321547	753   	0.0406954	7.22483	23 	13 	4  	753   	1.1412  
INFO:gp:24 	784   	0.504445	24 	0.537753	0.257864	784   	0.0416227	7.04985	24 	12 	4  	784   	1.12488 
INFO:gp:25 	782   	0.503407	25 	0.538181	0.250372	782   	0.0447175	6.913  	25 	13 	4  	782   	1.47553 
INFO:gp:26 	778   	0.506841	26 	0.538614	0.274608	778   	0.0443369	6.23265	26 	13 	4  	778   	1.45329 
INFO:gp:27 	772   	0.507296	27 	0.538614	0.321385	772   	0.0445143	6.09189	27 	12 	4  	772   	1.3797  
INFO:gp:28 	757   	0.50982 	28 	0.538616	0.304121	757   	0.0438084	6.62854	28 	12 	4  	757   	1.24467 
INFO:gp:29 	751   	0.512023	29 	0.543881	0.328831	751   	0.0416964	6.83871	29 	12 	4  	751   	1.02767 
INFO:gp:30 	762   	0.512018	30 	0.543881	0.322764	762   	0.04324  	6.8915 	30 	12 	4  	762   	1.13289 
INFO:gp:31 	796   	0.51048 	31 	0.543881	0.303585	796   	0.0464539	7.14858	31 	14 	5  	796   	1.4346  
INFO:gp:32 	758   	0.512595	32 	0.543881	0.311456	758   	0.0457914	7.78983	32 	15 	5  	758   	1.62754 
INFO:gp:33 	777   	0.512856	33 	0.543881	0.262959	777   	0.0464397	7.47898	33 	14 	5  	777   	1.77065 
INFO:gp:34 	763   	0.510877	34 	0.543881	0.273975	763   	0.0503863	6.68328	34 	16 	5  	763   	1.57056 
INFO:gp:35 	803   	0.51282 	35 	0.546265	0.299814	803   	0.0480317	6.42033	35 	14 	5  	803   	1.25734 
INFO:gp:36 	776   	0.514832	36 	0.546265	0.288175	776   	0.0466543	6.34213	36 	14 	4  	776   	1.1666  
INFO:gp:37 	769   	0.513586	37 	0.551651	0.289983	769   	0.0463519	6.38807	37 	14 	4  	769   	1.20399 
INFO:gp:38 	762   	0.515201	38 	0.554444	0.27708 	762   	0.0478891	6.37048	38 	14 	5  	762   	1.18338 
INFO:gp:39 	780   	0.514794	39 	0.554463	0.284477	780   	0.0478169	6.3783 	39 	14 	5  	780   	1.17176 
INFO:gp:40 	775   	0.518465	40 	0.554491	0.280192	775   	0.0480899	6.40274	40 	14 	5  	775   	1.10543 
INFO:gp:41 	757   	0.519969	41 	0.556947	0.301877	757   	0.0472387	6.54839	41 	14 	5  	757   	1.1679  
