INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                     size                     
   	      	-----------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std   
0  	1023  	0.213724	0  	0.32885	0.124926	1023  	0.0320375	4.89736	0  	7  	2  	1023  	1.3955
INFO:gp:1  	789   	0.252693	1  	0.363904	0.170273	789   	0.0294383	4.91691	1  	9  	2  	789   	1.43886
INFO:gp:2  	776   	0.278159	2  	0.363904	0.156444	776   	0.0302867	5.03421	2  	12 	2  	776   	1.64308
INFO:gp:3  	781   	0.300326	3  	0.395629	0.129945	781   	0.0319502	5.04594	3  	11 	2  	781   	1.74438
INFO:gp:4  	773   	0.32301 	4  	0.435632	0.189432	773   	0.0334863	5.2219 	4  	13 	2  	773   	1.7875 
INFO:gp:5  	767   	0.346172	5  	0.435632	0.172979	767   	0.0341421	5.85142	5  	13 	2  	767   	1.69739
INFO:gp:6  	767   	0.369564	6  	0.441062	0.247524	767   	0.0341718	6.61975	6  	12 	2  	767   	1.29707
INFO:gp:7  	789   	0.393172	7  	0.441062	0.245656	789   	0.028765 	6.99218	7  	13 	3  	789   	1.26226
INFO:gp:8  	781   	0.412918	8  	0.446111	0.260984	781   	0.025144 	7.19159	8  	13 	3  	781   	1.1498 
INFO:gp:9  	794   	0.423109	9  	0.461705	0.304065	794   	0.0241421	7.21994	9  	12 	4  	794   	1.14514
INFO:gp:10 	758   	0.428371	10 	0.461705	0.293973	758   	0.0240445	7.39296	10 	13 	4  	758   	1.1368 
INFO:gp:11 	773   	0.431344	11 	0.478017	0.278627	773   	0.0257086	7.39394	11 	14 	4  	773   	1.14289
INFO:gp:12 	769   	0.434815	12 	0.478017	0.272147	769   	0.0277824	7.44282	12 	13 	4  	769   	1.14638
INFO:gp:13 	782   	0.443976	13 	0.486937	0.274982	782   	0.0272237	7.46139	13 	12 	5  	782   	1.24286
INFO:gp:14 	763   	0.451647	14 	0.499545	0.270753	763   	0.0294855	7.82502	14 	16 	4  	763   	1.60147
INFO:gp:15 	786   	0.459986	15 	0.499545	0.280798	786   	0.0293815	8.80547	15 	15 	4  	786   	2.02774
INFO:gp:16 	751   	0.467961	16 	0.513346	0.286776	751   	0.0298367	9.62268	16 	17 	4  	751   	2.30269
