INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                         fitness                         	                      size                     
   	      	---------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.214378	0  	0.33953	0.12915	1023  	0.0328603	4.82014	0  	7  	2  	1023  	1.45204
INFO:gp:1  	774   	0.253842	1  	0.391655	0.16436	774   	0.0313972	4.85728	1  	9  	2  	774   	1.47881
INFO:gp:2  	775   	0.281261	2  	0.391655	0.164874	775   	0.0328414	4.69306	2  	8  	2  	775   	1.46368
INFO:gp:3  	780   	0.306715	3  	0.39333 	0.192416	780   	0.0341005	4.5347 	3  	9  	2  	780   	1.43225
INFO:gp:4  	810   	0.331953	4  	0.405988	0.184209	810   	0.0355259	4.07918	4  	11 	2  	810   	1.32743
INFO:gp:5  	758   	0.356518	5  	0.433158	0.171298	758   	0.0311021	3.73705	5  	10 	3  	758   	1.09306
INFO:gp:6  	788   	0.366793	6  	0.433158	0.192576	788   	0.0334824	3.68524	6  	9  	3  	788   	1.0513 
INFO:gp:7  	777   	0.373931	7  	0.445917	0.205458	777   	0.0333146	3.87097	7  	9  	3  	777   	1.20075
INFO:gp:8  	774   	0.380742	8  	0.445917	0.195713	774   	0.0369727	4.2219 	8  	10 	3  	774   	1.2863 
INFO:gp:9  	778   	0.393527	9  	0.447916	0.221817	778   	0.0352262	4.41251	9  	10 	3  	778   	1.15636
INFO:gp:10 	754   	0.405918	10 	0.452801	0.242934	754   	0.0350852	4.44086	10 	10 	3  	754   	1.04455
INFO:gp:11 	761   	0.416306	11 	0.452801	0.242584	761   	0.036489 	4.39883	11 	12 	3  	761   	0.980394
INFO:gp:12 	788   	0.424412	12 	0.454522	0.239329	788   	0.0357168	4.38905	12 	9  	3  	788   	0.971318
INFO:gp:13 	774   	0.42675 	13 	0.454522	0.264233	774   	0.0366168	4.45357	13 	11 	4  	774   	1.07288 
