INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.500195	0  	0.642887	0.360601	1023  	0.0358648	3.53275	0  	7  	2  	1023  	1.34355
INFO:gp:1  	781   	0.530469	1  	0.676742	0.415053	781   	0.0364022	3.87488	1  	11 	2  	781   	1.49942
INFO:gp:2  	772   	0.54995 	2  	0.676742	0.399088	772   	0.043088 	4.16129	2  	12 	2  	772   	1.55083
INFO:gp:3  	789   	0.565822	3  	0.687361	0.305543	789   	0.0526188	4.30499	3  	12 	2  	789   	1.69435
INFO:gp:4  	798   	0.591364	4  	0.695855	0.409126	798   	0.0522955	4.13783	4  	11 	2  	798   	1.58548
INFO:gp:5  	765   	0.611336	5  	0.728921	0.403435	765   	0.0570546	4.38416	5  	13 	2  	765   	1.72782
INFO:gp:6  	788   	0.620275	6  	0.728921	0.435777	788   	0.0662071	4.8915 	6  	15 	1  	788   	1.93818
INFO:gp:7  	781   	0.630267	7  	0.728921	0.381587	781   	0.0694346	5.3304 	7  	15 	1  	781   	2.12151
INFO:gp:8  	743   	0.634134	8  	0.728921	0.439532	743   	0.0709752	4.99902	8  	15 	2  	743   	2.04088
INFO:gp:9  	779   	0.644492	9  	0.728921	0.358169	779   	0.0661709	4.45552	9  	13 	1  	779   	1.75022
INFO:gp:10 	773   	0.652595	10 	0.731179	0.451601	773   	0.062283 	4.08895	10 	10 	1  	773   	1.45002
INFO:gp:11 	784   	0.663783	11 	0.731179	0.469595	784   	0.0575994	4.07331	11 	11 	3  	784   	1.36121
INFO:gp:12 	766   	0.673445	12 	0.735477	0.474937	766   	0.0559223	4.33236	12 	10 	3  	766   	1.35383
INFO:gp:13 	756   	0.675124	13 	0.735477	0.492637	756   	0.0566839	4.826  	13 	12 	3  	756   	1.48338
INFO:gp:14 	766   	0.678511	14 	0.736864	0.48353 	766   	0.0579248	5.38612	14 	13 	3  	766   	1.6815 
INFO:gp:15 	770   	0.678155	15 	0.748115	0.458175	770   	0.0612069	5.83871	15 	14 	3  	770   	1.83439
INFO:gp:16 	759   	0.683987	16 	0.748115	0.433907	759   	0.0590797	6.56891	16 	14 	3  	759   	2.11055
INFO:gp:17 	805   	0.682371	17 	0.748115	0.475635	805   	0.0596867	7.1349 	17 	15 	3  	805   	2.223  
INFO:gp:18 	764   	0.689487	18 	0.748115	0.482923	764   	0.0570152	7.65885	18 	17 	3  	764   	2.38149
INFO:gp:19 	758   	0.689121	19 	0.748115	0.471712	758   	0.0616783	8.07918	19 	20 	3  	758   	2.53125
INFO:gp:20 	765   	0.689127	20 	0.748115	0.481894	765   	0.0620735	8.36852	20 	21 	3  	765   	2.64743
INFO:gp:21 	776   	0.69105 	21 	0.748115	0.479914	776   	0.0622653	8.435  	21 	21 	3  	776   	2.77424
INFO:gp:22 	785   	0.689187	22 	0.748116	0.447606	785   	0.0655739	8.1173 	22 	21 	3  	785   	2.51096
INFO:gp:23 	782   	0.693329	23 	0.754989	0.467061	782   	0.0628871	7.79179	23 	19 	3  	782   	2.44483
INFO:gp:24 	766   	0.692091	24 	0.754989	0.468977	766   	0.0673534	7.7957 	24 	23 	3  	766   	2.41175
INFO:gp:25 	775   	0.693307	25 	0.754989	0.468989	775   	0.0665476	7.89247	25 	23 	3  	775   	2.45829
INFO:gp:26 	766   	0.693107	26 	0.754989	0.46169 	766   	0.0632803	8.33822	26 	20 	3  	766   	2.69915
INFO:gp:27 	808   	0.693253	27 	0.754989	0.474269	808   	0.063533 	9.15347	27 	19 	3  	808   	2.87146
INFO:gp:28 	786   	0.693148	28 	0.756848	0.466147	786   	0.0681235	9.80547	28 	21 	3  	786   	3.23928
INFO:gp:29 	770   	0.695796	29 	0.756851	0.451638	770   	0.0670146	10.0694	29 	24 	3  	770   	3.44175
INFO:gp:30 	760   	0.695996	30 	0.756851	0.445418	760   	0.0677941	9.9218 	30 	30 	3  	760   	3.78397
INFO:gp:31 	754   	0.697098	31 	0.756851	0.485796	754   	0.0691451	9.44673	31 	26 	3  	754   	3.625  
INFO:gp:32 	765   	0.696009	32 	0.760126	0.47533 	765   	0.071243 	9.71261	32 	25 	3  	765   	3.81763
INFO:gp:33 	778   	0.696302	33 	0.760126	0.430286	778   	0.0703588	10.737 	33 	28 	3  	778   	3.87894
INFO:gp:34 	760   	0.699376	34 	0.760126	0.392064	760   	0.0710465	12.1329	34 	25 	3  	760   	3.72541
INFO:gp:35 	746   	0.700402	35 	0.760126	0.496013	746   	0.0719625	13.1984	35 	25 	3  	746   	3.64032
INFO:gp:36 	777   	0.699083	36 	0.760134	0.489362	777   	0.0721234	13.8299	36 	28 	3  	777   	3.82491
INFO:gp:37 	778   	0.69896 	37 	0.760134	0.502973	778   	0.0725695	14.1662	37 	29 	3  	778   	3.99214
INFO:gp:38 	766   	0.704699	38 	0.760134	0.450352	766   	0.0710032	14.3636	38 	28 	3  	766   	3.9343 
INFO:gp:39 	765   	0.701638	39 	0.760134	0.459041	765   	0.0732687	14.3099	39 	27 	3  	765   	3.8247 
INFO:gp:40 	783   	0.700063	40 	0.760134	0.445572	783   	0.0747319	14.6618	40 	31 	3  	783   	4.32964
INFO:gp:41 	784   	0.702811	41 	0.760138	0.471571	784   	0.0728622	16.306 	41 	33 	3  	784   	4.85521
INFO:gp:42 	774   	0.704644	42 	0.76014 	0.480057	774   	0.074776 	18.5415	42 	41 	3  	774   	5.13741
INFO:gp:43 	787   	0.699959	43 	0.76014 	0.485705	787   	0.0760981	20.3539	43 	37 	3  	787   	4.21929
INFO:gp:44 	797   	0.701304	44 	0.76014 	0.485138	797   	0.0762417	20.9853	44 	43 	3  	797   	4.18053
INFO:gp:45 	773   	0.702705	45 	0.760145	0.4739  	773   	0.0770837	21.1799	45 	41 	3  	773   	4.60767
INFO:gp:46 	757   	0.704198	46 	0.760145	0.483432	757   	0.0749456	21.4848	46 	39 	3  	757   	4.04659
INFO:gp:47 	738   	0.705582	47 	0.760156	0.4925  	738   	0.0769674	21.826 	47 	39 	3  	738   	4.12145
INFO:gp:48 	772   	0.711469	48 	0.760156	0.478766	772   	0.070882 	21.914 	48 	40 	3  	772   	4.22376
INFO:gp:49 	765   	0.702641	49 	0.760161	0.397347	765   	0.0764134	21.8622	49 	39 	3  	765   	4.54408
INFO:gp:50 	780   	0.702572	50 	0.760162	0.478695	780   	0.0742022	22.172 	50 	45 	3  	780   	4.56127
INFO:gp:51 	774   	0.705461	51 	0.760203	0.48751 	774   	0.0747386	22.7801	51 	47 	3  	774   	4.93174
INFO:gp:52 	797   	0.702595	52 	0.760203	0.48833 	797   	0.0770983	23.5347	52 	44 	3  	797   	4.58679
INFO:gp:53 	779   	0.699149	53 	0.760203	0.479384	779   	0.0776948	23.4624	53 	50 	3  	779   	4.77656
INFO:gp:54 	772   	0.703273	54 	0.766283	0.482496	772   	0.0748079	23.5396	54 	40 	3  	772   	4.17999
INFO:gp:55 	783   	0.704323	55 	0.766283	0.486568	783   	0.0742626	22.8944	55 	42 	3  	783   	4.67106
INFO:gp:56 	783   	0.704859	56 	0.766283	0.479784	783   	0.0743627	22.0381	56 	42 	3  	783   	4.75721
INFO:gp:57 	768   	0.700409	57 	0.766283	0.472635	768   	0.0781761	21.5445	57 	43 	3  	768   	4.40072
INFO:gp:58 	759   	0.704482	58 	0.766785	0.480652	759   	0.0771274	22.0459	58 	38 	3  	759   	4.96506
INFO:gp:59 	789   	0.702502	59 	0.766785	0.473616	789   	0.0781829	22.8768	59 	41 	3  	789   	5.41499
INFO:gp:60 	779   	0.705758	60 	0.766785	0.475674	779   	0.0766756	22.6061	60 	44 	3  	779   	4.82137
INFO:gp:61 	769   	0.706555	61 	0.766853	0.457639	769   	0.0784952	22.0684	61 	42 	3  	769   	5.20764
INFO:gp:62 	789   	0.706118	62 	0.769586	0.457623	789   	0.0798151	23.4653	62 	42 	3  	789   	5.32213
INFO:gp:63 	774   	0.705334	63 	0.769589	0.465838	774   	0.0808066	25.0362	63 	44 	3  	774   	5.47273
INFO:gp:64 	776   	0.706224	64 	0.769589	0.446072	776   	0.0825433	26.4242	64 	49 	3  	776   	5.27891
INFO:gp:65 	787   	0.703139	65 	0.769589	0.454712	787   	0.0837175	26.8886	65 	47 	3  	787   	5.05641
INFO:gp:66 	775   	0.706819	66 	0.76959 	0.46491 	775   	0.0814178	26.9453	66 	49 	3  	775   	5.35147
INFO:gp:67 	764   	0.705219	67 	0.76959 	0.458635	764   	0.0857444	27.0332	67 	42 	3  	764   	4.70923
INFO:gp:68 	774   	0.707381	68 	0.76959 	0.468881	774   	0.0812007	26.6813	68 	42 	3  	774   	5.03187
INFO:gp:69 	749   	0.706379	69 	0.76959 	0.480173	749   	0.0831568	26.5367	69 	51 	3  	749   	4.871  
INFO:gp:70 	766   	0.707375	70 	0.769594	0.446924	766   	0.0832467	26.3314	70 	46 	3  	766   	4.54785
INFO:gp:71 	786   	0.712285	71 	0.769594	0.466806	786   	0.0781753	25.9384	71 	57 	3  	786   	4.87047
INFO:gp:72 	809   	0.702172	72 	0.769594	0.480189	809   	0.0822206	25.781 	72 	44 	3  	809   	4.47202
INFO:gp:73 	747   	0.706173	73 	0.769594	0.437366	747   	0.0842087	25.6491	73 	49 	3  	747   	5.11825
INFO:gp:74 	811   	0.701634	74 	0.769594	0.474211	811   	0.0835461	26.2366	74 	49 	3  	811   	4.85778
INFO:gp:75 	785   	0.70192 	75 	0.769595	0.440894	785   	0.0853486	26.827 	75 	49 	3  	785   	5.4445 
INFO:gp:76 	766   	0.708791	76 	0.772866	0.427397	766   	0.0804632	27.5533	76 	52 	3  	766   	5.37825
INFO:gp:77 	766   	0.709927	77 	0.772866	0.42705 	766   	0.0800939	28.781 	77 	46 	3  	766   	4.36942
INFO:gp:78 	770   	0.706666	78 	0.772866	0.48018 	770   	0.0843908	28.7273	78 	48 	3  	770   	4.97294
INFO:gp:79 	762   	0.708398	79 	0.772866	0.454697	762   	0.0827856	28.6755	79 	59 	3  	762   	4.6618 
INFO:gp:80 	777   	0.707475	80 	0.772867	0.459967	777   	0.0811822	28.1271	80 	48 	3  	777   	5.24786
INFO:gp:81 	770   	0.711494	81 	0.772867	0.456521	770   	0.0822179	28.6041	81 	56 	3  	770   	4.35168
INFO:gp:82 	758   	0.712744	82 	0.772868	0.451718	758   	0.0811824	28.7322	82 	48 	3  	758   	4.74703
INFO:gp:83 	770   	0.710487	83 	0.772868	0.454441	770   	0.0838954	28.8876	83 	55 	3  	770   	5.15641
INFO:gp:84 	762   	0.713186	84 	0.772868	0.48018 	762   	0.0814853	29.3157	84 	61 	3  	762   	5.02496
INFO:gp:85 	756   	0.712897	85 	0.772868	0.453404	756   	0.0815957	29.3079	85 	62 	3  	756   	5.70606
INFO:gp:86 	768   	0.711278	86 	0.772874	0.477413	768   	0.0829512	29.7507	86 	52 	3  	768   	5.11103
INFO:gp:87 	740   	0.715719	87 	0.772874	0.479313	740   	0.0811653	30.0811	87 	43 	3  	740   	5.34593
INFO:gp:88 	773   	0.707713	88 	0.772874	0.444932	773   	0.0848335	30.7087	88 	39 	3  	773   	4.97749
INFO:gp:89 	775   	0.705839	89 	0.772874	0.479306	775   	0.0843669	30.8104	89 	62 	3  	775   	5.21101
INFO:gp:90 	762   	0.708425	90 	0.772874	0.438327	762   	0.0827289	31.0567	90 	63 	3  	762   	5.53993
INFO:gp:91 	813   	0.709824	91 	0.772874	0.479306	813   	0.084092 	31.349 	91 	57 	3  	813   	5.47334
INFO:gp:92 	789   	0.709191	92 	0.772874	0.465484	789   	0.0828269	31.912 	92 	63 	3  	789   	5.08194
INFO:gp:93 	803   	0.707305	93 	0.772874	0.441644	803   	0.0828843	32.3754	93 	57 	3  	803   	5.13682
INFO:gp:94 	816   	0.706234	94 	0.772874	0.473354	816   	0.0840681	32.3021	94 	52 	3  	816   	5.40479
INFO:gp:95 	767   	0.705206	95 	0.772874	0.45542 	767   	0.0858698	31.783 	95 	56 	3  	767   	6.27255
INFO:gp:96 	771   	0.71159 	96 	0.772874	0.457564	771   	0.0816073	32.1417	96 	64 	3  	771   	5.72286
INFO:gp:97 	749   	0.713157	97 	0.772874	0.430644	749   	0.0810564	31.9433	97 	55 	3  	749   	5.07102
INFO:gp:98 	769   	0.704641	98 	0.772875	0.439931	769   	0.0858356	31.6149	98 	54 	3  	769   	5.36491
INFO:gp:99 	778   	0.706987	99 	0.772875	0.479306	778   	0.0828255	31.4673	99 	63 	3  	778   	5.64653
INFO:gp:100	790   	0.704074	100	0.772875	0.469143	790   	0.086896 	31.3822	100	63 	3  	790   	5.63118
INFO:gp:101	774   	0.709252	101	0.772875	0.462671	774   	0.0850567	31.3441	101	52 	3  	774   	5.73297
INFO:gp:102	802   	0.708758	102	0.772875	0.48018 	802   	0.0833179	31.2366	102	63 	3  	802   	6.1239 
INFO:gp:103	785   	0.705146	103	0.772875	0.470289	785   	0.0857583	31.6022	103	52 	3  	785   	5.31207
INFO:gp:104	773   	0.705944	104	0.772875	0.441669	773   	0.0846179	31.565 	104	58 	3  	773   	5.23406
INFO:gp:105	778   	0.705077	105	0.772875	0.47019 	778   	0.0860951	31.3011	105	61 	3  	778   	6.11884
INFO:gp:106	787   	0.708437	106	0.772879	0.454032	787   	0.0834692	31.5503	106	63 	3  	787   	6.05233
INFO:gp:107	789   	0.710533	107	0.772879	0.45182 	789   	0.0830292	31.5239	107	54 	3  	789   	5.68677
INFO:gp:108	797   	0.705877	108	0.772952	0.480172	797   	0.0842857	31.8807	108	52 	3  	797   	5.01274
INFO:gp:109	789   	0.709144	109	0.772952	0.430723	789   	0.0838286	31.5181	109	55 	3  	789   	5.62248
INFO:gp:110	769   	0.713273	110	0.772952	0.445446	769   	0.0817423	31.957 	110	59 	3  	769   	5.08098
INFO:gp:111	758   	0.706625	111	0.772952	0.463452	758   	0.0836116	31.9853	111	60 	3  	758   	5.32784
INFO:gp:112	779   	0.708992	112	0.772952	0.485292	779   	0.0829771	31.7576	112	57 	3  	779   	5.64006
INFO:gp:113	799   	0.705339	113	0.772952	0.462703	799   	0.0845112	30.7009	113	48 	3  	799   	6.08063
INFO:gp:114	766   	0.712309	114	0.772952	0.474784	766   	0.082301 	30.1994	114	57 	3  	766   	5.76836
INFO:gp:115	790   	0.706909	115	0.772952	0.462735	790   	0.0825269	29.1105	115	55 	3  	790   	5.48138
INFO:gp:116	775   	0.710753	116	0.772952	0.45931 	775   	0.0825575	28.2512	116	55 	3  	775   	5.94471
INFO:gp:117	774   	0.707559	117	0.772952	0.430657	774   	0.0824203	28.4526	117	55 	3  	774   	4.89773
INFO:gp:118	765   	0.703354	118	0.772952	0.452262	765   	0.0858838	28.1114	118	50 	3  	765   	5.34017
INFO:gp:119	782   	0.705709	119	0.772952	0.456336	782   	0.0837989	28.4018	119	44 	3  	782   	4.76566
INFO:gp:120	797   	0.706288	120	0.772952	0.444508	797   	0.0876054	28.2434	120	44 	3  	797   	4.81124
INFO:gp:121	791   	0.712886	121	0.772952	0.462473	791   	0.0819638	28.0371	121	46 	3  	791   	5.50718
INFO:gp:122	754   	0.707259	122	0.772952	0.469436	754   	0.0845879	28.2561	122	55 	3  	754   	5.16766
INFO:gp:123	777   	0.704696	123	0.772952	0.435992	777   	0.0856849	28.2151	123	50 	3  	777   	4.88766
INFO:gp:124	769   	0.706777	124	0.772952	0.475019	769   	0.0849397	28.2854	124	50 	3  	769   	4.69465
INFO:gp:125	761   	0.711863	125	0.772952	0.480178	761   	0.0816288	28.2229	125	50 	3  	761   	4.98161
INFO:gp:126	777   	0.704335	126	0.772952	0.394586	777   	0.0873425	28.3803	126	55 	3  	777   	4.68761
INFO:gp:127	777   	0.705213	127	0.772952	0.440478	777   	0.0843039	28.088 	127	55 	3  	777   	5.32796
INFO:gp:128	759   	0.708404	128	0.772952	0.38951 	759   	0.0836803	28.3627	128	44 	3  	759   	4.51937
INFO:gp:129	769   	0.708591	129	0.772952	0.451924	769   	0.0844079	28.2991	129	50 	3  	769   	4.87462
INFO:gp:130	781   	0.706288	130	0.772952	0.446449	781   	0.0854268	27.9599	130	50 	3  	781   	5.40024
INFO:gp:131	781   	0.709146	131	0.772952	0.468557	781   	0.0834199	28.3548	131	50 	3  	781   	4.5521 
INFO:gp:132	749   	0.719727	132	0.772952	0.41971 	749   	0.0792088	28.1535	132	51 	3  	749   	4.91143
INFO:gp:133	754   	0.704477	133	0.772952	0.434501	754   	0.0840015	28.3069	133	43 	3  	754   	4.42485
INFO:gp:134	775   	0.703123	134	0.772952	0.459116	775   	0.0852697	28.131 	134	44 	3  	775   	4.95635
INFO:gp:135	791   	0.714919	135	0.772952	0.453275	791   	0.0801535	28.3138	135	50 	3  	791   	4.8035 
INFO:gp:136	753   	0.708583	136	0.772952	0.464954	753   	0.0839532	28.5963	136	38 	3  	753   	3.6843 
INFO:gp:137	797   	0.708017	137	0.772952	0.453156	797   	0.0832066	27.998 	137	50 	3  	797   	5.34462
INFO:gp:138	795   	0.712865	138	0.772952	0.467866	795   	0.0806417	28.1017	138	55 	3  	795   	5.07957
INFO:gp:139	790   	0.708564	139	0.772952	0.477682	790   	0.0838129	27.8113	139	50 	3  	790   	5.37768
INFO:gp:140	757   	0.707889	140	0.772952	0.441269	757   	0.0852514	28.0274	140	55 	3  	757   	5.38137
INFO:gp:141	767   	0.707069	141	0.772952	0.454578	767   	0.0844374	28.0665	141	38 	3  	767   	5.17187
INFO:gp:142	779   	0.707005	142	0.772952	0.474994	779   	0.082412 	28.2102	142	52 	3  	779   	4.85869
INFO:gp:143	780   	0.709702	143	0.772952	0.461078	780   	0.0825864	28.0381	143	47 	3  	780   	5.20541
INFO:gp:144	773   	0.70681 	144	0.772953	0.451285	773   	0.083189 	28.2698	144	46 	3  	773   	4.75618
INFO:gp:145	786   	0.711106	145	0.772953	0.459469	786   	0.0828553	28.1505	145	44 	3  	786   	5.10829
INFO:gp:146	775   	0.705792	146	0.772953	0.48017 	775   	0.0842132	28.2561	146	44 	3  	775   	4.76453
INFO:gp:147	757   	0.705057	147	0.772953	0.460002	757   	0.086748 	28.3138	147	50 	3  	757   	4.81914
INFO:gp:148	780   	0.708101	148	0.772953	0.443521	780   	0.0830578	28.2346	148	47 	3  	780   	5.05645
INFO:gp:149	770   	0.710567	149	0.772953	0.441729	770   	0.085288 	28.2102	149	56 	3  	770   	5.51066
INFO:gp:150	791   	0.714589	150	0.772953	0.447645	791   	0.0802194	28.9159	150	57 	3  	791   	4.92433
INFO:gp:151	795   	0.708202	151	0.772953	0.479304	795   	0.0827271	28.8309	151	49 	3  	795   	5.14993
INFO:gp:152	769   	0.710647	152	0.772953	0.471459	769   	0.0819491	29.002 	152	46 	3  	769   	5.14824
INFO:gp:153	775   	0.707071	153	0.772953	0.420425	775   	0.0843532	29.0762	153	57 	3  	775   	4.95493
INFO:gp:154	775   	0.703023	154	0.772953	0.480188	775   	0.0835905	28.8074	154	38 	3  	775   	5.00333
