INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min      	nevals	std      	avg   	gen	max	min	nevals	std    
0  	1023  	0.237081	0  	0.524723	0.0984325	1023  	0.0761106	4.7087	0  	7  	2  	1023  	1.43043
INFO:gp:1  	789   	0.331418	1  	0.553683	0.103569 	789   	0.0698252	4.7869	1  	13 	2  	789   	1.48684
INFO:gp:2  	748   	0.395267	2  	0.607875	0.157454 	748   	0.0674393	4.94135	2  	12 	2  	748   	1.53375
INFO:gp:3  	764   	0.43707 	3  	0.667508	0.155878 	764   	0.0729039	4.86804	3  	10 	2  	764   	1.64824
INFO:gp:4  	775   	0.481754	4  	0.678846	0.253296 	775   	0.0711593	5.00196	4  	12 	3  	775   	1.76143
INFO:gp:5  	795   	0.51406 	5  	0.679619	0.223328 	795   	0.0769747	5.32258	5  	13 	3  	795   	1.91091
INFO:gp:6  	788   	0.548911	6  	0.701111	0.239644 	788   	0.0766527	5.47801	6  	12 	3  	788   	1.76455
INFO:gp:7  	767   	0.57561 	7  	0.701711	0.254919 	767   	0.0773974	5.8172 	7  	13 	3  	767   	1.62243
INFO:gp:8  	805   	0.603582	8  	0.713394	0.234701 	805   	0.0763401	5.98534	8  	13 	3  	805   	1.33117
INFO:gp:9  	761   	0.624267	9  	0.713394	0.295458 	761   	0.0753274	5.88368	9  	11 	3  	761   	1.20246
INFO:gp:10 	754   	0.633669	10 	0.713394	0.312552 	754   	0.0759873	5.65982	10 	11 	3  	754   	1.25903
INFO:gp:11 	778   	0.641002	11 	0.732171	0.306408 	778   	0.0751323	5.73412	11 	12 	3  	778   	1.56066
