INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min      	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.23496	0  	0.542601	0.0992333	1023  	0.0757534	4.66373	0  	7  	2  	1023  	1.46591
INFO:gp:1  	758   	0.32769	1  	0.555793	0.133748 	758   	0.0697001	4.65885	1  	12 	2  	758   	1.48697
INFO:gp:2  	789   	0.386463	2  	0.622596	0.144344 	789   	0.0725142	4.79472	2  	11 	2  	789   	1.51011
INFO:gp:3  	786   	0.43364 	3  	0.640319	0.180719 	786   	0.0745993	4.97849	3  	11 	2  	786   	1.54803
INFO:gp:4  	789   	0.473671	4  	0.672986	0.159641 	789   	0.0754322	4.97849	4  	14 	3  	789   	1.46831
INFO:gp:5  	778   	0.50449 	5  	0.683607	0.230548 	778   	0.0782276	5.01564	5  	11 	3  	778   	1.36201
INFO:gp:6  	765   	0.540423	6  	0.790461	0.236801 	765   	0.0796978	4.86315	6  	9  	3  	765   	1.22727
INFO:gp:7  	781   	0.578192	7  	0.79048 	0.245633 	781   	0.0855799	4.64125	7  	9  	3  	781   	1.22986
INFO:gp:8  	796   	0.61336 	8  	0.79048 	0.309954 	796   	0.0868338	4.44086	8  	9  	3  	796   	1.23336
INFO:gp:9  	791   	0.656986	9  	0.79048 	0.316619 	791   	0.0833814	4.7087 	9  	11 	3  	791   	1.30162
INFO:gp:10 	768   	0.699024	10 	0.790485	0.314117 	768   	0.0804788	5.35973	10 	11 	3  	768   	1.31226
INFO:gp:11 	756   	0.733221	11 	0.790526	0.418867 	756   	0.0769627	6.14467	11 	12 	3  	756   	1.21033
INFO:gp:12 	771   	0.736296	12 	0.791441	0.30526  	771   	0.0867897	6.65494	12 	13 	4  	771   	1.37254
INFO:gp:13 	784   	0.736632	13 	0.791463	0.316963 	784   	0.0861808	7.22678	13 	15 	3  	784   	1.74509
INFO:gp:14 	774   	0.739302	14 	0.791463	0.354166 	774   	0.0856368	7.60899	14 	16 	4  	774   	1.98961
INFO:gp:15 	762   	0.738651	15 	0.802586	0.297391 	762   	0.0865054	7.67742	15 	17 	3  	762   	2.16376
INFO:gp:16 	766   	0.732834	16 	0.802586	0.320027 	766   	0.0881267	7.29423	16 	17 	3  	766   	2.12061
INFO:gp:17 	764   	0.722431	17 	0.802642	0.342077 	764   	0.0996345	7.41251	17 	16 	4  	764   	1.91917
INFO:gp:18 	755   	0.725479	18 	0.803099	0.309964 	755   	0.100837 	7.78397	18 	15 	5  	755   	2.13916
INFO:gp:19 	769   	0.739797	19 	0.803099	0.336564 	769   	0.0906983	8.05767	19 	17 	5  	769   	2.65876
INFO:gp:20 	756   	0.73554 	20 	0.805095	0.346192 	756   	0.101764 	9.0958 	20 	19 	4  	756   	3.22178
INFO:gp:21 	789   	0.736881	21 	0.826285	0.328583 	789   	0.100199 	9.60997	21 	19 	4  	789   	3.20822
