INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min      	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.234569	0  	0.496648	0.0996724	1023  	0.0701589	4.65591	0  	7  	2  	1023  	1.47009
INFO:gp:1  	774   	0.319708	1  	0.516765	0.105756 	774   	0.0690194	4.6393 	1  	12 	2  	774   	1.45909
INFO:gp:2  	760   	0.385211	2  	0.566651	0.104268 	760   	0.0721318	4.68035	2  	10 	3  	760   	1.48056
INFO:gp:3  	806   	0.430406	3  	0.602595	0.156217 	806   	0.0720802	4.64027	3  	11 	3  	806   	1.49865
INFO:gp:4  	772   	0.465693	4  	0.660985	0.157925 	772   	0.0710355	4.81623	4  	12 	3  	772   	1.50186
INFO:gp:5  	792   	0.493016	5  	0.661006	0.204864 	792   	0.0764829	5.13392	5  	12 	3  	792   	1.43774
INFO:gp:6  	795   	0.519219	6  	0.680445	0.238327 	795   	0.0814192	5.31476	6  	12 	3  	795   	1.54902
INFO:gp:7  	776   	0.550977	7  	0.70657 	0.271847 	776   	0.0833199	5.14663	7  	12 	3  	776   	1.41836
INFO:gp:8  	777   	0.583234	8  	0.712958	0.197665 	777   	0.0848541	5.08016	8  	12 	3  	777   	1.24333
INFO:gp:9  	769   	0.601542	9  	0.721652	0.252572 	769   	0.0898579	5.00098	9  	10 	3  	769   	1.26267
INFO:gp:10 	797   	0.61077 	10 	0.721652	0.259728 	797   	0.086375 	5.10753	10 	12 	3  	797   	1.28689
INFO:gp:11 	769   	0.623428	11 	0.721652	0.258595 	769   	0.0856598	5.15543	11 	12 	3  	769   	1.31993
INFO:gp:12 	769   	0.638703	12 	0.74715 	0.289492 	769   	0.0840113	5.33529	12 	12 	3  	769   	1.21734
INFO:gp:13 	780   	0.653243	13 	0.74715 	0.273676 	780   	0.0815984	5.50538	13 	12 	3  	780   	1.16972
INFO:gp:14 	760   	0.655326	14 	0.74715 	0.260908 	760   	0.0824744	5.5435 	14 	11 	3  	760   	1.11236
INFO:gp:15 	805   	0.658653	15 	0.788791	0.319546 	805   	0.0815843	5.59042	15 	11 	3  	805   	1.14935
INFO:gp:16 	753   	0.666727	16 	0.788791	0.325558 	753   	0.089039 	5.53666	16 	11 	3  	753   	1.25388
INFO:gp:17 	753   	0.682904	17 	0.788791	0.327054 	753   	0.0848386	5.59042	17 	10 	3  	753   	1.1348 
INFO:gp:18 	778   	0.696074	18 	0.814175	0.361465 	778   	0.0816947	5.90518	18 	12 	3  	778   	0.932629
INFO:gp:19 	779   	0.705953	19 	0.814175	0.259054 	779   	0.0906094	5.96188	19 	11 	3  	779   	0.850227
INFO:gp:20 	769   	0.723088	20 	0.83422 	0.348421 	769   	0.0911125	6.00098	20 	12 	3  	769   	0.81829 
INFO:gp:21 	775   	0.737845	21 	0.83422 	0.372868 	775   	0.0898331	6.0479 	21 	12 	3  	775   	0.863427
INFO:gp:22 	787   	0.752877	22 	0.834799	0.403573 	787   	0.0921029	6.15836	22 	12 	5  	787   	0.773679
INFO:gp:23 	777   	0.759919	23 	0.834799	0.323158 	777   	0.0898773	6.35973	23 	11 	5  	777   	0.897276
INFO:gp:24 	792   	0.767266	24 	0.834799	0.35776  	792   	0.0967747	6.56891	24 	11 	5  	792   	0.904475
INFO:gp:25 	773   	0.774509	25 	0.834824	0.375745 	773   	0.0925666	6.62952	25 	13 	5  	773   	1.18668 
INFO:gp:26 	756   	0.775078	26 	0.834992	0.328099 	756   	0.0955685	7.25611	26 	14 	5  	756   	1.6146  
INFO:gp:27 	793   	0.771237	27 	0.835624	0.379421 	793   	0.0965519	8.76833	27 	16 	5  	793   	1.99953 
INFO:gp:28 	763   	0.778949	28 	0.835624	0.324266 	763   	0.0894544	10.1838	28 	17 	5  	763   	2.06196 
INFO:gp:29 	760   	0.782269	29 	0.835712	0.339558 	760   	0.0876444	10.4643	29 	19 	5  	760   	2.57449 
INFO:gp:30 	762   	0.782372	30 	0.83581 	0.289843 	762   	0.0877702	9.90127	30 	19 	3  	762   	2.88811 
INFO:gp:31 	788   	0.77864 	31 	0.835863	0.317118 	788   	0.0923073	10.958 	31 	20 	5  	788   	2.53137 
INFO:gp:32 	786   	0.783342	32 	0.835921	0.381327 	786   	0.0858996	11.8456	32 	21 	6  	786   	2.18624 
INFO:gp:33 	792   	0.788   	33 	0.835945	0.417316 	792   	0.0823876	12.2698	33 	21 	6  	792   	2.4213  
INFO:gp:34 	772   	0.781201	34 	0.835955	0.275774 	772   	0.0894614	12.1447	34 	24 	6  	772   	2.57755 
INFO:gp:35 	772   	0.784063	35 	0.836023	0.428253 	772   	0.0862143	11.9795	35 	22 	6  	772   	2.72287 
INFO:gp:36 	785   	0.783728	36 	0.836114	0.39802  	785   	0.0863961	11.8905	36 	25 	6  	785   	2.77359 
INFO:gp:37 	774   	0.7868  	37 	0.836114	0.322156 	774   	0.0849151	12.4741	37 	22 	6  	774   	2.68428 
INFO:gp:38 	792   	0.783007	38 	0.836114	0.312537 	792   	0.0880173	12.2141	38 	22 	6  	792   	2.62816 
INFO:gp:39 	739   	0.791958	39 	0.83615 	0.438153 	739   	0.0800249	11.3636	39 	19 	6  	739   	2.38124 
INFO:gp:40 	745   	0.78863 	40 	0.836309	0.380113 	745   	0.0835455	11.303 	40 	24 	5  	745   	2.25328 
INFO:gp:41 	801   	0.77898 	41 	0.836309	0.29108  	801   	0.0900523	10.9423	41 	20 	5  	801   	2.07993 
INFO:gp:42 	780   	0.784061	42 	0.836339	0.363128 	780   	0.0855232	10.7478	42 	20 	6  	780   	1.73992 
INFO:gp:43 	786   	0.783273	43 	0.836627	0.405323 	786   	0.0867289	10.9198	43 	20 	6  	786   	1.68178 
INFO:gp:44 	776   	0.78213 	44 	0.83668 	0.382603 	776   	0.0855311	11.5865	44 	20 	6  	776   	1.67323 
INFO:gp:45 	765   	0.783727	45 	0.83668 	0.397103 	765   	0.085853 	12.4086	45 	20 	6  	765   	1.53843 
INFO:gp:46 	791   	0.785675	46 	0.836721	0.383893 	791   	0.0801651	12.8172	46 	19 	9  	791   	1.23757 
INFO:gp:47 	775   	0.789656	47 	0.836749	0.360174 	775   	0.0843626	12.8025	47 	19 	7  	775   	1.33679 
INFO:gp:48 	785   	0.79184 	48 	0.836804	0.289634 	785   	0.0782244	12.915 	48 	19 	8  	785   	1.17384 
INFO:gp:49 	739   	0.790468	49 	0.836917	0.424832 	739   	0.0811688	12.9071	49 	20 	9  	739   	1.33974 
INFO:gp:50 	785   	0.788514	50 	0.836917	0.413715 	785   	0.0810352	13.2317	50 	20 	9  	785   	1.6198  
INFO:gp:51 	773   	0.79007 	51 	0.836972	0.452221 	773   	0.0816989	13.6109	51 	21 	7  	773   	1.77777 
INFO:gp:52 	775   	0.791497	52 	0.836973	0.28974  	775   	0.0813693	14.1496	52 	25 	7  	775   	1.9314  
INFO:gp:53 	763   	0.791262	53 	0.837042	0.367927 	763   	0.0791048	15.3685	53 	27 	8  	763   	2.24807 
INFO:gp:54 	777   	0.792634	54 	0.837829	0.459072 	777   	0.0785039	16.7458	54 	28 	9  	777   	1.72553 
INFO:gp:55 	783   	0.797653	55 	0.838212	0.418359 	783   	0.0715309	17.3138	55 	28 	9  	783   	1.6592  
INFO:gp:56 	778   	0.790855	56 	0.838303	0.442929 	778   	0.0792312	17.6833	56 	28 	12 	778   	1.61051 
INFO:gp:57 	776   	0.789463	57 	0.838326	0.379381 	776   	0.0823135	17.9062	57 	31 	9  	776   	1.82494 
INFO:gp:58 	781   	0.78613 	58 	0.838357	0.338884 	781   	0.0862969	17.958 	58 	31 	9  	781   	1.88506 
INFO:gp:59 	766   	0.79117 	59 	0.838381	0.353986 	766   	0.0819339	17.8094	59 	30 	12 	766   	1.55191 
INFO:gp:60 	749   	0.788431	60 	0.838383	0.424875 	749   	0.0832803	18.216 	60 	31 	12 	749   	1.84154 
INFO:gp:61 	773   	0.789347	61 	0.838398	0.420563 	773   	0.0818994	18.6432	61 	31 	11 	773   	1.66933 
INFO:gp:62 	790   	0.790983	62 	0.838412	0.33961  	790   	0.0826935	18.8905	62 	31 	12 	790   	1.79489 
INFO:gp:63 	753   	0.789441	63 	0.838412	0.342173 	753   	0.0843702	18.8661	63 	31 	12 	753   	1.57716 
INFO:gp:64 	817   	0.789613	64 	0.838426	0.355373 	817   	0.083775 	18.7752	64 	32 	13 	817   	1.69822 
INFO:gp:65 	771   	0.795472	65 	0.838467	0.353986 	771   	0.0770404	18.6285	65 	31 	13 	771   	1.70699 
