INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.232805	0  	0.509072	0.100359	1023  	0.0710563	4.69697	0  	7  	2  	1023  	1.44365
INFO:gp:1  	773   	0.314377	1  	0.528705	0.103682	773   	0.0650243	4.87879	1  	11 	2  	773   	1.51143
INFO:gp:2  	777   	0.376333	2  	0.5894  	0.121858	777   	0.0678538	4.97752	2  	11 	3  	777   	1.45055
INFO:gp:3  	748   	0.425087	3  	0.609848	0.176606	748   	0.0675258	4.90909	3  	10 	3  	748   	1.35871
INFO:gp:4  	772   	0.45853 	4  	0.609848	0.193701	772   	0.0726461	4.96383	4  	10 	3  	772   	1.41133
INFO:gp:5  	741   	0.488083	5  	0.622781	0.170151	741   	0.0734097	5.26784	5  	13 	2  	741   	1.50613
INFO:gp:6  	757   	0.51497 	6  	0.643297	0.22365 	757   	0.0723615	5.57771	6  	11 	3  	757   	1.51872
INFO:gp:7  	757   	0.537575	7  	0.66005 	0.280373	757   	0.0727255	5.92669	7  	13 	2  	757   	1.57494
INFO:gp:8  	762   	0.553772	8  	0.685562	0.264796	762   	0.0742783	6.02835	8  	13 	3  	762   	1.53747
INFO:gp:9  	779   	0.567049	9  	0.685562	0.275628	779   	0.079685 	5.94917	9  	13 	3  	779   	1.47025
INFO:gp:10 	758   	0.58362 	10 	0.694879	0.212323	758   	0.0761915	5.95112	10 	11 	3  	758   	1.38402
INFO:gp:11 	781   	0.593807	11 	0.708044	0.197266	781   	0.0831879	5.85826	11 	11 	3  	781   	1.52735
INFO:gp:12 	769   	0.604609	12 	0.72318 	0.244131	769   	0.0802812	5.91202	12 	11 	3  	769   	1.78077
INFO:gp:13 	783   	0.621457	13 	0.767813	0.326609	783   	0.0772373	6.20039	13 	13 	3  	783   	2.03246
INFO:gp:14 	761   	0.634365	14 	0.767813	0.304064	761   	0.0780944	6.29521	14 	11 	3  	761   	2.06466
INFO:gp:15 	796   	0.645837	15 	0.767813	0.331723	796   	0.08115  	6.11437	15 	12 	3  	796   	2.18938
INFO:gp:16 	790   	0.660541	16 	0.768018	0.293444	790   	0.0813226	6.30401	16 	12 	3  	790   	1.90139
INFO:gp:17 	774   	0.68412 	17 	0.770826	0.25203 	774   	0.0782634	6.78592	17 	12 	3  	774   	1.32357
INFO:gp:18 	757   	0.70777 	18 	0.787423	0.307244	757   	0.0772668	7.14272	18 	12 	3  	757   	0.910009
INFO:gp:19 	780   	0.712654	19 	0.806665	0.442794	780   	0.0731775	7.2522 	19 	14 	4  	780   	1.04957 
INFO:gp:20 	760   	0.720689	20 	0.806665	0.435549	760   	0.0715748	7.47312	20 	17 	4  	760   	1.47611 
INFO:gp:21 	774   	0.719658	21 	0.806735	0.334225	774   	0.0719278	7.69208	21 	18 	4  	774   	1.81662 
INFO:gp:22 	769   	0.72757 	22 	0.807095	0.432099	769   	0.0748636	7.69892	22 	15 	4  	769   	1.653   
INFO:gp:23 	766   	0.734292	23 	0.807378	0.380556	766   	0.0725934	7.92669	23 	15 	4  	766   	1.53725 
INFO:gp:24 	757   	0.734569	24 	0.807378	0.304258	757   	0.0822507	8.52395	24 	17 	4  	757   	1.68576 
INFO:gp:25 	754   	0.744893	25 	0.807674	0.3944  	754   	0.0752067	9.5259 	25 	17 	5  	754   	1.96724 
INFO:gp:26 	782   	0.748383	26 	0.807961	0.432605	782   	0.0739039	10.3109	26 	21 	5  	782   	2.10551 
INFO:gp:27 	780   	0.749964	27 	0.807961	0.421349	780   	0.0771709	10.9521	27 	25 	4  	780   	2.26596 
INFO:gp:28 	787   	0.749086	28 	0.808366	0.291529	787   	0.0760621	11.1349	28 	19 	4  	787   	2.00571 
INFO:gp:29 	760   	0.748918	29 	0.808366	0.370196	760   	0.0773671	11.217 	29 	19 	4  	760   	1.8491  
INFO:gp:30 	796   	0.751376	30 	0.808366	0.38342 	796   	0.073404 	11.3265	30 	25 	4  	796   	2.00609 
INFO:gp:31 	777   	0.750016	31 	0.80872 	0.36382 	777   	0.0736123	11.3343	31 	27 	4  	777   	2.36372 
INFO:gp:32 	782   	0.752331	32 	0.80892 	0.45924 	782   	0.0741296	11.1095	32 	23 	5  	782   	2.59817 
INFO:gp:33 	763   	0.757245	33 	0.80892 	0.45345 	763   	0.0691027	10.7439	33 	21 	7  	763   	2.63054 
INFO:gp:34 	790   	0.754161	34 	0.80892 	0.470834	790   	0.0707402	11.1867	34 	22 	6  	790   	2.8252  
INFO:gp:35 	763   	0.754695	35 	0.809012	0.458035	763   	0.0689255	11.8328	35 	25 	7  	763   	2.86285 
INFO:gp:36 	779   	0.754847	36 	0.809012	0.461385	779   	0.0681189	12.5738	36 	23 	9  	779   	2.89101 
INFO:gp:37 	765   	0.754581	37 	0.809167	0.481958	765   	0.0714937	13.1505	37 	26 	7  	765   	2.9797  
INFO:gp:38 	780   	0.755736	38 	0.809336	0.411719	780   	0.0710172	14.2845	38 	31 	6  	780   	3.31533 
INFO:gp:39 	778   	0.754008	39 	0.831081	0.475116	778   	0.0695332	15.2385	39 	31 	9  	778   	3.26805 
INFO:gp:40 	785   	0.756952	40 	0.831081	0.450678	785   	0.0698765	15.6383	40 	31 	4  	785   	3.51956 
INFO:gp:41 	752   	0.756534	41 	0.831407	0.365843	752   	0.0715415	15.4741	41 	31 	9  	752   	3.61179 
INFO:gp:42 	773   	0.757776	42 	0.831407	0.45922 	773   	0.0723999	15.4633	42 	31 	9  	773   	3.62305 
INFO:gp:43 	760   	0.753625	43 	0.831915	0.418931	760   	0.0763232	14.6911	43 	29 	9  	760   	3.42128 
INFO:gp:44 	788   	0.764663	44 	0.831915	0.342567	788   	0.0722714	14.1926	44 	31 	4  	788   	3.47299 
INFO:gp:45 	797   	0.762779	45 	0.831915	0.474113	797   	0.0775892	14.696 	45 	33 	6  	797   	3.88702 
INFO:gp:46 	781   	0.770621	46 	0.832853	0.411794	781   	0.0741692	15.4966	46 	29 	7  	781   	4.23107 
