INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.503469	0  	0.74926	0.292208	1023  	0.0541058	3.51906	0  	7  	2  	1023  	1.34672
INFO:gp:1  	749   	0.549807	1  	0.853411	0.342742	749   	0.0565598	3.81818	1  	11 	2  	749   	1.51441
INFO:gp:2  	778   	0.575969	2  	0.853411	0.240833	778   	0.0736034	4.21114	2  	12 	2  	778   	1.66629
INFO:gp:3  	783   	0.616008	3  	0.8926  	0.246055	783   	0.0995461	4.70186	3  	14 	2  	783   	1.7233 
INFO:gp:4  	764   	0.664182	4  	0.893145	0.195939	764   	0.122795 	4.57478	4  	10 	2  	764   	1.64017
INFO:gp:5  	766   	0.733268	5  	0.911487	0.335242	766   	0.126917 	4.96285	5  	15 	2  	766   	1.97259
INFO:gp:6  	759   	0.787269	6  	0.911487	0.382505	759   	0.124813 	5.80645	6  	14 	2  	759   	2.0837 
INFO:gp:7  	773   	0.799913	7  	0.91377 	0.388416	773   	0.127385 	6.16911	7  	14 	2  	773   	2.19297
INFO:gp:8  	763   	0.823451	8  	0.915556	0.439262	763   	0.119266 	6.73216	8  	16 	2  	763   	2.21269
INFO:gp:9  	768   	0.818493	9  	0.917969	0.354322	768   	0.127377 	7.21603	9  	16 	2  	768   	2.21151
INFO:gp:10 	792   	0.819243	10 	0.917969	0.460915	792   	0.126145 	7.38905	10 	19 	2  	792   	2.19996
INFO:gp:11 	786   	0.817231	11 	0.917969	0.427425	786   	0.128344 	7.69306	11 	18 	2  	786   	2.36949
INFO:gp:12 	800   	0.824306	12 	0.91966 	0.442431	800   	0.124104 	8.30401	12 	18 	2  	800   	2.58283
INFO:gp:13 	764   	0.831253	13 	0.922738	0.414724	764   	0.123045 	9.17595	13 	17 	2  	764   	2.73715
INFO:gp:14 	781   	0.834161	14 	0.922738	0.461895	781   	0.119021 	9.80547	14 	18 	3  	781   	2.75353
INFO:gp:15 	747   	0.83488 	15 	0.926822	0.416853	747   	0.121722 	9.86804	15 	20 	4  	747   	2.86673
INFO:gp:16 	782   	0.831751	16 	0.926822	0.447447	782   	0.127141 	10.1887	16 	20 	3  	782   	2.8461 
INFO:gp:17 	766   	0.839184	17 	0.926822	0.164233	766   	0.129497 	10.6794	17 	21 	3  	766   	2.86053
INFO:gp:18 	769   	0.837789	18 	0.926822	0.384027	769   	0.12888  	10.8514	18 	23 	5  	769   	3.02893
INFO:gp:19 	753   	0.838012	19 	0.926822	0.309809	753   	0.126121 	10.7889	19 	23 	3  	753   	3.53317
INFO:gp:20 	783   	0.833146	20 	0.926822	0.381087	783   	0.12632  	10.3402	20 	25 	4  	783   	3.72747
INFO:gp:21 	770   	0.827883	21 	0.926822	0.458276	770   	0.131567 	9.28446	21 	25 	2  	770   	3.57686
INFO:gp:22 	779   	0.81491 	22 	0.926822	0.461559	779   	0.140212 	8.826  	22 	25 	3  	779   	3.23245
INFO:gp:23 	800   	0.813196	23 	0.926822	0.471285	800   	0.13808  	8.43304	23 	25 	2  	800   	2.87422
INFO:gp:24 	753   	0.81556 	24 	0.926822	0.44046 	753   	0.142043 	8.12317	24 	19 	3  	753   	2.59002
INFO:gp:25 	745   	0.824747	25 	0.92706 	0.393245	745   	0.137863 	7.6784 	25 	16 	3  	745   	2.44533
INFO:gp:26 	778   	0.81178 	26 	0.92706 	0.456385	778   	0.144926 	7.31965	26 	16 	2  	778   	2.17928
INFO:gp:27 	804   	0.81273 	27 	0.927436	0.388978	804   	0.140878 	7.34311	27 	15 	2  	804   	2.15539
INFO:gp:28 	787   	0.815779	28 	0.927593	0.390694	787   	0.143109 	7.77126	28 	16 	4  	787   	2.32637
INFO:gp:29 	792   	0.818511	29 	0.927593	0.476813	792   	0.137729 	8.49267	29 	18 	2  	792   	2.5484 
INFO:gp:30 	778   	0.821898	30 	0.927754	0.446439	778   	0.138537 	8.95699	30 	17 	2  	778   	2.37577
INFO:gp:31 	750   	0.831615	31 	0.928122	0.466002	750   	0.136326 	9.54545	31 	18 	3  	750   	2.18446
INFO:gp:32 	795   	0.829094	32 	0.928122	0.230297	795   	0.135887 	9.9697 	32 	19 	5  	795   	2.0564 
INFO:gp:33 	746   	0.824431	33 	0.928122	0.450098	746   	0.14174  	10.0772	33 	18 	4  	746   	1.95474
INFO:gp:34 	758   	0.831599	34 	0.928502	0.449255	758   	0.136149 	10.1085	34 	20 	2  	758   	1.86886
INFO:gp:35 	768   	0.835406	35 	0.928502	0.429009	768   	0.136742 	10.2991	35 	19 	4  	768   	1.96511
INFO:gp:36 	767   	0.829195	36 	0.928502	0.469805	767   	0.140148 	10.4731	36 	19 	4  	767   	1.89639
INFO:gp:37 	757   	0.836904	37 	0.928502	0.40577 	757   	0.135112 	10.4223	37 	21 	3  	757   	1.82777
INFO:gp:38 	774   	0.836931	38 	0.928544	0.48526 	774   	0.131437 	10.5318	38 	19 	3  	774   	1.78533
INFO:gp:39 	785   	0.835466	39 	0.928544	0.374195	785   	0.131543 	10.6843	39 	19 	5  	785   	1.91179
INFO:gp:40 	781   	0.827576	40 	0.928544	0.422495	781   	0.136064 	10.8798	40 	23 	4  	781   	2.2267 
INFO:gp:41 	776   	0.83433 	41 	0.928544	0.415052	776   	0.130654 	11.3939	41 	21 	5  	776   	2.54082
INFO:gp:42 	770   	0.837247	42 	0.928544	0.460742	770   	0.132088 	12.4262	42 	21 	6  	770   	2.9166 
INFO:gp:43 	750   	0.84083 	43 	0.928606	0.4399  	750   	0.128527 	13.6491	43 	31 	4  	750   	3.2179 
INFO:gp:44 	777   	0.839525	44 	0.928801	0.417453	777   	0.13296  	14.219 	44 	26 	7  	777   	2.80917
INFO:gp:45 	782   	0.844084	45 	0.928843	0.421269	782   	0.126899 	13.8182	45 	27 	6  	782   	2.44513
INFO:gp:46 	782   	0.837114	46 	0.928876	0.441503	782   	0.131585 	13.7116	46 	24 	4  	782   	2.44588
INFO:gp:47 	771   	0.834861	47 	0.928876	0.365863	771   	0.136279 	13.5425	47 	23 	4  	771   	2.27226
INFO:gp:48 	745   	0.849107	48 	0.929662	0.417467	745   	0.126656 	13.694 	48 	29 	4  	745   	2.51549
INFO:gp:49 	748   	0.839634	49 	0.929724	0.465914	748   	0.129664 	13.5904	49 	27 	4  	748   	2.49993
INFO:gp:50 	767   	0.840482	50 	0.929955	0.35388 	767   	0.1298   	13.433 	50 	22 	6  	767   	2.44093
INFO:gp:51 	770   	0.841949	51 	0.930004	0.203496	770   	0.13021  	13.6061	51 	24 	6  	770   	2.43673
INFO:gp:52 	797   	0.846301	52 	0.930243	0.427327	797   	0.123652 	13.9091	52 	28 	5  	797   	2.4396 
INFO:gp:53 	791   	0.850744	53 	0.930619	0.241092	791   	0.126511 	14.217 	53 	30 	4  	791   	2.44146
INFO:gp:54 	806   	0.852636	54 	0.930659	0.384636	806   	0.123054 	14.6246	54 	24 	7  	806   	2.40801
INFO:gp:55 	771   	0.857932	55 	0.930659	0.438324	771   	0.121111 	15.3656	55 	24 	6  	771   	2.46882
INFO:gp:56 	758   	0.862966	56 	0.930726	0.436574	758   	0.116193 	15.7058	56 	29 	4  	758   	2.55429
INFO:gp:57 	767   	0.857533	57 	0.93084 	0.374869	767   	0.121908 	15.6393	57 	24 	7  	767   	2.33296
INFO:gp:58 	769   	0.860779	58 	0.93117 	0.47598 	769   	0.117092 	15.783 	58 	31 	4  	769   	2.51755
INFO:gp:59 	782   	0.861331	59 	0.931344	0.474133	782   	0.118849 	16.566 	59 	29 	6  	782   	2.33493
INFO:gp:60 	787   	0.859603	60 	0.934681	0.451933	787   	0.119311 	17.0655	60 	30 	3  	787   	2.20605
INFO:gp:61 	767   	0.856926	61 	0.934806	0.484782	767   	0.122902 	17.3793	61 	37 	7  	767   	2.36272
INFO:gp:62 	779   	0.866383	62 	0.934812	0.431933	779   	0.115949 	17.261 	62 	32 	3  	779   	2.40627
INFO:gp:63 	754   	0.861685	63 	0.934988	0.445297	754   	0.120202 	17.1701	63 	37 	3  	754   	2.45595
INFO:gp:64 	782   	0.861232	64 	0.934988	0.383954	782   	0.116802 	17.3353	64 	33 	7  	782   	2.25153
INFO:gp:65 	774   	0.873321	65 	0.934988	0.483706	774   	0.108121 	17.5924	65 	25 	8  	774   	1.93467
INFO:gp:66 	761   	0.873332	66 	0.934988	0.221908	761   	0.111475 	17.5816	66 	29 	4  	761   	2.0793 
INFO:gp:67 	783   	0.866818	67 	0.934988	0.411483	783   	0.115856 	17.6344	67 	28 	3  	783   	2.00373
INFO:gp:68 	798   	0.86849 	68 	0.935115	0.431202	798   	0.11503  	17.868 	68 	24 	10 	798   	1.93319
INFO:gp:69 	786   	0.871434	69 	0.935115	0.439987	786   	0.111704 	18.2336	69 	31 	6  	786   	1.95381
INFO:gp:70 	777   	0.867717	70 	0.93513 	0.448456	777   	0.114211 	18.5298	70 	31 	3  	777   	2.04372
INFO:gp:71 	786   	0.870075	71 	0.935267	0.388445	786   	0.114089 	18.6256	71 	30 	4  	786   	2.04151
INFO:gp:72 	787   	0.863384	72 	0.935267	0.272641	787   	0.12192  	18.9091	72 	30 	4  	787   	1.94613
INFO:gp:73 	769   	0.869716	73 	0.935267	0.446077	769   	0.113976 	19.2786	73 	37 	6  	769   	2.05867
