INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.502252	0  	0.739329	0.349313	1023  	0.0544152	3.49853	0  	7  	2  	1023  	1.32121
INFO:gp:1  	752   	0.54874 	1  	0.863165	0.259803	752   	0.0598793	3.50635	1  	9  	2  	752   	1.26989
INFO:gp:2  	788   	0.581434	2  	0.863165	0.31021 	788   	0.0707303	3.49462	2  	10 	2  	788   	1.26681
INFO:gp:3  	797   	0.615752	3  	0.863165	0.274189	797   	0.0906326	3.54643	3  	10 	2  	797   	1.19691
INFO:gp:4  	795   	0.666547	4  	0.863165	0.276313	795   	0.103594 	3.68915	4  	10 	2  	795   	1.29785
INFO:gp:5  	754   	0.708645	5  	0.887846	0.316634	754   	0.114386 	3.73021	5  	10 	2  	754   	1.23549
INFO:gp:6  	775   	0.7419  	6  	0.888719	0.323242	775   	0.127455 	3.80938	6  	10 	2  	775   	1.3692 
INFO:gp:7  	775   	0.772011	7  	0.896217	0.390728	775   	0.128476 	3.90127	7  	11 	3  	775   	1.39017
INFO:gp:8  	765   	0.785826	8  	0.896217	0.357029	765   	0.125358 	4.09677	8  	10 	3  	765   	1.40986
INFO:gp:9  	765   	0.806877	9  	0.896217	0.454149	765   	0.116433 	4.46921	9  	11 	3  	765   	1.51202
INFO:gp:10 	768   	0.807771	10 	0.896217	0.399692	768   	0.118739 	4.86413	10 	14 	3  	768   	1.75757
INFO:gp:11 	786   	0.81582 	11 	0.900262	0.395813	786   	0.109667 	5.34604	11 	13 	3  	786   	1.99302
INFO:gp:12 	786   	0.807037	12 	0.900262	0.489938	786   	0.111132 	5.6129 	12 	14 	3  	786   	2.20342
INFO:gp:13 	773   	0.80386 	13 	0.900262	0.443937	773   	0.119451 	5.89638	13 	13 	3  	773   	2.33571
INFO:gp:14 	772   	0.806263	14 	0.900262	0.427129	772   	0.114794 	5.45161	14 	16 	3  	772   	2.13369
INFO:gp:15 	767   	0.804506	15 	0.900262	0.415102	767   	0.121052 	5.09873	15 	13 	3  	767   	1.98603
INFO:gp:16 	783   	0.801767	16 	0.900262	0.379911	783   	0.122449 	5.1173 	16 	13 	3  	783   	2.04732
INFO:gp:17 	774   	0.796878	17 	0.900262	0.469284	774   	0.12386  	5.48192	17 	17 	3  	774   	2.1741 
INFO:gp:18 	769   	0.799118	18 	0.900263	0.415462	769   	0.121416 	6.48583	18 	14 	3  	769   	2.35375
INFO:gp:19 	752   	0.808055	19 	0.900263	0.473396	752   	0.109961 	7.20821	19 	16 	3  	752   	2.23118
INFO:gp:20 	751   	0.800027	20 	0.900263	0.437079	751   	0.115679 	7.71945	20 	16 	3  	751   	2.06883
INFO:gp:21 	751   	0.799814	21 	0.900301	0.431895	751   	0.116717 	7.89443	21 	16 	3  	751   	1.92138
INFO:gp:22 	769   	0.813603	22 	0.900301	0.462629	769   	0.10766  	8.11828	22 	16 	3  	769   	2.03553
INFO:gp:23 	758   	0.803233	23 	0.900301	0.467696	758   	0.114969 	8.56696	23 	16 	3  	758   	2.29138
INFO:gp:24 	767   	0.806891	24 	0.904348	0.454437	767   	0.113956 	9.12414	24 	19 	3  	767   	2.62279
INFO:gp:25 	774   	0.815703	25 	0.904348	0.440177	774   	0.106154 	9.91105	25 	21 	3  	774   	2.64389
INFO:gp:26 	784   	0.817698	26 	0.904348	0.448632	784   	0.106965 	10.4956	26 	21 	3  	784   	2.74097
INFO:gp:27 	766   	0.817899	27 	0.907082	0.4095  	766   	0.106721 	10.6667	27 	20 	3  	766   	2.69378
INFO:gp:28 	775   	0.82136 	28 	0.907082	0.430735	775   	0.105951 	10.5885	28 	20 	3  	775   	2.654  
INFO:gp:29 	754   	0.827737	29 	0.909003	0.430063	754   	0.10231  	10.567 	29 	20 	3  	754   	2.52169
