INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                    size                    
   	      	-----------------------------------------------------------------	--------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std 
0  	1023  	0.501745	0  	0.71257	0.278386	1023  	0.0548764	3.52884	0  	7  	2  	1023  	1.34
INFO:gp:1  	777   	0.55046 	1  	0.766187	0.372755	777   	0.0552277	3.85728	1  	10 	2  	777   	1.45145
INFO:gp:2  	754   	0.580438	2  	0.826394	0.330199	754   	0.0675653	4.02737	2  	13 	2  	754   	1.5555 
INFO:gp:3  	760   	0.607749	3  	0.831998	0.306037	760   	0.0898655	4.23851	3  	12 	2  	760   	1.74968
INFO:gp:4  	769   	0.652707	4  	0.840744	0.35965 	769   	0.0982256	4.51613	4  	12 	1  	769   	1.92211
INFO:gp:5  	807   	0.680989	5  	0.850839	0.330028	807   	0.111219 	4.58162	5  	11 	1  	807   	1.68454
INFO:gp:6  	794   	0.713104	6  	0.86312 	0.303761	794   	0.111978 	4.44575	6  	11 	2  	794   	1.58584
INFO:gp:7  	768   	0.737254	7  	0.864214	0.215592	768   	0.111203 	4.5435 	7  	12 	2  	768   	1.64011
INFO:gp:8  	763   	0.758818	8  	0.864214	0.310756	763   	0.105454 	4.59531	8  	12 	2  	763   	1.4123 
INFO:gp:9  	793   	0.776845	9  	0.880899	0.376047	793   	0.101261 	4.8045 	9  	12 	2  	793   	1.38872
INFO:gp:10 	763   	0.782511	10 	0.880899	0.428066	763   	0.101215 	4.8915 	10 	12 	2  	763   	1.50754
INFO:gp:11 	765   	0.786455	11 	0.880899	0.41871 	765   	0.100333 	4.91202	11 	15 	2  	765   	1.45041
INFO:gp:12 	743   	0.796118	12 	0.880899	0.267142	743   	0.101279 	5.08993	12 	15 	2  	743   	1.43743
INFO:gp:13 	784   	0.796326	13 	0.880899	0.378986	784   	0.098885 	5.34213	13 	15 	2  	784   	1.69533
INFO:gp:14 	771   	0.79315 	14 	0.893195	0.432964	771   	0.104456 	5.78397	14 	15 	2  	771   	2.26824
INFO:gp:15 	802   	0.779369	15 	0.893195	0.376004	802   	0.118178 	6.71554	15 	17 	2  	802   	3.03164
INFO:gp:16 	777   	0.78715 	16 	0.893195	0.375862	777   	0.119292 	8.17204	16 	21 	2  	777   	3.39739
INFO:gp:17 	775   	0.801696	17 	0.893195	0.41476 	775   	0.111315 	9.90811	17 	22 	2  	775   	3.27486
INFO:gp:18 	798   	0.811567	18 	0.894436	0.204813	798   	0.106582 	10.6901	18 	21 	2  	798   	2.85025
INFO:gp:19 	778   	0.833387	19 	0.894436	0.443237	778   	0.0863548	11.1193	19 	24 	2  	778   	2.66644
INFO:gp:20 	739   	0.839216	20 	0.904292	0.470224	739   	0.082044 	11.0342	20 	22 	3  	739   	2.57475
INFO:gp:21 	788   	0.836811	21 	0.908527	0.454332	788   	0.08224  	10.9824	21 	23 	3  	788   	2.85589
INFO:gp:22 	767   	0.838075	22 	0.910888	0.419148	767   	0.0814217	11.1574	22 	22 	3  	767   	3.07064
INFO:gp:23 	787   	0.841898	23 	0.910933	0.489561	787   	0.0810043	11.8426	23 	23 	3  	787   	3.13896
INFO:gp:24 	746   	0.849633	24 	0.910933	0.453407	746   	0.0830078	12.6833	24 	25 	3  	746   	3.31933
INFO:gp:25 	758   	0.853781	25 	0.912014	0.47613 	758   	0.0849159	13.1848	25 	25 	3  	758   	3.21958
INFO:gp:26 	747   	0.861036	26 	0.912014	0.489707	747   	0.0769774	13.1251	26 	24 	3  	747   	2.78559
INFO:gp:27 	785   	0.857173	27 	0.912062	0.490807	785   	0.0798426	12.6471	27 	24 	3  	785   	2.75908
INFO:gp:28 	781   	0.855331	28 	0.912062	0.486031	781   	0.0812213	12.4907	28 	23 	3  	781   	2.84697
INFO:gp:29 	771   	0.859313	29 	0.912062	0.397588	771   	0.0818452	12.7067	29 	27 	3  	771   	2.81214
INFO:gp:30 	796   	0.857683	30 	0.912062	0.495651	796   	0.0828128	13.0323	30 	26 	3  	796   	3.01867
INFO:gp:31 	786   	0.859627	31 	0.912062	0.48791 	786   	0.0807746	13.4018	31 	25 	3  	786   	2.87196
INFO:gp:32 	756   	0.861401	32 	0.912062	0.495047	756   	0.0843191	13.3265	32 	25 	3  	756   	3.20205
INFO:gp:33 	770   	0.866126	33 	0.912062	0.495889	770   	0.0755614	13.4301	33 	25 	3  	770   	2.75041
INFO:gp:34 	753   	0.863559	34 	0.912062	0.488745	753   	0.0819592	13.3011	34 	25 	3  	753   	2.82346
INFO:gp:35 	779   	0.861047	35 	0.912062	0.478944	779   	0.0842847	13.216 	35 	25 	3  	779   	2.96761
INFO:gp:36 	762   	0.868872	36 	0.912062	0.50116 	762   	0.0749808	13.39  	36 	25 	3  	762   	2.71115
INFO:gp:37 	789   	0.860868	37 	0.912062	0.491891	789   	0.082129 	13.3636	37 	25 	3  	789   	3.0708 
INFO:gp:38 	799   	0.861255	38 	0.912062	0.527492	799   	0.0784805	13.4663	38 	25 	3  	799   	2.82715
INFO:gp:39 	751   	0.861327	39 	0.912062	0.485931	751   	0.0837427	13.5132	39 	25 	3  	751   	2.54761
INFO:gp:40 	777   	0.864822	40 	0.912062	0.490126	777   	0.0765639	13.4086	40 	25 	3  	777   	2.9481 
INFO:gp:41 	789   	0.857789	41 	0.912062	0.501653	789   	0.0838761	13.3167	41 	25 	3  	789   	3.02602
INFO:gp:42 	799   	0.859801	42 	0.912062	0.476064	799   	0.0861114	13.3871	42 	25 	3  	799   	2.87244
INFO:gp:43 	794   	0.866847	43 	0.912062	0.479621	794   	0.0751285	13.3851	43 	25 	3  	794   	2.77931
INFO:gp:44 	771   	0.86325 	44 	0.912062	0.453216	771   	0.0807023	13.3695	44 	25 	3  	771   	2.83401
INFO:gp:45 	762   	0.860717	45 	0.912062	0.483722	762   	0.0844095	13.433 	45 	25 	3  	762   	2.96628
INFO:gp:46 	771   	0.862669	46 	0.912062	0.453213	771   	0.0809932	13.3519	46 	25 	3  	771   	2.79948
INFO:gp:47 	738   	0.869606	47 	0.912062	0.501765	738   	0.0729169	13.4223	47 	23 	3  	738   	2.69237
INFO:gp:48 	776   	0.860012	48 	0.912062	0.492532	776   	0.0825738	13.3851	48 	25 	3  	776   	2.7765 
INFO:gp:49 	766   	0.860175	49 	0.912062	0.457516	766   	0.0877998	13.5259	49 	26 	3  	766   	2.59503
INFO:gp:50 	773   	0.859865	50 	0.912062	0.495066	773   	0.0851092	13.4223	50 	25 	3  	773   	3.07221
INFO:gp:51 	761   	0.862099	51 	0.912062	0.488359	761   	0.0815246	13.5494	51 	25 	3  	761   	2.71365
INFO:gp:52 	732   	0.864648	52 	0.912062	0.46272 	732   	0.0831097	13.4448	52 	25 	3  	732   	2.86562
INFO:gp:53 	786   	0.860916	53 	0.913648	0.486927	786   	0.0842164	13.3275	53 	25 	3  	786   	2.86709
INFO:gp:54 	783   	0.862207	54 	0.913648	0.486859	783   	0.0815641	13.3978	54 	25 	3  	783   	2.83896
INFO:gp:55 	766   	0.863054	55 	0.913648	0.446222	766   	0.0825765	13.4066	55 	25 	3  	766   	2.83272
INFO:gp:56 	810   	0.861107	56 	0.913648	0.469918	810   	0.0816504	13.3109	56 	25 	3  	810   	2.93213
INFO:gp:57 	775   	0.864768	57 	0.913648	0.487538	775   	0.0779429	13.2053	57 	25 	3  	775   	2.8643 
INFO:gp:58 	788   	0.862603	58 	0.913648	0.490516	788   	0.0775516	13.0802	58 	25 	3  	788   	2.98308
INFO:gp:59 	764   	0.870092	59 	0.913648	0.506069	764   	0.0715895	12.7879	59 	25 	3  	764   	2.73798
INFO:gp:60 	795   	0.866538	60 	0.913648	0.448237	795   	0.0772109	12.5552	60 	23 	3  	795   	2.84198
INFO:gp:61 	784   	0.861334	61 	0.913648	0.503517	784   	0.082286 	12.6295	61 	23 	3  	784   	2.61782
INFO:gp:62 	785   	0.858912	62 	0.913648	0.463004	785   	0.0903276	12.52  	62 	24 	3  	785   	2.78863
INFO:gp:63 	750   	0.865412	63 	0.913648	0.497159	750   	0.081087 	12.6559	63 	24 	3  	750   	2.71934
