INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                     size                     
   	      	------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std   
0  	1023  	0.499745	0  	0.745589	0.256803	1023  	0.055656	3.46237	0  	7  	2  	1023  	1.3543
INFO:gp:1  	793   	0.550378	1  	0.765754	0.326175	793   	0.0595009	3.72336	1  	11 	2  	793   	1.5926
INFO:gp:2  	753   	0.578033	2  	0.855689	0.299444	753   	0.0752731	4.06256	2  	11 	1  	753   	1.72101
INFO:gp:3  	783   	0.613234	3  	0.866767	0.318468	783   	0.0951549	4.3216 	3  	13 	1  	783   	1.7882 
INFO:gp:4  	787   	0.648662	4  	0.895052	0.267203	787   	0.114747 	4.4477 	4  	12 	2  	787   	1.67582
INFO:gp:5  	731   	0.68397 	5  	0.895052	0.157633	731   	0.127256 	4.78299	5  	11 	2  	731   	1.66025
INFO:gp:6  	753   	0.70015 	6  	0.895052	0.268407	753   	0.138854 	4.84751	6  	11 	2  	753   	1.68607
INFO:gp:7  	774   	0.713692	7  	0.895052	0.27384 	774   	0.144677 	4.6911 	7  	12 	2  	774   	1.8755 
INFO:gp:8  	762   	0.734392	8  	0.895131	0.261331	762   	0.144058 	4.70186	8  	14 	2  	762   	2.17334
INFO:gp:9  	755   	0.744874	9  	0.897075	0.235173	755   	0.148093 	5.05474	9  	14 	2  	755   	2.56317
INFO:gp:10 	788   	0.744967	10 	0.897252	0.238542	788   	0.147933 	5.40274	10 	17 	2  	788   	2.683  
INFO:gp:11 	791   	0.742829	11 	0.897252	0.174446	791   	0.155415 	5.95699	11 	14 	2  	791   	2.38972
INFO:gp:12 	764   	0.734542	12 	0.90091 	0.171414	764   	0.160636 	6.71848	12 	15 	2  	764   	2.34863
INFO:gp:13 	772   	0.737892	13 	0.903148	0.189225	772   	0.160575 	7.30792	13 	16 	2  	772   	2.32375
INFO:gp:14 	775   	0.746656	14 	0.904391	0.275627	775   	0.163083 	7.84751	14 	18 	2  	775   	2.43994
INFO:gp:15 	766   	0.756122	15 	0.906907	0.406157	766   	0.158606 	8.78592	15 	20 	2  	766   	2.50671
INFO:gp:16 	780   	0.762054	16 	0.906907	0.260701	780   	0.160743 	9.73216	16 	20 	2  	780   	2.34731
INFO:gp:17 	738   	0.779125	17 	0.906907	0.368866	738   	0.15339  	9.95015	17 	20 	2  	738   	2.1909 
INFO:gp:18 	793   	0.772181	18 	0.910949	0.217068	793   	0.160101 	9.75758	18 	21 	2  	793   	2.24629
INFO:gp:19 	790   	0.766137	19 	0.911015	0.314473	790   	0.160517 	9.84457	19 	23 	2  	790   	2.64894
INFO:gp:20 	774   	0.768754	20 	0.912134	0.217698	774   	0.15868  	9.85924	20 	24 	2  	774   	2.85795
INFO:gp:21 	776   	0.774646	21 	0.917528	0.407782	776   	0.154861 	10.652 	21 	22 	2  	776   	3.28718
INFO:gp:22 	787   	0.79631 	22 	0.921068	0.213471	787   	0.151275 	11.3969	22 	28 	2  	787   	3.65321
INFO:gp:23 	798   	0.836601	23 	0.921068	0.197708	798   	0.134356 	12.1593	23 	32 	2  	798   	3.76471
INFO:gp:24 	744   	0.851294	24 	0.921068	0.416509	744   	0.123932 	12.3216	24 	25 	2  	744   	4.52399
