INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                         fitness                         	                      size                     
   	      	---------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50644	0  	0.74806	0.332754	1023  	0.0553157	3.55132	0  	7  	2  	1023  	1.39088
INFO:gp:1  	771   	0.551133	1  	0.797059	0.290248	771   	0.058489 	3.74878	1  	12 	2  	771   	1.52157
INFO:gp:2  	760   	0.581045	2  	0.893196	0.292792	760   	0.0722889	3.97361	2  	11 	2  	760   	1.54131
INFO:gp:3  	763   	0.623955	3  	0.893685	0.260258	763   	0.0949926	4.06549	3  	11 	2  	763   	1.59564
INFO:gp:4  	773   	0.685208	4  	0.91411 	0.313309	773   	0.117903 	3.89443	4  	11 	2  	773   	1.47663
INFO:gp:5  	780   	0.759989	5  	0.922973	0.27758 	780   	0.121055 	3.6002 	5  	13 	1  	780   	1.32111
INFO:gp:6  	769   	0.806557	6  	0.922973	0.227761	769   	0.117864 	3.40762	6  	12 	1  	769   	1.04213
INFO:gp:7  	761   	0.829518	7  	0.922973	0.411723	761   	0.116405 	3.33333	7  	11 	1  	761   	0.950039
INFO:gp:8  	748   	0.840734	8  	0.922973	0.432473	748   	0.113696 	3.44086	8  	8  	3  	748   	1.05108 
INFO:gp:9  	749   	0.837779	9  	0.922973	0.401439	749   	0.116762 	3.3695 	9  	9  	1  	749   	0.998693
INFO:gp:10 	783   	0.824499	10 	0.922973	0.432658	783   	0.123718 	3.42913	10 	9  	1  	783   	1.10831 
INFO:gp:11 	767   	0.822158	11 	0.922973	0.464733	767   	0.122622 	3.39785	11 	9  	3  	767   	1.04964 
INFO:gp:12 	759   	0.827679	12 	0.922973	0.461473	759   	0.120223 	3.4086 	12 	9  	3  	759   	1.06357 
INFO:gp:13 	786   	0.823511	13 	0.922989	0.47602 	786   	0.124115 	3.42913	13 	9  	3  	786   	1.11797 
INFO:gp:14 	786   	0.824442	14 	0.923081	0.400998	786   	0.120717 	3.46139	14 	10 	3  	786   	1.10372 
INFO:gp:15 	768   	0.827088	15 	0.923876	0.434401	768   	0.121738 	3.51711	15 	14 	3  	768   	1.22831 
INFO:gp:16 	776   	0.822572	16 	0.923876	0.235777	776   	0.124071 	3.66862	16 	10 	3  	776   	1.28859 
INFO:gp:17 	773   	0.823827	17 	0.923876	0.452271	773   	0.121433 	3.95112	17 	11 	3  	773   	1.45091 
INFO:gp:18 	739   	0.830709	18 	0.923885	0.461043	739   	0.122737 	4.5914 	18 	12 	3  	739   	1.6852  
INFO:gp:19 	764   	0.828004	19 	0.924856	0.457267	764   	0.131858 	5.40567	19 	12 	3  	764   	1.62539 
INFO:gp:20 	808   	0.820895	20 	0.924856	0.444185	808   	0.131238 	5.60117	20 	12 	3  	808   	1.4861  
INFO:gp:21 	764   	0.827162	21 	0.926462	0.440872	764   	0.131715 	5.79179	21 	14 	3  	764   	1.73477 
INFO:gp:22 	763   	0.828826	22 	0.927375	0.469265	763   	0.132472 	6.23949	22 	13 	3  	763   	1.89415 
INFO:gp:23 	798   	0.826284	23 	0.927664	0.445806	798   	0.130487 	7.03519	23 	15 	3  	798   	2.02495 
INFO:gp:24 	795   	0.841829	24 	0.92908 	0.463057	795   	0.121433 	7.45161	24 	16 	3  	795   	2.22387 
INFO:gp:25 	768   	0.852286	25 	0.92908 	0.379326	768   	0.112071 	7.64614	25 	20 	3  	768   	2.56792 
INFO:gp:26 	774   	0.851006	26 	0.931531	0.414295	774   	0.116899 	8.04106	26 	17 	3  	774   	2.75672 
INFO:gp:27 	780   	0.850388	27 	0.931531	0.47208 	780   	0.11104  	8.97263	27 	21 	3  	780   	3.01466 
INFO:gp:28 	752   	0.859692	28 	0.931531	0.455409	752   	0.107616 	9.96872	28 	19 	3  	752   	2.9725  
INFO:gp:29 	738   	0.866191	29 	0.931945	0.482933	738   	0.103471 	10.5161	29 	23 	3  	738   	3.04567 
INFO:gp:30 	764   	0.873383	30 	0.932339	0.468392	764   	0.0955724	11.4585	30 	23 	3  	764   	2.8876  
INFO:gp:31 	763   	0.87227 	31 	0.932339	0.46616 	763   	0.10432  	11.8847	31 	30 	3  	763   	3.23749 
INFO:gp:32 	756   	0.873634	32 	0.932339	0.464695	756   	0.101966 	12.9951	32 	30 	3  	756   	3.74048 
INFO:gp:33 	768   	0.875562	33 	0.932341	0.467156	768   	0.0985697	14.5591	33 	30 	3  	768   	4.06138 
INFO:gp:34 	781   	0.877281	34 	0.932341	0.479421	781   	0.0973186	16.3793	34 	33 	3  	781   	4.91679 
INFO:gp:35 	774   	0.882116	35 	0.932341	0.486586	774   	0.0907654	17.0088	35 	34 	3  	774   	5.38969 
INFO:gp:36 	766   	0.883413	36 	0.932373	0.473553	766   	0.0904128	17.4878	36 	35 	3  	766   	5.31175 
INFO:gp:37 	751   	0.877172	37 	0.93256 	0.486002	751   	0.0988976	18.3206	37 	34 	3  	751   	5.72529 
INFO:gp:38 	780   	0.888088	38 	0.93256 	0.475526	780   	0.0882409	19.8045	38 	54 	3  	780   	6.63832 
INFO:gp:39 	780   	0.877202	39 	0.93256 	0.374408	780   	0.0989622	22.9032	39 	57 	3  	780   	7.25256 
INFO:gp:40 	767   	0.885196	40 	0.93256 	0.486242	767   	0.0923583	24.6452	40 	36 	3  	767   	6.5167  
INFO:gp:41 	781   	0.881696	41 	0.933169	0.488088	781   	0.091897 	23.3969	41 	34 	3  	781   	6.03807 
INFO:gp:42 	790   	0.886861	42 	0.933169	0.486769	790   	0.0870305	22.4575	42 	36 	3  	790   	4.83288 
INFO:gp:43 	788   	0.885416	43 	0.93322 	0.487094	788   	0.0874574	22.5709	43 	37 	3  	788   	4.98096 
INFO:gp:44 	789   	0.884729	44 	0.93322 	0.492575	789   	0.0874256	24.045 	44 	35 	3  	789   	4.87898 
INFO:gp:45 	768   	0.891087	45 	0.933388	0.337219	768   	0.0838278	25.7537	45 	38 	3  	768   	4.17692 
INFO:gp:46 	769   	0.894864	46 	0.9334  	0.479997	769   	0.0758354	26.218 	46 	46 	3  	769   	4.34873 
INFO:gp:47 	753   	0.893625	47 	0.933404	0.488155	753   	0.0829979	26.1398	47 	53 	3  	753   	4.38952 
INFO:gp:48 	756   	0.891343	48 	0.933426	0.43131 	756   	0.0805666	26.0508	48 	54 	3  	756   	4.84393 
INFO:gp:49 	772   	0.890274	49 	0.933493	0.489703	772   	0.0848605	25.9756	49 	40 	3  	772   	5.46296 
INFO:gp:50 	785   	0.887664	50 	0.933502	0.493217	785   	0.0858427	24.3128	50 	35 	3  	785   	6.36491 
INFO:gp:51 	791   	0.887342	51 	0.933502	0.378012	791   	0.0937523	22.9413	51 	35 	3  	791   	6.61779 
INFO:gp:52 	783   	0.884473	52 	0.933889	0.45337 	783   	0.0960045	21.0694	52 	35 	3  	783   	6.32394 
INFO:gp:53 	795   	0.885086	53 	0.933889	0.439209	795   	0.0891408	20.8739	53 	44 	3  	795   	6.50654 
INFO:gp:54 	754   	0.882043	54 	0.933889	0.481495	754   	0.0954664	22.6618	54 	46 	3  	754   	7.44383 
INFO:gp:55 	777   	0.885411	55 	0.933889	0.420589	777   	0.088757 	22.3978	55 	51 	3  	777   	8.33037 
INFO:gp:56 	743   	0.888161	56 	0.933889	0.481344	743   	0.0897705	22.2893	56 	46 	3  	743   	8.24339 
INFO:gp:57 	766   	0.886098	57 	0.934325	0.465261	766   	0.0886335	24.5543	57 	41 	3  	766   	8.71683 
INFO:gp:58 	766   	0.895496	58 	0.934745	0.458503	766   	0.0808452	28.2141	58 	67 	3  	766   	8.86028 
INFO:gp:59 	768   	0.896431	59 	0.934745	0.4472  	768   	0.0776698	30.9081	59 	49 	3  	768   	7.23082 
INFO:gp:60 	760   	0.894702	60 	0.934745	0.483959	760   	0.0813594	30.4409	60 	67 	3  	760   	7.42997 
INFO:gp:61 	781   	0.889461	61 	0.934745	0.448149	781   	0.0881241	28.3783	61 	45 	3  	781   	7.31197 
INFO:gp:62 	760   	0.890782	62 	0.934745	0.463185	760   	0.0858345	26.6588	62 	41 	3  	760   	6.70667 
INFO:gp:63 	765   	0.893944	63 	0.934745	0.446225	765   	0.0797509	27.8201	63 	45 	3  	765   	5.8909  
INFO:gp:64 	778   	0.895889	64 	0.934754	0.457111	778   	0.0827958	29.1789	64 	43 	3  	778   	4.89122 
INFO:gp:65 	755   	0.895375	65 	0.934754	0.354244	755   	0.0792749	29.4106	65 	41 	3  	755   	5.09725 
INFO:gp:66 	773   	0.893143	66 	0.934754	0.489924	773   	0.0834666	29.6246	66 	63 	3  	773   	5.33656 
INFO:gp:67 	752   	0.900148	67 	0.934754	0.487035	752   	0.0751304	30.001 	67 	45 	3  	752   	4.56162 
INFO:gp:68 	755   	0.892815	68 	0.934774	0.452063	755   	0.0838552	30.4976	68 	59 	3  	755   	4.90733 
INFO:gp:69 	770   	0.891735	69 	0.935086	0.465427	770   	0.0870533	31.1056	69 	41 	3  	770   	5.55736 
INFO:gp:70 	781   	0.894436	70 	0.935086	0.48173 	781   	0.0806848	32.1026	70 	55 	3  	781   	5.72165 
INFO:gp:71 	782   	0.895196	71 	0.935086	0.486662	782   	0.083113 	32.9159	71 	47 	3  	782   	5.08489 
INFO:gp:72 	767   	0.89727 	72 	0.935086	0.437095	767   	0.0784607	32.3832	72 	45 	3  	767   	5.24547 
INFO:gp:73 	762   	0.896329	73 	0.935086	0.48173 	762   	0.0797689	31.9541	73 	41 	3  	762   	5.06119 
INFO:gp:74 	768   	0.896059	74 	0.935086	0.495057	768   	0.0806292	31.5249	74 	45 	3  	768   	5.26939 
INFO:gp:75 	788   	0.89122 	75 	0.935086	0.455732	788   	0.0848792	32.0381	75 	53 	3  	788   	4.6839  
INFO:gp:76 	776   	0.897371	76 	0.935086	0.392495	776   	0.0793248	32.0332	76 	53 	3  	776   	4.56118 
INFO:gp:77 	789   	0.895703	77 	0.935086	0.505517	789   	0.0783841	31.9482	77 	42 	3  	789   	4.46713 
INFO:gp:78 	785   	0.894027	78 	0.935086	0.399513	785   	0.084784 	31.9961	78 	42 	3  	785   	4.4885  
INFO:gp:79 	779   	0.894284	79 	0.935086	0.447553	779   	0.0802499	32.0704	79 	42 	3  	779   	4.14909 
INFO:gp:80 	768   	0.898594	80 	0.935086	0.51356 	768   	0.0729623	32.002 	80 	46 	3  	768   	4.50589 
