INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std    
0  	1023  	0.503238	0  	0.738242	0.317014	1023  	0.0546704	3.4741	0  	7  	2  	1023  	1.28723
INFO:gp:1  	754   	0.546979	1  	0.816199	0.199267	754   	0.0618682	3.64516	1  	9  	2  	754   	1.44098
INFO:gp:2  	778   	0.579541	2  	0.85403 	0.199267	778   	0.0724289	4.05181	2  	10 	2  	778   	1.62827
INFO:gp:3  	763   	0.615041	3  	0.871986	0.265541	763   	0.0913198	4.38612	3  	13 	2  	763   	1.70803
INFO:gp:4  	805   	0.654689	4  	0.893773	0.199267	805   	0.11478  	4.4868 	4  	10 	2  	805   	1.56688
INFO:gp:5  	774   	0.711437	5  	0.894172	0.199267	774   	0.129999 	4.81525	5  	12 	2  	774   	1.52659
INFO:gp:6  	758   	0.756987	6  	0.913177	0.244234	758   	0.133339 	5.5523 	6  	13 	2  	758   	1.66822
INFO:gp:7  	772   	0.772805	7  	0.914306	0.330329	772   	0.131326 	6.24047	7  	13 	2  	772   	1.88756
INFO:gp:8  	789   	0.795953	8  	0.918537	0.43394 	789   	0.122174 	6.37243	8  	15 	2  	789   	2.08779
INFO:gp:9  	764   	0.789636	9  	0.918537	0.404351	764   	0.134609 	6.42033	9  	17 	2  	764   	2.20797
INFO:gp:10 	768   	0.813398	10 	0.919899	0.416424	768   	0.127488 	6.82698	10 	16 	2  	768   	2.33139
INFO:gp:11 	756   	0.830834	11 	0.919899	0.40461 	756   	0.115968 	7.64027	11 	16 	2  	756   	2.32829
INFO:gp:12 	768   	0.831888	12 	0.922615	0.369114	768   	0.117097 	7.93744	12 	19 	2  	768   	2.39746
INFO:gp:13 	788   	0.834042	13 	0.922642	0.431033	788   	0.111108 	8.07136	13 	18 	3  	788   	2.29151
INFO:gp:14 	779   	0.838289	14 	0.922642	0.327999	779   	0.110208 	8.06354	14 	18 	2  	779   	2.29174
INFO:gp:15 	759   	0.842463	15 	0.922642	0.253286	759   	0.114567 	8.04399	15 	18 	2  	759   	2.31553
INFO:gp:16 	751   	0.839842	16 	0.92337 	0.427564	751   	0.11461  	7.92473	16 	18 	2  	751   	2.30754
INFO:gp:17 	747   	0.84163 	17 	0.923385	0.415019	747   	0.11683  	8.5826 	17 	18 	2  	747   	2.81574
INFO:gp:18 	779   	0.842307	18 	0.923456	0.223465	779   	0.113348 	9.94037	18 	24 	4  	779   	3.31579
INFO:gp:19 	760   	0.847387	19 	0.923615	0.308121	760   	0.112024 	11.5396	19 	24 	3  	760   	3.47089
INFO:gp:20 	782   	0.851218	20 	0.923754	0.471823	782   	0.11171  	13.1515	20 	28 	5  	782   	3.32494
INFO:gp:21 	777   	0.860345	21 	0.92412 	0.448399	777   	0.102296 	14.6295	21 	31 	5  	777   	3.22996
INFO:gp:22 	774   	0.857065	22 	0.92412 	0.502761	774   	0.108299 	15.8485	22 	40 	6  	774   	3.89494
INFO:gp:23 	761   	0.862708	23 	0.924584	0.445066	761   	0.102654 	16.8035	23 	40 	6  	761   	4.38979
INFO:gp:24 	754   	0.861357	24 	0.924584	0.481214	754   	0.103584 	18.1261	24 	40 	5  	754   	5.45601
INFO:gp:25 	738   	0.866523	25 	0.924653	0.483224	738   	0.0997205	19.1144	25 	40 	5  	738   	5.50674
INFO:gp:26 	765   	0.871661	26 	0.925055	0.454414	765   	0.0972532	19.2815	26 	40 	8  	765   	5.19295
INFO:gp:27 	764   	0.868999	27 	0.925502	0.486179	764   	0.099126 	18.4966	27 	39 	5  	764   	3.905  
INFO:gp:28 	779   	0.862564	28 	0.925502	0.459505	779   	0.0995359	18.5327	28 	39 	2  	779   	3.91761
INFO:gp:29 	778   	0.867559	29 	0.925502	0.484028	778   	0.0964693	18.958 	29 	39 	5  	778   	4.44816
INFO:gp:30 	761   	0.869587	30 	0.925709	0.486811	761   	0.0943798	20.6295	30 	41 	7  	761   	6.04096
INFO:gp:31 	778   	0.87669 	31 	0.925709	0.507805	778   	0.0865992	23.8074	31 	41 	9  	778   	7.47384
INFO:gp:32 	782   	0.878627	32 	0.9259  	0.472725	782   	0.0901214	26.7928	32 	42 	7  	782   	7.77532
INFO:gp:33 	795   	0.882263	33 	0.927129	0.502614	795   	0.083618 	28.219 	33 	43 	8  	795   	8.05061
INFO:gp:34 	752   	0.884497	34 	0.92736 	0.456613	752   	0.0824674	28.6647	34 	44 	3  	752   	7.88182
INFO:gp:35 	764   	0.885474	35 	0.92736 	0.512647	764   	0.0810455	30.2473	35 	45 	7  	764   	8.22071
INFO:gp:36 	792   	0.885163	36 	0.928136	0.515308	792   	0.0826191	30.7869	36 	46 	7  	792   	8.06229
INFO:gp:37 	781   	0.890508	37 	0.928994	0.499247	781   	0.0755873	29.7664	37 	46 	9  	781   	7.17163
INFO:gp:38 	779   	0.886924	38 	0.929482	0.510955	779   	0.082706 	27.0303	38 	46 	5  	779   	5.95208
INFO:gp:39 	776   	0.889623	39 	0.931003	0.46971 	776   	0.0787426	25.3138	39 	44 	7  	776   	5.82846
INFO:gp:40 	811   	0.884983	40 	0.931124	0.4875  	811   	0.0840163	24.043 	40 	44 	5  	811   	5.86923
INFO:gp:41 	732   	0.889923	41 	0.93185 	0.494165	732   	0.0797487	22.6882	41 	42 	6  	732   	5.07572
INFO:gp:42 	781   	0.887955	42 	0.931999	0.494612	781   	0.0805841	22.7957	42 	37 	7  	781   	5.02061
INFO:gp:43 	764   	0.891313	43 	0.931999	0.497382	764   	0.0793228	21.5875	43 	36 	4  	764   	4.44516
INFO:gp:44 	754   	0.891957	44 	0.932939	0.500922	754   	0.0771555	19.8338	44 	36 	5  	754   	3.61432
INFO:gp:45 	794   	0.889381	45 	0.935272	0.439581	794   	0.0822902	19.434 	45 	30 	9  	794   	3.37713
INFO:gp:46 	755   	0.896241	46 	0.935507	0.496952	755   	0.0734884	20.4096	46 	32 	10 	755   	3.79501
INFO:gp:47 	777   	0.893743	47 	0.935507	0.455825	777   	0.0813429	22.086 	47 	38 	10 	777   	3.63248
