INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.500347	0  	0.879864	0.294805	1023  	0.055584	3.48583	0  	7  	2  	1023  	1.35185
INFO:gp:1  	785   	0.549304	1  	0.879864	0.366439	785   	0.0619261	3.81036	1  	11 	2  	785   	1.54034
INFO:gp:2  	784   	0.588832	2  	0.888574	0.332542	784   	0.0816435	4.18866	2  	13 	2  	784   	1.68907
INFO:gp:3  	783   	0.650105	3  	0.907428	0.358975	783   	0.103613 	4.93646	3  	14 	2  	783   	1.67053
INFO:gp:4  	786   	0.713753	4  	0.907428	0.377238	786   	0.127234 	5.69013	4  	11 	2  	786   	1.40616
INFO:gp:5  	778   	0.776637	5  	0.907428	0.356557	778   	0.136931 	5.90127	5  	12 	2  	778   	1.23449
INFO:gp:6  	770   	0.794188	6  	0.907428	0.356712	770   	0.140801 	6.08798	6  	13 	2  	770   	1.39125
INFO:gp:7  	786   	0.799227	7  	0.912901	0.339717	786   	0.135916 	6.19746	7  	12 	2  	786   	1.43892
INFO:gp:8  	763   	0.809428	8  	0.914352	0.361995	763   	0.13031  	6.29228	8  	14 	2  	763   	1.36912
INFO:gp:9  	769   	0.84008 	9  	0.914352	0.372119	769   	0.104774 	6.6393 	9  	13 	3  	769   	1.39399
INFO:gp:10 	775   	0.845881	10 	0.914389	0.391088	775   	0.103395 	6.88074	10 	13 	3  	775   	1.47692
INFO:gp:11 	761   	0.844949	11 	0.914395	0.366842	761   	0.10817  	6.98436	11 	13 	3  	761   	1.54747
INFO:gp:12 	781   	0.845362	12 	0.914464	0.398048	781   	0.107509 	7.03519	12 	14 	3  	781   	1.65166
INFO:gp:13 	782   	0.840246	13 	0.914753	0.441955	782   	0.111835 	7.24829	13 	16 	3  	782   	1.8012 
INFO:gp:14 	755   	0.849208	14 	0.917394	0.486685	755   	0.102506 	7.36852	14 	16 	4  	755   	1.79662
INFO:gp:15 	814   	0.842292	15 	0.917394	0.398115	814   	0.102051 	7.30694	15 	16 	3  	814   	1.92265
INFO:gp:16 	761   	0.846129	16 	0.917533	0.452152	761   	0.105672 	7.49853	16 	16 	5  	761   	2.10147
INFO:gp:17 	794   	0.847392	17 	0.917604	0.427011	794   	0.10378  	7.98436	17 	19 	3  	794   	2.25798
INFO:gp:18 	769   	0.848666	18 	0.917604	0.447576	769   	0.102532 	8.37146	18 	18 	4  	769   	2.14318
INFO:gp:19 	778   	0.844309	19 	0.918009	0.436835	778   	0.107204 	8.52786	19 	18 	4  	778   	1.93162
INFO:gp:20 	774   	0.848395	20 	0.918009	0.478025	774   	0.102208 	8.78104	20 	20 	5  	774   	2.15729
INFO:gp:21 	748   	0.84513 	21 	0.918406	0.46076 	748   	0.106794 	8.83382	21 	16 	5  	748   	2.30765
INFO:gp:22 	797   	0.843917	22 	0.919524	0.43646 	797   	0.10814  	9.13881	22 	18 	5  	797   	2.52423
INFO:gp:23 	787   	0.839894	23 	0.919524	0.486021	787   	0.11045  	9.22385	23 	17 	3  	787   	2.5618 
INFO:gp:24 	775   	0.843428	24 	0.919592	0.471586	775   	0.107347 	9.76344	24 	20 	5  	775   	2.66925
INFO:gp:25 	789   	0.848144	25 	0.92113 	0.414992	789   	0.106661 	10.1672	25 	19 	6  	789   	2.63416
INFO:gp:26 	779   	0.854326	26 	0.92113 	0.460679	779   	0.0997654	10.564 	26 	23 	5  	779   	2.35084
INFO:gp:27 	753   	0.860473	27 	0.92113 	0.454554	753   	0.0968999	10.3627	27 	24 	5  	753   	2.19135
INFO:gp:28 	777   	0.862461	28 	0.921218	0.459049	777   	0.0954087	10.2854	28 	21 	4  	777   	2.23599
INFO:gp:29 	768   	0.858118	29 	0.921471	0.425695	768   	0.0971376	10.8192	29 	21 	3  	768   	2.37483
INFO:gp:30 	759   	0.8613  	30 	0.921783	0.475694	759   	0.0959441	11.3118	30 	21 	5  	759   	2.57166
INFO:gp:31 	797   	0.858776	31 	0.921783	0.461789	797   	0.0996013	12.0743	31 	21 	3  	797   	2.63341
INFO:gp:32 	787   	0.862463	32 	0.921898	0.47095 	787   	0.0941012	12.7419	32 	23 	5  	787   	2.74385
INFO:gp:33 	768   	0.867699	33 	0.923067	0.468146	768   	0.0911109	13.4848	33 	23 	5  	768   	2.82489
INFO:gp:34 	814   	0.862523	34 	0.923271	0.493809	814   	0.0927594	14.2209	34 	23 	7  	814   	3.04095
INFO:gp:35 	765   	0.879303	35 	0.923271	0.481002	765   	0.0780845	14.6442	35 	27 	9  	765   	3.09676
INFO:gp:36 	762   	0.880408	36 	0.923469	0.487103	762   	0.080431 	15.4252	36 	27 	6  	762   	2.95552
INFO:gp:37 	778   	0.879158	37 	0.924088	0.402395	778   	0.0828565	15.349 	37 	27 	7  	778   	2.64638
INFO:gp:38 	801   	0.87379 	38 	0.924088	0.468514	801   	0.085059 	14.915 	38 	28 	6  	801   	2.58191
INFO:gp:39 	732   	0.875411	39 	0.924088	0.46494 	732   	0.0890043	14.8886	39 	28 	5  	732   	2.57275
INFO:gp:40 	791   	0.871743	40 	0.924629	0.476234	791   	0.0913678	15.393 	40 	27 	6  	791   	2.77505
INFO:gp:41 	805   	0.87644 	41 	0.924629	0.491193	805   	0.0832919	16.2884	41 	31 	9  	805   	3.10172
INFO:gp:42 	747   	0.88154 	42 	0.924629	0.479708	747   	0.0813277	17.174 	42 	30 	7  	747   	3.2045 
INFO:gp:43 	774   	0.883942	43 	0.925024	0.476918	774   	0.0779223	17.697 	43 	27 	9  	774   	3.17401
INFO:gp:44 	755   	0.886497	44 	0.925024	0.49776 	755   	0.0748432	17.8152	44 	28 	9  	755   	2.89741
INFO:gp:45 	791   	0.879078	45 	0.925024	0.4908  	791   	0.0806173	17.48  	45 	28 	7  	791   	2.55943
INFO:gp:46 	775   	0.883367	46 	0.925068	0.471429	775   	0.0807826	17.6031	46 	27 	6  	775   	2.17308
INFO:gp:47 	759   	0.88034 	47 	0.925333	0.479746	759   	0.0819849	17.6725	47 	27 	7  	759   	2.19599
INFO:gp:48 	789   	0.889384	48 	0.925333	0.480472	789   	0.073104 	18.0371	48 	30 	8  	789   	2.16625
INFO:gp:49 	767   	0.886237	49 	0.92625 	0.479829	767   	0.0780214	18.087 	49 	31 	8  	767   	2.0953 
INFO:gp:50 	757   	0.887537	50 	0.926636	0.479447	757   	0.0793212	18.3245	50 	30 	8  	757   	2.3238 
INFO:gp:51 	759   	0.879347	51 	0.926646	0.476939	759   	0.0832371	18.4575	51 	33 	8  	759   	2.65366
INFO:gp:52 	751   	0.886809	52 	0.9268  	0.472601	751   	0.0755105	18.3529	52 	31 	7  	751   	2.88922
