INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50231	0  	0.726778	0.324002	1023  	0.0545944	3.50831	0  	7  	2  	1023  	1.34973
INFO:gp:1  	766   	0.550304	1  	0.75567 	0.199464	766   	0.0579399	3.78983	1  	11 	2  	766   	1.58   
INFO:gp:2  	768   	0.580429	2  	0.840927	0.317124	768   	0.0731828	4.27761	2  	12 	2  	768   	1.78655
INFO:gp:3  	789   	0.6169  	3  	0.883027	0.306192	789   	0.0885339	4.69306	3  	14 	2  	789   	1.90785
INFO:gp:4  	777   	0.640458	4  	0.890041	0.293182	777   	0.106639 	4.73216	4  	13 	2  	777   	1.89422
INFO:gp:5  	780   	0.661691	5  	0.890041	0.253008	780   	0.122124 	4.57674	5  	12 	1  	780   	1.71467
INFO:gp:6  	757   	0.69759 	6  	0.890041	0.247556	757   	0.130941 	4.739  	6  	13 	2  	757   	1.68697
INFO:gp:7  	745   	0.715172	7  	0.896879	0.263088	745   	0.140551 	4.6784 	7  	14 	2  	745   	1.67764
INFO:gp:8  	764   	0.733535	8  	0.906746	0.265852	764   	0.148758 	4.66862	8  	12 	2  	764   	1.64749
INFO:gp:9  	764   	0.754958	9  	0.915522	0.276279	764   	0.146467 	4.91984	9  	13 	2  	764   	1.67654
INFO:gp:10 	786   	0.776105	10 	0.915591	0.342512	786   	0.146079 	5.15249	10 	12 	2  	786   	1.58937
INFO:gp:11 	778   	0.788786	11 	0.915591	0.320115	778   	0.152251 	5.64321	11 	13 	2  	778   	1.79735
INFO:gp:12 	788   	0.80961 	12 	0.915591	0.343388	788   	0.144734 	6.32942	12 	16 	2  	788   	2.13155
INFO:gp:13 	774   	0.818297	13 	0.915591	0.145021	774   	0.146146 	7.00293	13 	16 	2  	774   	2.05425
INFO:gp:14 	786   	0.830484	14 	0.915593	0.359608	786   	0.138898 	6.95797	14 	16 	2  	786   	1.91949
INFO:gp:15 	762   	0.818888	15 	0.915593	0.336068	762   	0.148498 	7.28055	15 	17 	2  	762   	2.11878
INFO:gp:16 	788   	0.833376	16 	0.915593	0.349675	788   	0.136374 	7.97556	16 	16 	2  	788   	2.1058 
INFO:gp:17 	764   	0.826906	17 	0.915593	0.325333	764   	0.142737 	8.24536	17 	17 	2  	764   	2.1978 
INFO:gp:18 	759   	0.834786	18 	0.915678	0.419076	759   	0.134436 	8.95308	18 	19 	2  	759   	2.54034
INFO:gp:19 	784   	0.834901	19 	0.915678	0.295281	784   	0.140474 	10.435 	19 	21 	2  	784   	2.7967 
INFO:gp:20 	787   	0.833853	20 	0.915678	0.361232	787   	0.138357 	11.3988	20 	21 	2  	787   	2.49913
INFO:gp:21 	795   	0.835002	21 	0.915678	0.278147	795   	0.138156 	11.6022	21 	23 	2  	795   	2.62909
INFO:gp:22 	760   	0.844691	22 	0.915916	0.329318	760   	0.131125 	11.7967	22 	22 	2  	760   	2.60568
INFO:gp:23 	762   	0.838261	23 	0.915964	0.252431	762   	0.137934 	11.7918	23 	25 	2  	762   	2.83096
INFO:gp:24 	778   	0.836591	24 	0.915964	0.301801	778   	0.141056 	11.1779	24 	20 	2  	778   	2.62993
INFO:gp:25 	775   	0.838519	25 	0.915964	0.384452	775   	0.13727  	11.4555	25 	20 	2  	775   	2.89971
INFO:gp:26 	751   	0.845817	26 	0.916351	0.242542	751   	0.133731 	12.1408	26 	23 	2  	751   	3.05373
INFO:gp:27 	784   	0.836974	27 	0.916365	0.321789	784   	0.138432 	11.1896	27 	23 	2  	784   	3.07597
INFO:gp:28 	774   	0.841726	28 	0.916818	0.281927	774   	0.136815 	10.9521	28 	21 	2  	774   	2.58325
INFO:gp:29 	795   	0.845359	29 	0.916818	0.366535	795   	0.131996 	10.9717	29 	26 	2  	795   	2.74818
