INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                            fitness                             	                      size                     
   	      	----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.500366	0  	0.67741	0.185794	1023  	0.056174	3.54643	0  	7  	2  	1023  	1.40782
INFO:gp:1  	752   	0.549723	1  	0.785236	0.341878	752   	0.054003	3.72923	1  	10 	2  	752   	1.55448
INFO:gp:2  	737   	0.57961 	2  	0.812397	0.356992	737   	0.0681673	3.70968	2  	11 	1  	737   	1.47669
INFO:gp:3  	777   	0.607782	3  	0.829703	0.283462	777   	0.0881141	4.0782 	3  	11 	1  	777   	1.54747
INFO:gp:4  	795   	0.643274	4  	0.850068	0.28906 	795   	0.100332 	4.13001	4  	15 	1  	795   	1.57439
INFO:gp:5  	788   	0.679998	5  	0.862469	0.290271	788   	0.112775 	4.52199	5  	11 	1  	788   	1.57921
INFO:gp:6  	774   	0.706322	6  	0.868082	0.252623	774   	0.124084 	4.80743	6  	12 	2  	774   	1.66179
INFO:gp:7  	767   	0.739052	7  	0.882846	0.305547	767   	0.121814 	4.69795	7  	11 	2  	767   	1.57313
INFO:gp:8  	800   	0.758001	8  	0.899718	0.317848	800   	0.116864 	4.37634	8  	12 	2  	800   	1.57637
INFO:gp:9  	784   	0.790073	9  	0.899718	0.386866	784   	0.102884 	4.33431	9  	12 	3  	784   	1.5354 
INFO:gp:10 	767   	0.810479	10 	0.899718	0.411892	767   	0.0994854	4.5259 	10 	12 	3  	767   	1.58039
INFO:gp:11 	786   	0.811478	11 	0.901353	0.410684	786   	0.108994 	4.67253	11 	13 	3  	786   	1.84738
INFO:gp:12 	783   	0.817956	12 	0.901353	0.331397	783   	0.110234 	4.5259 	12 	12 	3  	783   	1.96675
