INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
INFO:gp:0  	1023  	0.502044	0  	0.796611	0.234641	1023  	0.0562613	3.54154	0  	7  	2  	1023  	1.34404
INFO:gp:1  	769   	0.546238	1  	0.798692	0.344855	769   	0.0582066	3.74194	1  	11 	2  	769   	1.43203
INFO:gp:2  	777   	0.578637	2  	0.834214	0.378045	777   	0.0687272	3.93451	2  	12 	1  	777   	1.54458
INFO:gp:3  	758   	0.616952	3  	0.834214	0.30788 	758   	0.0897678	3.87781	3  	11 	1  	758   	
INFO:gp:4  	759   	0.665439	4  	0.892245	0.238403	759   	0.109788 	3.82307	4  	11 	1  	759   	1.35382
INFO:gp:5  	787   	0.707894	5  	0.892245	0.39088 	787   	0.118755 	3.75855	5  	10 	1  	787   	1.09801
INFO:gp:6  	803   	0.73039 	6  	0.906462	0.347203	803   	0.127068 	3.80743	6  	10 	2  	803   	1.08534
INFO:gp:7  	770   	0.737545	7  	0.906462	0.349021	770   	0.136229 	3.81134	7  	12 	2  	770   	1.11183
INFO:gp:8  	766   	0.763622	8  	0.907162	0.368713	766   	0.134389 	3.90225	8  	13 	3  	766   	1.30501
INFO:gp:9  	754   	0.775206	9  	0.907162	0.368508	754   	0.137848 	4.05474	9  	10 	2  	754   	1.42418
INFO:gp:10 	786   	0.788343	10 	0.909133	0.355694	786   	0.137279 	3.97361	10 	11 	2  	786   	1.33759
INFO:gp:11 	804   	0.817183	11 	0.909133	0.416906	804   	0.127839 	3.80059	11 	11 	2  	804   	1.31661
INFO:gp:12 	783   	0.807369	12 	0.909133	0.289293	783   	0.13644  	3.82991	12 	10 	2  	783   	1.10469
INFO:gp:13 	771   	0.800315	13 	0.909133	0.188409	771   	0.146019 	4.17986	13 	12 	2  	771   	1.16099
INFO:gp:14 	768   	0.784007	14 	0.909298	0.371111	768   	0.160591 	4.41935	14 	11 	3  	768   	1.06168
INFO:gp:15 	749   	0.792697	15 	0.909446	0.365883	749   	0.163414 	4.74096	15 	11 	3  	749   	1.22947
INFO:gp:16 	793   	0.777964	16 	0.909446	0.415753	793   	0.172185 	4.90225	16 	13 	3  	793   	1.40597
INFO:gp:17 	750   	0.791464	17 	0.909446	0.454313	750   	0.165976 	5.45064	17 	14 	3  	750   	1.69792
INFO:gp:18 	793   	0.783981	18 	0.909446	0.458826	793   	0.165267 	5.91691	18 	15 	3  	793   	1.81499
INFO:gp:19 	770   	0.778075	19 	0.909561	0.395819	770   	0.167188 	6.02444	19 	12 	3  	770   	1.85348
INFO:gp:20 	772   	0.779741	20 	0.909837	0.454407	772   	0.166476 	5.87488	20 	13 	3  	772   	2.04733
INFO:gp:21 	746   	0.784455	21 	0.909837	0.454272	746   	0.166163 	5.76931	21 	15 	3  	746   	2.21775
INFO:gp:22 	769   	0.777636	22 	0.909837	0.403821	769   	0.167445 	5.9042 	22 	13 	3  	769   	2.37423
INFO:gp:23 	770   	0.773336	23 	0.909837	0.426929	770   	0.169819 	5.69501	23 	15 	3  	770   	2.36851
INFO:gp:24 	773   	0.794084	24 	0.909848	0.466191	773   	0.161249 	6.27664	24 	15 	3  	773   	2.59119
INFO:gp:25 	770   	0.780787	25 	0.910554	0.452152	770   	0.167982 	6.90029	25 	16 	3  	770   	2.59894
INFO:gp:26 	781   	0.786528	26 	0.910554	0.433127	781   	0.163806 	6.87292	26 	16 	3  	781   	2.59398
INFO:gp:27 	763   	0.773939	27 	0.910564	0.447966	763   	0.171299 	6.75953	27 	18 	3  	763   	2.67475
INFO:gp:28 	770   	0.781452	28 	0.910564	0.45286 	770   	0.166763 	6.75855	28 	16 	3  	770   	2.62802
INFO:gp:29 	810   	0.771992	29 	0.910588	0.446727	810   	0.168537 	7.84066	29 	19 	3  	810   	2.78261
INFO:gp:30 	771   	0.797038	30 	0.911038	0.384442	771   	0.157375 	8.93353	30 	19 	3  	771   	3.00659
INFO:gp:31 	768   	0.794708	31 	0.911042	0.473387	768   	0.159569 	9.58847	31 	19 	3  	768   	3.26625
INFO:gp:32 	791   	0.79644 	32 	0.911042	0.384456	791   	0.157789 	9.81623	32 	21 	3  	791   	3.25   
INFO:gp:33 	766   	0.807018	33 	0.911123	0.472618	766   	0.151565 	10.6432	33 	24 	3  	766   	3.38197
INFO:gp:34 	785   	0.808853	34 	0.91152 	0.466587	785   	0.15053  	11.4125	34 	20 	3  	785   	3.35573
INFO:gp:35 	777   	0.800428	35 	0.91152 	0.458913	777   	0.156795 	12.2366	35 	22 	3  	777   	3.42162
INFO:gp:36 	749   	0.807401	36 	0.911817	0.485776	749   	0.152332 	13.3978	36 	24 	3  	749   	3.07563
INFO:gp:37 	785   	0.795328	37 	0.911817	0.475809	785   	0.157955 	13.7996	37 	26 	3  	785   	3.20128
INFO:gp:38 	767   	0.812898	38 	0.912091	0.431935	767   	0.148746 	14.0166	38 	25 	3  	767   	3.83057
INFO:gp:39 	777   	0.802291	39 	0.912162	0.495087	777   	0.153097 	14.6393	39 	25 	3  	777   	4.13268
INFO:gp:40 	785   	0.801266	40 	0.912162	0.41928 	785   	0.154358 	14.9374	40 	26 	3  	785   	4.43791
INFO:gp:41 	759   	0.816337	41 	0.912513	0.504863	759   	0.145588 	16.1369	41 	37 	3  	759   	4.17023
INFO:gp:42 	768   	0.815698	42 	0.912513	0.452434	768   	0.147421 	16.7028	42 	31 	3  	768   	3.49608
INFO:gp:43 	775   	0.820713	43 	0.912513	0.338646	775   	0.143152 	17.1095	43 	32 	3  	775   	3.30019
INFO:gp:44 	778   	0.814677	44 	0.913004	0.416778	778   	0.147041 	17.7449	44 	28 	3  	778   	3.29436
INFO:gp:45 	760   	0.81086 	45 	0.913236	0.455285	760   	0.150378 	17.9433	45 	33 	3  	760   	3.45912
INFO:gp:46 	773   	0.81236 	46 	0.913236	0.473428	773   	0.150001 	18.4936	46 	37 	3  	773   	3.53612
INFO:gp:47 	764   	0.812638	47 	0.913405	0.458816	764   	0.149529 	18.5562	47 	29 	3  	764   	3.431  
INFO:gp:48 	781   	0.810536	48 	0.913405	0.467976	781   	0.14972  	18.6901	48 	26 	3  	781   	3.46365
INFO:gp:49 	769   	0.810741	49 	0.913405	0.432855	769   	0.149642 	19.0088	49 	30 	3  	769   	3.60662
INFO:gp:50 	765   	0.805631	50 	0.915431	0.488359	765   	0.152938 	19.607 	50 	34 	3  	765   	3.80487
INFO:gp:51 	777   	0.808165	51 	0.915431	0.492184	777   	0.150676 	20.5337	51 	47 	3  	777   	4.16598
INFO:gp:52 	802   	0.81602 	52 	0.915431	0.370082	802   	0.147538 	21.1994	52 	47 	3  	802   	4.63204
INFO:gp:53 	780   	0.805632	53 	0.916043	0.464528	780   	0.154703 	20.9609	53 	38 	3  	780   	4.82747
INFO:gp:54 	763   	0.805812	54 	0.916068	0.428648	763   	0.154632 	18.7869	54 	41 	3  	763   	5.28259
INFO:gp:55 	783   	0.811965	55 	0.916212	0.428211	783   	0.151996 	17.6403	55 	34 	3  	783   	4.63882
INFO:gp:56 	777   	0.816714	56 	0.917152	0.487265	777   	0.150548 	17.607 	56 	33 	3  	777   	3.8136 
INFO:gp:57 	761   	0.818869	57 	0.917152	0.49654 	761   	0.149603 	16.9198	57 	33 	3  	761   	3.63719
INFO:gp:58 	769   	0.810025	58 	0.917152	0.316899	769   	0.159308 	15.9531	58 	29 	3  	769   	3.48404
INFO:gp:59 	772   	0.815247	59 	0.917152	0.474303	772   	0.151543 	15.7067	59 	34 	3  	772   	3.47059
INFO:gp:60 	767   	0.811629	60 	0.917152	0.415965	767   	0.156591 	16.085 	60 	31 	3  	767   	3.35656
INFO:gp:61 	773   	0.819342	61 	0.917152	0.479367	773   	0.150639 	16.4027	61 	25 	3  	773   	3.0387 
INFO:gp:62 	774   	0.816164	62 	0.917152	0.475772	774   	0.153954 	16.8211	62 	33 	3  	774   	3.34001
INFO:gp:63 	790   	0.811539	63 	0.917152	0.486922	790   	0.154357 	17.1212	63 	33 	3  	790   	3.31397
INFO:gp:64 	769   	0.821485	64 	0.917837	0.505258	769   	0.147657 	17.2356	64 	33 	3  	769   	2.78036
INFO:gp:65 	763   	0.80702 	65 	0.917837	0.484631	763   	0.158475 	17.0948	65 	33 	3  	763   	3.10894
INFO:gp:66 	783   	0.810905	66 	0.917837	0.417676	783   	0.155467 	17.1515	66 	33 	3  	783   	3.01341
INFO:gp:67 	780   	0.817109	67 	0.917837	0.459211	780   	0.153698 	17.1535	67 	33 	3  	780   	2.90833
INFO:gp:68 	811   	0.826431	68 	0.917837	0.486942	811   	0.145195 	16.7791	68 	32 	3  	811   	3.18324
INFO:gp:69 	777   	0.818917	69 	0.917837	0.421157	777   	0.149262 	16.6354	69 	25 	3  	777   	3.10818
INFO:gp:70 	763   	0.828687	70 	0.917837	0.497488	763   	0.144626 	16.5191	70 	23 	3  	763   	2.84555
INFO:gp:71 	787   	0.816759	71 	0.917837	0.460539	787   	0.152727 	16.4106	71 	31 	3  	787   	2.97851
INFO:gp:72 	783   	0.816488	72 	0.917837	0.349941	783   	0.153412 	16.5357	72 	31 	3  	783   	2.68161
INFO:gp:73 	758   	0.819517	73 	0.917837	0.453485	758   	0.152486 	16.3529	73 	31 	3  	758   	2.95082
INFO:gp:74 	754   	0.8053  	74 	0.918586	0.450904	754   	0.157769 	16.3382	74 	31 	3  	754   	2.97546
INFO:gp:75 	794   	0.81855 	75 	0.918586	0.398786	794   	0.150248 	16.3324	75 	26 	3  	794   	2.83067
INFO:gp:76 	739   	0.816412	76 	0.919008	0.474944	739   	0.149556 	16.4291	76 	32 	3  	739   	2.90491
INFO:gp:77 	760   	0.818464	77 	0.919008	0.460889	760   	0.148472 	16.2962	77 	32 	3  	760   	3.0059 
INFO:gp:78 	769   	0.826113	78 	0.919008	0.376217	769   	0.141763 	16.4106	78 	31 	3  	769   	2.66243
INFO:gp:79 	768   	0.844336	79 	0.919008	0.449113	768   	0.122244 	16.4037	79 	26 	3  	768   	2.56266
INFO:gp:80 	782   	0.845927	80 	0.919008	0.404323	782   	0.120026 	16.433 	80 	31 	3  	782   	2.55404
INFO:gp:81 	757   	0.856222	81 	0.919027	0.498066	757   	0.105355 	16.6266	81 	31 	3  	757   	2.3562 
INFO:gp:82 	778   	0.849731	82 	0.919218	0.405634	778   	0.10928  	16.5523	82 	31 	4  	778   	2.39887
INFO:gp:83 	789   	0.851412	83 	0.919218	0.457138	789   	0.112266 	16.5885	83 	31 	6  	789   	2.50039
INFO:gp:84 	809   	0.851762	84 	0.919218	0.449303	809   	0.110306 	16.6735	84 	36 	7  	809   	2.33946
INFO:gp:85 	759   	0.860016	85 	0.919218	0.477364	759   	0.103278 	16.7977	85 	31 	6  	759   	2.22777
INFO:gp:86 	785   	0.859589	86 	0.919341	0.48789 	785   	0.101895 	16.8983	86 	31 	5  	785   	1.94284
INFO:gp:87 	783   	0.868906	87 	0.919449	0.487741	783   	0.0941857	16.8895	87 	28 	3  	783   	1.85509
INFO:gp:88 	795   	0.859009	88 	0.919449	0.461465	795   	0.104256 	16.8016	88 	31 	5  	795   	1.88857
INFO:gp:89 	758   	0.863331	89 	0.919449	0.452177	758   	0.0985544	17.0147	89 	31 	11 	758   	1.66758
INFO:gp:90 	774   	0.864198	90 	0.921126	0.469999	774   	0.100841 	16.9238	90 	31 	6  	774   	1.67963
INFO:gp:91 	783   	0.861851	91 	0.921126	0.429747	783   	0.101653 	17.0196	91 	31 	7  	783   	1.72544
INFO:gp:92 	788   	0.861945	92 	0.921126	0.493792	788   	0.103546 	17.1369	92 	31 	11 	788   	1.82329
INFO:gp:93 	790   	0.861077	93 	0.921126	0.434453	790   	0.10714  	17.217 	93 	31 	11 	790   	1.71698
INFO:gp:94 	749   	0.865163	94 	0.921126	0.416081	749   	0.103214 	17.2258	94 	33 	10 	749   	1.76166
INFO:gp:95 	774   	0.860868	95 	0.921126	0.433345	774   	0.105449 	17.3304	95 	31 	12 	774   	1.70226
INFO:gp:96 	754   	0.863322	96 	0.922147	0.454424	754   	0.100728 	17.6432	96 	34 	3  	754   	2.21317
INFO:gp:97 	750   	0.859286	97 	0.922147	0.442679	750   	0.106489 	17.7957	97 	31 	7  	750   	2.14806
INFO:gp:98 	795   	0.860106	98 	0.922147	0.449484	795   	0.100237 	17.7458	98 	34 	7  	795   	2.23364
INFO:gp:99 	763   	0.859399	99 	0.922147	0.47812 	763   	0.102447 	17.9492	99 	36 	8  	763   	2.273  
INFO:gp:100	778   	0.85503 	100	0.922147	0.458981	778   	0.106308 	18.347 	100	32 	9  	778   	2.24541
INFO:gp:101	767   	0.862689	101	0.922147	0.460906	767   	0.0959689	19.0616	101	37 	8  	767   	2.1341 
INFO:gp:102	764   	0.861841	102	0.922169	0.504253	764   	0.0986202	19.2766	102	29 	3  	764   	2.1068 
INFO:gp:103	775   	0.86061 	103	0.922169	0.424404	775   	0.0991893	19.4379	103	29 	4  	775   	2.08608
INFO:gp:104	796   	0.863776	104	0.922169	0.437877	796   	0.0989775	19.433 	104	37 	8  	796   	2.22603
INFO:gp:105	772   	0.858069	105	0.922169	0.466412	772   	0.103653 	19.521 	105	37 	6  	772   	2.13963
INFO:gp:106	741   	0.864387	106	0.922169	0.49642 	741   	0.0971645	19.5523	106	28 	9  	741   	1.96473
INFO:gp:107	786   	0.86546 	107	0.922169	0.486685	786   	0.0949919	19.7595	107	37 	8  	786   	2.02353
INFO:gp:108	774   	0.870875	108	0.922169	0.511742	774   	0.0885136	19.8289	108	36 	4  	774   	1.92353
INFO:gp:109	782   	0.862325	109	0.922497	0.495513	782   	0.0988344	20.0381	109	37 	8  	782   	1.98959
INFO:gp:110	765   	0.86576 	110	0.922497	0.434021	765   	0.095185 	20.1848	110	37 	3  	765   	1.69297
INFO:gp:111	769   	0.864594	111	0.922497	0.423658	769   	0.0943961	20.521 	111	38 	14 	769   	1.66832
INFO:gp:112	778   	0.872975	112	0.922497	0.417271	778   	0.0857943	20.4497	112	37 	6  	778   	1.62614
INFO:gp:113	770   	0.868348	113	0.922497	0.48736 	770   	0.0940126	20.6393	113	39 	17 	770   	1.734  
INFO:gp:114	785   	0.865741	114	0.922528	0.495095	785   	0.0956502	20.8162	114	41 	12 	785   	1.95488
INFO:gp:115	784   	0.864716	115	0.922807	0.463905	784   	0.0943957	21.0459	115	37 	11 	784   	1.93412
INFO:gp:116	791   	0.859828	116	0.923199	0.455575	791   	0.102476 	21.2952	116	42 	17 	791   	2.09847
INFO:gp:117	764   	0.86576 	117	0.923603	0.452805	764   	0.0986372	21.4526	117	37 	9  	764   	1.76072
INFO:gp:118	790   	0.868704	118	0.923603	0.498493	790   	0.0921112	21.7898	118	37 	14 	790   	1.71641
INFO:gp:119	767   	0.870377	119	0.923603	0.416207	767   	0.0934597	22.1623	119	41 	14 	767   	1.87202
INFO:gp:120	770   	0.868741	120	0.923603	0.452726	770   	0.0939912	22.3724	120	37 	17 	770   	1.76174
INFO:gp:121	783   	0.864772	121	0.923603	0.494821	783   	0.0964572	22.566 	121	41 	9  	783   	1.90931
INFO:gp:122	760   	0.869697	122	0.923603	0.51324 	760   	0.093864 	22.8446	122	41 	17 	760   	2.00495
INFO:gp:123	774   	0.858904	123	0.923603	0.41972 	774   	0.103983 	23.3333	123	37 	13 	774   	2.13094
INFO:gp:124	771   	0.859637	124	0.923603	0.469865	771   	0.104836 	23.9482	124	47 	8  	771   	2.31748
INFO:gp:125	777   	0.864332	125	0.923603	0.395953	777   	0.101193 	24.1457	125	44 	3  	777   	2.31137
INFO:gp:126	767   	0.86707 	126	0.923603	0.437323	767   	0.0975723	24.3324	126	37 	15 	767   	1.90513
INFO:gp:127	779   	0.865637	127	0.923603	0.452741	779   	0.0982904	24.2952	127	50 	5  	779   	2.05754
INFO:gp:128	800   	0.861655	128	0.923603	0.490194	800   	0.100511 	24.4809	128	37 	17 	800   	1.79588
INFO:gp:129	768   	0.867723	129	0.923603	0.465653	768   	0.0948317	24.4624	129	43 	19 	768   	1.84181
INFO:gp:130	791   	0.86626 	130	0.923603	0.481087	791   	0.0970833	24.4135	130	37 	17 	791   	1.7939 
INFO:gp:131	736   	0.87138 	131	0.923603	0.50452 	736   	0.0911851	24.4545	131	36 	16 	736   	1.74124
INFO:gp:132	765   	0.866993	132	0.923603	0.512089	765   	0.0950845	24.4008	132	47 	17 	765   	1.95744
INFO:gp:133	780   	0.866275	133	0.923614	0.430903	780   	0.0956509	24.4731	133	36 	17 	780   	1.8568 
INFO:gp:134	754   	0.863976	134	0.923614	0.514527	754   	0.0979465	24.4409	134	34 	18 	754   	1.76868
INFO:gp:135	768   	0.863832	135	0.923614	0.456749	768   	0.100384 	24.5386	135	47 	15 	768   	1.96902
INFO:gp:136	790   	0.861881	136	0.923614	0.445898	790   	0.101286 	24.478 	136	36 	6  	790   	1.78657
INFO:gp:137	780   	0.863886	137	0.923614	0.459909	780   	0.0960355	24.3509	137	37 	14 	780   	1.82387
INFO:gp:138	805   	0.863414	138	0.923614	0.453883	805   	0.098037 	24.4203	138	47 	4  	805   	1.99492
INFO:gp:139	792   	0.863291	139	0.923614	0.492706	792   	0.0980864	24.4663	139	47 	16 	792   	2.10631
INFO:gp:140	764   	0.864135	140	0.923614	0.46398 	764   	0.097773 	24.4096	140	37 	14 	764   	1.78058
INFO:gp:141	763   	0.870544	141	0.923707	0.489841	763   	0.0882591	24.5015	141	32 	16 	763   	1.55503
INFO:gp:142	764   	0.865533	142	0.923707	0.469084	764   	0.0957817	24.5044	142	36 	17 	764   	1.74799
INFO:gp:143	778   	0.86779 	143	0.923707	0.462409	778   	0.093187 	24.4096	143	33 	4  	778   	1.82451
INFO:gp:144	757   	0.862685	144	0.923707	0.470373	757   	0.0998482	24.5122	144	47 	12 	757   	1.98814
INFO:gp:145	776   	0.864895	145	0.923707	0.447306	776   	0.0968423	24.3196	145	47 	12 	776   	2.10675
INFO:gp:146	778   	0.868276	146	0.923707	0.448239	778   	0.0980111	24.3939	146	47 	16 	778   	1.97002
INFO:gp:147	770   	0.869012	147	0.923707	0.46813 	770   	0.0950831	24.3304	147	37 	15 	770   	1.85346
INFO:gp:148	777   	0.868436	148	0.923707	0.499699	777   	0.0968278	24.3959	148	34 	8  	777   	1.83766
INFO:gp:149	757   	0.868535	149	0.923707	0.457024	757   	0.0990797	24.52  	149	47 	16 	757   	2.0304 
INFO:gp:150	762   	0.87426 	150	0.923707	0.486108	762   	0.0884069	24.4751	150	34 	15 	762   	1.71849
INFO:gp:151	782   	0.866157	151	0.923707	0.492498	782   	0.0986189	24.4839	151	47 	16 	782   	1.87943
INFO:gp:152	791   	0.86374 	152	0.923707	0.487582	791   	0.101774 	24.4927	152	47 	11 	791   	1.96292
INFO:gp:153	768   	0.861796	153	0.923707	0.472458	768   	0.103709 	24.5562	153	47 	17 	768   	2.01425
INFO:gp:154	767   	0.863973	154	0.923707	0.450184	767   	0.100494 	24.4663	154	47 	14 	767   	2.0021 
INFO:gp:155	771   	0.86413 	155	0.923707	0.48923 	771   	0.101695 	24.4917	155	37 	17 	771   	1.93736
INFO:gp:156	794   	0.860664	156	0.923707	0.509161	794   	0.102844 	24.4761	156	47 	17 	794   	1.9618 
INFO:gp:157	786   	0.863893	157	0.923707	0.44035 	786   	0.101555 	24.4682	157	47 	3  	786   	1.96815
INFO:gp:158	776   	0.861105	158	0.923707	0.446196	776   	0.102452 	24.478 	158	47 	14 	776   	1.92358
INFO:gp:159	754   	0.866441	159	0.923707	0.487418	754   	0.0975016	24.3754	159	36 	16 	754   	1.82731
INFO:gp:160	775   	0.864953	160	0.923707	0.494534	775   	0.102093 	24.4555	160	47 	4  	775   	2.30383
INFO:gp:161	776   	0.861467	161	0.923707	0.497435	776   	0.104398 	24.5425	161	37 	16 	776   	1.83533
INFO:gp:162	778   	0.867743	162	0.923707	0.45768 	778   	0.093679 	24.4761	162	34 	19 	778   	1.65356
INFO:gp:163	779   	0.863785	163	0.923707	0.498954	779   	0.100983 	24.435 	163	37 	17 	779   	1.75961
INFO:gp:164	776   	0.868265	164	0.923707	0.476289	776   	0.098105 	24.5064	164	37 	11 	776   	1.70667
INFO:gp:165	778   	0.864817	165	0.923707	0.483841	778   	0.0976671	24.4985	165	33 	3  	778   	1.74463
INFO:gp:166	773   	0.864064	166	0.923707	0.472536	773   	0.0987763	24.4125	166	34 	3  	773   	1.90588
INFO:gp:167	798   	0.859443	167	0.923707	0.470973	798   	0.103013 	24.4506	167	47 	11 	798   	2.11619
INFO:gp:168	798   	0.866348	168	0.923707	0.469732	798   	0.0978403	24.5054	168	47 	3  	798   	1.9684 
INFO:gp:169	784   	0.864298	169	0.923707	0.479625	784   	0.102005 	24.4194	169	47 	17 	784   	2.14688
INFO:gp:170	770   	0.861545	170	0.923707	0.441092	770   	0.107997 	24.5054	170	47 	3  	770   	2.54226
INFO:gp:171	785   	0.866416	171	0.923707	0.44649 	785   	0.0992793	24.4487	171	37 	3  	785   	1.96575
INFO:gp:172	771   	0.866293	172	0.923707	0.513369	771   	0.098262 	24.4545	172	37 	18 	771   	1.62629
INFO:gp:173	776   	0.866712	173	0.923707	0.493591	776   	0.0996014	24.4673	173	47 	8  	776   	2.02348
INFO:gp:174	770   	0.866285	174	0.923707	0.438432	770   	0.0985021	24.478 	174	47 	8  	770   	1.89697
INFO:gp:175	770   	0.864767	175	0.923707	0.509814	770   	0.0973087	24.5503	175	33 	5  	770   	1.84575
INFO:gp:176	784   	0.855675	176	0.923707	0.483116	784   	0.108123 	24.4751	176	37 	16 	784   	1.84256
INFO:gp:177	743   	0.868929	177	0.923707	0.46518 	743   	0.0959874	24.4673	177	32 	14 	743   	1.63976
INFO:gp:178	774   	0.869738	178	0.923707	0.488879	774   	0.0956564	24.4682	178	47 	12 	774   	1.94969
INFO:gp:179	765   	0.865478	179	0.923707	0.455159	765   	0.101514 	24.3666	179	36 	8  	765   	1.94337
INFO:gp:180	783   	0.866566	180	0.923707	0.50764 	783   	0.09804  	24.3998	180	36 	16 	783   	1.75851
INFO:gp:181	781   	0.86757 	181	0.923707	0.455604	781   	0.0988824	24.4682	181	37 	16 	781   	1.81466
INFO:gp:182	758   	0.864028	182	0.923707	0.487694	758   	0.101429 	24.5181	182	43 	14 	758   	1.87107
INFO:gp:183	782   	0.861273	183	0.923707	0.461098	782   	0.102405 	24.4663	183	33 	3  	782   	1.84507
INFO:gp:184	776   	0.865834	184	0.923707	0.459907	776   	0.0969086	24.4282	184	34 	8  	776   	1.91523
INFO:gp:185	753   	0.86825 	185	0.923707	0.439277	753   	0.0971586	24.4761	185	34 	8  	753   	1.84098
INFO:gp:186	794   	0.863683	186	0.923707	0.467018	794   	0.103139 	24.5015	186	37 	17 	794   	1.82085
INFO:gp:187	759   	0.87147 	187	0.923707	0.489137	759   	0.0956486	24.4966	187	47 	6  	759   	1.91912
INFO:gp:188	784   	0.863153	188	0.923707	0.402884	784   	0.104432 	24.5738	188	47 	10 	784   	2.08429
INFO:gp:189	775   	0.870256	189	0.923707	0.483467	775   	0.0930989	24.4526	189	34 	6  	775   	1.82023
INFO:gp:190	773   	0.860791	190	0.923707	0.406618	773   	0.102816 	24.5279	190	36 	11 	773   	1.82867
INFO:gp:191	788   	0.864432	191	0.923707	0.446032	788   	0.100811 	24.5171	191	37 	19 	788   	1.735  
INFO:gp:192	774   	0.864923	192	0.923707	0.434923	774   	0.103319 	24.5435	192	47 	17 	774   	1.80198
INFO:gp:193	781   	0.866728	193	0.923707	0.455375	781   	0.0979314	24.565 	193	47 	11 	781   	2.16238
INFO:gp:194	771   	0.862924	194	0.923707	0.460717	771   	0.100128 	24.5494	194	36 	16 	771   	1.81103
INFO:gp:195	792   	0.865959	195	0.923707	0.473962	792   	0.0998985	24.5367	195	47 	16 	792   	2.02583
INFO:gp:196	752   	0.870561	196	0.923729	0.470055	752   	0.0936441	24.523 	196	37 	17 	752   	1.72306
INFO:gp:197	763   	0.858301	197	0.923729	0.451438	763   	0.10672  	24.5621	197	47 	6  	763   	1.95647
INFO:gp:198	760   	0.862343	198	0.923729	0.514537	760   	0.103095 	24.5924	198	37 	7  	760   	1.9169 
INFO:gp:199	768   	0.863667	199	0.923845	0.485506	768   	0.100225 	24.8231	199	37 	4  	768   	1.86152
INFO:gp:200	774   	0.869861	200	0.923845	0.426702	774   	0.0974304	25.0792	200	41 	14 	774   	1.93456
INFO:gp:201	763   	0.868539	201	0.923845	0.458366	763   	0.0986669	25.564 	201	38 	8  	763   	2.03526
INFO:gp:202	772   	0.87078 	202	0.923876	0.49145 	772   	0.0956837	26.2414	202	47 	17 	772   	1.79479
INFO:gp:203	759   	0.867303	203	0.923876	0.483691	759   	0.097415 	26.7312	203	47 	19 	759   	1.53648
INFO:gp:204	782   	0.86821 	204	0.923876	0.460036	782   	0.0978505	26.8025	204	38 	13 	782   	1.49293
INFO:gp:205	785   	0.867681	205	0.923889	0.38967 	785   	0.0991448	26.9335	205	47 	22 	785   	1.61599
INFO:gp:206	777   	0.870987	206	0.923889	0.476356	777   	0.0962615	27.0802	206	47 	20 	777   	1.69278
INFO:gp:207	773   	0.871202	207	0.923931	0.512794	773   	0.0953433	27.304 	207	51 	18 	773   	1.87343
INFO:gp:208	792   	0.871396	208	0.923931	0.418032	792   	0.0929737	27.6882	208	53 	22 	792   	1.81272
INFO:gp:209	771   	0.86864 	209	0.923931	0.447376	771   	0.0963122	28.0547	209	39 	15 	771   	1.67406
INFO:gp:210	768   	0.866728	210	0.923966	0.481875	768   	0.101283 	28.0469	210	55 	17 	768   	1.90993
INFO:gp:211	778   	0.868444	211	0.924037	0.454536	778   	0.0994345	27.6813	211	47 	5  	778   	1.73912
INFO:gp:212	796   	0.866935	212	0.924037	0.48196 	796   	0.0949764	27.346 	212	47 	14 	796   	1.85271
INFO:gp:213	766   	0.873997	213	0.924037	0.39578 	766   	0.092007 	27.2102	213	37 	20 	766   	1.2913 
INFO:gp:214	771   	0.871896	214	0.92407 	0.475215	771   	0.09488  	27.173 	214	38 	22 	771   	1.4095 
INFO:gp:215	771   	0.86956 	215	0.92407 	0.452797	771   	0.0985865	27.2649	215	47 	20 	771   	1.6062 
INFO:gp:216	775   	0.87034 	216	0.92407 	0.503946	775   	0.0943357	27.0694	216	51 	12 	775   	1.85075
INFO:gp:217	781   	0.868467	217	0.92407 	0.448508	781   	0.096063 	26.5621	217	47 	18 	781   	1.50392
INFO:gp:218	758   	0.869033	218	0.92407 	0.460614	758   	0.0947659	26.3431	218	51 	15 	758   	1.66869
INFO:gp:219	776   	0.868738	219	0.924156	0.460863	776   	0.0978353	26.3304	219	50 	20 	776   	1.61503
INFO:gp:220	767   	0.862829	220	0.924156	0.451032	767   	0.102244 	26.3959	220	49 	17 	767   	1.84774
INFO:gp:221	759   	0.864766	221	0.924214	0.463582	759   	0.101541 	26.4223	221	35 	4  	759   	1.70089
INFO:gp:222	777   	0.862515	222	0.924214	0.465687	777   	0.103763 	26.52  	222	47 	17 	777   	1.75847
INFO:gp:223	787   	0.870076	223	0.924275	0.479696	787   	0.0984246	26.7517	223	52 	17 	787   	1.79903
INFO:gp:224	766   	0.868358	224	0.924304	0.446183	766   	0.0989809	27.3226	224	36 	21 	766   	1.97332
