INFO:__main__:[Epoch 1, Batch 1] loss: 0.178
INFO:__main__:[Epoch 1] Train Loss: 0.000, Train Accuracy: 0.250
INFO:__main__:[Epoch 1] Validation Loss: 1.789, Validation Accuracy: 0.333
INFO:__main__:[Epoch 101, Batch 1] loss: 0.172
INFO:__main__:[Epoch 101] Train Loss: 0.000, Train Accuracy: 0.417
INFO:__main__:[Epoch 101] Validation Loss: 1.804, Validation Accuracy: 0.167
INFO:__main__:[Epoch 201, Batch 1] loss: 0.170
INFO:__main__:[Epoch 201] Train Loss: 0.000, Train Accuracy: 0.375
INFO:__main__:[Epoch 201] Validation Loss: 1.780, Validation Accuracy: 0.167
INFO:__main__:[Epoch 301, Batch 1] loss: 0.166
INFO:__main__:[Epoch 301] Train Loss: 0.000, Train Accuracy: 0.583
INFO:__main__:[Epoch 301] Validation Loss: 1.744, Validation Accuracy: 0.167
INFO:__main__:[Epoch 401, Batch 1] loss: 0.163
INFO:__main__:[Epoch 401] Train Loss: 0.000, Train Accuracy: 0.667
INFO:__main__:[Epoch 401] Validation Loss: 1.714, Validation Accuracy: 0.167
INFO:__main__:[Epoch 501, Batch 1] loss: 0.159
INFO:__main__:[Epoch 501] Train Loss: 0.000, Train Accuracy: 0.583
INFO:__main__:[Epoch 501] Validation Loss: 1.699, Validation Accuracy: 0.167
INFO:__main__:[Epoch 601, Batch 1] loss: 0.155
INFO:__main__:[Epoch 601] Train Loss: 0.000, Train Accuracy: 0.583
INFO:__main__:[Epoch 601] Validation Loss: 1.704, Validation Accuracy: 0.167
INFO:__main__:[Epoch 701, Batch 1] loss: 0.151
INFO:__main__:[Epoch 701] Train Loss: 0.000, Train Accuracy: 0.542
INFO:__main__:[Epoch 701] Validation Loss: 1.733, Validation Accuracy: 0.167
INFO:__main__:[Epoch 801, Batch 1] loss: 0.147
INFO:__main__:[Epoch 801] Train Loss: 0.000, Train Accuracy: 0.583
INFO:__main__:[Epoch 801] Validation Loss: 1.784, Validation Accuracy: 0.167
INFO:__main__:[Epoch 901, Batch 1] loss: 0.143
INFO:__main__:[Epoch 901] Train Loss: 0.000, Train Accuracy: 0.583
INFO:__main__:[Epoch 901] Validation Loss: 1.855, Validation Accuracy: 0.167
INFO:__main__:[Epoch 1001, Batch 1] loss: 0.141
INFO:__main__:[Epoch 1001] Train Loss: 0.000, Train Accuracy: 0.583
INFO:__main__:[Epoch 1001] Validation Loss: 1.941, Validation Accuracy: 0.167
INFO:__main__:[Epoch 1101, Batch 1] loss: 0.137
INFO:__main__:[Epoch 1101] Train Loss: 0.000, Train Accuracy: 0.667
INFO:__main__:[Epoch 1101] Validation Loss: 2.039, Validation Accuracy: 0.167
INFO:__main__:[Epoch 1201, Batch 1] loss: 0.134
INFO:__main__:[Epoch 1201] Train Loss: 0.000, Train Accuracy: 0.583
INFO:__main__:[Epoch 1201] Validation Loss: 2.153, Validation Accuracy: 0.167
INFO:__main__:[Epoch 1301, Batch 1] loss: 0.131
INFO:__main__:[Epoch 1301] Train Loss: 0.000, Train Accuracy: 0.625
INFO:__main__:[Epoch 1301] Validation Loss: 2.279, Validation Accuracy: 0.167
INFO:__main__:[Epoch 1401, Batch 1] loss: 0.127
INFO:__main__:[Epoch 1401] Train Loss: 0.000, Train Accuracy: 0.625
INFO:__main__:[Epoch 1401] Validation Loss: 2.414, Validation Accuracy: 0.333
INFO:__main__:[Epoch 1501, Batch 1] loss: 0.123
INFO:__main__:[Epoch 1501] Train Loss: 0.000, Train Accuracy: 0.708
INFO:__main__:[Epoch 1501] Validation Loss: 2.565, Validation Accuracy: 0.333
INFO:__main__:[Epoch 1601, Batch 1] loss: 0.121
INFO:__main__:[Epoch 1601] Train Loss: 0.000, Train Accuracy: 0.667
INFO:__main__:[Epoch 1601] Validation Loss: 2.728, Validation Accuracy: 0.333
INFO:__main__:[Epoch 1701, Batch 1] loss: 0.118
INFO:__main__:[Epoch 1701] Train Loss: 0.000, Train Accuracy: 0.708
INFO:__main__:[Epoch 1701] Validation Loss: 2.902, Validation Accuracy: 0.333
INFO:__main__:[Epoch 1801, Batch 1] loss: 0.114
INFO:__main__:[Epoch 1801] Train Loss: 0.000, Train Accuracy: 0.792
INFO:__main__:[Epoch 1801] Validation Loss: 3.076, Validation Accuracy: 0.333
INFO:__main__:[Epoch 1901, Batch 1] loss: 0.110
INFO:__main__:[Epoch 1901] Train Loss: 0.000, Train Accuracy: 0.792
INFO:__main__:[Epoch 1901] Validation Loss: 3.280, Validation Accuracy: 0.333
INFO:__main__:[Epoch 2001, Batch 1] loss: 0.109
INFO:__main__:[Epoch 2001] Train Loss: 0.000, Train Accuracy: 0.750
INFO:__main__:[Epoch 2001] Validation Loss: 3.462, Validation Accuracy: 0.333
INFO:__main__:[Epoch 2101, Batch 1] loss: 0.104
INFO:__main__:[Epoch 2101] Train Loss: 0.000, Train Accuracy: 0.833
INFO:__main__:[Epoch 2101] Validation Loss: 3.665, Validation Accuracy: 0.333
INFO:__main__:[Epoch 2201, Batch 1] loss: 0.101
INFO:__main__:[Epoch 2201] Train Loss: 0.000, Train Accuracy: 0.833
INFO:__main__:[Epoch 2201] Validation Loss: 3.858, Validation Accuracy: 0.333
INFO:__main__:[Epoch 2301, Batch 1] loss: 0.099
INFO:__main__:[Epoch 2301] Train Loss: 0.000, Train Accuracy: 0.833
INFO:__main__:[Epoch 2301] Validation Loss: 4.063, Validation Accuracy: 0.333
INFO:__main__:[Epoch 2401, Batch 1] loss: 0.096
INFO:__main__:[Epoch 2401] Train Loss: 0.000, Train Accuracy: 0.917
INFO:__main__:[Epoch 2401] Validation Loss: 4.232, Validation Accuracy: 0.333
INFO:__main__:[Epoch 2501, Batch 1] loss: 0.093
INFO:__main__:[Epoch 2501] Train Loss: 0.000, Train Accuracy: 0.875
INFO:__main__:[Epoch 2501] Validation Loss: 4.425, Validation Accuracy: 0.333
INFO:__main__:[Epoch 2601, Batch 1] loss: 0.089
INFO:__main__:[Epoch 2601] Train Loss: 0.000, Train Accuracy: 0.917
INFO:__main__:[Epoch 2601] Validation Loss: 4.602, Validation Accuracy: 0.333
INFO:__main__:[Epoch 2701, Batch 1] loss: 0.088
INFO:__main__:[Epoch 2701] Train Loss: 0.000, Train Accuracy: 0.958
INFO:__main__:[Epoch 2701] Validation Loss: 4.787, Validation Accuracy: 0.333
INFO:__main__:[Epoch 2801, Batch 1] loss: 0.084
INFO:__main__:[Epoch 2801] Train Loss: 0.000, Train Accuracy: 0.917
INFO:__main__:[Epoch 2801] Validation Loss: 4.953, Validation Accuracy: 0.333
INFO:__main__:[Epoch 2901, Batch 1] loss: 0.081
INFO:__main__:[Epoch 2901] Train Loss: 0.000, Train Accuracy: 0.958
INFO:__main__:[Epoch 2901] Validation Loss: 5.096, Validation Accuracy: 0.333
INFO:__main__:[Epoch 3001, Batch 1] loss: 0.080
INFO:__main__:[Epoch 3001] Train Loss: 0.000, Train Accuracy: 0.958
INFO:__main__:[Epoch 3001] Validation Loss: 5.244, Validation Accuracy: 0.333
INFO:__main__:[Epoch 3101, Batch 1] loss: 0.076
INFO:__main__:[Epoch 3101] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 3101] Validation Loss: 5.379, Validation Accuracy: 0.333
INFO:__main__:[Epoch 3201, Batch 1] loss: 0.078
INFO:__main__:[Epoch 3201] Train Loss: 0.000, Train Accuracy: 0.958
INFO:__main__:[Epoch 3201] Validation Loss: 5.514, Validation Accuracy: 0.333
INFO:__main__:[Epoch 3301, Batch 1] loss: 0.073
INFO:__main__:[Epoch 3301] Train Loss: 0.000, Train Accuracy: 0.958
INFO:__main__:[Epoch 3301] Validation Loss: 5.634, Validation Accuracy: 0.333
INFO:__main__:[Epoch 3401, Batch 1] loss: 0.070
INFO:__main__:[Epoch 3401] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 3401] Validation Loss: 5.726, Validation Accuracy: 0.333
INFO:__main__:[Epoch 3501, Batch 1] loss: 0.071
INFO:__main__:[Epoch 3501] Train Loss: 0.000, Train Accuracy: 0.958
INFO:__main__:[Epoch 3501] Validation Loss: 5.846, Validation Accuracy: 0.333
INFO:__main__:[Epoch 3601, Batch 1] loss: 0.069
INFO:__main__:[Epoch 3601] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 3601] Validation Loss: 5.965, Validation Accuracy: 0.333
INFO:__main__:[Epoch 3701, Batch 1] loss: 0.068
INFO:__main__:[Epoch 3701] Train Loss: 0.000, Train Accuracy: 0.958
INFO:__main__:[Epoch 3701] Validation Loss: 6.056, Validation Accuracy: 0.333
INFO:__main__:[Epoch 3801, Batch 1] loss: 0.069
INFO:__main__:[Epoch 3801] Train Loss: 0.000, Train Accuracy: 0.958
INFO:__main__:[Epoch 3801] Validation Loss: 6.109, Validation Accuracy: 0.333
INFO:__main__:[Epoch 3901, Batch 1] loss: 0.066
INFO:__main__:[Epoch 3901] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 3901] Validation Loss: 6.224, Validation Accuracy: 0.333
INFO:__main__:[Epoch 4001, Batch 1] loss: 0.063
INFO:__main__:[Epoch 4001] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 4001] Validation Loss: 6.240, Validation Accuracy: 0.333
INFO:__main__:[Epoch 4101, Batch 1] loss: 0.064
INFO:__main__:[Epoch 4101] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 4101] Validation Loss: 6.355, Validation Accuracy: 0.333
INFO:__main__:[Epoch 4201, Batch 1] loss: 0.065
INFO:__main__:[Epoch 4201] Train Loss: 0.000, Train Accuracy: 0.958
INFO:__main__:[Epoch 4201] Validation Loss: 6.460, Validation Accuracy: 0.333
INFO:__main__:[Epoch 4301, Batch 1] loss: 0.062
INFO:__main__:[Epoch 4301] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 4301] Validation Loss: 6.535, Validation Accuracy: 0.333
INFO:__main__:[Epoch 4401, Batch 1] loss: 0.062
INFO:__main__:[Epoch 4401] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 4401] Validation Loss: 6.579, Validation Accuracy: 0.333
INFO:__main__:[Epoch 4501, Batch 1] loss: 0.062
INFO:__main__:[Epoch 4501] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 4501] Validation Loss: 6.697, Validation Accuracy: 0.333
INFO:__main__:[Epoch 4601, Batch 1] loss: 0.061
INFO:__main__:[Epoch 4601] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 4601] Validation Loss: 6.753, Validation Accuracy: 0.333
INFO:__main__:[Epoch 4701, Batch 1] loss: 0.057
INFO:__main__:[Epoch 4701] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 4701] Validation Loss: 6.733, Validation Accuracy: 0.333
INFO:__main__:[Epoch 4801, Batch 1] loss: 0.060
INFO:__main__:[Epoch 4801] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 4801] Validation Loss: 6.875, Validation Accuracy: 0.333
INFO:__main__:[Epoch 4901, Batch 1] loss: 0.058
INFO:__main__:[Epoch 4901] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 4901] Validation Loss: 6.907, Validation Accuracy: 0.333
INFO:__main__:[Epoch 5001, Batch 1] loss: 0.057
INFO:__main__:[Epoch 5001] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 5001] Validation Loss: 6.903, Validation Accuracy: 0.333
INFO:__main__:[Epoch 5101, Batch 1] loss: 0.056
INFO:__main__:[Epoch 5101] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 5101] Validation Loss: 7.001, Validation Accuracy: 0.333
INFO:__main__:[Epoch 5201, Batch 1] loss: 0.056
INFO:__main__:[Epoch 5201] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 5201] Validation Loss: 7.059, Validation Accuracy: 0.333
INFO:__main__:[Epoch 5301, Batch 1] loss: 0.056
INFO:__main__:[Epoch 5301] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 5301] Validation Loss: 7.089, Validation Accuracy: 0.333
INFO:__main__:[Epoch 5401, Batch 1] loss: 0.055
INFO:__main__:[Epoch 5401] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 5401] Validation Loss: 7.066, Validation Accuracy: 0.333
INFO:__main__:[Epoch 5501, Batch 1] loss: 0.053
INFO:__main__:[Epoch 5501] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 5501] Validation Loss: 7.162, Validation Accuracy: 0.333
INFO:__main__:[Epoch 5601, Batch 1] loss: 0.055
INFO:__main__:[Epoch 5601] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 5601] Validation Loss: 7.160, Validation Accuracy: 0.333
INFO:__main__:[Epoch 5701, Batch 1] loss: 0.054
INFO:__main__:[Epoch 5701] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 5701] Validation Loss: 7.205, Validation Accuracy: 0.333
INFO:__main__:[Epoch 5801, Batch 1] loss: 0.054
INFO:__main__:[Epoch 5801] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 5801] Validation Loss: 7.229, Validation Accuracy: 0.333
INFO:__main__:[Epoch 5901, Batch 1] loss: 0.051
INFO:__main__:[Epoch 5901] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 5901] Validation Loss: 7.237, Validation Accuracy: 0.500
INFO:__main__:[Epoch 6001, Batch 1] loss: 0.052
INFO:__main__:[Epoch 6001] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 6001] Validation Loss: 7.292, Validation Accuracy: 0.500
INFO:__main__:[Epoch 6101, Batch 1] loss: 0.053
INFO:__main__:[Epoch 6101] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 6101] Validation Loss: 7.310, Validation Accuracy: 0.500
INFO:__main__:[Epoch 6201, Batch 1] loss: 0.054
INFO:__main__:[Epoch 6201] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 6201] Validation Loss: 7.289, Validation Accuracy: 0.500
INFO:__main__:[Epoch 6301, Batch 1] loss: 0.053
INFO:__main__:[Epoch 6301] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 6301] Validation Loss: 7.289, Validation Accuracy: 0.500
INFO:__main__:[Epoch 6401, Batch 1] loss: 0.051
INFO:__main__:[Epoch 6401] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 6401] Validation Loss: 7.315, Validation Accuracy: 0.500
INFO:__main__:[Epoch 6501, Batch 1] loss: 0.052
INFO:__main__:[Epoch 6501] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 6501] Validation Loss: 7.245, Validation Accuracy: 0.500
INFO:__main__:[Epoch 6601, Batch 1] loss: 0.053
INFO:__main__:[Epoch 6601] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 6601] Validation Loss: 7.317, Validation Accuracy: 0.500
INFO:__main__:[Epoch 6701, Batch 1] loss: 0.050
INFO:__main__:[Epoch 6701] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 6701] Validation Loss: 7.367, Validation Accuracy: 0.500
INFO:__main__:[Epoch 6801, Batch 1] loss: 0.051
INFO:__main__:[Epoch 6801] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 6801] Validation Loss: 7.319, Validation Accuracy: 0.500
INFO:__main__:[Epoch 6901, Batch 1] loss: 0.050
INFO:__main__:[Epoch 6901] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 6901] Validation Loss: 7.355, Validation Accuracy: 0.500
INFO:__main__:[Epoch 7001, Batch 1] loss: 0.050
INFO:__main__:[Epoch 7001] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 7001] Validation Loss: 7.357, Validation Accuracy: 0.500
INFO:__main__:[Epoch 7101, Batch 1] loss: 0.051
INFO:__main__:[Epoch 7101] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 7101] Validation Loss: 7.347, Validation Accuracy: 0.500
INFO:__main__:[Epoch 7201, Batch 1] loss: 0.051
INFO:__main__:[Epoch 7201] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 7201] Validation Loss: 7.350, Validation Accuracy: 0.500
INFO:__main__:[Epoch 7301, Batch 1] loss: 0.051
INFO:__main__:[Epoch 7301] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 7301] Validation Loss: 7.360, Validation Accuracy: 0.500
INFO:__main__:[Epoch 7401, Batch 1] loss: 0.050
INFO:__main__:[Epoch 7401] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 7401] Validation Loss: 7.328, Validation Accuracy: 0.500
INFO:__main__:[Epoch 7501, Batch 1] loss: 0.051
INFO:__main__:[Epoch 7501] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 7501] Validation Loss: 7.367, Validation Accuracy: 0.500
INFO:__main__:[Epoch 7601, Batch 1] loss: 0.049
INFO:__main__:[Epoch 7601] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 7601] Validation Loss: 7.360, Validation Accuracy: 0.500
INFO:__main__:[Epoch 7701, Batch 1] loss: 0.048
INFO:__main__:[Epoch 7701] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 7701] Validation Loss: 7.331, Validation Accuracy: 0.500
INFO:__main__:[Epoch 7801, Batch 1] loss: 0.050
INFO:__main__:[Epoch 7801] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 7801] Validation Loss: 7.343, Validation Accuracy: 0.500
INFO:__main__:[Epoch 7901, Batch 1] loss: 0.050
INFO:__main__:[Epoch 7901] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 7901] Validation Loss: 7.285, Validation Accuracy: 0.500
INFO:__main__:[Epoch 8001, Batch 1] loss: 0.047
INFO:__main__:[Epoch 8001] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 8001] Validation Loss: 7.272, Validation Accuracy: 0.500
INFO:__main__:[Epoch 8101, Batch 1] loss: 0.051
INFO:__main__:[Epoch 8101] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 8101] Validation Loss: 7.250, Validation Accuracy: 0.500
INFO:__main__:[Epoch 8201, Batch 1] loss: 0.049
INFO:__main__:[Epoch 8201] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 8201] Validation Loss: 7.315, Validation Accuracy: 0.500
INFO:__main__:[Epoch 8301, Batch 1] loss: 0.051
INFO:__main__:[Epoch 8301] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 8301] Validation Loss: 7.253, Validation Accuracy: 0.500
INFO:__main__:[Epoch 8401, Batch 1] loss: 0.049
INFO:__main__:[Epoch 8401] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 8401] Validation Loss: 7.283, Validation Accuracy: 0.500
INFO:__main__:[Epoch 8501, Batch 1] loss: 0.047
INFO:__main__:[Epoch 8501] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 8501] Validation Loss: 7.233, Validation Accuracy: 0.500
INFO:__main__:[Epoch 8601, Batch 1] loss: 0.047
INFO:__main__:[Epoch 8601] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 8601] Validation Loss: 7.217, Validation Accuracy: 0.500
INFO:__main__:[Epoch 8701, Batch 1] loss: 0.047
INFO:__main__:[Epoch 8701] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 8701] Validation Loss: 7.221, Validation Accuracy: 0.500
INFO:__main__:[Epoch 8801, Batch 1] loss: 0.048
INFO:__main__:[Epoch 8801] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 8801] Validation Loss: 7.125, Validation Accuracy: 0.500
INFO:__main__:[Epoch 8901, Batch 1] loss: 0.048
INFO:__main__:[Epoch 8901] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 8901] Validation Loss: 7.096, Validation Accuracy: 0.500
INFO:__main__:[Epoch 9001, Batch 1] loss: 0.046
INFO:__main__:[Epoch 9001] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 9001] Validation Loss: 7.115, Validation Accuracy: 0.500
INFO:__main__:[Epoch 9101, Batch 1] loss: 0.048
INFO:__main__:[Epoch 9101] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 9101] Validation Loss: 7.073, Validation Accuracy: 0.500
INFO:__main__:[Epoch 9201, Batch 1] loss: 0.048
INFO:__main__:[Epoch 9201] Train Loss: 0.000, Train Accuracy: 1.000
INFO:__main__:[Epoch 9201] Validation Loss: 7.088, Validation Accuracy: 0.500
