INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.240235	0  	0.528417	0.102675	3069  	0.0762458	5.74063	0  	7  	3  	3069  	1.56842
INFO:gp:1  	2307  	0.335212	1  	0.568234	0.106505	2307  	0.0697537	5.81134	1  	13 	3  	2307  	1.64073
INFO:gp:2  	2321  	0.398542	2  	0.621002	0.141272	2321  	0.0683016	5.78853	2  	15 	3  	2321  	1.70558
INFO:gp:3  	2309  	0.448517	3  	0.65584 	0.146547	2309  	0.0687587	5.87911	3  	16 	3  	2309  	1.84934
INFO:gp:4  	2337  	0.491278	4  	0.682108	0.140389	2337  	0.0706633	6.16487	4  	13 	3  	2337  	1.9172 
INFO:gp:5  	2258  	0.530004	5  	0.70407 	0.185531	2258  	0.0690901	6.31118	5  	15 	3  	2258  	2.02202
INFO:gp:6  	2305  	0.562416	6  	0.737637	0.239976	2305  	0.0729803	6.43793	6  	16 	3  	2305  	2.10009
INFO:gp:7  	2315  	0.595509	7  	0.757902	0.243176	2315  	0.072765 	6.92343	7  	16 	3  	2315  	2.30198
INFO:gp:8  	2337  	0.617873	8  	0.777255	0.269238	2337  	0.0738237	7.40241	8  	18 	3  	2337  	2.37589
INFO:gp:9  	2339  	0.637282	9  	0.810138	0.13968 	2339  	0.0771332	7.60639	9  	16 	3  	2339  	2.42197
INFO:gp:10 	2341  	0.657829	10 	0.831908	0.286423	2341  	0.0772741	7.72695	10 	22 	3  	2341  	2.42228
INFO:gp:11 	2337  	0.679472	11 	0.832517	0.332277	2337  	0.0803069	7.61388	11 	18 	3  	2337  	2.4792 
INFO:gp:12 	2323  	0.696234	12 	0.832517	0.280443	2323  	0.0836121	7.40991	12 	20 	3  	2323  	2.63163
