INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                        fitness                         	                      size                     
   	      	--------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max    	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	3069  	0.23946	0  	0.52878	0.102866	3069  	0.076585	5.69632	0  	7  	3  	3069  	1.59473
INFO:gp:1  	2338  	0.333302	1  	0.56727	0.106299	2338  	0.0665911	5.81786	1  	13 	3  	2338  	1.68709
INFO:gp:2  	2327  	0.395312	2  	0.599806	0.145457	2327  	0.0677562	5.87814	2  	13 	3  	2327  	1.72294
INFO:gp:3  	2317  	0.44568 	3  	0.627888	0.124251	2317  	0.0703198	6.06093	3  	13 	3  	2317  	1.85527
INFO:gp:4  	2321  	0.486161	4  	0.718706	0.145769	2321  	0.0738271	6.21799	4  	14 	3  	2321  	1.98653
INFO:gp:5  	2315  	0.518755	5  	0.735798	0.129071	2315  	0.0751223	6.28935	5  	14 	3  	2315  	2.02582
INFO:gp:6  	2293  	0.546746	6  	0.759068	0.193853	2293  	0.0783981	6.25546	6  	13 	3  	2293  	1.99394
INFO:gp:7  	2295  	0.574864	7  	0.759068	0.203945	2295  	0.08126  	6.0971 	7  	15 	3  	2295  	1.9674 
INFO:gp:8  	2321  	0.604448	8  	0.769956	0.172251	2321  	0.0842861	5.57934	8  	13 	3  	2321  	1.95718
INFO:gp:9  	2342  	0.636748	9  	0.790332	0.220337	2342  	0.0826993	5.11404	9  	15 	3  	2342  	1.9192 
INFO:gp:10 	2323  	0.661793	10 	0.835772	0.163307	2323  	0.0833287	4.83708	10 	12 	3  	2323  	1.77402
INFO:gp:11 	2299  	0.694044	11 	0.837301	0.302227	2299  	0.0774091	4.56826	11 	15 	3  	2299  	1.5373 
INFO:gp:12 	2311  	0.722842	12 	0.83811 	0.324373	2311  	0.0732992	4.42685	12 	15 	3  	2311  	1.35549
INFO:gp:13 	2306  	0.741957	13 	0.83811 	0.34394 	2306  	0.0742461	4.44835	13 	12 	3  	2306  	1.37295
INFO:gp:14 	2285  	0.760424	14 	0.838702	0.362754	2285  	0.0744477	4.32812	14 	13 	3  	2285  	1.61782
INFO:gp:15 	2359  	0.777818	15 	0.854954	0.347867	2359  	0.0769081	3.93548	15 	13 	3  	2359  	1.65295
INFO:gp:16 	2316  	0.791139	16 	0.854954	0.438961	2316  	0.0738101	3.73737	16 	13 	3  	2316  	1.61012
INFO:gp:17 	2284  	0.795986	17 	0.877495	0.283939	2284  	0.0719715	3.79733	17 	12 	3  	2284  	1.71322
INFO:gp:18 	2322  	0.790693	18 	0.877513	0.417173	2322  	0.0766463	4.31704	18 	16 	3  	2322  	2.00914
INFO:gp:19 	2339  	0.791545	19 	0.877513	0.406932	2339  	0.0775486	4.68752	19 	15 	3  	2339  	1.91386
INFO:gp:20 	2320  	0.795807	20 	0.877753	0.306426	2320  	0.078825 	4.65917	20 	16 	3  	2320  	1.76932
INFO:gp:21 	2307  	0.806247	21 	0.878785	0.422482	2307  	0.0779526	4.5839 	21 	15 	3  	2307  	1.72816
INFO:gp:22 	2328  	0.815443	22 	0.878785	0.47695 	2328  	0.0760049	4.69795	22 	14 	3  	2328  	1.68861
INFO:gp:23 	2309  	0.819811	23 	0.878785	0.406341	2309  	0.0806438	4.28348	23 	12 	3  	2309  	1.66983
INFO:gp:24 	2294  	0.825411	24 	0.878799	0.440253	2294  	0.0796584	4.11926	24 	12 	3  	2294  	1.71839
INFO:gp:25 	2379  	0.820647	25 	0.87936 	0.393565	2379  	0.0842254	4.57054	25 	15 	3  	2379  	1.85759
INFO:gp:26 	2311  	0.823468	26 	0.87936 	0.357082	2311  	0.0812281	4.78299	26 	19 	3  	2311  	1.5738 
INFO:gp:27 	2334  	0.826302	27 	0.879544	0.386273	2334  	0.0801927	5.14044	27 	15 	3  	2334  	1.20719
