INFO:ga:Generation 1: Best=0.5656, Avg=0.3854
INFO:ga:Generation 2: Best=0.5656, Avg=0.4219
INFO:ga:Generation 3: Best=0.5738, Avg=0.4532
INFO:ga:Generation 4: Best=0.5984, Avg=0.4829
INFO:ga:Generation 5: Best=0.6052, Avg=0.5122
INFO:ga:Generation 6: Best=0.6311, Avg=0.5382
INFO:ga:Generation 7: Best=0.6311, Avg=0.5618
INFO:ga:Generation 8: Best=0.6475, Avg=0.5787
INFO:ga:Generation 9: Best=0.6557, Avg=0.5913
INFO:ga:Generation 10: Best=0.6557, Avg=0.6032
INFO:ga:Generation 11: Best=0.7281, Avg=0.6143
INFO:ga:Generation 12: Best=0.7281, Avg=0.6227
INFO:ga:Generation 13: Best=0.7281, Avg=0.6323
INFO:ga:Generation 14: Best=0.7281, Avg=0.6402
INFO:ga:Generation 15: Best=0.7295, Avg=0.6488
INFO:ga:Generation 16: Best=0.7459, Avg=0.6594
INFO:ga:Generation 17: Best=0.7459, Avg=0.6667
INFO:ga:Generation 18: Best=0.7459, Avg=0.6760
INFO:ga:Generation 19: Best=0.7705, Avg=0.6848
INFO:ga:Generation 20: Best=0.7787, Avg=0.6971
INFO:ga:Generation 21: Best=0.7787, Avg=0.7105
INFO:ga:Generation 22: Best=0.7787, Avg=0.7234
INFO:ga:Generation 23: Best=0.7951, Avg=0.7342
INFO:ga:Generation 24: Best=0.7951, Avg=0.7466
INFO:ga:Generation 25: Best=0.7951, Avg=0.7562
INFO:ga:Generation 26: Best=0.7951, Avg=0.7634
INFO:ga:Generation 27: Best=0.8197, Avg=0.7696
INFO:ga:Generation 28: Best=0.8197, Avg=0.7742
INFO:ga:Generation 29: Best=0.8197, Avg=0.7775
INFO:ga:Generation 30: Best=0.8197, Avg=0.7828
INFO:ga:Generation 31: Best=0.8238, Avg=0.7860
INFO:ga:Generation 32: Best=0.8238, Avg=0.7883
INFO:ga:Generation 33: Best=0.8238, Avg=0.7907
INFO:ga:Generation 34: Best=0.8279, Avg=0.7949
INFO:ga:Generation 35: Best=0.8525, Avg=0.7968
INFO:ga:Generation 36: Best=0.8525, Avg=0.7996
INFO:ga:Generation 37: Best=0.8525, Avg=0.8034
INFO:ga:Generation 38: Best=0.8525, Avg=0.8080
INFO:ga:Generation 39: Best=0.8525, Avg=0.8108
INFO:ga:Generation 40: Best=0.8525, Avg=0.8161
INFO:ga:Generation 41: Best=0.8525, Avg=0.8185
INFO:ga:Generation 42: Best=0.8525, Avg=0.8220
INFO:ga:Generation 43: Best=0.8607, Avg=0.8259
INFO:ga:Generation 44: Best=0.8607, Avg=0.8302
INFO:ga:Generation 45: Best=0.8607, Avg=0.8351
INFO:ga:Generation 46: Best=0.8689, Avg=0.8398
INFO:ga:Generation 47: Best=0.8689, Avg=0.8464
