INFO:ga:Generation 1: Best=0.6351, Avg=0.5838
INFO:ga:Generation 2: Best=0.6441, Avg=0.6248
INFO:ga:Generation 3: Best=0.6524, Avg=0.6334
INFO:ga:Generation 4: Best=0.6524, Avg=0.6347
INFO:ga:Generation 5: Best=0.6524, Avg=0.6370
INFO:ga:Generation 6: Best=0.6562, Avg=0.6401
INFO:ga:Generation 7: Best=0.6562, Avg=0.6452
INFO:ga:Generation 8: Best=0.6622, Avg=0.6500
INFO:ga:Generation 9: Best=0.6622, Avg=0.6535
INFO:ga:Generation 10: Best=0.6644, Avg=0.6564
INFO:ga:Generation 11: Best=0.6652, Avg=0.6592
INFO:ga:Generation 12: Best=0.6674, Avg=0.6617
INFO:ga:Generation 13: Best=0.6674, Avg=0.6636
INFO:ga:Generation 14: Best=0.6734, Avg=0.6641
INFO:ga:Generation 15: Best=0.6734, Avg=0.6650
INFO:ga:Generation 16: Best=0.6847, Avg=0.6662
INFO:ga:Generation 17: Best=0.6847, Avg=0.6671
INFO:ga:Generation 18: Best=0.6847, Avg=0.6693
INFO:ga:Generation 19: Best=0.6847, Avg=0.6742
INFO:ga:Generation 20: Best=0.6847, Avg=0.6778
INFO:ga:Generation 21: Best=0.6847, Avg=0.6808
INFO:ga:Generation 22: Best=0.6847, Avg=0.6837
INFO:ga:Generation 23: Best=0.6869, Avg=0.6840
INFO:ga:Generation 24: Best=0.6869, Avg=0.6845
INFO:ga:Generation 25: Best=0.6899, Avg=0.6833
INFO:ga:Generation 26: Best=0.6899, Avg=0.6848
INFO:ga:Generation 27: Best=0.6899, Avg=0.6854
INFO:ga:Generation 28: Best=0.6899, Avg=0.6860
INFO:ga:Generation 29: Best=0.6899, Avg=0.6869
INFO:ga:Generation 30: Best=0.6899, Avg=0.6884
INFO:ga:Generation 31: Best=0.6899, Avg=0.6891
INFO:ga:Generation 32: Best=0.6899, Avg=0.6894
INFO:ga:Generation 33: Best=0.6899, Avg=0.6898
INFO:ga:Generation 34: Best=0.6899, Avg=0.6899
INFO:ga:Generation 35: Best=0.6899, Avg=0.6899
INFO:ga:Generation 36: Best=0.6899, Avg=0.6892
INFO:ga:Generation 37: Best=0.6899, Avg=0.6891
INFO:ga:Generation 38: Best=0.6899, Avg=0.6896
INFO:ga:Generation 39: Best=0.6899, Avg=0.6899
INFO:ga:Generation 40: Best=0.6899, Avg=0.6897
INFO:ga:Generation 41: Best=0.6899, Avg=0.6896
INFO:ga:Generation 42: Best=0.6899, Avg=0.6899
INFO:ga:Generation 43: Best=0.6899, Avg=0.6899
INFO:ga:Generation 44: Best=0.6899, Avg=0.6896
INFO:ga:Generation 45: Best=0.6899, Avg=0.6899
INFO:ga:Generation 46: Best=0.6899, Avg=0.6898
INFO:ga:Generation 47: Best=0.6899, Avg=0.6898
INFO:ga:Generation 48: Best=0.6899, Avg=0.6894
INFO:ga:Generation 49: Best=0.6899, Avg=0.6899
INFO:ga:Generation 50: Best=0.6899, Avg=0.6894
INFO:ga:Generation 51: Best=0.6899, Avg=0.6898
INFO:ga:Generation 52: Best=0.6899, Avg=0.6899
INFO:ga:Generation 53: Best=0.6899, Avg=0.6899
INFO:ga:Generation 54: Best=0.6899, Avg=0.6899
INFO:ga:Generation 55: Best=0.6899, Avg=0.6898
INFO:ga:Generation 56: Best=0.6899, Avg=0.6899
INFO:ga:Generation 57: Best=0.6899, Avg=0.6897
INFO:ga:Generation 58: Best=0.6899, Avg=0.6897
INFO:ga:Generation 59: Best=0.6899, Avg=0.6892
INFO:ga:Generation 60: Best=0.6899, Avg=0.6899
INFO:ga:Generation 61: Best=0.6899, Avg=0.6899
INFO:ga:Generation 62: Best=0.6899, Avg=0.6899
INFO:ga:Generation 63: Best=0.6899, Avg=0.6894
INFO:ga:Generation 64: Best=0.6899, Avg=0.6899
INFO:ga:Generation 65: Best=0.6899, Avg=0.6896
INFO:ga:Generation 66: Best=0.6899, Avg=0.6898
INFO:ga:Generation 67: Best=0.6899, Avg=0.6899
INFO:ga:Generation 68: Best=0.6899, Avg=0.6899
INFO:ga:Generation 69: Best=0.6899, Avg=0.6899
INFO:ga:Generation 70: Best=0.6899, Avg=0.6899
INFO:ga:Generation 71: Best=0.6899, Avg=0.6897
INFO:ga:Generation 72: Best=0.6899, Avg=0.6899
INFO:ga:Generation 73: Best=0.6899, Avg=0.6899
INFO:ga:Generation 74: Best=0.6899, Avg=0.6899
INFO:ga:Generation 75: Best=0.6899, Avg=0.6899
INFO:ga:Generation 76: Best=0.6899, Avg=0.6896
INFO:ga:Generation 77: Best=0.6899, Avg=0.6898
INFO:ga:Generation 78: Best=0.6899, Avg=0.6892
INFO:ga:Generation 79: Best=0.6899, Avg=0.6896
INFO:ga:Generation 80: Best=0.6899, Avg=0.6899
INFO:ga:Generation 81: Best=0.6899, Avg=0.6899
INFO:ga:Generation 82: Best=0.6899, Avg=0.6899
INFO:ga:Generation 83: Best=0.6899, Avg=0.6895
INFO:ga:Generation 84: Best=0.6899, Avg=0.6899
INFO:ga:Generation 85: Best=0.6899, Avg=0.6899
INFO:ga:Generation 86: Best=0.6899, Avg=0.6898
INFO:ga:Generation 87: Best=0.6899, Avg=0.6899
INFO:ga:Generation 88: Best=0.6907, Avg=0.6899
INFO:ga:Generation 89: Best=0.6907, Avg=0.6897
INFO:ga:Generation 90: Best=0.6907, Avg=0.6897
INFO:ga:Generation 91: Best=0.6907, Avg=0.6900
INFO:ga:Generation 92: Best=0.6937, Avg=0.6892
INFO:ga:Generation 93: Best=0.6959, Avg=0.6902
INFO:ga:Generation 94: Best=0.6959, Avg=0.6912
INFO:ga:Generation 95: Best=0.6959, Avg=0.6922
INFO:ga:Generation 96: Best=0.6982, Avg=0.6929
INFO:ga:Generation 97: Best=0.6982, Avg=0.6945
INFO:ga:Generation 98: Best=0.6982, Avg=0.6960
INFO:ga:Generation 99: Best=0.6982, Avg=0.6961
INFO:ga:Generation 100: Best=0.6982, Avg=0.6971
INFO:ga:Best individual's training accuracy: 0.6982, validation accuracy: 0.5536
INFO:__main__:Training time: 140.1875 seconds
INFO:__main__:Training accuracy: 0.6091 Test accuracy: 0.4429
