INFO:ga:Generation 1: Best=0.2600, Avg=0.1667
INFO:ga:Generation 2: Best=0.2600, Avg=0.1830
INFO:ga:Generation 3: Best=0.3000, Avg=0.2010
INFO:ga:Generation 4: Best=0.3000, Avg=0.2171
INFO:ga:Generation 5: Best=0.3100, Avg=0.2344
INFO:ga:Generation 6: Best=0.3300, Avg=0.2478
INFO:ga:Generation 7: Best=0.3400, Avg=0.2612
INFO:ga:Generation 8: Best=0.3500, Avg=0.2710
INFO:ga:Generation 9: Best=0.3500, Avg=0.2798
INFO:ga:Generation 10: Best=0.3500, Avg=0.2904
INFO:ga:Generation 11: Best=0.3717, Avg=0.3016
INFO:ga:Generation 12: Best=0.3717, Avg=0.3107
INFO:ga:Generation 13: Best=0.3800, Avg=0.3169
INFO:ga:Generation 14: Best=0.3800, Avg=0.3265
INFO:ga:Generation 15: Best=0.3800, Avg=0.3322
INFO:ga:Generation 16: Best=0.3800, Avg=0.3376
INFO:ga:Generation 17: Best=0.4100, Avg=0.3436
INFO:ga:Generation 18: Best=0.4100, Avg=0.3497
INFO:ga:Generation 19: Best=0.4100, Avg=0.3535
INFO:ga:Generation 20: Best=0.4100, Avg=0.3576
INFO:ga:Generation 21: Best=0.4100, Avg=0.3623
INFO:ga:Generation 22: Best=0.4100, Avg=0.3646
INFO:ga:Generation 23: Best=0.4100, Avg=0.3684
INFO:ga:Generation 24: Best=0.4100, Avg=0.3720
INFO:ga:Generation 25: Best=0.4300, Avg=0.3764
INFO:ga:Generation 26: Best=0.4300, Avg=0.3800
INFO:ga:Generation 27: Best=0.4300, Avg=0.3846
INFO:ga:Generation 28: Best=0.4300, Avg=0.3886
INFO:ga:Generation 29: Best=0.4300, Avg=0.3941
INFO:ga:Generation 30: Best=0.4400, Avg=0.3981
INFO:ga:Generation 31: Best=0.4400, Avg=0.4042
INFO:ga:Generation 32: Best=0.4400, Avg=0.4096
INFO:ga:Generation 33: Best=0.4583, Avg=0.4168
INFO:ga:Generation 34: Best=0.4600, Avg=0.4231
INFO:ga:Generation 35: Best=0.4600, Avg=0.4292
INFO:ga:Generation 36: Best=0.4600, Avg=0.4341
INFO:ga:Generation 37: Best=0.4600, Avg=0.4379
INFO:ga:Generation 38: Best=0.4600, Avg=0.4408
INFO:ga:Generation 39: Best=0.4700, Avg=0.4442
INFO:ga:Generation 40: Best=0.4700, Avg=0.4484
INFO:ga:Generation 41: Best=0.4700, Avg=0.4510
INFO:ga:Generation 42: Best=0.4700, Avg=0.4534
INFO:ga:Generation 43: Best=0.4800, Avg=0.4559
INFO:ga:Generation 44: Best=0.4800, Avg=0.4589
INFO:ga:Generation 45: Best=0.4800, Avg=0.4609
INFO:ga:Generation 46: Best=0.4800, Avg=0.4629
INFO:ga:Generation 47: Best=0.4800, Avg=0.4643
INFO:ga:Generation 48: Best=0.4800, Avg=0.4668
INFO:ga:Generation 49: Best=0.4800, Avg=0.4696
INFO:ga:Generation 50: Best=0.4800, Avg=0.4720
INFO:ga:Generation 51: Best=0.4800, Avg=0.4738
INFO:ga:Generation 52: Best=0.4800, Avg=0.4767
INFO:ga:Generation 53: Best=0.4800, Avg=0.4785
INFO:ga:Generation 54: Best=0.4800, Avg=0.4791
INFO:ga:Generation 55: Best=0.4800, Avg=0.4797
INFO:ga:Generation 56: Best=0.4800, Avg=0.4789
INFO:ga:Generation 57: Best=0.4800, Avg=0.4792
INFO:ga:Generation 58: Best=0.4800, Avg=0.4796
INFO:ga:Generation 59: Best=0.4800, Avg=0.4794
INFO:ga:Generation 60: Best=0.4900, Avg=0.4796
INFO:ga:Generation 61: Best=0.4900, Avg=0.4797
INFO:ga:Generation 62: Best=0.4900, Avg=0.4797
INFO:ga:Generation 63: Best=0.4900, Avg=0.4798
INFO:ga:Generation 64: Best=0.4900, Avg=0.4803
INFO:ga:Generation 65: Best=0.4900, Avg=0.4816
INFO:ga:Generation 66: Best=0.4900, Avg=0.4835
INFO:ga:Generation 67: Best=0.4900, Avg=0.4861
INFO:ga:Generation 68: Best=0.4900, Avg=0.4883
INFO:ga:Generation 69: Best=0.4900, Avg=0.4895
INFO:ga:Generation 70: Best=0.4900, Avg=0.4894
INFO:ga:Generation 71: Best=0.4900, Avg=0.4891
INFO:ga:Generation 72: Best=0.4900, Avg=0.4896
INFO:ga:Generation 73: Best=0.4900, Avg=0.4892
INFO:ga:Generation 74: Best=0.4900, Avg=0.4890
INFO:ga:Generation 75: Best=0.4900, Avg=0.4894
INFO:ga:Generation 76: Best=0.4900, Avg=0.4892
INFO:ga:Generation 77: Best=0.4900, Avg=0.4888
INFO:ga:Generation 78: Best=0.4900, Avg=0.4890
INFO:ga:Generation 79: Best=0.4900, Avg=0.4891
INFO:ga:Generation 80: Best=0.4900, Avg=0.4891
INFO:ga:Generation 81: Best=0.4900, Avg=0.4892
INFO:ga:Generation 82: Best=0.4900, Avg=0.4892
INFO:ga:Generation 83: Best=0.4900, Avg=0.4893
INFO:ga:Generation 84: Best=0.4900, Avg=0.4896
INFO:ga:Generation 85: Best=0.4900, Avg=0.4896
INFO:ga:Generation 86: Best=0.4900, Avg=0.4890
INFO:ga:Generation 87: Best=0.4900, Avg=0.4893
INFO:ga:Generation 88: Best=0.4900, Avg=0.4898
INFO:ga:Generation 89: Best=0.4900, Avg=0.4891
INFO:ga:Generation 90: Best=0.4900, Avg=0.4895
INFO:ga:Generation 91: Best=0.4900, Avg=0.4895
INFO:ga:Generation 92: Best=0.4900, Avg=0.4895
INFO:ga:Generation 93: Best=0.4900, Avg=0.4894
INFO:ga:Generation 94: Best=0.4900, Avg=0.4893
INFO:ga:Generation 95: Best=0.4900, Avg=0.4890
INFO:ga:Generation 96: Best=0.4900, Avg=0.4893
