INFO:ga:Generation 1: Best=0.4167, Avg=0.2347
INFO:ga:Generation 2: Best=0.4583, Avg=0.2849
INFO:ga:Generation 3: Best=0.5417, Avg=0.3266
INFO:ga:Generation 4: Best=0.5833, Avg=0.3606
INFO:ga:Generation 5: Best=0.5833, Avg=0.3917
INFO:ga:Generation 6: Best=0.5833, Avg=0.4195
INFO:ga:Generation 7: Best=0.5833, Avg=0.4526
INFO:ga:Generation 8: Best=0.6667, Avg=0.4787
INFO:ga:Generation 9: Best=0.6667, Avg=0.5018
INFO:ga:Generation 10: Best=0.6667, Avg=0.5217
INFO:ga:Generation 11: Best=0.6667, Avg=0.5386
INFO:ga:Generation 12: Best=0.6667, Avg=0.5536
INFO:ga:Generation 13: Best=0.7083, Avg=0.5705
INFO:ga:Generation 14: Best=0.7083, Avg=0.5841
INFO:ga:Generation 15: Best=0.7083, Avg=0.5978
INFO:ga:Generation 16: Best=0.7500, Avg=0.6163
INFO:ga:Generation 17: Best=0.7500, Avg=0.6339
INFO:ga:Generation 18: Best=0.7500, Avg=0.6500
INFO:ga:Generation 19: Best=0.7500, Avg=0.6703
INFO:ga:Generation 20: Best=0.7500, Avg=0.6863
INFO:ga:Generation 21: Best=0.7917, Avg=0.6982
INFO:ga:Generation 22: Best=0.7917, Avg=0.7106
INFO:ga:Generation 23: Best=0.7917, Avg=0.7205
INFO:ga:Generation 24: Best=0.7917, Avg=0.7298
INFO:ga:Generation 25: Best=0.7917, Avg=0.7389
INFO:ga:Generation 26: Best=0.7917, Avg=0.7443
INFO:ga:Generation 27: Best=0.7917, Avg=0.7513
INFO:ga:Generation 28: Best=0.7917, Avg=0.7602
INFO:ga:Generation 29: Best=0.7917, Avg=0.7669
INFO:ga:Generation 30: Best=0.7917, Avg=0.7734
INFO:ga:Generation 31: Best=0.7917, Avg=0.7775
INFO:ga:Generation 32: Best=0.7917, Avg=0.7820
INFO:ga:Generation 33: Best=0.7917, Avg=0.7810
INFO:ga:Generation 34: Best=0.7917, Avg=0.7837
INFO:ga:Generation 35: Best=0.7917, Avg=0.7842
INFO:ga:Generation 36: Best=0.7917, Avg=0.7842
INFO:ga:Generation 37: Best=0.7917, Avg=0.7858
INFO:ga:Generation 38: Best=0.7917, Avg=0.7852
INFO:ga:Generation 39: Best=0.7917, Avg=0.7862
INFO:ga:Generation 40: Best=0.7917, Avg=0.7860
INFO:ga:Generation 41: Best=0.7917, Avg=0.7836
INFO:ga:Generation 42: Best=0.7917, Avg=0.7854
INFO:ga:Generation 43: Best=0.7917, Avg=0.7863
INFO:ga:Generation 44: Best=0.7917, Avg=0.7869
INFO:ga:Generation 45: Best=0.7917, Avg=0.7863
INFO:ga:Generation 46: Best=0.7917, Avg=0.7879
INFO:ga:Generation 47: Best=0.7917, Avg=0.7871
INFO:ga:Generation 48: Best=0.7917, Avg=0.7874
INFO:ga:Generation 49: Best=0.7917, Avg=0.7884
INFO:ga:Generation 50: Best=0.7917, Avg=0.7891
INFO:ga:Generation 51: Best=0.7917, Avg=0.7895
INFO:ga:Generation 52: Best=0.7917, Avg=0.7904
INFO:ga:Generation 53: Best=0.7917, Avg=0.7900
INFO:ga:Generation 54: Best=0.7917, Avg=0.7899
INFO:ga:Generation 55: Best=0.7917, Avg=0.7906
INFO:ga:Generation 56: Best=0.7917, Avg=0.7896
