INFO:ga:Generation 1: Best=0.7558, Avg=0.5689
INFO:ga:Generation 2: Best=0.7674, Avg=0.6315
INFO:ga:Generation 3: Best=0.7907, Avg=0.6834
INFO:ga:Generation 4: Best=0.7907, Avg=0.7238
INFO:ga:Generation 5: Best=0.8023, Avg=0.7653
INFO:ga:Generation 6: Best=0.8372, Avg=0.7819
INFO:ga:Generation 7: Best=0.8372, Avg=0.7934
INFO:ga:Generation 8: Best=0.8488, Avg=0.8133
INFO:ga:Generation 9: Best=0.8837, Avg=0.8256
INFO:ga:Generation 10: Best=0.8837, Avg=0.8277
INFO:ga:Generation 11: Best=0.8953, Avg=0.8409
INFO:ga:Generation 12: Best=0.9070, Avg=0.8511
INFO:ga:Generation 13: Best=0.9186, Avg=0.8624
INFO:ga:Generation 14: Best=0.9419, Avg=0.8877
INFO:ga:Generation 15: Best=0.9535, Avg=0.9096
INFO:ga:Generation 16: Best=0.9574, Avg=0.9241
INFO:ga:Generation 17: Best=0.9574, Avg=0.9378
INFO:ga:Generation 18: Best=0.9574, Avg=0.9454
INFO:ga:Generation 19: Best=0.9767, Avg=0.9526
INFO:ga:Generation 20: Best=0.9767, Avg=0.9570
INFO:ga:Generation 21: Best=0.9767, Avg=0.9630
INFO:ga:Generation 22: Best=0.9767, Avg=0.9672
INFO:ga:Generation 23: Best=0.9767, Avg=0.9689
INFO:ga:Generation 24: Best=0.9767, Avg=0.9745
INFO:ga:Generation 25: Best=0.9767, Avg=0.9765
INFO:ga:Generation 26: Best=0.9767, Avg=0.9765
INFO:ga:Generation 27: Best=0.9767, Avg=0.9759
INFO:ga:Generation 28: Best=0.9767, Avg=0.9761
INFO:ga:Generation 29: Best=0.9767, Avg=0.9738
INFO:ga:Generation 30: Best=0.9767, Avg=0.9766
INFO:ga:Generation 31: Best=0.9767, Avg=0.9745
INFO:ga:Generation 32: Best=0.9767, Avg=0.9748
INFO:ga:Generation 33: Best=0.9767, Avg=0.9740
INFO:ga:Generation 34: Best=0.9767, Avg=0.9757
INFO:ga:Generation 35: Best=0.9884, Avg=0.9769
INFO:ga:Generation 36: Best=0.9884, Avg=0.9778
INFO:ga:Generation 37: Best=0.9884, Avg=0.9761
INFO:ga:Generation 38: Best=0.9884, Avg=0.9812
INFO:ga:Generation 39: Best=0.9884, Avg=0.9808
INFO:ga:Generation 40: Best=0.9884, Avg=0.9853
INFO:ga:Generation 41: Best=0.9884, Avg=0.9882
INFO:ga:Generation 42: Best=0.9884, Avg=0.9881
INFO:ga:Generation 43: Best=0.9884, Avg=0.9869
INFO:ga:Generation 44: Best=0.9884, Avg=0.9877
INFO:ga:Generation 45: Best=0.9884, Avg=0.9876
INFO:ga:Generation 46: Best=0.9884, Avg=0.9873
INFO:ga:Generation 47: Best=0.9884, Avg=0.9884
INFO:ga:Generation 48: Best=0.9884, Avg=0.9884
INFO:ga:Generation 49: Best=0.9884, Avg=0.9873
INFO:ga:Generation 50: Best=0.9884, Avg=0.9873
INFO:ga:Generation 51: Best=0.9884, Avg=0.9884
INFO:ga:Generation 52: Best=0.9884, Avg=0.9880
INFO:ga:Generation 53: Best=0.9884, Avg=0.9884
INFO:ga:Generation 54: Best=0.9884, Avg=0.9880
INFO:ga:Generation 55: Best=0.9884, Avg=0.9884
INFO:ga:Generation 56: Best=0.9884, Avg=0.9884
INFO:ga:Generation 57: Best=0.9884, Avg=0.9883
INFO:ga:Generation 58: Best=0.9884, Avg=0.9877
INFO:ga:Generation 59: Best=0.9884, Avg=0.9873
INFO:ga:Generation 60: Best=0.9884, Avg=0.9876
INFO:ga:Generation 61: Best=0.9884, Avg=0.9873
INFO:ga:Generation 62: Best=0.9884, Avg=0.9877
INFO:ga:Generation 63: Best=0.9884, Avg=0.9868
INFO:ga:Generation 64: Best=0.9884, Avg=0.9877
INFO:ga:Generation 65: Best=0.9884, Avg=0.9867
INFO:ga:Generation 66: Best=0.9884, Avg=0.9882
INFO:ga:Generation 67: Best=0.9884, Avg=0.9873
INFO:ga:Generation 68: Best=0.9884, Avg=0.9879
INFO:ga:Generation 69: Best=0.9884, Avg=0.9884
INFO:ga:Generation 70: Best=0.9884, Avg=0.9855
INFO:ga:Generation 71: Best=0.9884, Avg=0.9870
INFO:ga:Generation 72: Best=0.9884, Avg=0.9831
INFO:ga:Generation 73: Best=0.9884, Avg=0.9884
