INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
Number of instances: 153
Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                            fitness                             	                      size                     
   	      	----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std     	avg    	gen	max	min	nevals	std    
0  	3069  	0.368088	0  	0.521821	0.25849	3069  	0.038574	4.46986	0  	7  	2  	3069  	1.41657
INFO:gp:1  	2329  	0.412232	1  	0.521821	0.269025	2329  	0.0354643	4.4842 	1  	10 	2  	2329  	1.48397
INFO:gp:2  	2332  	0.438532	2  	0.521821	0.269119	2332  	0.040413 	4.4376 	2  	13 	2  	2332  	1.51449
INFO:gp:3  	2287  	0.460869	3  	0.533392	0.277418	2287  	0.0427549	4.73379	3  	13 	2  	2287  	1.6877 
INFO:gp:4  	2291  	0.468995	4  	0.538536	0.289413	2291  	0.0475053	4.63017	4  	13 	2  	2291  	1.62211
INFO:gp:5  	2274  	0.473932	5  	0.538536	0.277373	2274  	0.048954 	4.42033	5  	12 	2  	2274  	1.44406
INFO:gp:6  	2344  	0.480967	6  	0.538536	0.277373	2344  	0.0461584	4.63995	6  	12 	2  	2344  	1.34878
INFO:gp:7  	2325  	0.486452	7  	0.538536	0.318368	2325  	0.0449314	4.82926	7  	14 	3  	2325  	1.4175 
INFO:gp:8  	2334  	0.488508	8  	0.542194	0.318362	2334  	0.0462377	5.19322	8  	14 	3  	2334  	1.59283
INFO:gp:9  	2339  	0.492751	9  	0.545553	0.277384	2339  	0.0491372	5.93972	9  	15 	3  	2339  	1.53867
INFO:gp:10 	2334  	0.49663 	10 	0.545553	0.308998	2334  	0.0506475	6.57739	10 	16 	2  	2334  	1.52388
INFO:gp:11 	2333  	0.500177	11 	0.545553	0.321369	2333  	0.0516341	6.90648	11 	17 	3  	2333  	1.53042
INFO:gp:12 	2340  	0.498849	12 	0.545553	0.305561	2340  	0.0536904	7.05083	12 	17 	2  	2340  	1.5666 
INFO:gp:13 	2333  	0.500403	13 	0.545553	0.315832	2333  	0.052067 	7.12805	13 	17 	2  	2333  	1.50254
INFO:gp:14 	2349  	0.502455	14 	0.546627	0.307307	2349  	0.0513948	7.24536	14 	17 	2  	2349  	1.39125
INFO:gp:15 	2339  	0.501494	15 	0.546627	0.314232	2339  	0.0528148	7.31378	15 	17 	3  	2339  	1.33025
INFO:gp:16 	2307  	0.498002	16 	0.546628	0.314233	2307  	0.0564147	7.37797	16 	17 	2  	2307  	1.32494
INFO:gp:17 	2347  	0.493321	17 	0.54663 	0.311991	2347  	0.0603658	7.54969	17 	17 	3  	2347  	1.51732
INFO:gp:18 	2317  	0.495061	18 	0.549852	0.311425	2317  	0.0621751	7.60834	18 	17 	3  	2317  	1.54747
INFO:gp:19 	2326  	0.501274	19 	0.549852	0.319376	2326  	0.057318 	7.78332	19 	19 	3  	2326  	1.69073
INFO:gp:20 	2341  	0.504477	20 	0.549852	0.318583	2341  	0.054118 	8.18312	20 	21 	3  	2341  	1.99927
INFO:gp:21 	2323  	0.508257	21 	0.559099	0.321202	2323  	0.0513369	9.04106	21 	22 	3  	2323  	2.58065
INFO:gp:22 	2307  	0.509596	22 	0.559099	0.31496 	2307  	0.050757 	10.1144	22 	25 	3  	2307  	3.03401
INFO:gp:23 	2312  	0.507944	23 	0.571432	0.311991	2312  	0.0518652	11.1489	23 	27 	3  	2312  	3.42974
INFO:gp:24 	2282  	0.507947	24 	0.571434	0.30221 	2282  	0.0541279	11.9883	24 	27 	3  	2282  	3.71209
INFO:gp:25 	2309  	0.505721	25 	0.571434	0.297247	2309  	0.0588556	13.1333	25 	30 	3  	2309  	3.56445
INFO:gp:26 	2310  	0.507081	26 	0.571434	0.285133	2310  	0.0611448	13.5966	26 	30 	3  	2310  	3.27329
INFO:gp:27 	2310  	0.514125	27 	0.571452	0.302134	2310  	0.0602695	13.259 	27 	30 	2  	2310  	3.22518
INFO:gp:28 	2333  	0.522708	28 	0.572698	0.309334	2333  	0.0578505	12.7853	28 	30 	3  	2333  	2.77137
INFO:gp:29 	2360  	0.529361	29 	0.577004	0.322872	2360  	0.0562976	12.7142	29 	30 	3  	2360  	2.57696
INFO:gp:30 	2308  	0.532307	30 	0.577004	0.315655	2308  	0.0559884	12.9039	30 	30 	3  	2308  	2.58808
INFO:gp:31 	2321  	0.53408 	31 	0.577004	0.306377	2321  	0.0544613	13.536 	31 	30 	3  	2321  	2.85464
INFO:gp:32 	2331  	0.534762	32 	0.577017	0.33238 	2331  	0.0555349	14.0652	32 	30 	3  	2331  	3.09358
INFO:gp:33 	2356  	0.533415	33 	0.577017	0.327652	2356  	0.0571612	13.9234	33 	42 	3  	2356  	2.83815
INFO:gp:34 	2331  	0.53339 	34 	0.577017	0.317127	2331  	0.0598457	13.7641	34 	30 	3  	2331  	2.43623
INFO:gp:35 	2301  	0.535489	35 	0.577017	0.339857	2301  	0.0585343	13.7973	35 	29 	3  	2301  	2.19511
INFO:gp:36 	2319  	0.53549 	36 	0.577021	0.324253	2319  	0.0594223	14.0339	36 	27 	5  	2319  	2.05199
INFO:gp:37 	2292  	0.535309	37 	0.577029	0.315655	2292  	0.0599068	14.6012	37 	27 	3  	2292  	2.13352
INFO:gp:38 	2320  	0.535976	38 	0.577032	0.333518	2320  	0.0595532	15.1655	38 	29 	3  	2320  	2.13704
INFO:gp:39 	2339  	0.536394	39 	0.577037	0.337468	2339  	0.0595319	15.7009	39 	31 	3  	2339  	2.44212
INFO:gp:40 	2339  	0.535237	40 	0.577042	0.335885	2339  	0.0606601	16.6996	40 	32 	5  	2339  	3.14704
INFO:gp:41 	2321  	0.533491	41 	0.577042	0.333518	2321  	0.0616396	18.2431	41 	37 	4  	2321  	3.81729
INFO:gp:42 	2303  	0.538146	42 	0.577042	0.319171	2303  	0.058503 	19.9016	42 	34 	7  	2303  	4.26334
INFO:gp:43 	2331  	0.536826	43 	0.57705 	0.329591	2331  	0.0595941	22.2154	43 	56 	3  	2331  	4.78528
INFO:gp:44 	2358  	0.53655 	44 	0.57705 	0.34708 	2358  	0.0599158	24.7087	44 	57 	7  	2358  	4.49893
INFO:gp:45 	2362  	0.535964	45 	0.57705 	0.340269	2362  	0.0606051	26.6963	45 	41 	7  	2362  	4.35261
INFO:gp:46 	2308  	0.536563	46 	0.577051	0.351339	2308  	0.0598732	28.1486	46 	53 	4  	2308  	4.28217
INFO:gp:47 	2287  	0.538513	47 	0.577051	0.339561	2287  	0.0587177	29.3868	47 	44 	6  	2287  	4.43834
INFO:gp:48 	2319  	0.53671 	48 	0.577051	0.351339	2319  	0.0591953	30.4187	48 	46 	4  	2319  	4.38141
INFO:gp:49 	2332  	0.539423	49 	0.577051	0.314127	2332  	0.0580486	31.3027	49 	49 	3  	2332  	4.65757
INFO:gp:50 	2298  	0.539297	50 	0.57712 	0.335318	2298  	0.0578341	32.0417	50 	50 	6  	2298  	4.58583
INFO:gp:51 	2311  	0.538498	51 	0.57712 	0.312582	2311  	0.0591615	32.9475	51 	58 	4  	2311  	5.08233
INFO:gp:52 	2329  	0.53785 	52 	0.57712 	0.315948	2329  	0.0586475	34.9922	52 	59 	12 	2329  	5.44452
INFO:gp:53 	2317  	0.539651	53 	0.57712 	0.324281	2317  	0.0588501	36.6986	53 	60 	3  	2317  	5.0579 
INFO:gp:54 	2291  	0.538752	54 	0.57712 	0.320504	2291  	0.0581939	37.2854	54 	60 	3  	2291  	5.24319
INFO:gp:55 	2342  	0.536142	55 	0.577132	0.332922	2342  	0.0593237	38.317 	55 	56 	9  	2342  	5.24873
INFO:gp:56 	2320  	0.538176	56 	0.577133	0.324431	2320  	0.0583208	39.9906	56 	60 	5  	2320  	5.50046
INFO:gp:57 	2354  	0.535357	57 	0.577133	0.329731	2354  	0.0596576	41.1362	57 	72 	10 	2354  	5.05103
INFO:gp:58 	2309  	0.537352	58 	0.577133	0.331104	2309  	0.0588534	41.4907	58 	72 	9  	2309  	5.14745
INFO:gp:59 	2302  	0.537203	59 	0.577135	0.338267	2302  	0.0589278	41.712 	59 	60 	9  	2302  	5.17102
INFO:gp:60 	2352  	0.539837	60 	0.579646	0.358119	2352  	0.0566044	42.1587	60 	74 	3  	2352  	4.93495
INFO:gp:61 	2322  	0.536953	61 	0.579646	0.333993	2322  	0.0594612	42.4588	61 	74 	3  	2322  	5.39336
INFO:gp:62 	2314  	0.53819 	62 	0.586664	0.348868	2314  	0.058284 	43.4813	62 	74 	8  	2314  	4.94137
INFO:gp:63 	2300  	0.540029	63 	0.586666	0.343204	2300  	0.0573259	44.2173	63 	74 	12 	2300  	5.04906
INFO:gp:64 	2326  	0.536454	64 	0.586666	0.321051	2326  	0.0604613	44.172 	64 	78 	12 	2326  	5.58127
INFO:gp:65 	2298  	0.537595	65 	0.586666	0.331784	2298  	0.0595631	43.0316	65 	56 	4  	2298  	6.38378
INFO:gp:66 	2354  	0.538064	66 	0.58667 	0.322596	2354  	0.0613996	40.2095	66 	63 	5  	2354  	8.5396 
INFO:gp:67 	2333  	0.541646	67 	0.58667 	0.339825	2333  	0.060732 	37.9837	67 	58 	8  	2333  	9.53987
INFO:gp:68 	2333  	0.542574	68 	0.58667 	0.330282	2333  	0.0608466	38.4871	68 	62 	3  	2333  	8.8795 
INFO:gp:69 	2395  	0.541849	69 	0.586671	0.317891	2395  	0.0620239	40.3985	69 	61 	7  	2395  	6.36148
INFO:gp:70 	2328  	0.544621	70 	0.586672	0.342002	2328  	0.0604628	41.7621	70 	60 	8  	2328  	5.76261
INFO:gp:71 	2258  	0.542356	71 	0.586673	0.304092	2258  	0.0639648	43.0899	71 	60 	4  	2258  	5.54731
INFO:gp:72 	2281  	0.544024	72 	0.586673	0.310086	2281  	0.0621275	44.1476	72 	78 	13 	2281  	5.16285
INFO:gp:73 	2351  	0.543773	73 	0.586674	0.313661	2351  	0.0622826	44.6494	73 	78 	8  	2351  	5.02619
INFO:gp:74 	2348  	0.542206	74 	0.586674	0.331837	2348  	0.0639579	45.0609	74 	80 	5  	2348  	4.88498
INFO:gp:75 	2345  	0.544059	75 	0.586674	0.328252	2345  	0.0627121	45.5836	75 	63 	5  	2345  	4.89611
INFO:gp:76 	2321  	0.543984	76 	0.586674	0.32009 	2321  	0.063227 	46.5301	76 	86 	7  	2321  	4.66088
INFO:gp:77 	2362  	0.541981	77 	0.586674	0.329939	2362  	0.0644649	47.2274	77 	67 	8  	2362  	4.83421
INFO:gp:78 	2307  	0.545688	78 	0.586674	0.306452	2307  	0.0631834	47.5174	78 	68 	7  	2307  	4.94572
INFO:gp:79 	2317  	0.546787	79 	0.586674	0.306452	2317  	0.0632727	47.799 	79 	86 	5  	2317  	4.62173
INFO:gp:80 	2283  	0.544627	80 	0.586674	0.328255	2283  	0.0645331	47.7312	80 	60 	7  	2283  	4.71022
INFO:gp:81 	2299  	0.546407	81 	0.586674	0.309239	2299  	0.0636529	47.636 	81 	62 	3  	2299  	5.13158
INFO:gp:82 	2368  	0.546744	82 	0.586674	0.337526	2368  	0.0624028	47.926 	82 	68 	3  	2368  	4.43285
INFO:gp:83 	2345  	0.545038	83 	0.586674	0.324762	2345  	0.0635219	47.9915	83 	86 	4  	2345  	4.30901
INFO:gp:84 	2357  	0.543552	84 	0.586674	0.328255	2357  	0.0649443	47.7299	84 	57 	4  	2357  	4.89296
INFO:gp:85 	2312  	0.54499 	85 	0.586674	0.335285	2312  	0.0633328	47.6859	85 	57 	4  	2312  	5.08325
INFO:gp:86 	2369  	0.546473	86 	0.586674	0.324762	2369  	0.0619924	47.8123	86 	68 	4  	2369  	4.69   
INFO:gp:87 	2327  	0.543131	87 	0.586674	0.321236	2327  	0.0645954	47.8227	87 	86 	4  	2327  	4.86171
INFO:gp:88 	2360  	0.544604	88 	0.586674	0.309066	2360  	0.0635345	47.8123	88 	62 	14 	2360  	4.87785
INFO:gp:89 	2322  	0.544847	89 	0.586674	0.349027	2322  	0.0642734	47.9664	89 	86 	8  	2322  	4.48492
INFO:gp:90 	2311  	0.544342	90 	0.586674	0.321677	2311  	0.0641152	47.9443	90 	67 	3  	2311  	4.51872
INFO:gp:91 	2296  	0.546408	91 	0.586674	0.328255	2296  	0.0621514	47.9156	91 	86 	7  	2296  	4.65153
INFO:gp:92 	2312  	0.545544	92 	0.586674	0.321306	2312  	0.0629003	48.1105	92 	61 	13 	2312  	3.8564 
INFO:gp:93 	2290  	0.544512	93 	0.586674	0.337526	2290  	0.0635054	47.9733	93 	67 	9  	2290  	4.51974
INFO:gp:94 	2285  	0.544109	94 	0.586674	0.299796	2285  	0.0648125	47.9827	94 	68 	4  	2285  	4.5371 
INFO:gp:95 	2334  	0.545886	95 	0.586674	0.324679	2334  	0.0630181	47.9257	95 	68 	3  	2334  	4.73574
INFO:gp:96 	2306  	0.545242	96 	0.586674	0.320314	2306  	0.0633994	47.8563	96 	56 	4  	2306  	4.766  
INFO:gp:97 	2318  	0.54473 	97 	0.586674	0.333018	2318  	0.0631188	47.9459	97 	63 	3  	2318  	4.6819 
INFO:gp:98 	2327  	0.546788	98 	0.586674	0.304393	2327  	0.0628064	47.9482	98 	67 	4  	2327  	4.69669
INFO:gp:99 	2310  	0.545691	99 	0.586674	0.34323 	2310  	0.0626629	47.9886	99 	67 	4  	2310  	4.3898 
INFO:gp:100	2343  	0.545959	100	0.586674	0.328164	2343  	0.0625591	47.8042	100	68 	10 	2343  	5.05742
INFO:gp:101	2291  	0.54788 	101	0.586675	0.325892	2291  	0.0613937	48.0029	101	67 	14 	2291  	4.41557
INFO:gp:102	2321  	0.547253	102	0.586675	0.311052	2321  	0.0620805	48.0381	102	68 	4  	2321  	4.47674
INFO:gp:103	2342  	0.544248	103	0.586675	0.333678	2342  	0.064017 	48.0384	103	86 	12 	2342  	4.56928
INFO:gp:104	2306  	0.54665 	104	0.586675	0.333154	2306  	0.0626818	48.1704	104	91 	10 	2306  	4.68276
INFO:gp:105	2306  	0.544894	105	0.586675	0.328255	2306  	0.0630051	48.118 	105	89 	8  	2306  	5.41967
INFO:gp:106	2319  	0.546357	106	0.586676	0.321236	2319  	0.0629241	48.6152	106	71 	4  	2319  	5.3497 
INFO:gp:107	2285  	0.546049	107	0.586676	0.325322	2285  	0.0630922	49.6357	107	60 	8  	2285  	5.16337
