INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                        fitness                         	                      size                     
   	      	--------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min    	nevals	std     	avg    	gen	max	min	nevals	std    
0  	3069  	0.368058	0  	0.52579	0.19959	3069  	0.047645	3.91952	0  	7  	2  	3069  	1.40533
INFO:gp:1  	2302  	0.413729	1  	0.599638	0.196952	2302  	0.0453706	4.16031	1  	12 	2  	2302  	1.54662
INFO:gp:2  	2250  	0.440797	2  	0.606431	0.230737	2250  	0.0490709	4.30629	2  	12 	2  	2250  	1.57594
INFO:gp:3  	2321  	0.458789	3  	0.636326	0.253789	2321  	0.0580584	4.39329	3  	12 	2  	2321  	1.61436
INFO:gp:4  	2311  	0.475418	4  	0.658037	0.215393	2311  	0.070872 	4.36429	4  	13 	2  	2311  	1.50558
INFO:gp:5  	2284  	0.492335	5  	0.658037	0.176651	2284  	0.0846253	4.28446	5  	13 	2  	2284  	1.38801
INFO:gp:6  	2340  	0.512777	6  	0.691237	0.176437	2340  	0.0926553	4.24764	6  	11 	2  	2340  	1.32768
INFO:gp:7  	2336  	0.539604	7  	0.691237	0.198642	2336  	0.0910613	4.26328	7  	12 	2  	2336  	1.34855
INFO:gp:8  	2337  	0.547721	8  	0.691237	0.240824	2337  	0.0963746	4.26979	8  	12 	2  	2337  	1.24521
INFO:gp:9  	2315  	0.559783	9  	0.707695	0.219577	2315  	0.0986767	4.30759	9  	14 	2  	2315  	1.21058
INFO:gp:10 	2311  	0.567251	10 	0.707695	0.219526	2311  	0.100296 	4.37048	10 	18 	2  	2311  	1.34958
INFO:gp:11 	2333  	0.571423	11 	0.730863	0.199193	2333  	0.100944 	4.32519	11 	14 	2  	2333  	1.36012
INFO:gp:12 	2366  	0.562481	12 	0.730863	0.199098	2366  	0.108352 	4.18182	12 	13 	2  	2366  	1.34556
INFO:gp:13 	2356  	0.563851	13 	0.759103	0.198864	2356  	0.114833 	4.02672	13 	13 	2  	2356  	1.22159
INFO:gp:14 	2344  	0.588687	14 	0.759879	0.199207	2344  	0.113843 	3.91007	14 	14 	2  	2344  	1.22523
INFO:gp:15 	2339  	0.613957	15 	0.767121	0.204188	2339  	0.115466 	3.95471	15 	11 	3  	2339  	1.27929
INFO:gp:16 	2352  	0.635393	16 	0.778797	0.157311	2352  	0.119853 	3.89866	16 	13 	3  	2352  	1.27837
INFO:gp:17 	2337  	0.66373 	17 	0.779394	0.272229	2337  	0.113638 	3.80287	17 	11 	3  	2337  	1.25006
INFO:gp:18 	2341  	0.685214	18 	0.7938  	0.281311	2341  	0.111089 	3.80482	18 	10 	3  	2341  	1.26487
INFO:gp:19 	2330  	0.704866	19 	0.7938  	0.311897	2330  	0.102261 	3.92701	19 	11 	3  	2330  	1.36015
INFO:gp:20 	2287  	0.705699	20 	0.7938  	0.305666	2287  	0.108806 	3.99218	20 	14 	3  	2287  	1.42932
INFO:gp:21 	2319  	0.704532	21 	0.7938  	0.286698	2319  	0.113001 	3.97524	21 	11 	3  	2319  	1.45107
INFO:gp:22 	2328  	0.703797	22 	0.795047	0.291166	2328  	0.112564 	3.96872	22 	13 	3  	2328  	1.44442
INFO:gp:23 	2359  	0.707135	23 	0.795047	0.296658	2359  	0.109636 	4.10199	23 	11 	3  	2359  	1.49672
INFO:gp:24 	2297  	0.710835	24 	0.814131	0.312199	2297  	0.109446 	4.34343	24 	16 	3  	2297  	1.61251
INFO:gp:25 	2334  	0.712286	25 	0.814131	0.300269	2334  	0.109148 	4.40665	25 	17 	3  	2334  	1.67947
INFO:gp:26 	2332  	0.716087	26 	0.826232	0.307957	2332  	0.108535 	4.36755	26 	17 	3  	2332  	1.73866
INFO:gp:27 	2305  	0.714763	27 	0.826232	0.290664	2305  	0.112051 	4.37537	27 	22 	3  	2305  	1.76712
INFO:gp:28 	2339  	0.7233  	28 	0.826232	0.322324	2339  	0.109317 	4.89052	28 	16 	3  	2339  	1.71163
INFO:gp:29 	2333  	0.740361	29 	0.826232	0.319972	2333  	0.100737 	5.69436	29 	16 	3  	2333  	1.72322
INFO:gp:30 	2320  	0.74925 	30 	0.826232	0.317198	2320  	0.103256 	6.2522 	30 	16 	3  	2320  	1.64441
INFO:gp:31 	2332  	0.752936	31 	0.830596	0.298654	2332  	0.10122  	6.594  	31 	17 	3  	2332  	1.63081
INFO:gp:32 	2314  	0.753651	32 	0.838153	0.309228	2314  	0.105516 	6.94037	32 	16 	5  	2314  	1.58336
INFO:gp:33 	2286  	0.752292	33 	0.838223	0.291201	2286  	0.109418 	7.23721	33 	15 	4  	2286  	1.64723
INFO:gp:34 	2307  	0.750257	34 	0.838291	0.294091	2307  	0.113252 	7.39492	34 	17 	3  	2307  	1.75637
INFO:gp:35 	2355  	0.751172	35 	0.838324	0.287978	2355  	0.114286 	7.71294	35 	17 	5  	2355  	2.01025
INFO:gp:36 	2313  	0.749997	36 	0.838324	0.289763	2313  	0.115811 	8.21342	36 	21 	3  	2313  	2.51947
INFO:gp:37 	2321  	0.75641 	37 	0.842224	0.294314	2321  	0.114124 	8.78658	37 	25 	3  	2321  	3.07404
INFO:gp:38 	2377  	0.757522	38 	0.842409	0.310019	2377  	0.117381 	9.4363 	38 	31 	3  	2377  	3.49793
INFO:gp:39 	2302  	0.765232	39 	0.842409	0.3098  	2302  	0.113797 	10.1896	39 	27 	5  	2302  	3.73109
INFO:gp:40 	2337  	0.771607	40 	0.842706	0.266805	2337  	0.111894 	11.013 	40 	31 	5  	2337  	3.75936
INFO:gp:41 	2315  	0.769302	41 	0.842798	0.312039	2315  	0.115624 	12.0114	41 	29 	5  	2315  	4.02309
INFO:gp:42 	2302  	0.772791	42 	0.842798	0.314894	2302  	0.114878 	12.8029	42 	32 	5  	2302  	4.08135
INFO:gp:43 	2328  	0.771821	43 	0.842816	0.305313	2328  	0.114599 	13.173 	43 	35 	5  	2328  	4.48643
INFO:gp:44 	2292  	0.768367	44 	0.842914	0.306743	2292  	0.119682 	13.3822	44 	35 	5  	2292  	4.68474
INFO:gp:45 	2347  	0.77139 	45 	0.842915	0.320341	2347  	0.115576 	13.5005	45 	37 	5  	2347  	4.76517
INFO:gp:46 	2364  	0.770718	46 	0.849714	0.311301	2364  	0.114426 	13.8234	46 	32 	5  	2364  	4.53459
INFO:gp:47 	2343  	0.775773	47 	0.849714	0.316562	2343  	0.111171 	14.6393	47 	37 	5  	2343  	4.46381
INFO:gp:48 	2287  	0.77732 	48 	0.849714	0.319872	2287  	0.110685 	16.0938	48 	36 	4  	2287  	4.37069
INFO:gp:49 	2313  	0.777544	49 	0.849877	0.319916	2313  	0.112045 	17.0381	49 	39 	5  	2313  	4.61762
INFO:gp:50 	2332  	0.777327	50 	0.849877	0.316101	2332  	0.110508 	17.9088	50 	43 	3  	2332  	5.18999
INFO:gp:51 	2329  	0.777371	51 	0.849877	0.306735	2329  	0.110192 	18.1769	51 	41 	5  	2329  	5.84538
INFO:gp:52 	2331  	0.776316	52 	0.849877	0.265511	2331  	0.110034 	18.3385	52 	45 	5  	2331  	6.42361
INFO:gp:53 	2290  	0.779346	53 	0.849963	0.319972	2290  	0.106629 	18.0036	53 	51 	5  	2290  	6.9679 
INFO:gp:54 	2325  	0.777035	54 	0.849963	0.326536	2325  	0.11042  	17.5526	54 	46 	3  	2325  	7.40397
INFO:gp:55 	2324  	0.771317	55 	0.850027	0.311491	2324  	0.115973 	16.3161	55 	41 	3  	2324  	8.0703 
INFO:gp:56 	2331  	0.77342 	56 	0.850099	0.2998  	2331  	0.11255  	14.4754	56 	41 	3  	2331  	8.13929
INFO:gp:57 	2313  	0.779862	57 	0.850123	0.289728	2313  	0.108386 	12.507 	57 	43 	5  	2313  	7.62836
