INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
Number of instances: 153
Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std    
0  	3069  	0.368194	0  	0.569572	0.160137	3069  	0.0567228	4.7364	0  	7  	2  	3069  	1.77045
INFO:gp:1  	2300  	0.423971	1  	0.58571 	0.229606	2300  	0.0493111	4.93614	1  	13 	2  	2300  	1.93133
INFO:gp:2  	2317  	0.45166 	2  	0.639918	0.239187	2317  	0.0550317	5.14532	2  	14 	2  	2317  	1.97551
INFO:gp:3  	2332  	0.475851	3  	0.663374	0.184143	2332  	0.0620536	5.27924	3  	17 	2  	2332  	2.01895
INFO:gp:4  	2319  	0.499805	4  	0.666838	0.203579	2319  	0.0713039	5.11958	4  	14 	2  	2319  	1.94072
INFO:gp:5  	2353  	0.524916	5  	0.713807	0.255493	2353  	0.0827353	4.79798	5  	14 	3  	2353  	1.78757
INFO:gp:6  	2354  	0.550586	6  	0.728742	0.199167	2354  	0.0926157	4.58162	6  	13 	2  	2354  	1.59757
INFO:gp:7  	2289  	0.578233	7  	0.737765	0.142469	2289  	0.0991358	4.37439	7  	12 	3  	2289  	1.54004
INFO:gp:8  	2270  	0.607497	8  	0.750245	0.285469	2270  	0.0997966	4.1828 	8  	15 	2  	2270  	1.65583
INFO:gp:9  	2352  	0.63288 	9  	0.753787	0.286106	2352  	0.101529 	4.1085 	9  	15 	3  	2352  	1.73692
INFO:gp:10 	2313  	0.653106	10 	0.769531	0.292228	2313  	0.0986435	4.145  	10 	15 	3  	2313  	1.82899
INFO:gp:11 	2288  	0.665321	11 	0.769531	0.246002	2288  	0.101689 	4.06256	11 	15 	3  	2288  	1.81033
INFO:gp:12 	2316  	0.674331	12 	0.799742	0.285826	2316  	0.103979 	3.91039	12 	12 	3  	2316  	1.50727
INFO:gp:13 	2333  	0.68727 	13 	0.799742	0.295994	2333  	0.105723 	3.78332	13 	12 	3  	2333  	1.39062
INFO:gp:14 	2292  	0.695472	14 	0.809369	0.295184	2292  	0.11232  	3.69045	14 	12 	3  	2292  	1.33381
INFO:gp:15 	2300  	0.698861	15 	0.814898	0.279526	2300  	0.125832 	3.72271	15 	12 	3  	2300  	1.36724
INFO:gp:16 	2307  	0.709917	16 	0.820444	0.275994	2307  	0.125934 	3.90714	16 	13 	3  	2307  	1.50166
INFO:gp:17 	2300  	0.72005 	17 	0.820444	0.284767	2300  	0.126198 	3.94656	17 	12 	3  	2300  	1.4568 
INFO:gp:18 	2302  	0.723334	18 	0.820444	0.305098	2302  	0.126532 	4.1072 	18 	12 	3  	2302  	1.48367
INFO:gp:19 	2320  	0.72822 	19 	0.821016	0.305303	2320  	0.128805 	4.46008	19 	15 	3  	2320  	1.80748
INFO:gp:20 	2343  	0.730871	20 	0.821016	0.319727	2343  	0.128694 	5.28869	20 	14 	3  	2343  	2.12544
INFO:gp:21 	2285  	0.742192	21 	0.821016	0.292173	2285  	0.12078  	6.32845	21 	14 	3  	2285  	1.83774
INFO:gp:22 	2325  	0.741392	22 	0.825494	0.315362	2325  	0.12478  	6.29684	22 	16 	3  	2325  	1.3873 
INFO:gp:23 	2329  	0.739415	23 	0.825494	0.294699	2329  	0.128701 	6.17726	23 	14 	3  	2329  	1.2022 
INFO:gp:24 	2337  	0.743591	24 	0.825494	0.314754	2337  	0.122453 	6.20463	24 	15 	3  	2337  	1.18609
INFO:gp:25 	2322  	0.752489	25 	0.826265	0.312465	2322  	0.110735 	6.26132	25 	14 	3  	2322  	1.32775
INFO:gp:26 	2317  	0.752629	26 	0.826265	0.321203	2317  	0.109876 	6.54122	26 	15 	3  	2317  	1.58726
INFO:gp:27 	2324  	0.752131	27 	0.826265	0.320038	2324  	0.110081 	7.17172	27 	17 	3  	2324  	1.93597
INFO:gp:28 	2306  	0.754127	28 	0.826265	0.3198  	2306  	0.112072 	8.16944	28 	19 	3  	2306  	2.07782
INFO:gp:29 	2333  	0.756202	29 	0.826286	0.31435 	2333  	0.113428 	8.8915 	29 	19 	3  	2333  	2.18476
INFO:gp:30 	2340  	0.75102 	30 	0.826313	0.310789	2340  	0.118943 	9.41153	30 	19 	3  	2340  	2.2509 
INFO:gp:31 	2322  	0.759573	31 	0.826313	0.316638	2322  	0.108687 	9.75855	31 	19 	3  	2322  	2.10324
INFO:gp:32 	2389  	0.754437	32 	0.826313	0.3077  	2389  	0.115506 	9.53177	32 	20 	3  	2389  	2.03073
INFO:gp:33 	2313  	0.754759	33 	0.826327	0.318486	2313  	0.114399 	9.85859	33 	20 	3  	2313  	2.39927
INFO:gp:34 	2368  	0.756555	34 	0.826831	0.307022	2368  	0.111005 	10.882 	34 	24 	3  	2368  	2.83081
INFO:gp:35 	2293  	0.759323	35 	0.826831	0.322132	2293  	0.113778 	11.4278	35 	23 	3  	2293  	2.88157
INFO:gp:36 	2323  	0.756005	36 	0.826831	0.260139	2323  	0.118829 	10.8941	36 	23 	3  	2323  	2.67415
INFO:gp:37 	2313  	0.755261	37 	0.830051	0.315395	2313  	0.11836  	10.9094	37 	22 	3  	2313  	2.56113
INFO:gp:38 	2318  	0.760204	38 	0.830051	0.315831	2318  	0.113554 	11.8296	38 	25 	3  	2318  	2.9198 
INFO:gp:39 	2312  	0.754229	39 	0.830051	0.313057	2312  	0.115705 	12.5989	39 	28 	3  	2312  	3.10924
INFO:gp:40 	2263  	0.754242	40 	0.830051	0.301153	2263  	0.116988 	12.3431	40 	29 	3  	2263  	3.40757
INFO:gp:41 	2328  	0.751575	41 	0.830248	0.296932	2328  	0.122708 	11.666 	41 	29 	3  	2328  	3.6096 
INFO:gp:42 	2342  	0.748123	42 	0.830979	0.297053	2342  	0.124623 	12.5324	42 	32 	3  	2342  	4.37848
INFO:gp:43 	2309  	0.75778 	43 	0.830979	0.314625	2309  	0.114253 	14.9863	43 	32 	3  	2309  	4.8462 
INFO:gp:44 	2315  	0.761394	44 	0.831069	0.312809	2315  	0.11378  	17.362 	44 	37 	3  	2315  	4.38958
INFO:gp:45 	2257  	0.768067	45 	0.831069	0.307734	2257  	0.10437  	18.5373	45 	37 	3  	2257  	3.6904 
INFO:gp:46 	2340  	0.765839	46 	0.831069	0.266168	2340  	0.108446 	19.0332	46 	37 	3  	2340  	4.05407
INFO:gp:47 	2333  	0.764784	47 	0.831069	0.315429	2333  	0.111169 	20.1766	47 	42 	3  	2333  	4.609  
INFO:gp:48 	2337  	0.761216	48 	0.831413	0.289954	2337  	0.116742 	21.8794	48 	42 	3  	2337  	4.84001
INFO:gp:49 	2308  	0.759538	49 	0.831413	0.319826	2308  	0.117617 	23.9101	49 	44 	3  	2308  	4.83966
INFO:gp:50 	2370  	0.758158	50 	0.831413	0.308055	2370  	0.119107 	25.523 	50 	46 	3  	2370  	4.81869
INFO:gp:51 	2288  	0.767934	51 	0.831413	0.311293	2288  	0.111919 	26.6514	51 	47 	3  	2288  	4.36622
INFO:gp:52 	2320  	0.764257	52 	0.831587	0.284954	2320  	0.116139 	26.915 	52 	47 	3  	2320  	4.50194
INFO:gp:53 	2305  	0.768189	53 	0.831587	0.315235	2305  	0.112395 	27.0114	53 	45 	3  	2305  	4.2926 
INFO:gp:54 	2317  	0.768506	54 	0.831593	0.297571	2317  	0.112272 	27.1427	54 	46 	7  	2317  	4.00405
INFO:gp:55 	2318  	0.76523 	55 	0.832801	0.289886	2318  	0.115053 	27.1942	55 	47 	3  	2318  	4.04779
INFO:gp:56 	2297  	0.764975	56 	0.835943	0.305837	2297  	0.114674 	27.3115	56 	47 	3  	2297  	3.89819
INFO:gp:57 	2288  	0.767551	57 	0.835943	0.289026	2288  	0.110495 	27.5207	57 	52 	3  	2288  	3.70076
INFO:gp:58 	2320  	0.765985	58 	0.835943	0.319964	2320  	0.11207  	27.7266	58 	46 	3  	2320  	3.7814 
INFO:gp:59 	2305  	0.769991	59 	0.844798	0.310471	2305  	0.108895 	28.0733	59 	47 	3  	2305  	3.86951
INFO:gp:60 	2333  	0.771306	60 	0.845184	0.329788	2333  	0.109112 	28.263 	60 	46 	3  	2333  	4.0532 
INFO:gp:61 	2345  	0.769523	61 	0.845203	0.307157	2345  	0.113385 	27.9391	61 	49 	4  	2345  	4.06287
INFO:gp:62 	2298  	0.78202 	62 	0.849233	0.311505	2298  	0.107989 	27.8791	62 	49 	5  	2298  	3.81155
INFO:gp:63 	2317  	0.783883	63 	0.849461	0.286883	2317  	0.108033 	27.68  	63 	46 	5  	2317  	4.19886
INFO:gp:64 	2368  	0.784231	64 	0.849461	0.308896	2368  	0.110646 	27.3894	64 	50 	3  	2368  	4.57171
INFO:gp:65 	2354  	0.779832	65 	0.849461	0.283999	2354  	0.116878 	27.6435	65 	46 	5  	2354  	4.25192
INFO:gp:66 	2290  	0.782573	66 	0.85721 	0.332454	2290  	0.115408 	27.5904	66 	49 	3  	2290  	4.18683
INFO:gp:67 	2368  	0.785009	67 	0.85741 	0.307964	2368  	0.111741 	27.7801	67 	48 	5  	2368  	4.23082
INFO:gp:68 	2302  	0.785846	68 	0.857766	0.329105	2302  	0.112695 	28.1052	68 	51 	5  	2302  	4.2841 
INFO:gp:69 	2328  	0.787766	69 	0.861709	0.320067	2328  	0.109446 	28.2848	69 	46 	3  	2328  	4.36256
INFO:gp:70 	2299  	0.787924	70 	0.866693	0.307807	2299  	0.111957 	28.9211	70 	47 	7  	2299  	4.37978
INFO:gp:71 	2313  	0.791669	71 	0.866693	0.298158	2313  	0.108245 	29.4878	71 	50 	5  	2313  	4.44425
INFO:gp:72 	2365  	0.795233	72 	0.866859	0.327237	2365  	0.107164 	29.493 	72 	53 	7  	2365  	4.20256
INFO:gp:73 	2312  	0.802473	73 	0.867111	0.304962	2312  	0.101904 	29.8661	73 	50 	9  	2312  	4.08958
INFO:gp:74 	2330  	0.806259	74 	0.867248	0.319604	2330  	0.0999494	30.3148	74 	53 	9  	2330  	4.04769
INFO:gp:75 	2327  	0.805825	75 	0.867849	0.300077	2327  	0.104065 	29.9563	75 	50 	7  	2327  	3.84195
