INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.367069	0  	0.56796	0.204845	3069  	0.0470927	3.86673	0  	7  	2  	3069  	1.39921
INFO:gp:1  	2338  	0.414384	1  	0.571657	0.240577	2338  	0.0432714	4.01988	1  	11 	2  	2338  	1.46467
INFO:gp:2  	2375  	0.437847	2  	0.597115	0.244953	2375  	0.0489507	4.13034	2  	13 	2  	2375  	1.53337
INFO:gp:3  	2324  	0.460031	3  	0.610795	0.248224	2324  	0.0531586	4.20658	3  	14 	2  	2324  	1.56753
INFO:gp:4  	2295  	0.479884	4  	0.642303	0.179654	2295  	0.0603303	4.24275	4  	12 	2  	2295  	1.5178 
INFO:gp:5  	2285  	0.500184	5  	0.648644	0.241572	2285  	0.0665806	4.24112	5  	14 	2  	2285  	1.51882
INFO:gp:6  	2312  	0.51347 	6  	0.692415	0.206887	2312  	0.0760067	4.38579	6  	12 	2  	2312  	1.65846
INFO:gp:7  	2289  	0.532193	7  	0.730585	0.216909	2289  	0.0834237	4.41675	7  	13 	2  	2289  	1.73984
INFO:gp:8  	2333  	0.554107	8  	0.770171	0.258723	2333  	0.0881931	4.6305 	8  	13 	2  	2333  	1.85469
INFO:gp:9  	2339  	0.580722	9  	0.770343	0.271115	2339  	0.0929922	4.83936	9  	13 	2  	2339  	1.93557
INFO:gp:10 	2357  	0.603764	10 	0.770343	0.232676	2357  	0.0951915	4.96872	10 	13 	2  	2357  	1.95043
INFO:gp:11 	2308  	0.628173	11 	0.783984	0.217187	2308  	0.101504 	5.05702	11 	14 	3  	2308  	1.96093
INFO:gp:12 	2292  	0.648312	12 	0.783984	0.119018	2292  	0.104023 	5.20332	12 	14 	3  	2292  	1.97501
INFO:gp:13 	2325  	0.665854	13 	0.787293	0.322833	2325  	0.107154 	5.62757	13 	13 	3  	2325  	1.95846
INFO:gp:14 	2324  	0.677095	14 	0.787293	0.264681	2324  	0.116184 	6.34409	14 	14 	3  	2324  	1.95823
INFO:gp:15 	2321  	0.685025	15 	0.787304	0.277847	2321  	0.123081 	6.89378	15 	14 	3  	2321  	2.01876
INFO:gp:16 	2343  	0.691082	16 	0.789142	0.19653 	2343  	0.124316 	7.2724 	16 	16 	3  	2343  	2.10248
INFO:gp:17 	2348  	0.694322	17 	0.789142	0.22693 	2348  	0.127511 	7.42098	17 	18 	3  	2348  	2.30248
INFO:gp:18 	2326  	0.701425	18 	0.789799	0.118159	2326  	0.128678 	7.4842 	18 	19 	3  	2326  	2.67195
INFO:gp:19 	2293  	0.706593	19 	0.789824	0.239392	2293  	0.122698 	7.75725	19 	22 	3  	2293  	3.20151
INFO:gp:20 	2307  	0.711873	20 	0.794889	0.314214	2307  	0.119589 	8.49137	20 	23 	3  	2307  	3.33944
INFO:gp:21 	2304  	0.715485	21 	0.794889	0.300797	2304  	0.118384 	9.63636	21 	24 	3  	2304  	3.68082
INFO:gp:22 	2252  	0.712238	22 	0.796   	0.29117 	2252  	0.126012 	10.7113	22 	27 	3  	2252  	3.92418
INFO:gp:23 	2289  	0.7174  	23 	0.798531	0.303858	2289  	0.126808 	10.4855	23 	26 	3  	2289  	3.89486
INFO:gp:24 	2332  	0.719204	24 	0.814086	0.298281	2332  	0.126009 	9.99088	24 	26 	3  	2332  	4.17809
INFO:gp:25 	2350  	0.721094	25 	0.814086	0.304666	2350  	0.125681 	10.8879	25 	30 	3  	2350  	5.02426
INFO:gp:26 	2326  	0.726092	26 	0.815441	0.254552	2326  	0.124032 	11.4536	26 	30 	3  	2326  	5.23674
INFO:gp:27 	2288  	0.729483	27 	0.824842	0.310205	2288  	0.12296  	10.4089	27 	35 	3  	2288  	5.03283
INFO:gp:28 	2369  	0.727961	28 	0.826194	0.29535 	2369  	0.128825 	9.17889	28 	29 	3  	2369  	4.18226
INFO:gp:29 	2284  	0.727398	29 	0.835493	0.307638	2284  	0.13066  	8.64581	29 	27 	3  	2284  	3.38147
INFO:gp:30 	2327  	0.724037	30 	0.835493	0.252146	2327  	0.137063 	8.89345	30 	24 	3  	2327  	3.41294
INFO:gp:31 	2311  	0.721825	31 	0.835495	0.276252	2311  	0.138797 	9.14923	31 	27 	3  	2311  	3.63178
INFO:gp:32 	2302  	0.73127 	32 	0.840369	0.205851	2302  	0.137391 	9.84881	32 	28 	3  	2302  	3.98678
INFO:gp:33 	2325  	0.730386	33 	0.840772	0.315906	2325  	0.140709 	10.5442	33 	29 	3  	2325  	3.98356
INFO:gp:34 	2333  	0.733505	34 	0.841461	0.303253	2333  	0.139371 	10.813 	34 	24 	3  	2333  	3.57914
