INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
Number of instances: 153
Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.366946	0  	0.516869	0.245782	3069  	0.0385814	4.46986	0  	7  	2  	3069  	1.38822
INFO:gp:1  	2343  	0.411711	1  	0.516869	0.2668  	2343  	0.0353888	4.56305	1  	13 	2  	2343  	1.4882 
INFO:gp:2  	2345  	0.440313	2  	0.516869	0.261419	2345  	0.0407983	4.66993	2  	12 	2  	2345  	1.5556 
INFO:gp:3  	2277  	0.463608	3  	0.521389	0.263944	2277  	0.0417652	4.67775	3  	14 	2  	2277  	1.7559 
INFO:gp:4  	2294  	0.475378	4  	0.521389	0.277384	2294  	0.0448939	4.57771	4  	15 	2  	2294  	1.65073
INFO:gp:5  	2315  	0.480237	5  	0.521389	0.269119	2315  	0.0482452	4.63376	5  	15 	2  	2315  	1.46784
INFO:gp:6  	2295  	0.478913	6  	0.521391	0.27331 	2295  	0.0538802	4.76149	6  	14 	2  	2295  	1.41092
INFO:gp:7  	2342  	0.482298	7  	0.521392	0.269119	2342  	0.0541685	5.1059 	7  	13 	3  	2342  	1.55413
INFO:gp:8  	2323  	0.484463	8  	0.526562	0.269119	2323  	0.0548752	5.49495	8  	13 	3  	2323  	1.67526
INFO:gp:9  	2282  	0.486258	9  	0.526562	0.283008	2282  	0.0538847	5.70153	9  	15 	3  	2282  	1.72031
INFO:gp:10 	2340  	0.485226	10 	0.526562	0.27331 	2340  	0.0549943	6.17237	10 	14 	3  	2340  	1.91492
INFO:gp:11 	2279  	0.484767	11 	0.526564	0.27331 	2279  	0.055841 	6.98794	11 	17 	3  	2279  	2.09131
INFO:gp:12 	2330  	0.484587	12 	0.533943	0.273241	2330  	0.055712 	7.61909	12 	16 	4  	2330  	2.10894
INFO:gp:13 	2322  	0.487143	13 	0.533946	0.273259	2322  	0.0547811	7.71489	13 	16 	3  	2322  	2.21605
INFO:gp:14 	2337  	0.489647	14 	0.533946	0.278374	2337  	0.0525275	7.89736	14 	18 	3  	2337  	2.18221
INFO:gp:15 	2311  	0.489998	15 	0.533946	0.286319	2311  	0.0532796	8.41414	15 	19 	4  	2311  	2.1485 
INFO:gp:16 	2320  	0.487312	16 	0.534036	0.269123	2320  	0.0563211	9.29521	16 	19 	4  	2320  	2.33749
INFO:gp:17 	2315  	0.489625	17 	0.539042	0.273291	2315  	0.056074 	10.117 	17 	22 	4  	2315  	2.38949
INFO:gp:18 	2324  	0.495289	18 	0.544721	0.269119	2324  	0.0552739	10.3607	18 	22 	4  	2324  	2.36693
INFO:gp:19 	2327  	0.496269	19 	0.544721	0.298449	2327  	0.0564848	10.6735	19 	24 	4  	2327  	2.54544
INFO:gp:20 	2345  	0.497193	20 	0.544733	0.29151 	2345  	0.0567295	11.7064	20 	27 	3  	2345  	2.9832 
INFO:gp:21 	2312  	0.497714	21 	0.544736	0.30675 	2312  	0.0571283	12.6038	21 	27 	5  	2312  	3.28658
INFO:gp:22 	2323  	0.50108 	22 	0.544758	0.278602	2323  	0.0568941	13.1209	22 	30 	4  	2323  	3.4278 
INFO:gp:23 	2324  	0.501015	23 	0.544768	0.284723	2324  	0.059869 	13.667 	23 	29 	4  	2324  	3.34882
INFO:gp:24 	2331  	0.501199	24 	0.544768	0.304703	2331  	0.0610163	14.2682	24 	33 	4  	2331  	3.63594
INFO:gp:25 	2304  	0.504205	25 	0.544768	0.284757	2304  	0.0602349	15.4109	25 	34 	4  	2304  	4.05569
INFO:gp:26 	2321  	0.501224	26 	0.544775	0.267634	2321  	0.0615736	16.5673	26 	41 	5  	2321  	4.0807 
INFO:gp:27 	2342  	0.50086 	27 	0.544775	0.28473 	2342  	0.062952 	17.5728	27 	34 	4  	2342  	3.56949
INFO:gp:28 	2306  	0.503999	28 	0.547715	0.284778	2306  	0.0606106	18.1587	28 	36 	7  	2306  	3.03782
INFO:gp:29 	2355  	0.504318	29 	0.547715	0.288332	2355  	0.0598678	18.375 	29 	35 	6  	2355  	2.78228
INFO:gp:30 	2353  	0.504665	30 	0.54774 	0.311664	2353  	0.0593561	18.4386	30 	37 	4  	2353  	2.73505
INFO:gp:31 	2312  	0.507644	31 	0.547762	0.308123	2312  	0.0581228	18.5096	31 	39 	4  	2312  	2.70747
INFO:gp:32 	2311  	0.509381	32 	0.547805	0.289145	2311  	0.0562069	18.6087	32 	37 	9  	2311  	2.58634
INFO:gp:33 	2366  	0.509045	33 	0.547805	0.304273	2366  	0.0569486	19.1346	33 	37 	7  	2366  	2.89916
INFO:gp:34 	2366  	0.509826	34 	0.549826	0.295372	2366  	0.0561903	20.3571	34 	35 	9  	2366  	3.04376
INFO:gp:35 	2320  	0.508474	35 	0.552024	0.30651 	2320  	0.0580164	21.2613	35 	37 	4  	2320  	2.86064
INFO:gp:36 	2364  	0.512076	36 	0.552024	0.282925	2364  	0.0559259	21.5106	36 	41 	9  	2364  	2.68147
INFO:gp:37 	2346  	0.51236 	37 	0.552065	0.314158	2346  	0.0544369	21.8126	37 	41 	4  	2346  	2.78368
INFO:gp:38 	2314  	0.514899	38 	0.55494 	0.30062 	2314  	0.053012 	22.2877	38 	41 	6  	2314  	2.89992
INFO:gp:39 	2302  	0.514139	39 	0.557227	0.318941	2302  	0.0545936	22.9084	39 	41 	6  	2302  	3.28555
INFO:gp:40 	2331  	0.51544 	40 	0.557227	0.2986  	2331  	0.0550171	23.8055	40 	43 	9  	2331  	3.69913
INFO:gp:41 	2296  	0.515418	41 	0.557243	0.288296	2296  	0.0564518	25.419 	41 	42 	9  	2296  	3.651  
INFO:gp:42 	2347  	0.515013	42 	0.557243	0.297912	2347  	0.0571714	26.7335	42 	41 	9  	2347  	3.23602
INFO:gp:43 	2265  	0.520445	43 	0.557244	0.316376	2265  	0.0547236	27.5735	43 	39 	10 	2265  	3.35742
INFO:gp:44 	2319  	0.519766	44 	0.557265	0.289098	2319  	0.054914 	29.2688	44 	48 	12 	2319  	3.73247
INFO:gp:45 	2279  	0.52456 	45 	0.557265	0.321992	2279  	0.0528508	30.8397	45 	46 	9  	2279  	3.63741
INFO:gp:46 	2341  	0.523542	46 	0.557284	0.299902	2341  	0.0537486	31.5947	46 	61 	12 	2341  	3.52128
