INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
Number of instances: 153
Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg   	gen	max	min	nevals	std    
0  	3069  	0.367958	0  	0.560613	0.179535	3069  	0.056053	4.7364	0  	7  	2  	3069  	1.76769
INFO:gp:1  	2341  	0.423899	1  	0.629274	0.207632	2341  	0.0503167	4.88302	1  	13 	2  	2341  	1.86695
INFO:gp:2  	2293  	0.452707	2  	0.647218	0.198586	2293  	0.0550314	4.86217	2  	13 	2  	2293  	1.97349
INFO:gp:3  	2337  	0.475487	3  	0.656145	0.193502	2337  	0.065793 	4.99609	3  	15 	2  	2337  	2.07044
INFO:gp:4  	2300  	0.502292	4  	0.703739	0.159838	2300  	0.0731971	5.01531	4  	13 	2  	2300  	2.10542
INFO:gp:5  	2301  	0.533373	5  	0.72538 	0.217677	2301  	0.0809624	4.82828	5  	15 	2  	2301  	2.04929
INFO:gp:6  	2303  	0.564739	6  	0.732346	0.228569	2303  	0.0854096	4.77028	6  	15 	2  	2303  	2.00302
INFO:gp:7  	2336  	0.598405	7  	0.739887	0.220588	2336  	0.0864016	4.913  	7  	19 	2  	2336  	2.00779
INFO:gp:8  	2289  	0.628421	8  	0.745834	0.290159	2289  	0.0856668	4.83773	8  	17 	3  	2289  	1.97221
INFO:gp:9  	2304  	0.649067	9  	0.74964 	0.295497	2304  	0.0887399	4.43076	9  	13 	3  	2304  	1.87596
INFO:gp:10 	2345  	0.661   	10 	0.786216	0.297509	2345  	0.0934633	3.96318	10 	14 	3  	2345  	1.65054
INFO:gp:11 	2283  	0.66613 	11 	0.786216	0.295175	2283  	0.0973848	4.13425	11 	13 	3  	2283  	1.74402
INFO:gp:12 	2337  	0.673449	12 	0.786216	0.300836	2337  	0.0914718	4.58423	12 	13 	3  	2337  	1.84928
INFO:gp:13 	2297  	0.676397	13 	0.786216	0.307234	2297  	0.0950968	5.04855	13 	17 	3  	2297  	1.97918
INFO:gp:14 	2331  	0.684832	14 	0.796727	0.260406	2331  	0.0925038	5.50342	14 	17 	3  	2331  	1.98588
INFO:gp:15 	2307  	0.69183 	15 	0.796727	0.291002	2307  	0.0925141	5.6419 	15 	13 	3  	2307  	1.90277
INFO:gp:16 	2299  	0.701348	16 	0.796727	0.197654	2299  	0.0908254	5.59009	16 	15 	3  	2299  	1.77363
INFO:gp:17 	2335  	0.701422	17 	0.796837	0.326858	2335  	0.0952325	5.44184	17 	14 	3  	2335  	1.75651
INFO:gp:18 	2320  	0.709622	18 	0.815198	0.291456	2320  	0.0879154	5.52265	18 	15 	3  	2320  	1.802  
INFO:gp:19 	2335  	0.711108	19 	0.815198	0.301077	2335  	0.0916665	5.74487	19 	14 	3  	2335  	1.8099 
INFO:gp:20 	2320  	0.715124	20 	0.815198	0.31431 	2320  	0.0908969	6.22874	20 	15 	3  	2320  	1.79854
INFO:gp:21 	2339  	0.719932	21 	0.815207	0.311587	2339  	0.0924887	6.7377 	21 	16 	3  	2339  	1.79858
INFO:gp:22 	2339  	0.718702	22 	0.815207	0.305426	2339  	0.0975166	7.27957	22 	17 	3  	2339  	2.00668
INFO:gp:23 	2346  	0.722635	23 	0.815497	0.309744	2346  	0.0950037	7.82535	23 	21 	3  	2346  	2.2192 
INFO:gp:24 	2315  	0.729788	24 	0.819412	0.334311	2315  	0.0928068	8.51613	24 	24 	5  	2315  	2.55729
INFO:gp:25 	2334  	0.730841	25 	0.819848	0.333218	2334  	0.0935467	9.17335	25 	23 	5  	2334  	2.82299
INFO:gp:26 	2320  	0.733781	26 	0.829657	0.323128	2320  	0.0963428	9.5549 	26 	27 	3  	2320  	3.0744 
INFO:gp:27 	2306  	0.734533	27 	0.829657	0.295701	2306  	0.0998859	9.79896	27 	25 	5  	2306  	3.31092
