INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.367374	0  	0.527744	0.214102	3069  	0.0478525	3.89247	0  	7  	2  	3069  	1.40178
INFO:gp:1  	2343  	0.415407	1  	0.562083	0.231701	2343  	0.0432692	4.11046	1  	13 	2  	2343  	1.5115 
INFO:gp:2  	2315  	0.441616	2  	0.578122	0.196773	2315  	0.0487042	4.25806	2  	13 	2  	2315  	1.52866
INFO:gp:3  	2274  	0.461892	3  	0.617044	0.240361	2274  	0.0556296	4.44086	3  	13 	2  	2274  	1.60162
INFO:gp:4  	2284  	0.483514	4  	0.638911	0.231246	2284  	0.0602832	4.5637 	4  	13 	2  	2284  	1.64361
INFO:gp:5  	2348  	0.499524	5  	0.665513	0.254712	2348  	0.066193 	4.73249	5  	12 	2  	2348  	1.73133
INFO:gp:6  	2305  	0.518204	6  	0.665513	0.220659	2305  	0.0714414	4.70479	6  	12 	2  	2305  	1.70604
INFO:gp:7  	2284  	0.535832	7  	0.688027	0.198033	2284  	0.0749531	4.61355	7  	12 	2  	2284  	1.67415
INFO:gp:8  	2338  	0.551849	8  	0.70631 	0.204712	2338  	0.0784417	4.49528	8  	12 	2  	2338  	1.53754
INFO:gp:9  	2310  	0.573681	9  	0.716959	0.260576	2310  	0.0789447	4.52004	9  	11 	2  	2310  	1.40983
INFO:gp:10 	2275  	0.599665	10 	0.754721	0.276492	2275  	0.0763672	4.62007	10 	11 	2  	2275  	1.32733
INFO:gp:11 	2283  	0.621125	11 	0.754721	0.262524	2283  	0.0790177	4.8537 	11 	15 	2  	2283  	1.36799
INFO:gp:12 	2331  	0.641566	12 	0.754721	0.262524	2331  	0.0795614	4.94917	12 	12 	3  	2331  	1.46781
INFO:gp:13 	2308  	0.656022	13 	0.764568	0.225158	2308  	0.0822772	4.97458	13 	13 	3  	2308  	1.51779
INFO:gp:14 	2344  	0.666388	14 	0.764568	0.319653	2344  	0.0831449	5.29554	14 	14 	3  	2344  	1.54259
INFO:gp:15 	2297  	0.681005	15 	0.774781	0.320017	2297  	0.0780215	5.75432	15 	14 	3  	2297  	1.53176
INFO:gp:16 	2340  	0.685015	16 	0.784953	0.302024	2340  	0.0839924	6.15021	16 	13 	3  	2340  	1.56969
