INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.366849	0  	0.521163	0.21226	1023  	0.0482056	3.86315	0  	7  	2  	1023  	1.42963
INFO:gp:1  	797   	0.417035	1  	0.543413	0.271321	797   	0.0428781	3.97849	1  	11 	2  	797   	1.52961
INFO:gp:2  	774   	0.44539 	2  	0.582866	0.219543	774   	0.0474644	3.97263	2  	14 	2  	774   	1.49983
INFO:gp:3  	785   	0.467251	3  	0.626881	0.249158	785   	0.0518969	4.13099	3  	13 	2  	785   	1.574  
INFO:gp:4  	770   	0.489061	4  	0.633294	0.253332	770   	0.0555035	4.5738 	4  	10 	2  	770   	1.64141
INFO:gp:5  	795   	0.503848	5  	0.646888	0.206149	795   	0.0649902	4.89052	5  	12 	2  	795   	1.77793
INFO:gp:6  	803   	0.520065	6  	0.651739	0.286647	803   	0.0719795	5.49853	6  	13 	2  	803   	2.12506
INFO:gp:7  	774   	0.545075	7  	0.688071	0.190482	774   	0.0748911	5.92082	7  	16 	2  	774   	2.29125
INFO:gp:8  	745   	0.567098	8  	0.704054	0.227815	745   	0.0786281	5.90616	8  	13 	2  	745   	2.41836
INFO:gp:9  	751   	0.581984	9  	0.722337	0.192722	751   	0.0851134	5.89541	9  	14 	2  	751   	2.44066
INFO:gp:10 	789   	0.601589	10 	0.722337	0.207798	789   	0.0898153	5.79472	10 	14 	2  	789   	2.32436
INFO:gp:11 	750   	0.630752	11 	0.722339	0.310859	750   	0.0884243	6.03519	11 	14 	2  	750   	2.22374
INFO:gp:12 	778   	0.641715	12 	0.732682	0.310859	778   	0.0908558	6.66373	12 	15 	3  	778   	2.15443
INFO:gp:13 	788   	0.651361	13 	0.732682	0.317535	788   	0.0918913	6.91691	13 	15 	3  	788   	2.13291
INFO:gp:14 	774   	0.6574  	14 	0.733819	0.32049 	774   	0.0938015	7.20137	14 	16 	3  	774   	2.10676
INFO:gp:15 	764   	0.660404	15 	0.748111	0.315543	764   	0.092613 	7.20821	15 	16 	3  	764   	2.0259 
INFO:gp:16 	761   	0.651757	16 	0.748653	0.313091	761   	0.100741 	7.0958 	16 	16 	3  	761   	2.13031
INFO:gp:17 	791   	0.659869	17 	0.749265	0.312149	791   	0.0986438	7.47801	17 	15 	3  	791   	2.17046
INFO:gp:18 	801   	0.66291 	18 	0.749265	0.312659	801   	0.0976569	8.06745	18 	16 	3  	801   	2.30651
INFO:gp:19 	771   	0.667272	19 	0.750552	0.322621	771   	0.0960042	8.71848	19 	17 	3  	771   	2.3252 
INFO:gp:20 	759   	0.673722	20 	0.757119	0.339959	759   	0.0913279	8.70381	20 	17 	3  	759   	2.43091
INFO:gp:21 	802   	0.678047	21 	0.757119	0.28943 	802   	0.0927662	8.565  	21 	22 	3  	802   	3.05592
INFO:gp:22 	780   	0.697514	22 	0.757119	0.336815	780   	0.0775681	8.55816	22 	23 	3  	780   	3.66568
INFO:gp:23 	779   	0.698304	23 	0.758494	0.325454	779   	0.0773739	8.11241	23 	27 	3  	779   	4.57543
INFO:gp:24 	785   	0.705739	24 	0.762199	0.31946 	785   	0.0713384	6.76637	24 	23 	3  	785   	4.61003
INFO:gp:25 	774   	0.707381	25 	0.777905	0.326268	774   	0.0763804	5.07918	25 	21 	3  	774   	3.61362
INFO:gp:26 	768   	0.709661	26 	0.777905	0.324132	768   	0.0764966	4.63539	26 	21 	3  	768   	3.03949
INFO:gp:27 	730   	0.712347	27 	0.777939	0.310244	730   	0.0754209	5.17986	27 	21 	3  	730   	2.9636 
INFO:gp:28 	748   	0.71132 	28 	0.777939	0.305939	748   	0.0766416	5.9306 	28 	21 	3  	748   	2.85527
INFO:gp:29 	779   	0.710034	29 	0.786593	0.351552	779   	0.0800458	6.08993	29 	21 	3  	779   	2.66796
INFO:gp:30 	776   	0.714243	30 	0.807456	0.339058	776   	0.0769138	6.75953	30 	21 	3  	776   	3.20752
INFO:gp:31 	786   	0.71575 	31 	0.807456	0.370561	786   	0.0772675	7.45748	31 	24 	3  	786   	3.74086
INFO:gp:32 	785   	0.716359	32 	0.807456	0.294262	785   	0.0849392	8.04008	32 	24 	3  	785   	4.47753
INFO:gp:33 	770   	0.72507 	33 	0.807456	0.311381	770   	0.0865415	7.7175 	33 	26 	3  	770   	4.54965
INFO:gp:34 	760   	0.727458	34 	0.807456	0.329207	760   	0.093339 	7.16716	34 	23 	3  	760   	3.11123
INFO:gp:35 	771   	0.731389	35 	0.807785	0.321403	771   	0.0906991	6.88856	35 	24 	3  	771   	2.12634
INFO:gp:36 	782   	0.734501	36 	0.807785	0.338792	782   	0.0967462	6.92473	36 	15 	3  	782   	1.81317
INFO:gp:37 	796   	0.737348	37 	0.807785	0.303049	796   	0.092484 	6.9697 	37 	16 	4  	796   	1.76809
INFO:gp:38 	799   	0.741716	38 	0.807785	0.353722	799   	0.0901373	7.38416	38 	16 	3  	799   	1.94901
INFO:gp:39 	777   	0.745161	39 	0.807945	0.291346	777   	0.0861779	8.15934	39 	15 	5  	777   	2.07037
INFO:gp:40 	789   	0.741428	40 	0.808215	0.333004	789   	0.094228 	9.00196	40 	16 	3  	789   	2.09454
INFO:gp:41 	773   	0.748219	41 	0.808325	0.315146	773   	0.0854356	9.68035	41 	25 	3  	773   	2.40407
INFO:gp:42 	788   	0.746756	42 	0.80833 	0.325406	788   	0.0884124	10.7566	42 	25 	3  	788   	3.2905 
INFO:gp:43 	781   	0.74835 	43 	0.80833 	0.347585	781   	0.0875571	12.393 	43 	30 	3  	781   	3.91878
INFO:gp:44 	787   	0.741904	44 	0.808384	0.330168	787   	0.0962375	14.4438	44 	33 	5  	787   	4.39146
INFO:gp:45 	764   	0.750442	45 	0.808384	0.30295 	764   	0.0906468	15.2493	45 	36 	4  	764   	4.78097
INFO:gp:46 	778   	0.754326	46 	0.808659	0.38021 	778   	0.0815914	16.0626	46 	36 	6  	778   	4.63549
INFO:gp:47 	755   	0.753451	47 	0.808659	0.320075	755   	0.0862326	17.219 	47 	35 	5  	755   	4.34429
INFO:gp:48 	758   	0.756415	48 	0.808748	0.33502 	758   	0.0803108	18.6061	48 	35 	6  	758   	4.71538
INFO:gp:49 	762   	0.753093	49 	0.808748	0.357849	762   	0.0851323	20.2356	49 	37 	6  	762   	4.89621
INFO:gp:50 	753   	0.752318	50 	0.808748	0.346599	753   	0.0873275	22.1085	50 	40 	6  	753   	4.75982
INFO:gp:51 	756   	0.755467	51 	0.80885 	0.351185	756   	0.0863718	23.695 	51 	39 	6  	756   	4.42984
INFO:gp:52 	769   	0.756227	52 	0.808851	0.347666	769   	0.0832568	23.654 	52 	41 	3  	769   	4.33219
INFO:gp:53 	781   	0.754347	53 	0.808955	0.339438	781   	0.081601 	23.5875	53 	41 	6  	781   	4.5929 
INFO:gp:54 	778   	0.757957	54 	0.808957	0.327772	778   	0.0836937	24.3216	54 	41 	6  	778   	4.76744
INFO:gp:55 	750   	0.756695	55 	0.809106	0.338733	750   	0.0801476	24.3715	55 	43 	6  	750   	4.90265
INFO:gp:56 	786   	0.757116	56 	0.809393	0.32095 	786   	0.0843366	24.2659	56 	39 	5  	786   	5.06359
