INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg  	gen	max	min	nevals	std    
0  	1023  	0.366123	0  	0.513286	0.203096	1023  	0.0466687	3.913	0  	7  	2  	1023  	1.43795
INFO:gp:1  	769   	0.412487	1  	0.550474	0.211489	769   	0.0448095	4.06354	1  	11 	2  	769   	1.54086
INFO:gp:2  	772   	0.442098	2  	0.567307	0.242737	772   	0.0474617	4.26979	2  	11 	2  	772   	1.57991
INFO:gp:3  	770   	0.464336	3  	0.581009	0.26099 	770   	0.0569692	4.66667	3  	12 	2  	770   	1.66891
INFO:gp:4  	789   	0.490789	4  	0.581009	0.258488	789   	0.0539525	4.78886	4  	11 	2  	789   	1.70515
INFO:gp:5  	749   	0.506229	5  	0.587563	0.276277	749   	0.0579835	4.39687	5  	12 	2  	749   	1.57475
INFO:gp:6  	765   	0.51885 	6  	0.597919	0.231933	765   	0.0575501	4.22385	6  	11 	2  	765   	1.52071
INFO:gp:7  	773   	0.519759	7  	0.621542	0.28131 	773   	0.0678636	4.38416	7  	12 	2  	773   	1.50918
INFO:gp:8  	769   	0.537941	8  	0.621542	0.294518	769   	0.0645298	4.56794	8  	12 	2  	769   	1.55669
INFO:gp:9  	755   	0.547448	9  	0.635723	0.287095	755   	0.0632325	4.67546	9  	11 	2  	755   	1.52344
INFO:gp:10 	755   	0.556112	10 	0.635723	0.292157	755   	0.0671055	4.77224	10 	11 	2  	755   	1.77137
INFO:gp:11 	763   	0.561851	11 	0.635723	0.294317	763   	0.0734209	4.92571	11 	12 	2  	763   	1.7803 
