INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.367983	0  	0.536382	0.216258	1023  	0.0468296	3.88856	0  	7  	2  	1023  	1.41328
INFO:gp:1  	775   	0.412767	1  	0.578975	0.206061	775   	0.0448331	3.96872	1  	11 	2  	775   	1.43378
INFO:gp:2  	756   	0.440063	2  	0.600751	0.274249	756   	0.0508144	4.15836	2  	11 	2  	756   	1.50215
INFO:gp:3  	776   	0.466296	3  	0.600751	0.29273 	776   	0.0539252	4.55621	3  	11 	2  	776   	1.48189
INFO:gp:4  	767   	0.487768	4  	0.60914 	0.285999	767   	0.0580928	4.85337	4  	11 	2  	767   	1.37069
INFO:gp:5  	769   	0.508627	5  	0.631028	0.299351	769   	0.0612543	4.94135	5  	13 	2  	769   	1.40815
INFO:gp:6  	749   	0.529124	6  	0.660036	0.304878	749   	0.0652006	5.1564 	6  	12 	3  	749   	1.25099
INFO:gp:7  	747   	0.545549	7  	0.660037	0.287116	747   	0.0655349	5.22874	7  	11 	3  	747   	1.14042
INFO:gp:8  	781   	0.55634 	8  	0.669762	0.310216	781   	0.0722034	5.2219 	8  	11 	3  	781   	1.08695
INFO:gp:9  	771   	0.576766	9  	0.685721	0.316107	771   	0.0735414	5.37439	9  	11 	3  	771   	0.981555
INFO:gp:10 	782   	0.598759	10 	0.685721	0.299011	782   	0.0755782	5.58749	10 	11 	3  	782   	1.015   
INFO:gp:11 	786   	0.605485	11 	0.685722	0.336858	786   	0.0751152	5.67058	11 	11 	4  	786   	1.01407 
INFO:gp:12 	761   	0.608404	12 	0.719525	0.270751	761   	0.0793106	5.65298	12 	11 	3  	761   	0.963563
INFO:gp:13 	770   	0.613831	13 	0.719525	0.353144	770   	0.0824498	5.65787	13 	11 	3  	770   	0.948454
INFO:gp:14 	783   	0.61573 	14 	0.719525	0.325421	783   	0.0836612	5.82209	14 	11 	4  	783   	1.04803 
INFO:gp:15 	765   	0.625055	15 	0.719525	0.322114	765   	0.0855327	5.9433 	15 	12 	4  	765   	1.14821 
INFO:gp:16 	750   	0.640687	16 	0.722759	0.365381	750   	0.083928 	5.83969	16 	11 	3  	750   	1.23872 
INFO:gp:17 	785   	0.65233 	17 	0.733271	0.379251	785   	0.0858218	5.52884	17 	11 	3  	785   	1.18598 
INFO:gp:18 	756   	0.657683	18 	0.736092	0.361407	756   	0.0893853	5.35191	18 	15 	3  	756   	0.979414
INFO:gp:19 	794   	0.656197	19 	0.736092	0.352692	794   	0.0919354	5.37341	19 	16 	3  	794   	0.998218
INFO:gp:20 	772   	0.660949	20 	0.736092	0.279295	772   	0.0916555	5.6002 	20 	12 	4  	772   	0.984474
INFO:gp:21 	791   	0.669327	21 	0.736092	0.343326	791   	0.0893449	5.80059	21 	12 	3  	791   	1.03852 
INFO:gp:22 	765   	0.667999	22 	0.736092	0.333619	765   	0.0935231	5.96774	22 	12 	3  	765   	1.02364 
INFO:gp:23 	769   	0.669499	23 	0.736092	0.372141	769   	0.096572 	5.95015	23 	12 	3  	769   	1.02198 
INFO:gp:24 	770   	0.664433	24 	0.736133	0.282251	770   	0.102911 	5.70283	24 	12 	3  	770   	1.01198 
INFO:gp:25 	789   	0.666726	25 	0.736136	0.325738	789   	0.10131  	5.54448	25 	12 	3  	789   	1.0766  
INFO:gp:26 	783   	0.669596	26 	0.736136	0.371232	783   	0.0980071	5.6129 	26 	12 	3  	783   	1.19084 
INFO:gp:27 	764   	0.66337 	27 	0.740688	0.373121	764   	0.101804 	6.02444	27 	14 	4  	764   	1.66042 
INFO:gp:28 	785   	0.664767	28 	0.745173	0.376211	785   	0.103425 	6.39003	28 	13 	3  	785   	1.81914 
INFO:gp:29 	750   	0.667553	29 	0.745173	0.331018	750   	0.102909 	6.52004	29 	15 	4  	750   	1.93525 
