INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                         fitness                         	                      size                     
   	      	---------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min   	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.366393	0  	0.52248	0.2051	1023  	0.0482917	3.85826	0  	7  	2  	1023  	1.40813
INFO:gp:1  	747   	0.414454	1  	0.533466	0.223621	747   	0.0444003	4.02835	1  	12 	2  	747   	1.48771
INFO:gp:2  	769   	0.436007	2  	0.533466	0.21636 	769   	0.0479145	4.23167	2  	12 	2  	769   	1.54252
INFO:gp:3  	783   	0.457075	3  	0.568137	0.268891	783   	0.0509065	4.33138	3  	13 	2  	783   	1.72177
INFO:gp:4  	815   	0.474   	4  	0.574737	0.190511	815   	0.053186 	4.52199	4  	13 	2  	815   	1.9016 
INFO:gp:5  	754   	0.487666	5  	0.595796	0.25303 	754   	0.0574882	4.74291	5  	13 	2  	754   	2.10928
INFO:gp:6  	789   	0.498858	6  	0.651827	0.17062 	789   	0.0633919	4.96872	6  	14 	2  	789   	2.32816
INFO:gp:7  	775   	0.51656 	7  	0.651827	0.256808	775   	0.0659884	5.348  	7  	13 	2  	775   	2.60162
INFO:gp:8  	745   	0.531961	8  	0.661332	0.264897	745   	0.0691372	5.77126	8  	16 	2  	745   	2.82955
INFO:gp:9  	754   	0.546855	9  	0.661332	0.268528	754   	0.0735179	5.60313	9  	16 	2  	754   	2.8918 
INFO:gp:10 	766   	0.569806	10 	0.669107	0.289574	766   	0.0759774	4.93451	10 	15 	2  	766   	2.67288
INFO:gp:11 	764   	0.594955	11 	0.699457	0.322767	764   	0.0773073	4.36657	11 	15 	3  	764   	2.34125
INFO:gp:12 	746   	0.607669	12 	0.699457	0.292312	746   	0.0757388	4.17302	12 	14 	2  	746   	2.26848
INFO:gp:13 	764   	0.609682	13 	0.699457	0.354978	764   	0.0795874	4.44379	13 	14 	2  	764   	2.32259
INFO:gp:14 	762   	0.615639	14 	0.712482	0.304056	762   	0.0798099	5.37439	14 	18 	2  	762   	2.72306
INFO:gp:15 	768   	0.628013	15 	0.73001 	0.331981	768   	0.076901 	6.89052	15 	15 	3  	768   	2.76547
INFO:gp:16 	743   	0.636532	16 	0.738331	0.344241	743   	0.0813738	7.68426	16 	15 	2  	743   	2.32522
INFO:gp:17 	764   	0.636902	17 	0.738488	0.296445	764   	0.0915658	8.08798	17 	15 	3  	764   	2.30561
