INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.36908	0  	0.523221	0.217388	1023  	0.0482839	3.92864	0  	7  	2  	1023  	1.41068
INFO:gp:1  	750   	0.41639	1  	0.566045	0.278179	750   	0.0457361	4.14272	1  	12 	2  	750   	1.55044
INFO:gp:2  	783   	0.444558	2  	0.600902	0.243838	783   	0.049131 	4.28055	2  	12 	2  	783   	1.57897
INFO:gp:3  	742   	0.46793 	3  	0.600902	0.265171	742   	0.0593584	4.2737 	3  	11 	2  	742   	1.48217
INFO:gp:4  	781   	0.492382	4  	0.627434	0.26385 	781   	0.0628158	4.22092	4  	12 	2  	781   	1.42663
INFO:gp:5  	769   	0.512468	5  	0.645424	0.262508	769   	0.0699376	4.28935	5  	14 	2  	769   	1.55899
INFO:gp:6  	787   	0.536881	6  	0.657552	0.259713	787   	0.0672235	4.27273	6  	11 	2  	787   	1.49646
INFO:gp:7  	775   	0.561377	7  	0.693305	0.281958	775   	0.0642557	4.11535	7  	13 	2  	775   	1.40046
INFO:gp:8  	780   	0.574984	8  	0.704304	0.221963	780   	0.0733883	3.86022	8  	10 	2  	780   	1.25646
INFO:gp:9  	789   	0.59586 	9  	0.707029	0.292835	789   	0.0731764	3.54252	9  	10 	2  	789   	1.22769
INFO:gp:10 	773   	0.611415	10 	0.711078	0.306374	773   	0.0761368	3.47801	10 	9  	2  	773   	1.2674 
INFO:gp:11 	717   	0.630383	11 	0.711308	0.309907	717   	0.0861855	4.09873	11 	10 	2  	717   	1.09519
INFO:gp:12 	753   	0.640061	12 	0.733931	0.213816	753   	0.0941137	4.56109	12 	11 	3  	753   	1.0388 
INFO:gp:13 	781   	0.646598	13 	0.733931	0.29527 	781   	0.0941754	4.42033	13 	11 	3  	781   	1.08001
INFO:gp:14 	758   	0.647796	14 	0.748691	0.278084	758   	0.0979864	4.13196	14 	11 	3  	758   	1.10592
INFO:gp:15 	768   	0.655925	15 	0.748691	0.283394	768   	0.0918592	3.88563	15 	11 	3  	768   	1.14177
INFO:gp:16 	773   	0.667575	16 	0.748691	0.279503	773   	0.0950416	3.70479	16 	11 	3  	773   	1.18761
INFO:gp:17 	769   	0.673034	17 	0.781911	0.305883	769   	0.095824 	3.51711	17 	11 	3  	769   	1.14341
INFO:gp:18 	776   	0.676952	18 	0.781911	0.309626	776   	0.0935653	3.42717	18 	11 	3  	776   	1.09755
INFO:gp:19 	744   	0.684917	19 	0.781911	0.300537	744   	0.0902628	3.41544	19 	11 	3  	744   	1.07964
INFO:gp:20 	764   	0.674798	20 	0.781911	0.319609	764   	0.0957143	3.39785	20 	9  	3  	764   	1.01556
INFO:gp:21 	791   	0.677849	21 	0.781911	0.297816	791   	0.0933758	3.45748	21 	9  	3  	791   	1.12377
INFO:gp:22 	779   	0.678301	22 	0.781911	0.297798	779   	0.0961492	3.49658	22 	9  	3  	779   	1.09193
INFO:gp:23 	775   	0.689428	23 	0.781911	0.315572	775   	0.0940871	3.62268	23 	9  	3  	775   	1.14123
INFO:gp:24 	811   	0.684501	24 	0.801162	0.307259	811   	0.108682 	3.66373	24 	10 	3  	811   	1.16159
INFO:gp:25 	771   	0.699805	25 	0.801162	0.295389	771   	0.10217  	3.48192	25 	9  	3  	771   	1.06367
INFO:gp:26 	751   	0.695344	26 	0.801162	0.278168	751   	0.113452 	3.41838	26 	9  	3  	751   	0.977226
INFO:gp:27 	754   	0.699896	27 	0.801162	0.31386 	754   	0.107405 	3.46823	27 	9  	3  	754   	1.05504 
INFO:gp:28 	754   	0.698593	28 	0.801162	0.297156	754   	0.110105 	3.66178	28 	11 	3  	754   	1.19423 
INFO:gp:29 	779   	0.702037	29 	0.801162	0.245193	779   	0.113792 	4.08211	29 	10 	3  	779   	1.23215 
INFO:gp:30 	774   	0.700724	30 	0.801162	0.298581	774   	0.117525 	4.4956 	30 	11 	3  	774   	1.15374 
INFO:gp:31 	781   	0.708459	31 	0.801162	0.327184	781   	0.112898 	4.94428	31 	11 	3  	781   	1.09197 
