INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                     size                     
   	      	-------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std   
0  	1023  	0.369028	0  	0.548109	0.203415	1023  	0.0493793	3.9042	0  	7  	2  	1023  	1.4068
INFO:gp:1  	776   	0.413756	1  	0.589453	0.242682	776   	0.0478249	4.06452	1  	10 	2  	776   	1.50909
INFO:gp:2  	747   	0.442721	2  	0.589453	0.256073	747   	0.0521895	4.30596	2  	13 	2  	747   	1.60925
INFO:gp:3  	741   	0.469758	3  	0.615101	0.255035	741   	0.060335 	4.61681	3  	12 	2  	741   	1.56382
INFO:gp:4  	762   	0.488687	4  	0.617658	0.256305	762   	0.0649365	5.01857	4  	11 	2  	762   	1.60724
INFO:gp:5  	760   	0.516622	5  	0.641547	0.249844	760   	0.0695152	5.59629	5  	14 	3  	760   	1.7676 
INFO:gp:6  	749   	0.54979 	6  	0.654897	0.291673	749   	0.0671201	6.21408	6  	14 	3  	749   	1.83751
INFO:gp:7  	740   	0.568885	7  	0.656386	0.29455 	740   	0.0657075	6.28935	7  	13 	3  	740   	1.83705
INFO:gp:8  	787   	0.571851	8  	0.674189	0.3065  	787   	0.0738513	5.98143	8  	13 	3  	787   	1.88337
INFO:gp:9  	759   	0.585142	9  	0.689551	0.286705	759   	0.0748897	6.06745	9  	15 	3  	759   	1.86188
INFO:gp:10 	769   	0.594886	10 	0.689551	0.290474	769   	0.0769127	6.23754	10 	15 	3  	769   	1.8658 
INFO:gp:11 	774   	0.617124	11 	0.691391	0.290571	774   	0.067942 	6.52004	11 	14 	3  	774   	1.51801
INFO:gp:12 	786   	0.625477	12 	0.697945	0.297269	786   	0.0703566	6.70577	12 	14 	3  	786   	1.46928
INFO:gp:13 	777   	0.626614	13 	0.697945	0.28632 	777   	0.0768571	6.58651	13 	14 	3  	777   	1.65207
INFO:gp:14 	775   	0.635897	14 	0.697945	0.326551	775   	0.0730606	6.35288	14 	13 	3  	775   	1.63288
INFO:gp:15 	750   	0.637234	15 	0.702247	0.333655	750   	0.0776719	6.51222	15 	14 	3  	750   	1.66254
INFO:gp:16 	784   	0.643327	16 	0.714271	0.307235	784   	0.0710419	6.60997	16 	16 	3  	784   	1.65953
INFO:gp:17 	804   	0.642629	17 	0.717863	0.340132	804   	0.0732095	6.30205	17 	14 	3  	804   	1.69919
INFO:gp:18 	775   	0.647276	18 	0.717863	0.290302	775   	0.0719487	6.5259 	18 	15 	3  	775   	1.8169 
INFO:gp:19 	783   	0.651291	19 	0.717863	0.31652 	783   	0.0725374	7.11241	19 	13 	3  	783   	2.03202
INFO:gp:20 	779   	0.655913	20 	0.717863	0.352664	779   	0.06879  	7.51613	20 	14 	3  	779   	2.19113
INFO:gp:21 	781   	0.652506	21 	0.717863	0.320987	781   	0.0736755	7.42913	21 	16 	3  	781   	2.59683
INFO:gp:22 	744   	0.65917 	22 	0.718416	0.331396	744   	0.0707568	6.98436	22 	16 	3  	744   	2.73455
INFO:gp:23 	799   	0.653813	23 	0.718416	0.322968	799   	0.0798145	5.90029	23 	16 	3  	799   	2.98216
INFO:gp:24 	757   	0.659131	24 	0.728712	0.31629 	757   	0.0802318	4.80059	24 	16 	3  	757   	2.71186
INFO:gp:25 	782   	0.656121	25 	0.730942	0.32423 	782   	0.0827234	4.25513	25 	16 	3  	782   	2.46429
INFO:gp:26 	753   	0.656939	26 	0.730942	0.315767	753   	0.0828896	4.66667	26 	16 	3  	753   	2.73948
INFO:gp:27 	787   	0.647889	27 	0.730942	0.283419	787   	0.0908512	5.61779	27 	16 	3  	787   	3.05274
INFO:gp:28 	790   	0.645113	28 	0.756737	0.320564	790   	0.0980153	6.73118	28 	16 	3  	790   	3.04175
INFO:gp:29 	788   	0.656043	29 	0.756737	0.226256	788   	0.0946988	8.03128	29 	16 	3  	788   	2.51428
INFO:gp:30 	776   	0.664734	30 	0.756738	0.288798	776   	0.0884675	8.68133	30 	15 	3  	776   	1.79717
INFO:gp:31 	783   	0.670881	31 	0.756739	0.313769	783   	0.086651 	8.95601	31 	17 	3  	783   	1.79197
INFO:gp:32 	779   	0.670021	32 	0.75674 	0.255892	779   	0.0904897	9.46823	32 	18 	3  	779   	2.09191
INFO:gp:33 	760   	0.679396	33 	0.756743	0.306694	760   	0.0964889	10.6207	33 	18 	3  	760   	2.19545
INFO:gp:34 	758   	0.686668	34 	0.756744	0.311498	758   	0.0989806	11.5934	34 	20 	4  	758   	2.145  
INFO:gp:35 	800   	0.686613	35 	0.756752	0.321501	800   	0.102373 	12.2014	35 	22 	6  	800   	2.42029
