INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50317	0  	0.719147	0.302899	1023  	0.0630746	3.48876	0  	7  	2  	1023  	1.31151
INFO:gp:1  	754   	0.555303	1  	0.720764	0.345411	754   	0.0653295	3.5738 	1  	11 	2  	754   	1.36647
INFO:gp:2  	753   	0.592004	2  	0.740066	0.370559	753   	0.0649506	3.86999	2  	11 	2  	753   	1.56817
INFO:gp:3  	781   	0.61825 	3  	0.801923	0.319052	781   	0.0739655	4.24242	3  	12 	1  	781   	1.78401
INFO:gp:4  	778   	0.649994	4  	0.831116	0.321629	778   	0.0837725	4.43109	4  	12 	1  	778   	1.78811
INFO:gp:5  	769   	0.677235	5  	0.831116	0.341954	769   	0.0902964	4.6911 	5  	12 	1  	769   	1.82263
INFO:gp:6  	780   	0.702375	6  	0.835734	0.290178	780   	0.0961553	4.71359	6  	12 	1  	780   	1.8099 
INFO:gp:7  	787   	0.717901	7  	0.843937	0.299116	787   	0.0983237	4.92082	7  	13 	1  	787   	1.80815
INFO:gp:8  	777   	0.71363 	8  	0.855658	0.295269	777   	0.107905 	5.55816	8  	13 	1  	777   	1.82956
INFO:gp:9  	778   	0.713735	9  	0.858431	0.359066	778   	0.109264 	5.74096	9  	12 	2  	778   	1.59862
INFO:gp:10 	741   	0.717527	10 	0.876791	0.363143	741   	0.112876 	5.82991	10 	12 	2  	741   	1.61263
INFO:gp:11 	786   	0.719318	11 	0.878242	0.346486	786   	0.120349 	6.08309	11 	13 	2  	786   	1.63955
INFO:gp:12 	765   	0.729557	12 	0.891642	0.300093	765   	0.121577 	6.34311	12 	13 	3  	765   	1.55655
INFO:gp:13 	791   	0.751153	13 	0.90216 	0.287004	791   	0.119194 	6.73021	13 	19 	2  	791   	1.69916
INFO:gp:14 	757   	0.778613	14 	0.902964	0.321901	757   	0.115741 	7.0694 	14 	15 	3  	757   	1.63361
INFO:gp:15 	753   	0.794276	15 	0.904018	0.310254	753   	0.114786 	7.24633	15 	15 	3  	753   	1.78566
