INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                    size                    
   	      	-------------------------------------------------------------------------	--------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std 
0  	1023  	0.503197	0  	0.761039	0.212464	1023  	0.0663412	3.52884	0  	7  	2  	1023  	1.34
INFO:gp:1  	780   	0.560347	1  	0.761039	0.350158	780   	0.0689812	3.7175 	1  	9  	2  	780   	1.3994
INFO:gp:2  	737   	0.597432	2  	0.761039	0.339675	737   	0.0745243	3.84262	2  	12 	1  	737   	1.42786
INFO:gp:3  	767   	0.622524	3  	0.798013	0.336458	767   	0.0812236	4.09971	3  	11 	2  	767   	1.62815
INFO:gp:4  	789   	0.649382	4  	0.798052	0.368393	789   	0.0866831	4.48094	4  	16 	2  	789   	1.84528
INFO:gp:5  	801   	0.677925	5  	0.819823	0.381939	801   	0.0884514	4.43109	5  	16 	1  	801   	1.84091
INFO:gp:6  	772   	0.705913	6  	0.819823	0.355758	772   	0.0917952	4.18964	6  	13 	1  	772   	1.69099
INFO:gp:7  	766   	0.731505	7  	0.827674	0.300467	766   	0.0905262	3.89638	7  	10 	1  	766   	1.40137
INFO:gp:8  	790   	0.740319	8  	0.827674	0.372947	790   	0.094171 	4.14272	8  	10 	1  	790   	1.34665
INFO:gp:9  	766   	0.74557 	9  	0.859099	0.390332	766   	0.092926 	4.60997	9  	11 	2  	766   	1.51608
INFO:gp:10 	767   	0.746601	10 	0.859099	0.407399	767   	0.094043 	4.61779	10 	11 	1  	767   	1.60995
INFO:gp:11 	755   	0.74694 	11 	0.859103	0.364962	755   	0.0960262	4.39003	11 	10 	1  	755   	1.59587
INFO:gp:12 	748   	0.737218	12 	0.870768	0.367959	748   	0.108379 	4.15347	12 	13 	3  	748   	1.62607
INFO:gp:13 	774   	0.748566	13 	0.870768	0.396106	774   	0.106688 	4.07331	13 	13 	3  	774   	1.39945
INFO:gp:14 	752   	0.774301	14 	0.870768	0.411596	752   	0.100311 	4.32551	14 	10 	3  	752   	1.37873
INFO:gp:15 	772   	0.800951	15 	0.870768	0.418896	772   	0.0867619	4.47312	15 	15 	3  	772   	1.41249
INFO:gp:16 	760   	0.805118	16 	0.870768	0.491396	760   	0.0862598	4.41153	16 	11 	3  	760   	1.49869
INFO:gp:17 	786   	0.804502	17 	0.870768	0.485451	786   	0.0856801	3.87781	17 	11 	3  	786   	1.42582
INFO:gp:18 	786   	0.805089	18 	0.870768	0.424349	786   	0.0903539	3.63148	18 	11 	3  	786   	1.35132
INFO:gp:19 	732   	0.816107	19 	0.870768	0.48206 	732   	0.0807708	3.49951	19 	11 	3  	732   	1.20432
INFO:gp:20 	759   	0.80669 	20 	0.882536	0.446735	759   	0.0868773	3.50244	20 	11 	3  	759   	1.22364
INFO:gp:21 	788   	0.80697 	21 	0.882536	0.451311	788   	0.0845452	3.5044 	21 	11 	3  	788   	1.20513
INFO:gp:22 	780   	0.803408	22 	0.882536	0.499659	780   	0.0880506	3.55621	22 	11 	3  	780   	1.26093
INFO:gp:23 	763   	0.80993 	23 	0.882536	0.500621	763   	0.0854329	3.51124	23 	11 	3  	763   	1.22599
INFO:gp:24 	776   	0.806857	24 	0.882536	0.457545	776   	0.091326 	3.49267	24 	11 	3  	776   	1.20592
INFO:gp:25 	771   	0.814468	25 	0.882536	0.44504 	771   	0.0909017	3.50635	25 	11 	3  	771   	1.22602
INFO:gp:26 	775   	0.810517	26 	0.882536	0.477534	775   	0.0945642	3.50831	26 	9  	3  	775   	1.19697
INFO:gp:27 	777   	0.804364	27 	0.893243	0.4223  	777   	0.100108 	3.42229	27 	9  	3  	777   	1.09811
INFO:gp:28 	760   	0.81005 	28 	0.893243	0.378198	760   	0.0991575	3.46041	28 	9  	3  	760   	1.12474
INFO:gp:29 	758   	0.805674	29 	0.903525	0.439701	758   	0.10107  	3.40665	29 	9  	3  	758   	1.06524
INFO:gp:30 	783   	0.806755	30 	0.903525	0.429893	783   	0.0992113	3.48876	30 	9  	3  	783   	1.14091
