INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                     size                     
   	      	-------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std   
0  	1023  	0.501211	0  	0.621703	0.368154	1023  	0.0300629	3.46237	0  	7  	2  	1023  	1.3543
INFO:gp:1  	791   	0.523429	1  	0.66326 	0.40897 	791   	0.0331745	3.58847	1  	11 	2  	791   	1.42788
INFO:gp:2  	757   	0.539937	2  	0.66326 	0.406396	757   	0.0362945	3.7087 	2  	12 	2  	757   	1.59826
INFO:gp:3  	773   	0.552003	3  	0.66326 	0.430406	773   	0.0426077	4.04203	3  	14 	2  	773   	1.83461
INFO:gp:4  	774   	0.568382	4  	0.681694	0.411285	774   	0.0483543	4.53079	4  	14 	2  	774   	2.08724
INFO:gp:5  	778   	0.590001	5  	0.692015	0.42321 	778   	0.0542683	5.14272	5  	15 	1  	778   	2.32861
INFO:gp:6  	778   	0.607976	6  	0.702167	0.451826	778   	0.0603937	5.73705	6  	14 	1  	778   	2.28649
INFO:gp:7  	768   	0.622348	7  	0.719561	0.429203	768   	0.0608375	5.32454	7  	14 	1  	768   	2.13985
INFO:gp:8  	760   	0.629181	8  	0.719561	0.442879	760   	0.0648526	5.20528	8  	15 	1  	760   	2.11934
INFO:gp:9  	728   	0.638448	9  	0.721794	0.458723	728   	0.0664157	4.98534	9  	14 	1  	728   	2.01383
INFO:gp:10 	775   	0.63964 	10 	0.724002	0.435826	775   	0.0729003	5.2434 	10 	14 	1  	775   	1.81941
INFO:gp:11 	790   	0.645183	11 	0.724002	0.405436	790   	0.0804566	5.65591	11 	13 	1  	790   	1.74383
INFO:gp:12 	789   	0.652217	12 	0.726492	0.388298	789   	0.0861805	5.7478 	12 	13 	2  	789   	1.68917
INFO:gp:13 	760   	0.657793	13 	0.72894 	0.461342	760   	0.0884821	5.79765	13 	17 	3  	760   	1.76007
INFO:gp:14 	773   	0.647551	14 	0.741962	0.465351	773   	0.097449 	5.99218	14 	14 	3  	773   	1.91101
INFO:gp:15 	770   	0.658734	15 	0.741962	0.476894	770   	0.0934232	6.56305	15 	17 	3  	770   	2.04535
INFO:gp:16 	764   	0.661142	16 	0.741962	0.452189	764   	0.0935134	6.83675	16 	15 	3  	764   	1.96244
INFO:gp:17 	766   	0.654076	17 	0.741962	0.475254	766   	0.0979543	7.07331	17 	14 	3  	766   	2.00086
INFO:gp:18 	797   	0.659689	18 	0.741962	0.435568	797   	0.0967636	7.41153	18 	15 	3  	797   	1.92624
INFO:gp:19 	761   	0.663335	19 	0.741962	0.438233	761   	0.0972296	7.48094	19 	15 	3  	761   	1.87262
INFO:gp:20 	771   	0.663893	20 	0.741962	0.444701	771   	0.0989941	7.41935	20 	16 	3  	771   	1.89022
INFO:gp:21 	794   	0.659592	21 	0.741962	0.463739	794   	0.100887 	7.30108	21 	15 	3  	794   	1.75734
INFO:gp:22 	765   	0.67352 	22 	0.741962	0.457872	765   	0.0948282	7.28446	22 	15 	3  	765   	1.77806
INFO:gp:23 	791   	0.665102	23 	0.741962	0.470504	791   	0.100055 	7.25122	23 	15 	3  	791   	1.78142
INFO:gp:24 	764   	0.674576	24 	0.741962	0.467813	764   	0.0949046	7.27077	24 	16 	3  	764   	1.82681
INFO:gp:25 	779   	0.670723	25 	0.741962	0.449863	779   	0.0961414	7.30596	25 	15 	3  	779   	1.76399
INFO:gp:26 	761   	0.669734	26 	0.741962	0.459569	761   	0.097379 	7.32747	26 	15 	3  	761   	1.69966
INFO:gp:27 	805   	0.668436	27 	0.741962	0.41943 	805   	0.0965393	7.40762	27 	17 	3  	805   	1.95577
