INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                            fitness                            	                      size                     
   	      	---------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std    	avg    	gen	max	min	nevals	std    
0  	1023  	0.501052	0  	0.62025	0.398117	1023  	0.03066	3.50733	0  	7  	2  	1023  	1.35624
INFO:gp:1  	758   	0.526177	1  	0.634234	0.399074	758   	0.0329005	3.63441	1  	12 	2  	758   	1.50245
INFO:gp:2  	799   	0.539332	2  	0.647697	0.393287	799   	0.0388128	3.65689	2  	11 	2  	799   	1.47662
INFO:gp:3  	772   	0.554318	3  	0.656399	0.372431	772   	0.0435758	3.82991	3  	10 	1  	772   	1.5565 
INFO:gp:4  	726   	0.566468	4  	0.660532	0.397469	726   	0.0496292	3.91007	4  	11 	2  	726   	1.57873
INFO:gp:5  	768   	0.576787	5  	0.67424 	0.411263	768   	0.0537905	4.23363	5  	10 	2  	768   	1.63095
INFO:gp:6  	782   	0.580236	6  	0.677301	0.369971	782   	0.063252 	4.80743	6  	11 	2  	782   	1.61344
INFO:gp:7  	783   	0.601211	7  	0.677301	0.409684	783   	0.0609995	5.33138	7  	11 	2  	783   	1.43434
INFO:gp:8  	760   	0.615051	8  	0.712841	0.421848	760   	0.0626597	5.73705	8  	12 	2  	760   	1.45518
INFO:gp:9  	754   	0.615781	9  	0.717501	0.429685	754   	0.0678135	5.72532	9  	12 	3  	754   	1.56383
INFO:gp:10 	762   	0.617477	10 	0.719894	0.429628	762   	0.0704594	5.72825	10 	13 	3  	762   	1.65631
INFO:gp:11 	787   	0.626071	11 	0.719894	0.435126	787   	0.0719477	5.80938	11 	14 	3  	787   	1.71527
INFO:gp:12 	731   	0.640414	12 	0.719894	0.43428 	731   	0.0750549	5.95406	12 	14 	3  	731   	1.77218
INFO:gp:13 	805   	0.649519	13 	0.719894	0.406671	805   	0.0800755	6.40958	13 	14 	3  	805   	1.82611
INFO:gp:14 	788   	0.654701	14 	0.733124	0.420364	788   	0.0840786	6.93939	14 	15 	3  	788   	1.91211
INFO:gp:15 	765   	0.660402	15 	0.733124	0.412313	765   	0.0825283	6.91496	15 	16 	3  	765   	1.80734
INFO:gp:16 	789   	0.652922	16 	0.733124	0.419908	789   	0.0905024	6.78299	16 	17 	3  	789   	1.69578
INFO:gp:17 	771   	0.655635	17 	0.735462	0.434741	771   	0.0888565	6.55327	17 	13 	3  	771   	1.49186
INFO:gp:18 	786   	0.656581	18 	0.735462	0.423289	786   	0.0887262	6.39785	18 	13 	3  	786   	1.35024
INFO:gp:19 	779   	0.647161	19 	0.737819	0.398783	779   	0.0942923	6.47605	19 	14 	3  	779   	1.35533
INFO:gp:20 	780   	0.649988	20 	0.737822	0.425866	780   	0.0948071	6.68915	20 	17 	3  	780   	1.49327
INFO:gp:21 	746   	0.653156	21 	0.737822	0.433419	746   	0.0960802	6.85728	21 	15 	3  	746   	1.60862
INFO:gp:22 	770   	0.650546	22 	0.737823	0.436515	770   	0.0974747	7.4653 	22 	15 	3  	770   	2.06126
INFO:gp:23 	764   	0.652467	23 	0.737823	0.432859	764   	0.0965536	8.51026	23 	17 	3  	764   	2.45221
INFO:gp:24 	765   	0.659342	24 	0.737826	0.429285	765   	0.0973935	9.12317	24 	17 	4  	765   	2.38201
