INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std    
0  	1023  	0.499484	0  	0.603258	0.394208	1023  	0.0290964	3.4741	0  	7  	2  	1023  	1.28723
INFO:gp:1  	736   	0.52465 	1  	0.660732	0.381482	736   	0.0324252	3.61584	1  	12 	2  	736   	1.35564
INFO:gp:2  	774   	0.539384	2  	0.660732	0.426988	774   	0.0368728	3.77615	2  	9  	2  	774   	1.36845
INFO:gp:3  	762   	0.552218	3  	0.660732	0.376755	762   	0.0434769	3.54839	3  	10 	1  	762   	1.38394
INFO:gp:4  	808   	0.561135	4  	0.677365	0.397975	808   	0.0501823	3.34213	4  	10 	1  	808   	1.34704
INFO:gp:5  	763   	0.576842	5  	0.677365	0.393296	763   	0.0536036	3.31378	5  	12 	2  	763   	1.39412
INFO:gp:6  	776   	0.594466	6  	0.677998	0.4234  	776   	0.056507 	3.12121	6  	9  	2  	776   	1.40762
INFO:gp:7  	775   	0.609233	7  	0.684523	0.396601	775   	0.0596985	2.94917	7  	10 	1  	775   	1.38888
INFO:gp:8  	738   	0.62271 	8  	0.708562	0.447747	738   	0.0620769	2.95015	8  	10 	2  	738   	1.41506
INFO:gp:9  	762   	0.630179	9  	0.708562	0.449004	762   	0.0652075	3.12708	9  	13 	2  	762   	1.59835
INFO:gp:10 	756   	0.639375	10 	0.708562	0.439996	756   	0.0666987	3.27566	10 	13 	2  	756   	1.87077
INFO:gp:11 	767   	0.649888	11 	0.708562	0.436106	767   	0.0670219	3.18671	11 	13 	2  	767   	1.79751
INFO:gp:12 	779   	0.658343	12 	0.708562	0.425812	779   	0.0701119	3.26002	12 	13 	2  	779   	1.85254
INFO:gp:13 	760   	0.671999	13 	0.708562	0.458245	760   	0.0675181	2.74389	13 	13 	2  	760   	1.62185
INFO:gp:14 	761   	0.675307	14 	0.708562	0.470707	761   	0.0665759	2.60704	14 	13 	2  	761   	1.53041
INFO:gp:15 	792   	0.675345	15 	0.708562	0.480702	792   	0.0662407	2.60606	15 	13 	2  	792   	1.52472
INFO:gp:16 	756   	0.674136	16 	0.708562	0.458678	756   	0.0666109	2.64712	16 	13 	2  	756   	1.57436
INFO:gp:17 	753   	0.677229	17 	0.708562	0.458245	753   	0.0648371	2.59433	17 	13 	2  	753   	1.53125
INFO:gp:18 	791   	0.673931	18 	0.708562	0.485086	791   	0.0679918	2.64712	18 	13 	2  	791   	1.57125
INFO:gp:19 	747   	0.678168	19 	0.708562	0.482325	747   	0.0634887	2.63636	19 	13 	2  	747   	1.56848
INFO:gp:20 	780   	0.67745 	20 	0.708562	0.471901	780   	0.0650292	2.6696 	20 	13 	2  	780   	1.61806
INFO:gp:21 	791   	0.678213	21 	0.708562	0.477934	791   	0.0639398	2.5738 	21 	13 	2  	791   	1.52085
INFO:gp:22 	798   	0.676546	22 	0.708562	0.485383	798   	0.0654978	2.60997	22 	13 	2  	798   	1.55303
INFO:gp:23 	788   	0.670404	23 	0.708562	0.481857	788   	0.0696448	2.70186	23 	13 	2  	788   	1.62039
INFO:gp:24 	770   	0.676975	24 	0.708562	0.450481	770   	0.0649243	2.61779	24 	13 	2  	770   	1.54425
INFO:gp:25 	804   	0.67403 	25 	0.708562	0.488386	804   	0.0669477	2.5914 	25 	13 	2  	804   	1.51989
INFO:gp:26 	758   	0.678089	26 	0.708562	0.474594	758   	0.0640773	2.60117	26 	13 	2  	758   	1.54416
INFO:gp:27 	773   	0.677121	27 	0.708562	0.485425	773   	0.0645011	2.67253	27 	13 	2  	773   	1.61956
INFO:gp:28 	765   	0.676522	28 	0.708562	0.457328	765   	0.065827 	2.57087	28 	13 	2  	765   	1.50548
INFO:gp:29 	774   	0.672822	29 	0.708562	0.482333	774   	0.0683672	2.60802	29 	13 	2  	774   	1.52906
INFO:gp:30 	776   	0.678604	30 	0.708562	0.440746	776   	0.0636935	2.58456	30 	13 	2  	776   	1.53309
INFO:gp:31 	778   	0.674515	31 	0.708562	0.479346	778   	0.0673385	2.62366	31 	13 	2  	778   	1.56205
INFO:gp:32 	753   	0.677083	32 	0.712476	0.418642	753   	0.0654577	2.62659	32 	13 	2  	753   	1.56993
INFO:gp:33 	789   	0.67266 	33 	0.712476	0.41312 	789   	0.0685065	2.61877	33 	13 	2  	789   	1.53146
INFO:gp:34 	780   	0.679214	34 	0.712476	0.471845	780   	0.0625881	2.59042	34 	13 	2  	780   	1.52252
INFO:gp:35 	769   	0.675973	35 	0.712476	0.480162	769   	0.0667014	2.64223	35 	13 	2  	769   	1.56234
INFO:gp:36 	767   	0.675231	36 	0.712476	0.472636	767   	0.0693071	2.65396	36 	13 	2  	767   	1.56935
INFO:gp:37 	803   	0.681867	37 	0.712476	0.495891	803   	0.0639202	2.58553	37 	13 	2  	803   	1.52345
INFO:gp:38 	774   	0.6805  	38 	0.712476	0.462591	774   	0.0665129	2.54252	38 	13 	2  	774   	1.47508
INFO:gp:39 	745   	0.678148	39 	0.712476	0.471655	745   	0.0673222	2.58065	39 	13 	2  	745   	1.52564
INFO:gp:40 	794   	0.678403	40 	0.712476	0.478448	794   	0.067777 	2.57478	40 	13 	2  	794   	1.49683
INFO:gp:41 	774   	0.675452	41 	0.712476	0.495227	774   	0.0703243	2.64223	41 	13 	2  	774   	1.5717 
INFO:gp:42 	777   	0.67843 	42 	0.712476	0.495526	777   	0.0674319	2.58162	42 	13 	2  	777   	1.52109
INFO:gp:43 	788   	0.681589	43 	0.712476	0.485344	788   	0.0640214	2.53372	43 	13 	2  	788   	1.46132
INFO:gp:44 	748   	0.67711 	44 	0.712476	0.457151	748   	0.0681749	2.61193	44 	13 	2  	748   	1.53006
INFO:gp:45 	774   	0.680919	45 	0.712476	0.487436	774   	0.0654163	2.58553	45 	13 	2  	774   	1.50407
INFO:gp:46 	762   	0.676601	46 	0.712476	0.464335	762   	0.0698049	2.56012	46 	13 	2  	762   	1.48108
INFO:gp:47 	774   	0.67896 	47 	0.712476	0.466913	774   	0.0676195	2.56696	47 	13 	2  	774   	1.47881
INFO:gp:48 	779   	0.674837	48 	0.712476	0.490289	779   	0.0700216	2.59433	48 	13 	2  	779   	1.48128
INFO:gp:49 	773   	0.677214	49 	0.712476	0.466339	773   	0.0694094	2.57967	49 	12 	2  	773   	1.45619
INFO:gp:50 	776   	0.680707	50 	0.712476	0.472217	776   	0.065602 	2.52004	50 	11 	2  	776   	1.35106
INFO:gp:51 	769   	0.676045	51 	0.712476	0.487987	769   	0.0702867	2.53959	51 	11 	2  	769   	1.37785
INFO:gp:52 	781   	0.677003	52 	0.712476	0.473559	781   	0.0691366	2.565  	52 	11 	2  	781   	1.40639
INFO:gp:53 	742   	0.678864	53 	0.712476	0.487071	742   	0.0667784	2.58553	53 	11 	2  	742   	1.44778
INFO:gp:54 	775   	0.680023	54 	0.712476	0.469953	775   	0.0660935	2.52884	54 	11 	2  	775   	1.38661
INFO:gp:55 	769   	0.680565	55 	0.712476	0.466954	769   	0.0660309	2.54643	55 	11 	2  	769   	1.39527
INFO:gp:56 	779   	0.681354	56 	0.712476	0.491593	779   	0.0649945	2.5132 	56 	11 	2  	779   	1.37196
