INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.502894	0  	0.710334	0.26268	1023  	0.0630645	3.52786	0  	7  	2  	1023  	1.36245
INFO:gp:1  	762   	0.554338	1  	0.753741	0.29421	762   	0.0658573	3.70381	1  	11 	2  	762   	1.45753
INFO:gp:2  	765   	0.589873	2  	0.79929 	0.302294	765   	0.0701538	3.94917	2  	12 	2  	765   	1.59341
INFO:gp:3  	753   	0.620786	3  	0.809694	0.28497 	753   	0.0755604	4.18475	3  	11 	1  	753   	1.77637
INFO:gp:4  	768   	0.650345	4  	0.812568	0.246494	768   	0.0823095	3.93157	4  	13 	1  	768   	1.71624
INFO:gp:5  	797   	0.682129	5  	0.843168	0.316539	797   	0.0909109	3.58847	5  	11 	1  	797   	1.32269
INFO:gp:6  	740   	0.721624	6  	0.882648	0.382492	740   	0.0943986	3.51808	6  	10 	1  	740   	1.0873 
INFO:gp:7  	770   	0.739029	7  	0.882648	0.223495	770   	0.101856 	3.94233	7  	10 	1  	770   	1.28439
INFO:gp:8  	762   	0.760117	8  	0.882648	0.386328	762   	0.0979289	4.31476	8  	12 	1  	762   	1.54143
INFO:gp:9  	782   	0.763562	9  	0.882648	0.361746	782   	0.1047   	4.17791	9  	13 	1  	782   	1.63108
INFO:gp:10 	775   	0.79022 	10 	0.890505	0.494864	775   	0.0982299	4.51124	10 	13 	2  	775   	1.92875
INFO:gp:11 	782   	0.832846	11 	0.89255 	0.375051	782   	0.0839211	4.44282	11 	14 	1  	782   	2.0923 
INFO:gp:12 	767   	0.840503	12 	0.89255 	0.478148	767   	0.0833203	3.95015	12 	13 	1  	767   	1.92236
INFO:gp:13 	766   	0.837645	13 	0.892674	0.383841	766   	0.0881656	4.58944	13 	15 	1  	766   	2.43941
INFO:gp:14 	786   	0.831776	14 	0.903098	0.458041	786   	0.0991354	6.19159	14 	16 	2  	786   	2.98128
INFO:gp:15 	745   	0.840196	15 	0.903098	0.370046	745   	0.095356 	6.71652	15 	17 	2  	745   	2.99687
INFO:gp:16 	769   	0.845661	16 	0.904037	0.3575  	769   	0.0886539	7.63539	16 	17 	2  	769   	2.82341
INFO:gp:17 	763   	0.83671 	17 	0.906323	0.393441	763   	0.10376  	8.35386	17 	19 	2  	763   	2.37943
INFO:gp:18 	768   	0.835549	18 	0.908173	0.435589	768   	0.107135 	8.0958 	18 	19 	2  	768   	2.50173
INFO:gp:19 	735   	0.839186	19 	0.908173	0.453538	735   	0.111362 	7.72043	19 	19 	2  	735   	2.52069
INFO:gp:20 	757   	0.844022	20 	0.908173	0.420636	757   	0.108115 	7.69795	20 	19 	2  	757   	2.84216
INFO:gp:21 	766   	0.850388	21 	0.908173	0.371646	766   	0.101526 	7.74585	21 	20 	2  	766   	2.92258
INFO:gp:22 	771   	0.847303	22 	0.908516	0.432191	771   	0.105892 	8.60704	22 	19 	2  	771   	3.00017
INFO:gp:23 	777   	0.854931	23 	0.908516	0.401331	777   	0.100139 	10.2023	23 	23 	2  	777   	3.19535
INFO:gp:24 	790   	0.861947	24 	0.908516	0.464072	790   	0.0907186	11.87  	24 	24 	2  	790   	2.88653
INFO:gp:25 	772   	0.867483	25 	0.908694	0.450398	772   	0.0867038	12.7928	25 	28 	2  	772   	3.07642
INFO:gp:26 	784   	0.86553 	26 	0.908726	0.414607	784   	0.0910611	14.5073	26 	33 	2  	784   	3.9095 
INFO:gp:27 	730   	0.872402	27 	0.909093	0.47015 	730   	0.0859158	16.6481	27 	31 	2  	730   	3.9122 
INFO:gp:28 	772   	0.872862	28 	0.909093	0.420271	772   	0.0858143	17.8426	28 	40 	2  	772   	4.69017
INFO:gp:29 	777   	0.872759	29 	0.909093	0.344157	777   	0.084524 	20.2023	29 	40 	2  	777   	5.59562
INFO:gp:30 	778   	0.876195	30 	0.911278	0.51186 	778   	0.0787274	23.4301	30 	40 	2  	778   	6.19926
INFO:gp:31 	763   	0.876417	31 	0.911278	0.438625	763   	0.0770546	25.304 	31 	40 	2  	763   	6.22112
INFO:gp:32 	774   	0.873877	32 	0.911278	0.506112	774   	0.0776449	22.4409	32 	42 	2  	774   	6.65665
INFO:gp:33 	766   	0.872377	33 	0.911278	0.473423	766   	0.0806811	19.5738	33 	37 	2  	766   	5.42992
INFO:gp:34 	748   	0.873481	34 	0.911331	0.41518 	748   	0.0821044	19.1593	34 	37 	3  	748   	4.52743
INFO:gp:35 	770   	0.871181	35 	0.912354	0.455719	770   	0.0832345	17.4145	35 	32 	2  	770   	4.70148
INFO:gp:36 	754   	0.871662	36 	0.912354	0.357836	754   	0.0829635	15.7458	36 	30 	2  	754   	4.17317
INFO:gp:37 	790   	0.870522	37 	0.912354	0.434982	790   	0.0853302	16.39  	37 	30 	2  	790   	4.14089
INFO:gp:38 	766   	0.867893	38 	0.912981	0.411883	766   	0.0863812	18.567 	38 	39 	2  	766   	4.19714
INFO:gp:39 	759   	0.872508	39 	0.912981	0.460393	759   	0.0809234	19.5836	39 	38 	3  	759   	3.77736
INFO:gp:40 	765   	0.873515	40 	0.912981	0.365222	765   	0.0833997	19.5552	40 	37 	2  	765   	3.99763
INFO:gp:41 	765   	0.874599	41 	0.912981	0.446055	765   	0.0819536	20.1554	41 	37 	2  	765   	3.1989 
INFO:gp:42 	779   	0.871083	42 	0.912981	0.510406	779   	0.0848935	20.0293	42 	39 	2  	779   	3.86643
INFO:gp:43 	789   	0.875431	43 	0.912981	0.476764	789   	0.0802487	20.1349	43 	29 	2  	789   	3.3349 
INFO:gp:44 	785   	0.877556	44 	0.912981	0.444647	785   	0.0766936	20.0088	44 	31 	2  	785   	3.66657
INFO:gp:45 	751   	0.876801	45 	0.912981	0.500026	751   	0.0774243	20.1369	45 	30 	2  	751   	3.47971
INFO:gp:46 	758   	0.875161	46 	0.913068	0.512808	758   	0.081318 	20.0929	46 	39 	2  	758   	3.88724
INFO:gp:47 	796   	0.870201	47 	0.913068	0.446992	796   	0.0887167	19.9863	47 	31 	2  	796   	3.78785
INFO:gp:48 	780   	0.870709	48 	0.913068	0.490087	780   	0.083582 	20.1427	48 	39 	2  	780   	3.65939
INFO:gp:49 	777   	0.874372	49 	0.913068	0.495256	777   	0.0799861	20.2004	49 	39 	2  	777   	3.51285
INFO:gp:50 	768   	0.876116	50 	0.913068	0.502447	768   	0.0781536	20.1525	50 	39 	2  	768   	3.65953
INFO:gp:51 	777   	0.879187	51 	0.913068	0.521781	777   	0.0727477	20.259 	51 	34 	2  	777   	3.35637
INFO:gp:52 	758   	0.879249	52 	0.913068	0.495035	758   	0.0728449	20.1593	52 	34 	2  	758   	3.57369
INFO:gp:53 	792   	0.880326	53 	0.913068	0.472251	792   	0.0756272	20.174 	53 	39 	2  	792   	3.60718
INFO:gp:54 	772   	0.876613	54 	0.913068	0.502482	772   	0.080469 	20.2268	54 	39 	2  	772   	3.57128
INFO:gp:55 	778   	0.875241	55 	0.913068	0.495455	778   	0.0812493	20.1662	55 	34 	2  	778   	3.79145
