INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                            fitness                             	                      size                     
   	      	----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std     	avg   	gen	max	min	nevals	std    
0  	1023  	0.49809	0  	0.615158	0.373667	1023  	0.029554	3.5044	0  	7  	2  	1023  	1.33811
INFO:gp:1  	750   	0.523374	1  	0.626603	0.404218	750   	0.0300185	3.7263	1  	12 	2  	750   	1.53211
INFO:gp:2  	789   	0.535821	2  	0.648522	0.382551	789   	0.0353001	3.80059	2  	12 	2  	789   	1.63518
INFO:gp:3  	801   	0.545066	3  	0.648522	0.330051	801   	0.0410549	3.98827	3  	14 	1  	801   	1.75528
INFO:gp:4  	760   	0.556597	4  	0.662407	0.38486 	760   	0.0456566	4.06256	4  	10 	2  	760   	1.69122
INFO:gp:5  	791   	0.562382	5  	0.673124	0.368012	791   	0.0500479	4.22972	5  	10 	1  	791   	1.66823
INFO:gp:6  	782   	0.573316	6  	0.682022	0.42687 	782   	0.0553542	4.44282	6  	11 	1  	782   	1.63072
INFO:gp:7  	788   	0.590124	7  	0.70211 	0.421478	788   	0.060152 	4.80156	7  	13 	2  	788   	1.58584
INFO:gp:8  	776   	0.610714	8  	0.706903	0.417005	776   	0.0688443	5.15543	8  	12 	1  	776   	1.48182
INFO:gp:9  	768   	0.624186	9  	0.719451	0.43957 	768   	0.0701343	5.11339	9  	12 	1  	768   	1.57288
INFO:gp:10 	777   	0.632729	10 	0.735464	0.423367	777   	0.07315  	5.36364	10 	14 	1  	777   	1.83075
INFO:gp:11 	785   	0.642432	11 	0.735464	0.404512	785   	0.0718253	5.8045 	11 	14 	1  	785   	1.98452
INFO:gp:12 	778   	0.65256 	12 	0.735464	0.45625 	778   	0.0684497	6.08407	12 	15 	1  	778   	2.19142
INFO:gp:13 	790   	0.657761	13 	0.735464	0.456912	790   	0.0708787	6.75953	13 	15 	3  	790   	2.53207
INFO:gp:14 	777   	0.660678	14 	0.73693 	0.434797	777   	0.0740224	6.88954	14 	16 	3  	777   	2.52389
INFO:gp:15 	782   	0.663613	15 	0.73693 	0.430951	782   	0.0756091	6.9912 	15 	19 	1  	782   	2.8029 
INFO:gp:16 	770   	0.66894 	16 	0.737653	0.45566 	770   	0.072547 	6.93255	16 	16 	1  	770   	2.93933
INFO:gp:17 	780   	0.659634	17 	0.738059	0.467525	780   	0.0804187	6.51515	17 	16 	3  	780   	3.00562
INFO:gp:18 	770   	0.655202	18 	0.775588	0.460401	770   	0.0872659	6.30596	18 	17 	3  	770   	3.16988
INFO:gp:19 	775   	0.655053	19 	0.775588	0.45281 	775   	0.091758 	6.35191	19 	18 	3  	775   	3.24215
INFO:gp:20 	751   	0.65587 	20 	0.775596	0.465279	751   	0.0922487	7.31378	20 	18 	3  	751   	3.44547
INFO:gp:21 	786   	0.658649	21 	0.775598	0.462132	786   	0.091202 	8.74878	21 	19 	3  	786   	3.62764
INFO:gp:22 	788   	0.665547	22 	0.775598	0.453837	788   	0.0907212	10.2092	22 	24 	3  	788   	3.56414
INFO:gp:23 	765   	0.671591	23 	0.777431	0.467509	765   	0.0888971	11.2239	23 	24 	3  	765   	3.19667
INFO:gp:24 	769   	0.683304	24 	0.777431	0.473663	769   	0.0862115	11.4076	24 	21 	3  	769   	2.9974 
INFO:gp:25 	795   	0.681215	25 	0.777431	0.468973	795   	0.0899859	11.7077	25 	25 	3  	795   	2.8145 
INFO:gp:26 	772   	0.69371 	26 	0.780957	0.459027	772   	0.0825985	11.782 	26 	21 	3  	772   	2.75993
