INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                            fitness                             	                      size                     
   	      	----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.499509	0  	0.76467	0.293413	1023  	0.063349	3.56891	0  	7  	2  	1023  	1.38307
INFO:gp:1  	769   	0.554418	1  	0.776853	0.322954	769   	0.0640042	3.76735	1  	12 	2  	769   	1.48983
INFO:gp:2  	768   	0.589393	2  	0.798177	0.34059 	768   	0.0772129	3.95992	2  	11 	2  	768   	1.60442
INFO:gp:3  	790   	0.63492 	3  	0.808419	0.219481	790   	0.0846026	3.90323	3  	13 	2  	790   	1.55933
INFO:gp:4  	760   	0.684344	4  	0.808419	0.338918	760   	0.0922647	3.7566 	4  	12 	2  	760   	1.40185
INFO:gp:5  	757   	0.730281	5  	0.81832 	0.411284	757   	0.0763779	3.61486	5  	12 	2  	757   	1.15734
INFO:gp:6  	770   	0.752654	6  	0.832231	0.399777	770   	0.0708117	3.58456	6  	10 	3  	770   	1.08776
INFO:gp:7  	775   	0.759898	7  	0.83849 	0.450665	775   	0.07639  	3.6784 	7  	13 	1  	775   	1.20247
INFO:gp:8  	767   	0.758774	8  	0.83849 	0.472205	767   	0.086271 	3.68817	8  	12 	1  	767   	1.14344
INFO:gp:9  	766   	0.759811	9  	0.849943	0.424786	766   	0.0921699	3.67351	9  	10 	1  	766   	1.20319
INFO:gp:10 	773   	0.769665	10 	0.849943	0.393662	773   	0.0939733	3.50049	10 	10 	1  	773   	1.10351
INFO:gp:11 	770   	0.767107	11 	0.854343	0.431697	770   	0.1018   	3.42717	11 	10 	2  	770   	1.02382
INFO:gp:12 	777   	0.75586 	12 	0.854343	0.373709	777   	0.112941 	3.45943	12 	10 	1  	777   	0.958609
INFO:gp:13 	787   	0.76612 	13 	0.86063 	0.387494	787   	0.110218 	3.42424	13 	10 	1  	787   	0.957493
INFO:gp:14 	779   	0.76853 	14 	0.86063 	0.399903	779   	0.111752 	3.41935	14 	9  	1  	779   	0.956072
INFO:gp:15 	784   	0.758638	15 	0.86063 	0.423052	784   	0.117045 	3.51613	15 	9  	1  	784   	1.03293 
INFO:gp:16 	750   	0.75865 	16 	0.86063 	0.433417	750   	0.121413 	3.60215	16 	9  	1  	750   	1.08895 
INFO:gp:17 	816   	0.74702 	17 	0.86063 	0.411907	816   	0.13114  	3.62561	17 	10 	3  	816   	1.12538 
INFO:gp:18 	770   	0.748312	18 	0.86063 	0.37529 	770   	0.136086 	3.56305	18 	10 	3  	770   	1.06287 
INFO:gp:19 	776   	0.751177	19 	0.884165	0.478727	776   	0.141697 	3.47898	19 	10 	3  	776   	1.05993 
INFO:gp:20 	774   	0.750071	20 	0.884165	0.443486	774   	0.144521 	3.43891	20 	10 	3  	774   	1.10182 
INFO:gp:21 	756   	0.742459	21 	0.884165	0.403914	756   	0.152211 	3.42033	21 	10 	3  	756   	1.06268 
INFO:gp:22 	776   	0.750011	22 	0.884165	0.481551	776   	0.146598 	3.48583	22 	10 	3  	776   	1.10254 
