INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.500818	0  	0.623212	0.399945	1023  	0.029962	3.52395	0  	7  	2  	1023  	1.36896
INFO:gp:1  	796   	0.52326 	1  	0.623212	0.429791	796   	0.0312637	3.49071	1  	10 	2  	796   	1.41271
INFO:gp:2  	793   	0.536197	2  	0.665545	0.40477 	793   	0.036842 	3.44868	2  	10 	2  	793   	1.41181
INFO:gp:3  	728   	0.552459	3  	0.693457	0.392535	728   	0.0420728	3.40176	3  	10 	2  	728   	1.33158
INFO:gp:4  	781   	0.561464	4  	0.695381	0.374834	781   	0.0498425	3.54252	4  	12 	2  	781   	1.32717
INFO:gp:5  	789   	0.574519	5  	0.695381	0.402915	789   	0.0557306	3.63441	5  	12 	2  	789   	1.38038
INFO:gp:6  	761   	0.600833	6  	0.70894 	0.427055	761   	0.0571809	3.79961	6  	12 	2  	761   	1.40934
INFO:gp:7  	785   	0.618455	7  	0.709502	0.427987	785   	0.0604779	3.89638	7  	11 	2  	785   	1.43923
INFO:gp:8  	800   	0.629512	8  	0.724385	0.439724	800   	0.0613688	4.29423	8  	11 	2  	800   	1.63372
INFO:gp:9  	756   	0.638062	9  	0.736397	0.438133	756   	0.0650777	4.64516	9  	14 	3  	756   	1.86604
INFO:gp:10 	794   	0.641801	10 	0.742321	0.434666	794   	0.0696121	5.05181	10 	14 	3  	794   	2.13939
INFO:gp:11 	779   	0.646485	11 	0.742321	0.3991  	779   	0.0722789	5.51711	11 	15 	3  	779   	2.26699
INFO:gp:12 	766   	0.650962	12 	0.742331	0.441148	766   	0.0758901	5.91007	12 	15 	3  	766   	2.41811
INFO:gp:13 	776   	0.657901	13 	0.742476	0.47145 	776   	0.0793226	6.33822	13 	16 	3  	776   	2.47785
INFO:gp:14 	756   	0.66542 	14 	0.749277	0.441209	756   	0.0809396	6.88563	14 	19 	3  	756   	2.51945
INFO:gp:15 	790   	0.663769	15 	0.749277	0.404981	790   	0.0870411	7.26882	15 	16 	3  	790   	2.33949
INFO:gp:16 	777   	0.666446	16 	0.749277	0.341454	777   	0.0890982	7.46432	16 	16 	3  	777   	2.19847
INFO:gp:17 	776   	0.670829	17 	0.749277	0.421865	776   	0.0891828	7.73412	17 	15 	3  	776   	2.32452
INFO:gp:18 	777   	0.673797	18 	0.749277	0.457941	777   	0.0874213	8.28837	18 	16 	3  	777   	2.50784
INFO:gp:19 	771   	0.674673	19 	0.749481	0.411383	771   	0.0859501	9.0176 	19 	19 	3  	771   	2.55452
INFO:gp:20 	759   	0.677815	20 	0.749481	0.334114	759   	0.0890013	9.58944	20 	19 	3  	759   	2.66096
INFO:gp:21 	779   	0.678586	21 	0.749481	0.38006 	779   	0.0860595	10.0411	21 	23 	3  	779   	2.79335
INFO:gp:22 	777   	0.679662	22 	0.749481	0.452586	777   	0.085019 	10.9677	22 	24 	3  	777   	3.39771
INFO:gp:23 	781   	0.684125	23 	0.749481	0.446379	781   	0.082965 	12.0137	23 	24 	3  	781   	4.00755
INFO:gp:24 	780   	0.689276	24 	0.751725	0.453728	780   	0.0789025	13.5875	24 	27 	3  	780   	4.51866
INFO:gp:25 	777   	0.697405	25 	0.751725	0.449085	777   	0.0778444	15.7419	25 	27 	3  	777   	4.61116
INFO:gp:26 	758   	0.705445	26 	0.751804	0.45596 	758   	0.0680406	17.7126	26 	35 	3  	758   	3.79452
INFO:gp:27 	766   	0.707635	27 	0.751804	0.472389	766   	0.0663896	18.5308	27 	35 	3  	766   	3.30922
INFO:gp:28 	767   	0.708228	28 	0.751804	0.472656	767   	0.0672235	18.6432	28 	35 	3  	767   	3.50544
INFO:gp:29 	762   	0.708364	29 	0.754084	0.479104	762   	0.0687624	19.304 	29 	35 	3  	762   	3.43355
INFO:gp:30 	765   	0.711567	30 	0.754084	0.458675	765   	0.0654918	19.651 	30 	32 	3  	765   	3.55579
INFO:gp:31 	748   	0.708169	31 	0.754084	0.477816	748   	0.0681576	20.4096	31 	32 	3  	748   	3.38437
INFO:gp:32 	777   	0.711534	32 	0.754184	0.459449	777   	0.066288 	21.5699	32 	34 	3  	777   	3.54509
INFO:gp:33 	779   	0.710875	33 	0.754184	0.473059	779   	0.0676387	22.5865	33 	33 	3  	779   	3.19703
INFO:gp:34 	777   	0.7103  	34 	0.754184	0.480665	777   	0.068634 	22.9619	34 	34 	3  	777   	3.94408
INFO:gp:35 	764   	0.7112  	35 	0.754184	0.424319	764   	0.0659263	23.6618	35 	34 	3  	764   	3.40619
INFO:gp:36 	786   	0.714166	36 	0.756506	0.486739	786   	0.0656519	23.9677	36 	35 	3  	786   	3.39425
INFO:gp:37 	740   	0.713782	37 	0.756506	0.460245	740   	0.068742 	24.1046	37 	35 	3  	740   	3.33467
INFO:gp:38 	772   	0.715028	38 	0.756558	0.47412 	772   	0.0654343	24.0528	38 	34 	3  	772   	3.41224
INFO:gp:39 	742   	0.712709	39 	0.756558	0.468059	742   	0.0690604	24.1017	39 	34 	3  	742   	3.3812 
INFO:gp:40 	768   	0.716981	40 	0.756558	0.469223	768   	0.0656666	24.306 	40 	36 	3  	768   	3.37654
INFO:gp:41 	762   	0.71318 	41 	0.756558	0.478015	762   	0.0667587	24.6491	41 	37 	3  	762   	3.44046
INFO:gp:42 	767   	0.714814	42 	0.756558	0.460213	767   	0.0684029	24.6686	42 	37 	3  	767   	3.19069
INFO:gp:43 	753   	0.71654 	43 	0.756558	0.444231	753   	0.0674344	24.6823	43 	36 	3  	753   	3.42176
INFO:gp:44 	793   	0.717324	44 	0.756558	0.473408	793   	0.0663459	25.1701	44 	37 	3  	793   	3.50762
INFO:gp:45 	784   	0.717333	45 	0.756558	0.473325	784   	0.0655311	25.7937	45 	37 	3  	784   	3.20396
INFO:gp:46 	770   	0.718124	46 	0.756558	0.485388	770   	0.0647209	25.8553	46 	37 	3  	770   	3.48051
INFO:gp:47 	769   	0.715592	47 	0.758788	0.49061 	769   	0.063672 	26.0186	47 	36 	3  	769   	3.15557
INFO:gp:48 	779   	0.714147	48 	0.758788	0.473408	779   	0.0678627	25.8837	48 	36 	3  	779   	3.41224
INFO:gp:49 	776   	0.715936	49 	0.758788	0.489023	776   	0.0667636	25.8338	49 	38 	3  	776   	3.37314
INFO:gp:50 	753   	0.719443	50 	0.758788	0.489337	753   	0.0631644	25.8944	50 	37 	3  	753   	3.33127
INFO:gp:51 	767   	0.715588	51 	0.758788	0.473408	767   	0.0680724	25.5591	51 	37 	3  	767   	3.57276
INFO:gp:52 	795   	0.71022 	52 	0.758788	0.472105	795   	0.0720316	24.5885	52 	39 	3  	795   	4.45744
INFO:gp:53 	779   	0.705765	53 	0.758788	0.473408	779   	0.0783802	23.5601	53 	42 	3  	779   	4.4776 
INFO:gp:54 	760   	0.700747	54 	0.758871	0.473408	760   	0.0825057	22.4213	54 	42 	3  	760   	4.31341
INFO:gp:55 	766   	0.702165	55 	0.758871	0.481421	766   	0.0809607	22.346 	55 	40 	3  	766   	4.08649
INFO:gp:56 	758   	0.701589	56 	0.759361	0.473408	758   	0.0807876	22.1818	56 	40 	3  	758   	3.83611
INFO:gp:57 	780   	0.699462	57 	0.759361	0.460711	780   	0.0835009	22.3353	57 	40 	3  	780   	3.97819
INFO:gp:58 	805   	0.696914	58 	0.763528	0.43722 	805   	0.0853242	22.4809	58 	40 	3  	805   	4.71467
INFO:gp:59 	753   	0.705282	59 	0.763528	0.478346	753   	0.0787502	23.8055	59 	40 	3  	753   	4.96166
INFO:gp:60 	767   	0.708269	60 	0.763528	0.466653	767   	0.0764593	25.4457	60 	41 	3  	767   	5.66883
INFO:gp:61 	785   	0.712816	61 	0.763528	0.445099	785   	0.0727907	26.7322	61 	41 	3  	785   	5.74317
INFO:gp:62 	790   	0.708539	62 	0.763528	0.463839	790   	0.0751098	25.8739	62 	40 	3  	790   	5.76679
INFO:gp:63 	790   	0.703004	63 	0.763528	0.435443	790   	0.0806641	24.2737	63 	40 	3  	790   	5.40748
INFO:gp:64 	777   	0.709197	64 	0.763529	0.482631	777   	0.0772465	23.4712	64 	40 	3  	777   	4.45691
INFO:gp:65 	770   	0.709347	65 	0.763529	0.488691	770   	0.0762011	22.4477	65 	40 	3  	770   	3.80216
INFO:gp:66 	766   	0.70716 	66 	0.763552	0.449156	766   	0.0800611	21.9189	66 	40 	3  	766   	3.55824
INFO:gp:67 	760   	0.708878	67 	0.763552	0.462346	760   	0.0782407	21.4379	67 	37 	3  	760   	3.47422
INFO:gp:68 	780   	0.706919	68 	0.763552	0.488027	780   	0.077269 	21.7341	68 	37 	3  	780   	3.35657
INFO:gp:69 	763   	0.71228 	69 	0.763648	0.478993	763   	0.0756911	22.1261	69 	37 	3  	763   	3.38456
INFO:gp:70 	775   	0.710619	70 	0.763649	0.494833	775   	0.0772106	22.6237	70 	37 	3  	775   	3.12028
INFO:gp:71 	787   	0.705015	71 	0.763649	0.470832	787   	0.0801728	22.653 	71 	33 	3  	787   	3.17859
INFO:gp:72 	784   	0.712144	72 	0.765916	0.440561	784   	0.0766425	22.6921	72 	33 	3  	784   	3.28687
INFO:gp:73 	759   	0.710463	73 	0.768069	0.472143	759   	0.0768206	22.1945	73 	35 	3  	759   	3.88071
INFO:gp:74 	746   	0.711613	74 	0.768069	0.494833	746   	0.0769244	21.48  	74 	35 	3  	746   	4.10223
INFO:gp:75 	784   	0.707717	75 	0.768069	0.438208	784   	0.0810563	20.7664	75 	33 	3  	784   	4.1352 
INFO:gp:76 	783   	0.704532	76 	0.772991	0.466212	783   	0.0828413	21.1564	76 	31 	3  	783   	4.358  
INFO:gp:77 	780   	0.704609	77 	0.772991	0.480392	780   	0.0837438	21.1632	77 	33 	3  	780   	4.22529
INFO:gp:78 	756   	0.712884	78 	0.772991	0.48986 	756   	0.0783679	20.9326	78 	31 	3  	756   	3.47035
INFO:gp:79 	770   	0.712216	79 	0.772991	0.460708	770   	0.0822412	20.9335	79 	31 	3  	770   	3.56691
INFO:gp:80 	757   	0.709596	80 	0.772991	0.45963 	757   	0.0813274	20.7634	80 	31 	3  	757   	3.49063
INFO:gp:81 	777   	0.709404	81 	0.772991	0.453297	777   	0.0820122	20.0313	81 	31 	3  	777   	3.76003
INFO:gp:82 	789   	0.703712	82 	0.772991	0.485185	789   	0.0874614	18.8016	82 	31 	6  	789   	3.62363
INFO:gp:83 	767   	0.706815	83 	0.772993	0.39737 	767   	0.0880644	18.5894	83 	31 	3  	767   	3.50639
INFO:gp:84 	776   	0.708524	84 	0.772993	0.479759	776   	0.0868454	18.2053	84 	31 	3  	776   	3.36024
INFO:gp:85 	783   	0.705363	85 	0.772993	0.476181	783   	0.088285 	18.0733	85 	31 	4  	783   	3.37136
INFO:gp:86 	787   	0.703233	86 	0.775316	0.459675	787   	0.0899031	18.3861	86 	31 	3  	787   	3.04134
INFO:gp:87 	799   	0.711484	87 	0.775316	0.467493	799   	0.0832536	18.5396	87 	31 	3  	799   	3.33677
INFO:gp:88 	777   	0.708436	88 	0.775316	0.494833	777   	0.0860513	18.9619	88 	31 	3  	777   	3.62455
INFO:gp:89 	770   	0.713753	89 	0.775316	0.39825 	770   	0.0831698	19.9071	89 	30 	3  	770   	3.37378
INFO:gp:90 	760   	0.712603	90 	0.775316	0.475557	760   	0.082411 	20.1437	90 	28 	3  	760   	3.24254
INFO:gp:91 	782   	0.709699	91 	0.775316	0.482418	782   	0.0842645	19.8211	91 	28 	3  	782   	3.23928
INFO:gp:92 	785   	0.709765	92 	0.777617	0.477842	785   	0.086589 	19.1799	92 	32 	3  	785   	3.55668
INFO:gp:93 	780   	0.708574	93 	0.777617	0.439273	780   	0.087214 	18.6295	93 	28 	3  	780   	3.21358
INFO:gp:94 	780   	0.708295	94 	0.777617	0.463351	780   	0.0910819	18.2121	94 	27 	3  	780   	3.43591
