INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.500839	0  	0.62389	0.409352	1023  	0.0297953	3.56403	0  	7  	2  	1023  	1.37338
INFO:gp:1  	793   	0.523204	1  	0.625969	0.354229	793   	0.0331866	3.70381	1  	13 	2  	793   	1.51798
INFO:gp:2  	800   	0.537442	2  	0.644743	0.41204 	800   	0.038278 	3.65787	2  	10 	2  	800   	1.47917
INFO:gp:3  	792   	0.55036 	3  	0.649561	0.334914	792   	0.0408343	3.85142	3  	11 	2  	792   	1.59894
INFO:gp:4  	760   	0.562537	4  	0.676809	0.407622	760   	0.0450131	4.0303 	4  	10 	2  	760   	1.59301
INFO:gp:5  	789   	0.568818	5  	0.690284	0.407068	789   	0.0508829	4.20137	5  	11 	2  	789   	1.64508
INFO:gp:6  	779   	0.578997	6  	0.725437	0.407068	779   	0.057835 	4.18182	6  	12 	2  	779   	1.61681
INFO:gp:7  	770   	0.597448	7  	0.725437	0.373138	770   	0.0635385	4.57185	7  	12 	2  	770   	1.78581
INFO:gp:8  	770   	0.60792 	8  	0.725437	0.400454	770   	0.0770063	5.2434 	8  	14 	2  	770   	1.87185
INFO:gp:9  	768   	0.620915	9  	0.730847	0.406844	768   	0.0854753	6.04399	9  	14 	2  	768   	1.83296
INFO:gp:10 	785   	0.632175	10 	0.742254	0.427122	785   	0.0898789	6.4653 	10 	14 	2  	785   	1.86508
INFO:gp:11 	787   	0.654667	11 	0.747775	0.443684	787   	0.0874125	6.71457	11 	15 	3  	787   	1.97903
INFO:gp:12 	788   	0.655418	12 	0.750894	0.429003	788   	0.0926094	6.86413	12 	15 	3  	788   	1.95154
INFO:gp:13 	778   	0.663713	13 	0.75911 	0.419977	778   	0.0931446	6.94037	13 	16 	3  	778   	2.06667
INFO:gp:14 	765   	0.662578	14 	0.75911 	0.459397	765   	0.0967295	6.73998	14 	17 	3  	765   	2.15772
INFO:gp:15 	766   	0.662667	15 	0.75911 	0.42383 	766   	0.0990521	6.69501	15 	16 	3  	766   	2.15682
INFO:gp:16 	760   	0.667581	16 	0.759111	0.452509	760   	0.0988771	7.17204	16 	16 	3  	760   	2.30722
INFO:gp:17 	744   	0.673607	17 	0.759111	0.425116	744   	0.101782 	7.65396	17 	17 	3  	744   	2.1497 
INFO:gp:18 	730   	0.682281	18 	0.759115	0.434823	730   	0.0987927	8.16911	18 	17 	3  	730   	2.07808
INFO:gp:19 	770   	0.684732	19 	0.759115	0.426765	770   	0.0953425	8.56207	19 	17 	3  	770   	2.07668
INFO:gp:20 	788   	0.693714	20 	0.759115	0.426545	788   	0.0899948	8.72727	20 	21 	3  	788   	2.18609
