INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                            fitness                             	                      size                     
   	      	----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.50172	0  	0.695665	0.302822	1023  	0.062368	3.53275	0  	7  	2  	1023  	1.34355
INFO:gp:1  	792   	0.556202	1  	0.768846	0.303353	792   	0.066783	3.65982	1  	10 	2  	792   	1.3677 
INFO:gp:2  	802   	0.591853	2  	0.826923	0.312278	802   	0.0740085	3.97458	2  	11 	2  	802   	1.52122
INFO:gp:3  	773   	0.622454	3  	0.827137	0.32192 	773   	0.0846761	4.35777	3  	13 	1  	773   	1.69844
INFO:gp:4  	800   	0.644303	4  	0.832882	0.315842	800   	0.0969693	4.54252	4  	12 	2  	800   	1.76085
INFO:gp:5  	783   	0.673381	5  	0.858177	0.274549	783   	0.0995163	4.6608 	5  	11 	2  	783   	1.72988
INFO:gp:6  	769   	0.696509	6  	0.865543	0.279643	769   	0.105577 	4.6784 	6  	14 	1  	769   	1.72758
INFO:gp:7  	777   	0.710846	7  	0.865543	0.236543	777   	0.118359 	4.83773	7  	14 	2  	777   	1.71277
INFO:gp:8  	741   	0.736196	8  	0.880454	0.274549	741   	0.121293 	5.01075	8  	11 	2  	741   	1.63565
INFO:gp:9  	789   	0.749384	9  	0.890358	0.246765	789   	0.128081 	5.50733	9  	14 	2  	789   	1.75579
INFO:gp:10 	769   	0.754439	10 	0.890358	0.281594	769   	0.138989 	5.62463	10 	15 	3  	769   	1.84063
INFO:gp:11 	776   	0.767181	11 	0.890442	0.360093	776   	0.131712 	5.76149	11 	14 	3  	776   	2.12507
INFO:gp:12 	783   	0.764297	12 	0.890566	0.318377	783   	0.135373 	6.1652 	12 	15 	3  	783   	2.4517 
INFO:gp:13 	751   	0.771039	13 	0.895196	0.271815	751   	0.133825 	7.16716	13 	17 	3  	751   	2.65155
INFO:gp:14 	770   	0.77287 	14 	0.895196	0.302493	770   	0.132946 	7.57967	14 	18 	3  	770   	2.59167
INFO:gp:15 	778   	0.775417	15 	0.895581	0.259167	778   	0.1358   	7.47116	15 	16 	3  	778   	2.49983
INFO:gp:16 	759   	0.787834	16 	0.906108	0.307985	759   	0.141699 	7.34409	16 	21 	3  	759   	2.47547
INFO:gp:17 	781   	0.783137	17 	0.90614 	0.283754	781   	0.146793 	7.94037	17 	21 	3  	781   	3.04277
INFO:gp:18 	766   	0.789549	18 	0.90614 	0.307859	766   	0.141259 	9.11046	18 	23 	3  	766   	3.68513
INFO:gp:19 	779   	0.781232	19 	0.906611	0.307998	779   	0.141131 	10.2033	19 	22 	3  	779   	3.85258
INFO:gp:20 	773   	0.788549	20 	0.906611	0.307724	773   	0.134395 	11.7576	20 	25 	3  	773   	3.95105
INFO:gp:21 	751   	0.787516	21 	0.906611	0.307703	751   	0.140924 	11.9296	21 	24 	3  	751   	3.37331
INFO:gp:22 	791   	0.78893 	22 	0.906611	0.311322	791   	0.149023 	12.0655	22 	22 	3  	791   	2.72216
INFO:gp:23 	780   	0.791506	23 	0.906611	0.276309	780   	0.154218 	12.61  	23 	23 	3  	780   	2.55447
INFO:gp:24 	769   	0.793559	24 	0.906611	0.453262	769   	0.152687 	12.999 	24 	24 	3  	769   	2.42321
INFO:gp:25 	781   	0.795785	25 	0.906611	0.442448	781   	0.152412 	12.9756	25 	23 	3  	781   	2.32383
INFO:gp:26 	783   	0.792649	26 	0.906651	0.414221	783   	0.149706 	12.8407	26 	23 	3  	783   	2.25132
INFO:gp:27 	776   	0.783627	27 	0.907983	0.40428 	776   	0.159046 	12.8201	27 	23 	3  	776   	2.12164
INFO:gp:28 	781   	0.794741	28 	0.907983	0.383101	781   	0.147079 	12.5601	28 	22 	3  	781   	2.08988
INFO:gp:29 	769   	0.788098	29 	0.907983	0.431554	769   	0.152803 	12.5826	29 	22 	3  	769   	2.13447
INFO:gp:30 	759   	0.785624	30 	0.907983	0.430536	759   	0.154092 	12.3891	30 	22 	3  	759   	2.11894
INFO:gp:31 	747   	0.792313	31 	0.907983	0.430536	747   	0.152868 	12.174 	31 	21 	3  	747   	2.04137
INFO:gp:32 	772   	0.785556	32 	0.907983	0.430536	772   	0.158226 	11.7204	32 	21 	3  	772   	1.99903
INFO:gp:33 	761   	0.788793	33 	0.907983	0.374828	761   	0.15457  	11.2307	33 	21 	3  	761   	2.13328
INFO:gp:34 	746   	0.779913	34 	0.907983	0.413845	746   	0.157141 	11.0968	34 	21 	3  	746   	1.90061
INFO:gp:35 	767   	0.777965	35 	0.907983	0.430536	767   	0.157053 	11.1085	35 	21 	3  	767   	1.96025
INFO:gp:36 	767   	0.777569	36 	0.907983	0.418236	767   	0.155667 	11.0723	36 	21 	3  	767   	2.14359
INFO:gp:37 	777   	0.776893	37 	0.907983	0.429029	777   	0.157346 	11.0137	37 	21 	3  	777   	2.00922
INFO:gp:38 	770   	0.788973	38 	0.907983	0.350321	770   	0.152655 	11.0411	38 	21 	3  	770   	1.96008
INFO:gp:39 	791   	0.777279	39 	0.907983	0.411008	791   	0.155812 	11.0772	39 	22 	3  	791   	1.95074
