INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                     size                     
   	      	-----------------------------------------------------------------	----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std   
0  	1023  	0.50006	0  	0.719681	0.286075	1023  	0.0641641	3.42913	0  	7  	2  	1023  	1.2802
INFO:gp:1  	758   	0.555399	1  	0.727074	0.260272	758   	0.0650105	3.61095	1  	9  	2  	758   	1.33717
INFO:gp:2  	778   	0.586118	2  	0.798129	0.343615	778   	0.0788102	3.85533	2  	9  	2  	778   	1.422  
INFO:gp:3  	763   	0.623122	3  	0.833919	0.331973	763   	0.0862673	3.84653	3  	12 	2  	763   	1.49516
INFO:gp:4  	759   	0.64875 	4  	0.862537	0.300529	759   	0.0921276	3.89834	4  	10 	2  	759   	1.52125
INFO:gp:5  	763   	0.672308	5  	0.862537	0.358986	763   	0.100526 	4.06452	5  	10 	2  	763   	1.63351
INFO:gp:6  	772   	0.691841	6  	0.891027	0.358923	772   	0.110554 	4.28055	6  	12 	2  	772   	1.7426 
INFO:gp:7  	770   	0.714696	7  	0.892383	0.3208  	770   	0.118655 	4.31085	7  	13 	2  	770   	1.7623 
INFO:gp:8  	787   	0.738806	8  	0.892383	0.395953	787   	0.116121 	4.25611	8  	10 	2  	787   	1.57103
INFO:gp:9  	779   	0.758085	9  	0.893532	0.335543	779   	0.12194  	4.27077	9  	12 	2  	779   	1.4883 
INFO:gp:10 	774   	0.788383	10 	0.899914	0.368965	774   	0.119611 	4.42717	10 	13 	2  	774   	1.36222
INFO:gp:11 	772   	0.801055	11 	0.899914	0.328496	772   	0.120996 	4.57283	11 	12 	2  	772   	1.25308
INFO:gp:12 	778   	0.8084  	12 	0.899914	0.445877	778   	0.118131 	4.24536	12 	10 	2  	778   	1.22511
INFO:gp:13 	775   	0.801235	13 	0.899914	0.370594	775   	0.120653 	4.00098	13 	11 	2  	775   	1.33052
INFO:gp:14 	793   	0.799643	14 	0.899914	0.386086	793   	0.118696 	3.71261	14 	13 	2  	793   	1.28588
INFO:gp:15 	772   	0.791658	15 	0.899914	0.356165	772   	0.125853 	3.57087	15 	10 	2  	772   	1.19489
INFO:gp:16 	767   	0.814706	16 	0.901327	0.359782	767   	0.108552 	3.50342	16 	10 	2  	767   	1.13236
INFO:gp:17 	754   	0.827126	17 	0.901327	0.348673	754   	0.102138 	3.55034	17 	10 	3  	754   	1.17699
INFO:gp:18 	774   	0.836748	18 	0.901331	0.486151	774   	0.089996 	3.58358	18 	10 	3  	774   	1.25941
INFO:gp:19 	758   	0.838497	19 	0.901946	0.507319	758   	0.0892488	3.65885	19 	12 	3  	758   	1.36638
INFO:gp:20 	801   	0.834832	20 	0.901946	0.451996	801   	0.09091  	3.92962	20 	11 	3  	801   	1.57725
INFO:gp:21 	789   	0.834472	21 	0.901946	0.499616	789   	0.0928977	4.68817	21 	12 	3  	789   	1.94336
